Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,2.40,2.41,2.28,2.29,1425200,2.29
2016-10-06,2.26,2.43,2.26,2.37,2485500,2.37
2016-10-05,2.28,2.32,2.26,2.29,1047300,2.29
2016-10-04,2.34,2.34,2.26,2.27,1292300,2.27
2016-10-03,2.30,2.32,2.21,2.29,1303200,2.29
2016-09-30,2.22,2.30,2.18,2.26,1278800,2.26
2016-09-29,2.29,2.29,2.19,2.20,1358600,2.20
2016-09-28,2.30,2.35,2.25,2.27,1164100,2.27
2016-09-27,2.23,2.28,2.20,2.26,1326700,2.26
2016-09-26,2.20,2.23,2.17,2.21,1499800,2.21
2016-09-23,2.26,2.26,2.18,2.20,1985900,2.20
2016-09-22,2.30,2.31,2.12,2.22,2701900,2.22
2016-09-21,2.09,2.26,2.08,2.25,3608600,2.25
2016-09-20,2.02,2.12,2.01,2.05,2887900,2.05
2016-09-19,2.00,2.05,1.94,2.00,3450500,2.00
2016-09-16,1.97,1.99,1.84,1.88,4175300,1.88
2016-09-15,2.06,2.11,1.94,1.97,3928600,1.97
2016-09-14,2.18,2.24,2.02,2.07,4891200,2.07
2016-09-13,2.23,2.29,2.11,2.17,4143100,2.17
2016-09-12,2.12,2.45,2.06,2.30,12877000,2.30
2016-09-09,3.10,3.10,2.86,2.86,2798600,2.86
2016-09-08,3.03,3.09,3.03,3.05,1411800,3.05
2016-09-07,3.04,3.13,3.02,3.05,2007400,3.05
2016-09-06,2.75,3.04,2.72,3.02,3683700,3.02
2016-09-02,2.75,2.78,2.69,2.75,996500,2.75
2016-09-01,2.68,2.73,2.66,2.73,847100,2.73
2016-08-31,2.68,2.72,2.64,2.69,1278900,2.69
2016-08-30,2.65,2.70,2.63,2.69,1090700,2.69
2016-08-29,2.70,2.70,2.64,2.66,870400,2.66
2016-08-26,2.67,2.76,2.65,2.70,1246600,2.70
2016-08-25,2.67,2.73,2.61,2.67,1140200,2.67
2016-08-24,2.72,2.80,2.65,2.65,2219300,2.65
2016-08-23,2.77,2.77,2.71,2.73,662800,2.73
2016-08-22,2.71,2.74,2.69,2.74,927300,2.74
2016-08-19,2.71,2.75,2.70,2.72,774000,2.72
2016-08-18,2.73,2.76,2.68,2.73,716700,2.73
2016-08-17,2.74,2.76,2.70,2.73,754100,2.73
2016-08-16,2.87,2.87,2.74,2.74,1381000,2.74
2016-08-15,2.75,2.87,2.72,2.87,2010300,2.87
2016-08-12,2.69,2.75,2.67,2.74,644400,2.74
2016-08-11,2.66,2.72,2.63,2.70,764100,2.70
2016-08-10,2.73,2.74,2.65,2.65,959900,2.65
2016-08-09,2.72,2.74,2.66,2.73,743600,2.73
2016-08-08,2.78,2.80,2.70,2.72,1345100,2.72
2016-08-05,2.73,2.78,2.72,2.76,1324400,2.76
2016-08-04,2.73,2.76,2.66,2.71,1701300,2.71
2016-08-03,2.71,2.78,2.68,2.78,1469400,2.78
2016-08-02,2.71,2.76,2.66,2.72,1469400,2.72
2016-08-01,2.68,2.75,2.66,2.71,1095000,2.71
2016-07-29,2.66,2.70,2.64,2.68,802700,2.68
2016-07-28,2.75,2.78,2.66,2.66,1065800,2.66
2016-07-27,2.66,2.75,2.66,2.75,1474300,2.75
2016-07-26,2.63,2.69,2.62,2.64,983200,2.64
2016-07-25,2.63,2.68,2.60,2.64,675400,2.64
2016-07-22,2.70,2.71,2.64,2.66,861500,2.66
2016-07-21,2.67,2.73,2.65,2.70,1631900,2.70
2016-07-20,2.58,2.66,2.58,2.66,987700,2.66
2016-07-19,2.59,2.66,2.57,2.57,1333600,2.57
2016-07-18,2.65,2.69,2.64,2.66,1022200,2.66
2016-07-15,2.63,2.66,2.58,2.66,737600,2.66
2016-07-14,2.66,2.69,2.60,2.62,1058100,2.62
2016-07-13,2.77,2.77,2.63,2.64,1431700,2.64
2016-07-12,2.77,2.78,2.69,2.70,1466300,2.70
2016-07-11,2.73,2.79,2.71,2.75,1417300,2.75
2016-07-08,2.70,2.75,2.68,2.72,1478700,2.72
2016-07-07,2.68,2.74,2.63,2.69,1060300,2.69
2016-07-06,2.64,2.73,2.62,2.68,1420800,2.68
2016-07-05,2.75,2.77,2.65,2.67,1390400,2.67
2016-07-01,2.66,2.76,2.65,2.75,1562200,2.75
2016-06-30,2.62,2.73,2.62,2.68,1643600,2.68
2016-06-29,2.68,2.70,2.60,2.64,2326700,2.64
2016-06-28,2.49,2.65,2.48,2.64,2594100,2.64
2016-06-27,2.55,2.60,2.42,2.42,2396600,2.42
2016-06-24,2.63,2.69,2.56,2.59,2444500,2.59
2016-06-23,2.69,2.75,2.67,2.75,1116800,2.75
2016-06-22,2.68,2.78,2.62,2.67,1357100,2.67
2016-06-21,2.78,2.82,2.64,2.68,1975000,2.68
2016-06-20,2.76,2.86,2.74,2.80,2411500,2.80
2016-06-17,2.72,2.80,2.71,2.73,4496600,2.73
2016-06-16,2.66,2.71,2.60,2.70,1437600,2.70
2016-06-15,2.70,2.76,2.67,2.69,1231700,2.69
2016-06-14,2.71,2.75,2.63,2.69,2150800,2.69
2016-06-13,2.75,2.78,2.69,2.71,1894300,2.71
2016-06-10,2.78,2.81,2.73,2.77,1667600,2.77
2016-06-09,2.92,2.93,2.81,2.81,1715700,2.81
2016-06-08,2.99,3.02,2.93,2.95,1481300,2.95
2016-06-07,3.09,3.09,2.97,2.98,1450100,2.98
2016-06-06,2.97,3.15,2.91,3.12,2257900,3.12
2016-06-03,3.07,3.09,2.96,2.96,1879700,2.96
2016-06-02,2.97,3.08,2.97,3.07,1649200,3.07
2016-06-01,2.95,3.04,2.92,2.98,1546000,2.98
2016-05-31,2.86,2.98,2.85,2.96,2371300,2.96
2016-05-27,2.82,2.85,2.75,2.85,1073400,2.85
2016-05-26,2.94,2.94,2.81,2.81,2184500,2.81
2016-05-25,2.93,3.03,2.90,2.94,2204200,2.94
2016-05-24,2.87,2.93,2.83,2.92,1628900,2.92
2016-05-23,2.82,2.93,2.79,2.84,1337900,2.84
2016-05-20,2.72,2.82,2.72,2.82,1617700,2.82
2016-05-19,2.80,2.84,2.68,2.68,1656700,2.68
2016-05-18,2.73,2.88,2.73,2.81,1465400,2.81
2016-05-17,2.74,2.84,2.72,2.74,1666400,2.74
2016-05-16,2.69,2.81,2.66,2.76,1908100,2.76
2016-05-13,2.64,2.73,2.61,2.64,1806800,2.64
2016-05-12,2.77,2.79,2.63,2.63,2189000,2.63
2016-05-11,2.80,2.87,2.75,2.75,1433300,2.75
2016-05-10,2.80,2.90,2.74,2.82,1472100,2.82
2016-05-09,2.66,2.81,2.66,2.77,1893900,2.77
2016-05-06,2.65,2.76,2.59,2.67,1980900,2.67
2016-05-05,2.75,2.79,2.67,2.70,2043900,2.70
2016-05-04,2.83,2.85,2.69,2.73,3143300,2.73
2016-05-03,2.98,3.00,2.84,2.84,2144500,2.84
2016-05-02,2.99,3.01,2.88,3.00,1629300,3.00
2016-04-29,3.04,3.10,2.94,2.95,1829800,2.95
2016-04-28,3.08,3.16,3.03,3.04,1530300,3.04
2016-04-27,3.14,3.14,3.02,3.09,1066900,3.09
2016-04-26,3.23,3.27,3.06,3.11,2061600,3.11
2016-04-25,3.29,3.35,3.21,3.21,1097300,3.21
2016-04-22,3.26,3.27,3.17,3.27,1137800,3.27
2016-04-21,3.20,3.30,3.14,3.26,1676900,3.26
2016-04-20,3.27,3.32,3.14,3.22,1849800,3.22
2016-04-19,3.33,3.35,3.23,3.24,1402500,3.24
2016-04-18,3.26,3.35,3.21,3.32,1379200,3.32
2016-04-15,3.25,3.33,3.21,3.26,1346900,3.26
2016-04-14,3.26,3.32,3.20,3.28,1766200,3.28
2016-04-13,3.15,3.20,3.04,3.20,1880100,3.20
2016-04-12,3.07,3.13,3.03,3.10,2417000,3.10
2016-04-11,3.15,3.21,3.06,3.07,2367900,3.07
2016-04-08,3.24,3.29,3.11,3.15,1994300,3.15
