Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,4.73,4.73,4.46,4.65,6700,4.65
2016-10-06,4.78,4.78,4.65,4.77,5700,4.77
2016-10-05,4.78,4.81,4.78,4.81,3300,4.81
2016-10-04,4.84,4.85,4.80,4.85,10300,4.85
2016-10-03,4.82,4.84,4.82,4.83,5300,4.83
2016-09-30,4.88,4.88,4.83,4.87,1800,4.87
2016-09-29,5.04,5.04,4.81,4.83,17800,4.83
2016-09-28,5.02,5.13,4.99,5.13,24500,5.13
2016-09-27,5.04,5.10,4.99,5.08,23900,5.08
2016-09-26,5.06,5.12,5.04,5.12,11800,5.12
2016-09-23,5.12,5.12,5.07,5.10,5800,5.10
2016-09-22,5.07,5.09,5.04,5.09,700,5.09
2016-09-21,4.99,5.05,4.98,5.02,31600,5.02
2016-09-20,4.98,5.03,4.92,4.93,10800,4.93
2016-09-19,4.96,5.05,4.95,5.00,12400,5.00
2016-09-16,5.01,5.05,4.95,4.97,34100,4.97
2016-09-15,4.98,5.01,4.92,4.95,35600,4.95
2016-09-14,5.03,5.05,5.00,5.03,31000,5.03
2016-09-13,4.93,5.11,4.92,5.01,30400,5.01
2016-09-12,4.98,5.01,4.95,5.00,10600,5.00
2016-09-09,5.02,5.16,5.00,5.05,13800,5.05
2016-09-08,4.96,5.19,4.96,5.19,29400,5.19
2016-09-07,4.94,4.94,4.86,4.86,500,4.86
2016-09-06,4.87,4.94,4.87,4.87,3900,4.87
2016-09-02,4.87,4.91,4.87,4.91,3300,4.91
2016-09-01,4.88,4.90,4.83,4.83,6000,4.83
2016-08-31,4.92,4.96,4.86,4.96,8800,4.96
2016-08-30,4.93,4.99,4.88,4.90,23500,4.90
2016-08-29,5.01,5.07,4.93,4.94,25800,4.94
2016-08-26,4.99,5.15,4.88,5.00,27600,5.00
2016-08-25,5.08,5.19,4.98,5.02,22300,5.02
2016-08-24,5.02,5.17,5.00,5.06,62200,5.06
2016-08-23,5.01,5.10,4.96,5.00,48100,5.00
2016-08-22,5.00,5.03,4.98,5.01,34300,5.01
2016-08-19,4.96,5.13,4.95,5.00,72400,5.00
2016-08-18,4.76,4.97,4.76,4.95,30400,4.95
2016-08-17,4.68,4.75,4.68,4.75,1600,4.75
2016-08-16,4.56,4.71,4.56,4.70,159000,4.70
