Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,22.60,22.690001,22.219999,22.389999,851500,22.389999
2016-10-06,22.110001,22.83,22.00,22.52,1132800,22.52
2016-10-05,21.459999,22.65,21.459999,22.09,1376500,22.09
2016-10-04,21.43,21.66,20.690001,21.139999,841500,21.139999
2016-10-03,21.42,21.74,21.299999,21.379999,1224400,21.379999
2016-09-30,21.27,21.43,20.719999,21.200001,1403500,21.200001
2016-09-29,21.51,21.860001,20.85,20.93,1520300,20.93
2016-09-28,20.57,21.60,20.42,21.58,2578100,21.58
2016-09-27,20.16,20.52,19.85,20.40,804200,20.40
2016-09-26,20.48,20.969999,20.200001,20.26,1176100,20.26
2016-09-23,21.299999,21.639999,20.27,20.379999,1774600,20.379999
2016-09-22,21.76,21.889999,21.030001,21.33,1198600,21.33
2016-09-21,21.60,21.950001,21.190001,21.49,1497000,21.49
2016-09-20,21.549999,21.860001,21.139999,21.290001,629300,21.290001
2016-09-19,21.620001,21.950001,21.190001,21.51,1021200,21.51
2016-09-16,21.17,21.82,20.90,21.360001,1143800,21.360001
2016-09-15,20.98,21.559999,20.719999,21.33,1474100,21.33
2016-09-14,20.83,21.559999,20.700001,20.950001,843500,20.950001
2016-09-13,21.32,21.610001,20.610001,21.00,1300800,21.00
2016-09-12,21.40,22.049999,20.85,21.84,1634100,21.84
2016-09-09,22.50,22.65,21.51,21.59,1578900,21.54
2016-09-08,22.25,22.889999,22.01,22.780001,2230500,22.727245
2016-09-07,21.92,22.309999,21.709999,22.02,1699900,21.969005
2016-09-06,21.790001,22.16,21.50,21.889999,1191300,21.839305
2016-09-02,20.549999,21.950001,20.41,21.60,1687900,21.549977
2016-09-01,20.51,21.00,20.00,20.360001,1857000,20.312849
2016-08-31,18.629999,21.67,18.629999,20.83,3042600,20.78176
2016-08-30,20.450001,20.83,20.200001,20.25,1712800,20.203103
2016-08-29,20.07,20.48,19.809999,20.360001,1853000,20.312849
2016-08-26,20.34,20.639999,19.950001,20.18,948500,20.133266
2016-08-25,20.120001,20.65,20.040001,20.32,1053900,20.272941
2016-08-24,20.51,21.25,20.07,20.120001,1897100,20.073405
2016-08-23,19.879999,20.799999,19.77,20.610001,1802800,20.56227
2016-08-22,19.92,20.059999,19.450001,20.040001,1169800,19.993591
2016-08-19,20.629999,20.629999,20.10,20.309999,709100,20.262964
2016-08-18,20.030001,20.940001,19.85,20.629999,1422500,20.582223
2016-08-17,19.83,20.00,19.280001,19.879999,901200,19.833959
2016-08-16,19.82,20.09,19.51,19.940001,995100,19.893822
2016-08-15,19.370001,20.15,19.24,19.889999,1160400,19.843937
2016-08-12,19.26,19.450001,18.93,19.030001,807100,18.98593
2016-08-11,18.91,19.32,18.50,19.040001,1120800,18.995907
2016-08-10,18.889999,19.07,18.559999,18.620001,1099500,18.576879
2016-08-09,19.110001,19.23,18.450001,18.719999,1340900,18.676646
2016-08-08,18.389999,19.24,18.35,18.959999,1919500,18.91609
2016-08-05,18.07,18.530001,17.73,18.35,1101500,18.307504
2016-08-04,17.709999,18.15,17.58,17.93,1520500,17.888477
2016-08-03,16.469999,17.879999,16.209999,17.790001,1936100,17.748801
2016-08-02,16.549999,17.42,16.01,16.549999,1866500,16.511671
2016-08-01,17.559999,17.719999,16.33,16.50,2764400,16.461788
2016-07-29,16.65,17.07,16.530001,16.959999,1008400,16.920722
2016-07-28,17.59,17.90,16.82,16.82,1974500,16.781047
2016-07-27,17.68,18.52,17.120001,17.639999,2101400,17.599147
2016-07-26,17.15,17.799999,17.040001,17.68,2099800,17.639056
2016-07-25,18.52,18.879999,17.23,17.41,6524100,17.36968
2016-07-22,16.200001,16.68,15.92,16.290001,1192300,16.252275
2016-07-21,16.030001,16.870001,15.95,16.16,1816200,16.122575
2016-07-20,15.56,16.049999,15.09,16.030001,1987300,15.992877
2016-07-19,16.459999,16.459999,15.60,15.68,1156100,15.643687
2016-07-18,16.469999,16.879999,15.95,16.49,1226100,16.451811
2016-07-15,16.799999,17.27,16.620001,16.709999,1223500,16.671301
2016-07-14,17.299999,17.440001,16.629999,16.74,1295800,16.701232
2016-07-13,17.629999,17.629999,16.33,16.889999,1952900,16.850884
2016-07-12,17.00,17.959999,16.83,17.379999,3121100,17.339749
2016-07-11,16.17,16.68,15.95,16.540001,1596000,16.501696
2016-07-08,15.39,16.15,15.39,15.92,1721700,15.883131
2016-07-07,15.93,16.309999,14.96,15.22,1591100,15.184753
2016-07-06,15.43,15.80,15.12,15.62,2999000,15.583826
2016-07-05,15.93,16.379999,15.02,15.58,1916700,15.543919
2016-07-01,16.030001,16.90,15.76,16.76,2162800,16.721186
2016-06-30,15.99,16.00,15.09,15.50,2263000,15.464104
2016-06-29,15.43,16.639999,15.13,16.33,1715600,16.292182
2016-06-28,15.21,15.55,14.51,15.18,2663600,15.144845
2016-06-27,16.42,16.469999,14.32,14.56,2609900,14.526281
2016-06-24,16.52,17.110001,16.25,16.799999,10067200,16.761092
2016-06-23,17.280001,17.85,17.08,17.809999,1331200,17.768754
2016-06-22,16.540001,17.02,16.450001,16.889999,1563200,16.850884
2016-06-21,16.77,16.809999,15.87,16.52,1444200,16.481742
2016-06-20,16.68,17.92,16.530001,16.879999,2594800,16.840907
2016-06-17,15.19,16.110001,15.07,15.87,1915900,15.833247
2016-06-16,15.39,15.39,14.53,15.08,2533900,15.045076
2016-06-15,15.76,16.00,15.34,15.68,1675900,15.643687
2016-06-14,15.82,16.25,15.22,15.88,2317300,15.843224
2016-06-13,16.74,17.059999,15.82,15.98,2090000,15.942992
2016-06-10,18.049999,18.049999,16.65,16.99,1836600,16.900768
2016-06-09,18.299999,18.42,17.700001,18.299999,1328400,18.203888
2016-06-08,17.860001,18.610001,17.74,18.540001,1691200,18.442629
2016-06-07,17.16,17.790001,16.85,17.540001,1302300,17.447881
2016-06-06,16.360001,17.190001,16.15,17.01,1287000,16.920664
2016-06-03,16.370001,16.65,16.02,16.07,1505800,15.9856
2016-06-02,16.469999,16.639999,16.09,16.459999,1074800,16.373551
2016-06-01,17.790001,17.790001,16.379999,16.709999,1888800,16.622238
2016-05-31,17.18,18.49,17.139999,17.40,1514700,17.308615
2016-05-27,17.379999,17.77,17.030001,17.59,888000,17.497617
2016-05-26,17.60,18.27,17.25,17.58,1216700,17.48767
2016-05-25,17.309999,18.360001,17.030001,17.959999,1445200,17.865673
2016-05-24,16.969999,17.309999,16.58,17.07,1191000,16.980348
2016-05-23,17.049999,17.40,16.92,16.959999,1390800,16.870925
2016-05-20,17.200001,17.48,16.76,17.35,1357500,17.258878
2016-05-19,16.66,17.309999,16.17,17.200001,1325100,17.109666
2016-05-18,17.40,17.790001,16.719999,16.83,1178100,16.741609
2016-05-17,17.379999,18.02,17.049999,17.549999,1450800,17.457827
2016-05-16,17.59,18.24,17.18,17.32,1240500,17.229035
2016-05-13,17.469999,17.68,16.99,17.26,1078300,17.169351
2016-05-12,18.370001,18.67,17.469999,17.610001,1122400,17.517513
2016-05-11,18.15,18.799999,17.450001,18.040001,1855600,17.945255
2016-05-10,17.290001,18.83,16.73,18.35,2015900,18.253626
2016-05-09,17.02,17.33,16.25,17.209999,2039300,17.119612
2016-05-06,15.62,16.719999,15.36,16.23,1314600,16.14476
2016-05-05,16.790001,16.950001,15.56,15.65,1973500,15.567806
2016-05-04,16.360001,16.959999,15.80,16.27,2314600,16.18455
2016-05-03,16.66,16.91,16.18,16.549999,2144500,16.463079
2016-05-02,16.610001,17.34,16.52,17.08,3019400,16.990296
2016-04-29,18.16,18.48,15.38,16.58,12516300,16.492922
2016-04-28,21.33,22.50,21.129999,21.60,1442100,21.486557
2016-04-27,21.98,22.629999,21.030001,21.41,1603200,21.297554
2016-04-26,21.879999,22.25,21.209999,21.85,2296500,21.735244
2016-04-25,23.639999,23.90,21.52,21.77,1705800,21.655664
2016-04-22,23.90,24.67,23.24,23.639999,2106300,23.515842
2016-04-21,23.379999,23.77,22.40,22.83,1907800,22.710097
2016-04-20,21.549999,23.51,21.23,23.299999,2809200,23.177628
2016-04-19,19.639999,21.879999,19.639999,21.73,3273900,21.615874
2016-04-18,18.889999,19.99,18.50,19.450001,1191000,19.347849
2016-04-15,20.40,20.40,19.42,19.50,1152200,19.397586
2016-04-14,20.41,20.629999,19.790001,20.52,1462900,20.412229
2016-04-13,19.379999,20.860001,19.200001,20.33,2027600,20.223227
2016-04-12,17.99,19.32,17.790001,19.299999,1719700,19.198636
2016-04-11,17.870001,18.59,17.67,17.85,1283400,17.756252
2016-04-08,17.42,18.00,17.370001,17.60,1323500,17.507565
2016-04-07,17.23,17.799999,16.860001,17.25,987800,17.159403
2016-04-06,17.110001,17.85,17.02,17.549999,979500,17.457827
2016-04-05,16.91,17.41,16.68,16.98,1639800,16.890821
2016-04-04,17.450001,17.60,16.77,17.110001,1380000,17.020139
2016-04-01,17.43,17.93,17.030001,17.43,1353000,17.338458
2016-03-31,18.00,18.18,17.549999,17.969999,1296600,17.875621
2016-03-30,18.200001,18.48,17.540001,17.879999,1106400,17.786093
2016-03-29,17.719999,18.16,16.77,17.610001,1446500,17.517513
2016-03-28,18.450001,18.67,17.24,17.93,1331700,17.835832
2016-03-24,18.040001,18.629999,17.18,18.440001,1428900,18.343154
2016-03-23,20.120001,20.360001,18.51,18.65,1375200,18.55205
