Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,2.22,2.26,2.19,2.19,598500,2.19
2016-10-06,2.23,2.25,2.21,2.23,505600,2.23
2016-10-05,2.21,2.25,2.19,2.23,1070900,2.23
2016-10-04,2.23,2.25,2.19,2.20,1016800,2.20
2016-10-03,2.24,2.25,2.19,2.21,1119100,2.21
2016-09-30,2.18,2.25,2.16,2.24,906200,2.24
2016-09-29,2.22,2.25,2.16,2.18,1239500,2.18
2016-09-28,2.22,2.26,2.19,2.22,1162800,2.22
2016-09-27,2.18,2.24,2.18,2.22,1000400,2.22
2016-09-26,2.22,2.24,2.19,2.19,706400,2.19
2016-09-23,2.20,2.23,2.19,2.22,664800,2.22
2016-09-22,2.20,2.23,2.18,2.21,682800,2.21
2016-09-21,2.17,2.21,2.14,2.20,1208300,2.20
2016-09-20,2.20,2.20,2.16,2.17,858000,2.17
2016-09-19,2.23,2.27,2.18,2.20,949500,2.20
2016-09-16,2.21,2.22,2.15,2.22,2017500,2.22
2016-09-15,2.19,2.23,2.16,2.21,1495600,2.21
2016-09-14,2.28,2.30,2.16,2.18,2341200,2.18
2016-09-13,2.26,2.31,2.18,2.27,2434700,2.27
2016-09-12,2.26,2.29,2.22,2.29,1087900,2.29
2016-09-09,2.31,2.34,2.26,2.28,1543900,2.28
2016-09-08,2.29,2.36,2.26,2.33,1191100,2.33
2016-09-07,2.32,2.35,2.30,2.30,977300,2.30
2016-09-06,2.34,2.35,2.30,2.34,1082400,2.34
2016-09-02,2.30,2.34,2.29,2.32,938900,2.32
2016-09-01,2.35,2.35,2.25,2.30,2094400,2.30
2016-08-31,2.33,2.36,2.30,2.35,1525700,2.35
2016-08-30,2.34,2.37,2.31,2.36,1101600,2.36
2016-08-29,2.30,2.38,2.29,2.36,1216200,2.36
2016-08-26,2.28,2.39,2.28,2.34,1320900,2.34
2016-08-25,2.29,2.32,2.27,2.28,1129300,2.28
2016-08-24,2.25,2.34,2.25,2.30,2184400,2.30
2016-08-23,2.22,2.30,2.22,2.27,1634400,2.27
2016-08-22,2.23,2.32,2.19,2.26,2543500,2.26
2016-08-19,2.21,2.28,2.16,2.27,1919000,2.27
2016-08-18,2.17,2.24,2.16,2.20,1083500,2.20
2016-08-17,2.22,2.23,2.16,2.18,1373200,2.18
2016-08-16,2.24,2.25,2.19,2.21,1364000,2.21
2016-08-15,2.17,2.26,2.16,2.26,1865400,2.26
2016-08-12,2.16,2.18,2.14,2.16,1047600,2.16
2016-08-11,2.14,2.20,2.14,2.17,1180800,2.17
