Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,11.27,11.27,11.27,11.27,000,11.27
2016-10-06,11.27,11.27,11.27,11.27,000,11.27
2016-10-05,11.27,11.27,11.27,11.27,000,11.27
2016-10-04,11.24,11.27,11.15,11.27,1100,11.27
2016-10-03,11.58,11.58,11.25,11.28,5200,11.28
2016-09-30,11.29,11.64,10.56,10.60,5200,10.60
2016-09-29,11.41,12.34,11.01,12.34,8400,12.34
2016-09-28,10.58,11.49,10.38,11.49,10500,11.49
2016-09-27,10.46,10.46,10.30,10.30,900,10.30
2016-09-26,10.15,10.50,10.15,10.47,8100,10.47
2016-09-23,10.52,10.52,10.52,10.52,200,10.52
2016-09-22,10.66,10.66,10.61,10.61,400,10.61
2016-09-21,10.12,10.12,10.12,10.12,000,10.12
2016-09-20,10.12,10.12,10.12,10.12,000,10.12
2016-09-19,10.12,10.12,10.12,10.12,100,10.12
2016-09-16,10.09,10.70,10.09,10.70,800,10.70
2016-09-15,10.15,10.20,10.15,10.20,300,10.20
2016-09-14,10.10,10.42,10.09,10.30,1600,10.30
2016-09-13,10.54,10.54,10.54,10.54,000,10.54
2016-09-12,10.54,10.54,10.54,10.54,000,10.54
2016-09-09,10.58,10.58,10.09,10.54,2800,10.54
2016-09-08,10.07,10.49,10.07,10.49,600,10.49
2016-09-07,9.97,10.84,9.97,10.09,1200,10.09
2016-09-06,10.19,10.91,10.19,10.20,1500,10.20
2016-09-02,10.10,10.10,9.97,10.10,1300,10.10
2016-09-01,10.19,10.19,10.08,10.10,400,10.10
2016-08-31,10.00,10.25,9.95,9.95,4300,9.95
2016-08-30,9.99,9.99,9.99,9.99,000,9.99
2016-08-29,9.99,9.99,9.99,9.99,000,9.99
2016-08-26,9.99,9.99,9.99,9.99,200,9.99
2016-08-25,10.30,10.40,10.30,10.40,300,10.40
2016-08-24,10.20,10.30,10.10,10.10,2000,10.10
2016-08-23,9.80,10.61,9.80,10.10,7900,10.10
2016-08-22,10.06,10.06,9.80,9.80,3300,9.80
2016-08-19,10.27,10.27,10.27,10.27,000,10.27
2016-08-18,10.27,10.27,10.27,10.27,000,10.27
2016-08-17,10.82,11.01,10.20,10.27,5800,10.27
2016-08-16,10.95,10.95,10.75,10.75,3600,10.75
2016-08-15,11.00,11.00,10.75,10.76,1500,10.76
2016-08-12,10.80,10.80,10.45,10.45,2000,10.45
2016-08-11,9.75,11.12,9.75,10.28,13200,10.28
2016-08-10,9.71,9.71,9.71,9.71,300,9.71
2016-08-09,9.35,9.35,9.35,9.35,000,9.35
2016-08-08,9.35,9.35,9.35,9.35,000,9.35
2016-08-05,9.35,9.35,9.35,9.35,100,9.35
2016-08-04,9.28,9.28,9.28,9.28,000,9.28
2016-08-03,9.28,9.28,9.28,9.28,000,9.28
2016-08-02,9.28,9.28,9.28,9.28,000,9.28
2016-08-01,9.28,9.28,9.28,9.28,000,9.28
2016-07-29,9.28,9.28,9.28,9.28,300,9.28
2016-07-28,9.88,9.88,9.88,9.88,000,9.88
2016-07-27,9.88,9.88,9.88,9.88,000,9.88
2016-07-26,9.98,10.34,9.52,9.88,3400,9.88
2016-07-25,9.80,10.00,9.40,9.60,5500,9.60
2016-07-22,9.45,9.45,9.45,9.45,000,9.45
2016-07-21,9.45,9.45,9.45,9.45,000,9.45
2016-07-20,9.45,9.45,9.45,9.45,000,9.45
2016-07-19,9.45,9.45,9.45,9.45,000,9.45
2016-07-18,9.45,9.45,9.45,9.45,000,9.45
2016-07-15,9.45,9.45,9.45,9.45,000,9.45
2016-07-14,9.45,9.45,9.45,9.45,000,9.45
2016-07-13,9.45,9.45,9.45,9.45,000,9.45
2016-07-12,9.45,9.45,9.45,9.45,000,9.45
2016-07-11,9.15,9.50,9.15,9.45,2700,9.45
2016-07-08,9.52,9.55,9.52,9.55,800,9.55
2016-07-07,9.10,9.45,9.05,9.35,1900,9.35
2016-07-06,9.09,9.74,9.03,9.65,1700,9.65
2016-07-05,8.99,9.12,8.99,9.12,800,9.12
2016-07-01,9.35,9.50,9.35,9.49,1200,9.49
2016-06-30,9.30,9.49,9.03,9.30,2100,9.30
2016-06-29,8.99,9.03,8.99,9.03,500,9.03
2016-06-28,9.01,9.02,8.99,8.99,4200,8.99
2016-06-27,9.03,9.03,9.03,9.03,000,9.03
2016-06-24,9.03,9.16,8.99,9.03,700,9.03
2016-06-23,9.09,9.09,9.03,9.03,500,9.03
2016-06-22,9.07,9.07,9.00,9.02,900,9.02
2016-06-21,9.23,9.23,9.23,9.23,200,9.23
2016-06-20,9.02,9.14,9.00,9.14,3600,9.14
2016-06-17,8.98,9.00,8.84,8.84,66800,8.84
2016-06-16,8.94,9.02,8.90,8.93,5100,8.93
2016-06-15,8.83,8.88,8.83,8.83,4000,8.83
2016-06-14,8.90,8.90,8.58,8.75,3100,8.75
2016-06-13,9.00,9.01,8.95,9.00,700,9.00
