Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,31.09,31.09,31.09,31.09,500,31.09
2016-10-06,31.57,31.57,31.51,31.51,400,31.51
2016-10-05,31.700001,31.73,30.98,30.98,1400,30.98
2016-10-04,32.040001,32.040001,30.969999,30.969999,2200,30.969999
2016-10-03,30.809999,31.110001,30.809999,31.110001,400,31.110001
2016-09-30,30.90,31.690001,30.90,31.690001,1500,31.690001
2016-09-29,31.48,31.48,31.049999,31.049999,1300,31.049999
2016-09-28,31.209999,31.209999,30.639999,30.639999,700,30.639999
2016-09-27,30.00,30.25,30.00,30.00,1000,30.00
2016-09-26,30.950001,30.950001,30.23,30.23,400,30.23
2016-09-23,31.540001,31.540001,31.540001,31.540001,000,31.540001
2016-09-22,30.120001,31.58,30.00,31.540001,4300,31.540001
2016-09-21,28.790001,29.959999,28.790001,29.65,2300,29.65
2016-09-20,29.870001,30.059999,29.629999,29.629999,2100,29.629999
2016-09-19,31.02,31.02,29.860001,30.700001,1200,30.700001
2016-09-16,31.92,31.92,30.92,30.92,4400,30.92
2016-09-15,31.83,31.940001,31.83,31.90,700,31.90
2016-09-14,31.559999,31.99,31.559999,31.99,700,31.99
2016-09-13,31.959999,31.959999,31.459999,31.459999,900,31.459999
2016-09-12,32.00,32.00,31.799999,31.85,800,31.85
2016-09-09,31.959999,31.959999,31.00,31.00,800,31.00
2016-09-08,31.360001,31.360001,31.360001,31.360001,000,31.360001
2016-09-07,31.99,32.00,31.360001,31.360001,400,31.360001
2016-09-06,31.969999,32.00,30.98,31.799999,1400,31.799999
2016-09-02,31.50,32.00,31.50,32.00,900,32.00
2016-09-01,31.83,31.83,31.83,31.83,000,31.83
2016-08-31,31.75,31.83,31.75,31.83,500,31.83
2016-08-30,32.349998,32.349998,32.009998,32.009998,700,32.009998
2016-08-29,32.080002,32.080002,32.080002,32.080002,000,32.080002
2016-08-26,32.369999,32.369999,32.00,32.080002,600,32.080002
2016-08-25,32.080002,32.18,32.080002,32.18,1400,32.18
2016-08-24,32.240002,32.240002,32.240002,32.240002,200,32.240002
2016-08-23,32.00,32.00,32.00,32.00,600,32.00
2016-08-22,32.080002,32.080002,32.07,32.080002,1500,32.080002
2016-08-19,32.18,32.369999,31.799999,31.799999,800,31.799999
2016-08-18,31.82,31.82,31.82,31.82,000,31.82
2016-08-17,31.82,31.82,31.82,31.82,000,31.82
2016-08-16,31.82,31.82,31.82,31.82,300,31.82
2016-08-15,31.76,32.389999,31.75,32.389999,1200,32.389999
2016-08-12,31.76,31.76,31.76,31.76,300,31.76
2016-08-11,32.00,32.00,32.00,32.00,000,32.00
2016-08-10,32.00,32.00,31.82,32.00,4400,32.00
2016-08-09,31.780001,31.959999,31.75,31.959999,1000,31.959999
2016-08-08,32.310001,32.310001,32.310001,32.310001,400,32.310001
2016-08-05,32.189999,32.189999,32.189999,32.189999,200,32.189999
2016-08-04,32.099998,32.099998,32.099998,32.099998,300,32.099998
2016-08-03,31.629999,31.629999,31.629999,31.629999,000,31.629999
2016-08-02,31.629999,31.629999,31.629999,31.629999,400,31.629999
2016-08-01,32.00,32.00,31.91,31.91,500,31.91
2016-07-29,32.189999,32.189999,32.189999,32.189999,500,32.189999
2016-07-28,32.240002,32.240002,32.240002,32.240002,200,32.240002
2016-07-27,31.950001,32.240002,31.950001,32.240002,700,32.240002
2016-07-26,32.240002,32.400002,32.240002,32.389999,1300,32.389999
2016-07-25,32.169998,32.169998,32.169998,32.169998,200,32.169998
2016-07-22,31.50,32.27,31.50,32.27,900,32.27
2016-07-21,32.16,32.299999,31.50,32.119999,1700,32.119999
2016-07-20,32.040001,32.299999,31.50,32.299999,5700,32.299999
2016-07-19,31.799999,32.099998,31.51,32.040001,3600,32.040001
2016-07-18,31.959999,32.00,31.959999,32.00,3400,32.00
2016-07-15,31.889999,31.889999,31.889999,31.889999,400,31.889999
2016-07-14,31.99,31.99,31.66,31.879999,900,31.879999
2016-07-13,31.719999,31.75,31.719999,31.75,700,31.75
2016-07-12,30.50,31.709999,30.50,30.99,3100,30.99
2016-07-11,31.25,31.25,30.57,30.67,3200,30.67
2016-07-08,30.290001,30.629999,30.290001,30.33,1400,30.33
2016-07-07,30.16,30.549999,30.040001,30.15,3800,30.15
2016-07-06,30.780001,31.25,30.559999,31.18,1000,31.18
2016-07-05,30.610001,30.610001,30.00,30.00,2800,30.00
2016-07-01,31.16,31.16,31.16,31.16,600,31.16
2016-06-30,30.00,31.299999,30.00,30.65,2300,30.65
2016-06-29,28.00,30.00,27.969999,30.00,8300,30.00
2016-06-28,26.629999,26.860001,26.40,26.68,3500,26.68
2016-06-27,27.35,27.35,25.08,25.75,6600,25.75
2016-06-24,28.969999,28.969999,27.209999,27.209999,56300,27.209999
2016-06-23,32.00,32.00,29.610001,29.610001,6000,29.610001
2016-06-22,29.50,30.50,29.50,30.50,4100,30.50
2016-06-21,29.209999,29.49,29.209999,29.41,4300,29.41
2016-06-20,30.16,30.25,29.559999,29.559999,4000,29.559999
2016-06-17,30.370001,30.700001,30.16,30.17,2500,30.17
2016-06-16,30.969999,30.969999,30.26,30.309999,5600,30.309999
2016-06-15,30.370001,31.40,30.299999,31.01,10200,31.01
2016-06-14,30.620001,31.110001,30.27,30.27,19300,30.27
2016-06-13,31.309999,32.23,30.559999,30.860001,3200,30.860001
2016-06-10,31.93,32.599998,31.870001,32.599998,3600,32.599998
2016-06-09,32.240002,32.240002,32.240002,32.240002,200,32.240002
2016-06-08,32.259998,32.259998,32.00,32.240002,1800,32.240002
2016-06-07,32.00,32.549999,32.00,32.220001,8000,32.220001
2016-06-06,31.57,33.32,31.57,32.290001,9100,32.290001
2016-06-03,31.60,31.959999,31.209999,31.209999,4000,31.209999
2016-06-02,31.60,32.07,31.27,31.620001,3900,31.620001
2016-06-01,32.049999,32.099998,31.549999,31.809999,2300,31.809999
2016-05-31,31.879999,32.099998,31.40,31.969999,8300,31.969999
2016-05-27,31.85,32.75,31.15,31.889999,70100,31.889999
2016-05-26,31.719999,32.50,31.719999,31.969999,2600,31.969999
2016-05-25,31.02,32.50,31.02,32.50,4700,32.50
2016-05-24,31.65,31.75,30.85,31.73,10300,31.73
2016-05-23,29.00,31.75,28.65,31.75,12400,31.75
2016-05-20,28.00,28.99,28.00,28.969999,1400,28.969999
2016-05-19,27.65,28.00,27.51,28.00,900,28.00
2016-05-18,26.50,27.889999,26.50,27.889999,2500,27.889999
2016-05-17,26.860001,26.860001,26.860001,26.860001,300,26.860001
2016-05-16,26.459999,27.50,26.459999,27.50,2400,27.50
2016-05-13,26.83,27.00,26.389999,26.889999,2900,26.889999
2016-05-12,26.450001,27.00,26.190001,26.60,2600,26.60
2016-05-11,26.02,26.49,25.42,26.389999,5000,26.389999
2016-05-10,25.75,26.16,25.35,25.82,5800,25.82
2016-05-09,25.08,25.969999,25.08,25.969999,4500,25.969999
2016-05-06,25.26,25.780001,25.26,25.299999,9700,25.299999
2016-05-05,26.120001,26.120001,25.370001,25.370001,400,25.370001
2016-05-04,25.799999,25.799999,25.799999,25.799999,400,25.799999
2016-05-03,25.799999,25.799999,25.799999,25.799999,000,25.799999
2016-05-02,26.309999,26.309999,25.77,25.799999,700,25.799999
2016-04-29,25.07,25.07,25.07,25.07,000,25.07
2016-04-28,25.16,25.860001,25.07,25.07,7500,25.07
2016-04-27,25.870001,25.870001,25.15,25.15,8200,25.15
2016-04-26,26.450001,26.459999,25.60,26.40,3700,26.40
2016-04-25,25.809999,26.00,25.809999,26.00,300,26.00
