Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,7.70,7.79,7.70,7.71,12900,7.71
2016-10-06,7.81,7.81,7.68,7.72,35000,7.72
2016-10-05,7.72,7.87,7.72,7.83,17400,7.83
2016-10-04,7.99,7.99,7.66,7.66,53000,7.66
2016-10-03,8.00,8.05,7.86,7.95,9600,7.95
2016-09-30,7.63,8.02,7.50,8.01,38500,8.01
2016-09-29,8.00,8.002,7.50,7.62,65500,7.62
2016-09-28,7.96,8.00,7.95,7.96,16900,7.96
2016-09-27,7.86,8.00,7.86,7.99,19400,7.99
2016-09-26,7.91,7.92,7.87,7.90,15900,7.90
2016-09-23,7.93,7.95,7.89,7.89,9900,7.89
2016-09-22,7.96,8.01,7.88,8.00,23400,8.00
2016-09-21,7.99,8.08,7.94,8.02,10000,8.02
2016-09-20,8.06,8.06,7.995,8.02,9400,8.02
2016-09-19,8.06,8.07,8.00,8.01,7100,8.01
2016-09-16,7.98,8.00,7.85,7.98,43100,7.98
2016-09-15,7.77,7.98,7.77,7.95,8200,7.95
2016-09-14,7.63,8.00,7.63,7.85,25200,7.85
2016-09-13,7.72,7.735,7.65,7.67,32000,7.648
2016-09-12,7.74,7.81,7.67,7.81,15800,7.787599
2016-09-09,7.89,7.927,7.69,7.69,40400,7.667943
2016-09-08,7.90,7.93,7.88,7.88,6100,7.857398
2016-09-07,7.99,7.99,7.90,7.92,44900,7.897283
2016-09-06,7.99,8.03,7.95,7.95,11600,7.927197
2016-09-02,8.005,8.032,7.92,7.97,24000,7.947139
2016-09-01,7.90,8.09,7.90,8.00,4100,7.977054
2016-08-31,8.00,8.07,7.85,7.98,16100,7.957111
2016-08-30,7.952,7.99,7.90,7.98,7600,7.957111
2016-08-29,7.90,7.90,7.85,7.89,7900,7.867369
2016-08-26,8.05,8.15,7.85,7.88,26500,7.857398
2016-08-25,8.05,8.075,7.99,8.00,17300,7.977054
2016-08-24,8.35,8.35,8.01,8.10,14700,8.076767
2016-08-23,8.24,8.414,8.24,8.33,8100,8.306107
2016-08-22,8.16,8.31,8.16,8.22,8500,8.196423
