Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,13.55,13.79,13.52,13.74,269900,13.74
2016-10-06,13.80,13.80,13.48,13.50,282300,13.50
2016-10-05,13.88,14.01,13.73,13.87,265400,13.87
2016-10-04,14.18,14.23,13.83,13.87,267300,13.87
2016-10-03,14.00,14.12,13.94,14.11,182600,14.11
2016-09-30,13.77,14.02,13.70,14.00,297600,14.00
2016-09-29,13.94,14.00,13.68,13.68,209300,13.68
2016-09-28,14.35,14.53,13.89,13.94,272200,13.94
2016-09-27,14.38,14.51,14.20,14.38,344800,14.38
2016-09-26,14.25,14.40,14.11,14.36,298400,14.36
2016-09-23,14.04,14.39,14.04,14.28,396000,14.28
2016-09-22,14.20,14.29,14.02,14.08,278700,14.08
2016-09-21,14.27,14.30,13.89,14.02,334700,14.02
2016-09-20,14.44,14.64,14.18,14.19,201200,14.19
2016-09-19,14.13,14.36,14.01,14.36,209600,14.36
2016-09-16,14.20,14.39,14.05,14.09,430700,14.09
2016-09-15,14.10,14.24,14.03,14.18,145400,14.18
2016-09-14,14.30,14.47,14.10,14.15,207800,14.15
2016-09-13,14.62,14.82,14.19,14.27,205400,14.27
2016-09-12,14.50,14.78,14.47,14.65,288400,14.65
2016-09-09,14.99,15.429,14.53,14.62,444800,14.62
2016-09-08,15.46,15.465,15.01,15.02,216800,15.02
2016-09-07,15.46,15.74,15.42,15.53,193300,15.53
2016-09-06,15.48,15.63,15.46,15.53,163900,15.53
2016-09-02,15.36,15.61,15.27,15.53,114100,15.53
2016-09-01,15.34,15.50,15.142,15.29,114100,15.29
2016-08-31,15.27,15.47,15.05,15.32,142800,15.32
2016-08-30,15.46,15.485,15.25,15.31,116400,15.31
2016-08-29,15.65,15.72,15.414,15.51,112300,15.51
2016-08-26,15.67,15.73,15.50,15.62,158900,15.62
2016-08-25,15.49,15.74,15.42,15.61,129900,15.61
2016-08-24,15.45,15.75,15.40,15.51,169200,15.51
2016-08-23,15.07,15.49,15.03,15.42,167500,15.42
2016-08-22,15.28,15.45,14.97,15.10,342300,15.10
2016-08-19,15.35,15.413,15.08,15.26,219200,15.26
2016-08-18,15.47,15.59,15.34,15.43,238300,15.43
2016-08-17,15.00,15.43,14.87,15.43,319600,15.43
2016-08-16,15.06,15.09,14.96,15.03,203500,15.03
2016-08-15,15.04,15.32,15.04,15.11,99600,15.11
2016-08-12,14.98,15.26,14.98,15.09,115200,15.09
2016-08-11,15.19,15.38,14.72,15.06,166600,15.06
2016-08-10,15.18,15.29,14.99,15.11,184300,15.11
2016-08-09,15.19,15.42,15.10,15.10,139100,15.10
2016-08-08,15.05,15.48,15.05,15.31,266200,15.31
2016-08-05,14.43,15.52,14.26,15.12,676700,15.12
2016-08-04,15.19,15.36,13.92,14.49,1830900,14.49
2016-08-03,16.030001,16.35,15.62,16.01,621900,16.01
2016-08-02,16.50,16.68,16.040001,16.049999,340000,16.049999
2016-08-01,16.299999,16.67,16.145,16.559999,363800,16.559999
2016-07-29,16.42,16.450001,16.055,16.24,231400,16.24
2016-07-28,16.10,16.50,16.10,16.440001,181000,16.440001
2016-07-27,16.549999,16.674999,16.10,16.139999,242400,16.139999
2016-07-26,16.780001,16.780001,16.18,16.469999,286900,16.469999
2016-07-25,16.870001,16.950001,16.780001,16.879999,179700,16.879999
2016-07-22,16.98,17.219999,16.74,16.90,258800,16.90
2016-07-21,16.389999,17.360001,16.23,16.950001,1781900,16.950001
2016-07-20,16.120001,16.485001,16.07,16.40,249200,16.40
2016-07-19,16.200001,16.299999,16.049999,16.110001,158600,16.110001
2016-07-18,16.15,16.50,16.059999,16.24,255700,16.24
2016-07-15,16.440001,16.440001,16.02,16.120001,140100,16.120001
2016-07-14,16.48,16.50,16.299999,16.360001,143200,16.360001
2016-07-13,16.389999,16.540001,16.27,16.360001,153500,16.360001
2016-07-12,16.540001,16.629999,16.35,16.379999,170400,16.379999
2016-07-11,16.42,16.60,16.299999,16.49,177200,16.49
2016-07-08,16.450001,16.57,16.295,16.33,126500,16.33
2016-07-07,16.25,16.48,16.200001,16.26,135000,16.26
2016-07-06,16.110001,16.33,16.059999,16.27,175400,16.27
2016-07-05,16.17,16.35,16.00,16.190001,199600,16.190001
2016-07-01,16.379999,16.59,15.98,16.200001,342100,16.200001
2016-06-30,16.379999,16.50,16.190001,16.379999,325100,16.379999
2016-06-29,16.309999,16.459999,16.27,16.379999,285400,16.379999
2016-06-28,16.15,16.42,15.98,16.219999,285100,16.219999
2016-06-27,16.309999,16.389999,15.48,15.98,504900,15.98
2016-06-24,15.95,16.549999,15.828,16.459999,528700,16.459999
2016-06-23,16.01,16.469999,16.01,16.25,182800,16.25
2016-06-22,16.219999,16.35,15.93,15.95,126400,15.95
2016-06-21,16.60,16.65,16.110001,16.190001,121300,16.190001
2016-06-20,16.280001,16.84,16.190001,16.57,287200,16.57
2016-06-17,16.08,16.280001,16.049999,16.15,300100,16.15
2016-06-16,16.190001,16.33,15.89,16.18,269900,16.18
2016-06-15,16.370001,16.639999,16.035,16.23,424900,16.23
2016-06-14,16.41,16.68,16.25,16.290001,443200,16.290001
2016-06-13,16.65,16.879999,16.440001,16.459999,406400,16.459999
2016-06-10,17.23,17.370001,16.60,16.76,401200,16.76
2016-06-09,17.23,17.719999,17.174999,17.299999,375100,17.299999
2016-06-08,17.190001,17.42,16.85,17.190001,458500,17.190001
2016-06-07,17.85,17.975,17.030001,17.120001,366900,17.120001
2016-06-06,17.24,17.83,17.24,17.780001,351600,17.780001
2016-06-03,17.41,17.709999,17.110001,17.17,372200,17.17
2016-06-02,17.459999,17.51,16.719999,17.379999,372000,17.379999
2016-06-01,17.860001,18.030001,17.540001,17.549999,235500,17.549999
2016-05-31,17.57,18.07,17.52,17.889999,262600,17.889999
2016-05-27,17.639999,17.719999,17.43,17.60,220000,17.60
2016-05-26,17.799999,17.879999,17.530001,17.66,139900,17.66
2016-05-25,17.83,17.950001,17.25,17.809999,344600,17.809999
2016-05-24,17.48,18.049999,17.299999,17.719999,386700,17.719999
2016-05-23,17.360001,17.700001,17.35,17.459999,171600,17.459999
2016-05-20,17.540001,17.540001,17.030001,17.34,235400,17.34
2016-05-19,17.209999,17.67,17.07,17.530001,289100,17.530001
2016-05-18,17.57,17.815001,17.18,17.25,205800,17.25
2016-05-17,17.870001,17.99,17.610001,17.719999,218800,17.719999
2016-05-16,17.51,18.011,17.370001,17.84,214100,17.84
2016-05-13,17.43,18.02,17.375,17.49,473700,17.49
2016-05-12,17.639999,17.865,17.360001,17.41,176500,17.41
2016-05-11,18.23,18.23,17.59,17.610001,196800,17.610001
2016-05-10,18.540001,18.576,17.940001,18.209999,281600,18.209999
2016-05-09,17.48,18.709999,17.440001,18.549999,342600,18.549999
2016-05-06,18.370001,18.48,17.440001,17.57,732500,17.57
2016-05-05,17.879999,20.01,17.59,18.50,1565400,18.50
2016-05-04,16.91,17.459999,16.620001,17.24,717100,17.24
2016-05-03,16.969999,17.25,16.690001,17.01,395300,17.01
2016-05-02,16.75,17.67,16.75,17.02,597200,17.02
2016-04-29,16.709999,16.950001,16.52,16.75,396700,16.75
2016-04-28,16.75,17.15,16.65,16.700001,383900,16.700001
2016-04-27,17.10,17.684999,16.58,16.77,450500,16.77
2016-04-26,16.690001,17.59,16.629999,17.209999,581300,17.209999
2016-04-25,17.360001,17.41,16.540001,16.610001,852300,16.610001
2016-04-22,17.75,18.00,16.780001,17.50,601900,17.50
2016-04-21,17.73,18.120001,17.73,17.85,363200,17.85
2016-04-20,17.719999,17.969999,17.41,17.65,494800,17.65
2016-04-19,18.120001,18.334999,17.60,17.719999,215200,17.719999
2016-04-18,18.360001,18.43,17.889999,18.00,259500,18.00
2016-04-15,18.08,18.559999,18.08,18.370001,260500,18.370001
2016-04-14,18.15,18.280001,17.98,18.17,210800,18.17
2016-04-13,18.129999,18.49,17.889999,18.15,329800,18.15
2016-04-12,17.549999,18.17,17.549999,17.92,417800,17.92
2016-04-11,17.66,18.049999,17.35,17.59,400200,17.59
2016-04-08,18.07,18.290001,17.67,17.700001,392800,17.700001
