Date,Open,High,Low,Close,Volume,Adj Close
2016-10-11,10.05,10.18,9.92,10.02,10410300,10.02
2016-10-10,10.21,10.28,10.16,10.16,5875300,10.16
2016-10-07,10.17,10.25,10.03,10.17,8896500,10.17
2016-10-06,10.13,10.22,10.10,10.16,9731500,10.16
2016-10-05,9.93,10.20,9.89,10.14,10745100,10.14
2016-10-04,9.86,9.97,9.78,9.88,8099900,9.88
2016-10-03,9.83,9.91,9.74,9.80,8295900,9.80
2016-09-30,9.78,9.92,9.70,9.86,10208700,9.86
2016-09-29,9.92,9.96,9.68,9.71,8124500,9.71
2016-09-28,9.91,9.92,9.74,9.92,11634000,9.92
2016-09-27,9.60,9.74,9.52,9.74,9189300,9.74
2016-09-26,9.82,9.85,9.61,9.61,8010800,9.61
2016-09-23,9.86,9.97,9.81,9.90,9261500,9.90
2016-09-22,9.81,9.89,9.80,9.88,12495600,9.88
2016-09-21,9.75,9.78,9.60,9.73,11205400,9.73
2016-09-20,9.76,9.79,9.64,9.71,8953300,9.71
2016-09-19,9.78,9.83,9.65,9.72,10542200,9.72
2016-09-16,9.71,9.74,9.62,9.73,18595900,9.73
2016-09-15,9.74,9.87,9.71,9.79,13484800,9.79
2016-09-14,9.90,9.91,9.74,9.80,21652500,9.73
2016-09-13,9.92,9.93,9.76,9.88,10465100,9.809429
2016-09-12,9.69,10.01,9.69,10.00,14645500,9.928572
2016-09-09,9.90,9.96,9.83,9.86,13489200,9.789571
2016-09-08,9.91,9.93,9.79,9.89,11886300,9.819358
2016-09-07,9.82,9.94,9.77,9.90,10031700,9.829285
2016-09-06,10.01,10.02,9.77,9.86,14467500,9.789571
2016-09-02,10.00,10.05,9.89,10.02,8990700,9.948429
2016-09-01,10.05,10.11,9.83,9.96,15098100,9.888857
2016-08-31,9.92,10.01,9.85,10.01,22272800,9.9385
2016-08-30,9.76,9.89,9.76,9.89,8631700,9.819358
2016-08-29,9.70,9.87,9.67,9.76,14774400,9.690286
2016-08-26,9.68,9.71,9.56,9.69,15014400,9.620785
2016-08-25,9.52,9.67,9.49,9.60,21377900,9.531429
2016-08-24,9.63,9.71,9.50,9.51,23739400,9.442072
2016-08-23,9.68,9.70,9.59,9.64,17468800,9.571143
2016-08-22,9.51,9.66,9.46,9.65,13992100,9.581071
2016-08-19,9.47,9.56,9.43,9.51,21860900,9.442072
2016-08-18,9.66,9.74,9.49,9.51,99726200,9.442072
2016-08-17,9.62,9.80,9.62,9.66,20580900,9.591
2016-08-16,9.64,9.70,9.55,9.64,41796500,9.571143
2016-08-15,9.48,9.70,9.46,9.68,4859400,9.610858
2016-08-12,9.51,9.52,9.40,9.48,5138300,9.412285
2016-08-11,9.59,9.60,9.50,9.57,6531800,9.501643
2016-08-10,9.72,9.73,9.52,9.54,5160400,9.471857
2016-08-09,9.73,9.77,9.67,9.70,5128200,9.630714
2016-08-08,9.81,9.85,9.71,9.74,6554500,9.670428
2016-08-05,9.44,9.75,9.38,9.75,6341400,9.680357
2016-08-04,9.34,9.44,9.32,9.35,6384900,9.283215
2016-08-03,9.28,9.42,9.23,9.38,7165900,9.313
2016-08-02,9.36,9.42,9.21,9.27,9449700,9.203786
2016-08-01,9.54,9.58,9.37,9.38,10336300,9.313
2016-07-29,9.41,9.53,9.41,9.50,7686600,9.432143
2016-07-28,9.37,9.50,9.28,9.46,7452500,9.392429
2016-07-27,9.38,9.54,9.38,9.42,8083000,9.352715
2016-07-26,9.30,9.42,9.24,9.41,7418300,9.342786
2016-07-25,9.26,9.34,9.24,9.30,7510600,9.233572
2016-07-22,9.10,9.30,9.10,9.28,6192000,9.213714
2016-07-21,9.17,9.34,9.11,9.16,12386200,9.094571
2016-07-20,9.27,9.35,9.17,9.24,8461700,9.174
2016-07-19,9.29,9.35,9.22,9.27,7687300,9.203786
2016-07-18,9.27,9.32,9.22,9.30,6313500,9.233572
2016-07-15,9.31,9.31,9.21,9.26,5797400,9.193858
2016-07-14,9.24,9.33,9.20,9.23,7686200,9.164071
2016-07-13,9.11,9.18,9.00,9.08,6518600,9.015143
2016-07-12,9.00,9.13,8.95,9.10,8788800,9.035001
2016-07-11,8.83,8.90,8.80,8.85,6669600,8.786786
2016-07-08,8.71,8.84,8.68,8.72,14223700,8.657715
2016-07-07,8.51,8.66,8.46,8.58,11964500,8.518714
2016-07-06,8.42,8.58,8.23,8.52,16886800,8.459143
2016-07-05,8.71,8.72,8.44,8.51,14169600,8.449215
2016-07-01,8.89,8.94,8.76,8.83,12682800,8.766929
2016-06-30,8.56,8.95,8.55,8.94,25206000,8.876143
2016-06-29,8.46,8.56,8.30,8.51,15852400,8.449215
2016-06-28,8.29,8.42,8.19,8.37,17511000,8.310214
2016-06-27,8.49,8.54,8.05,8.09,19206000,8.032215
2016-06-24,8.95,9.00,8.61,8.61,25194000,8.5485
2016-06-23,9.34,9.50,9.32,9.43,9374400,9.362643
2016-06-22,9.26,9.39,9.20,9.22,6110300,9.154143
2016-06-21,9.30,9.33,9.10,9.26,14464100,9.193858
2016-06-20,9.52,9.61,9.26,9.28,11977000,9.213714
2016-06-17,9.30,9.40,9.21,9.30,14017100,9.233572
2016-06-16,9.37,9.39,9.22,9.31,11060000,9.243501
2016-06-15,9.44,9.65,9.40,9.46,10806000,9.392429
2016-06-14,9.80,9.91,9.46,9.48,16309900,9.342785
2016-06-13,9.91,10.07,9.86,9.86,9202400,9.717285
2016-06-10,10.00,10.09,9.91,9.95,11713000,9.805983
2016-06-09,10.25,10.38,10.05,10.17,17555500,10.022799
2016-06-08,10.42,10.48,10.29,10.35,18204100,10.200194
2016-06-07,10.53,10.54,10.41,10.41,6658800,10.259325
2016-06-06,10.38,10.60,10.36,10.53,7930100,10.377588
2016-06-03,10.39,10.40,10.10,10.36,13627400,10.210048
2016-06-02,10.49,10.57,10.38,10.56,7496100,10.407154
2016-06-01,10.33,10.51,9.95,10.51,11805500,10.357877
2016-05-31,10.64,10.65,10.43,10.45,10286200,10.298746
2016-05-27,10.50,10.58,10.42,10.58,6891700,10.426864
2016-05-26,10.50,10.63,10.40,10.46,8511200,10.308601
2016-05-25,10.41,10.64,10.38,10.62,9380800,10.466285
2016-05-24,10.26,10.42,10.24,10.38,7458100,10.229759
2016-05-23,10.24,10.28,10.12,10.20,6666700,10.052364
2016-05-20,10.25,10.38,10.20,10.23,8453500,10.08193
