Date,Open,High,Low,Close,Volume,Adj Close
2017-02-13,21.02,21.040001,20.370001,20.450001,8043600,20.450001
2017-02-10,20.370001,20.92,20.280001,20.85,8495700,20.85
2017-02-09,19.889999,20.50,19.889999,20.24,10000500,20.09
2017-02-08,19.48,20.049999,19.42,19.889999,13787800,19.742593
2017-02-07,19.32,19.700001,19.200001,19.299999,11589800,19.156966
2017-02-06,19.110001,19.76,19.059999,19.32,19807700,19.176818
2017-02-03,20.00,20.00,18.91,18.98,36597000,18.839338
2017-02-02,23.110001,23.219999,22.57,22.709999,7459100,22.541694
2017-02-01,23.73,23.74,23.07,23.23,5840300,23.057841
2017-01-31,22.98,23.75,22.700001,23.709999,11092800,23.534283
2017-01-30,22.889999,23.440001,22.549999,23.33,6796900,23.1571
2017-01-27,23.60,23.73,22.879999,22.879999,7956200,22.710434
2017-01-26,23.799999,23.98,23.610001,23.639999,6951600,23.464802
2017-01-25,22.98,23.950001,22.98,23.83,8814400,23.653394
2017-01-24,22.57,22.74,22.50,22.629999,3233100,22.462287
2017-01-23,22.299999,22.639999,22.17,22.530001,4560600,22.363029
2017-01-20,22.110001,22.379999,22.00,22.370001,3044600,22.204215
2017-01-19,22.139999,22.299999,22.01,22.08,4074100,21.916364
2017-01-18,22.90,23.00,21.93,22.01,6623000,21.846883
2017-01-17,22.17,22.90,22.17,22.860001,5965400,22.690584
2017-01-13,21.93,22.139999,21.93,22.059999,3141700,21.896511
2017-01-12,21.85,22.059999,21.58,21.92,3125700,21.75755
2017-01-11,22.43,22.48,21.90,21.93,4907800,21.767476
2017-01-10,22.32,22.66,22.27,22.43,6031100,22.26377
2017-01-09,22.469999,22.50,22.17,22.219999,3447300,22.055326
2017-01-06,22.60,22.65,22.309999,22.459999,4831600,22.293547
2017-01-05,22.440001,22.639999,22.120001,22.610001,5411700,22.442436
2017-01-04,22.200001,22.77,22.200001,22.60,6466100,22.43251
2017-01-03,21.90,22.17,21.799999,22.120001,5222600,21.956068
2016-12-30,21.65,21.719999,21.450001,21.57,3145400,21.410143
2016-12-29,21.57,21.690001,21.40,21.65,3367800,21.48955
2016-12-28,21.73,21.790001,21.440001,21.530001,3380800,21.370441
2016-12-27,21.719999,21.860001,21.610001,21.700001,2874900,21.539181
2016-12-23,21.76,21.91,21.66,21.690001,3425500,21.529255
2016-12-22,22.09,22.09,21.610001,21.719999,5487700,21.559031
2016-12-21,21.90,22.200001,21.790001,22.08,4900200,21.916364
2016-12-20,21.74,22.10,21.709999,21.90,5080000,21.737697
2016-12-19,21.57,21.799999,21.49,21.66,5905600,21.499476
2016-12-16,22.09,22.09,21.49,21.549999,16317700,21.390291
2016-12-15,22.42,22.620001,21.91,22.08,7844400,21.916364
2016-12-14,22.92,23.040001,22.379999,22.459999,7620700,22.293547
2016-12-13,23.23,23.280001,22.969999,23.00,11776400,22.829546
2016-12-12,23.40,23.459999,22.90,23.08,10187500,22.908953
2016-12-09,22.889999,23.17,22.85,22.90,7358200,22.730286
2016-12-08,22.77,23.030001,22.629999,22.889999,12881100,22.72036
2016-12-07,22.879999,23.040001,21.50,22.57,37395400,22.402732
2016-12-06,23.00,23.01,22.690001,22.860001,6688900,22.690584
2016-12-05,23.00,23.200001,22.91,22.950001,5747100,22.779917
2016-12-02,23.290001,23.32,22.75,22.870001,5958100,22.70051
2016-12-01,23.25,23.780001,23.209999,23.25,5438300,23.077693
2016-11-30,23.450001,23.719999,23.209999,23.23,9670000,23.057841
2016-11-29,23.799999,23.809999,23.370001,23.469999,6011900,23.296062
2016-11-28,24.35,24.41,23.75,23.790001,4760300,23.613692
2016-11-25,24.629999,24.690001,24.34,24.40,1843900,24.21917
2016-11-23,24.190001,24.49,24.17,24.48,5675900,24.298577
2016-11-22,24.559999,24.799999,24.139999,24.23,7081700,24.050429
2016-11-21,24.60,24.690001,24.379999,24.48,4196300,24.298577
2016-11-18,25.360001,25.42,24.15,24.610001,8462200,24.427614
2016-11-17,25.52,25.66,25.26,25.35,3089800,25.16213
2016-11-16,25.639999,26.049999,25.450001,25.49,2779500,25.301092
2016-11-15,25.27,25.77,25.110001,25.76,4391900,25.569091
2016-11-14,24.950001,25.49,24.91,25.190001,4498700,25.003316
2016-11-11,24.35,24.85,24.309999,24.76,4352600,24.576502
2016-11-10,24.43,24.91,24.370001,24.43,5378000,24.248948
2016-11-09,23.889999,24.51,23.719999,24.41,4341900,24.119911
2016-11-08,24.200001,24.370001,24.129999,24.26,2852000,23.971694
2016-11-07,24.15,24.42,24.01,24.299999,4354400,24.011217
2016-11-04,23.780001,23.959999,23.59,23.76,4107200,23.477636
2016-11-03,24.209999,24.27,23.60,23.67,4626900,23.388705
2016-11-02,24.870001,25.030001,24.15,24.18,5434500,23.892644
2016-11-01,25.66,25.690001,24.74,24.959999,6071000,24.663374
2016-10-31,25.700001,25.799999,25.42,25.700001,4905200,25.394581
2016-10-28,26.02,27.07,25.75,25.77,15510500,25.463749
2016-10-27,24.049999,24.16,23.66,23.799999,6401000,23.517159
2016-10-26,23.85,24.09,23.75,23.889999,3749400,23.60609
2016-10-25,24.23,24.440001,23.719999,23.860001,8232400,23.576448
2016-10-24,24.73,24.85,24.540001,24.58,2920900,24.28789
2016-10-21,24.59,24.85,24.440001,24.690001,4347600,24.396584
2016-10-20,24.790001,24.809999,24.559999,24.76,2021100,24.465752
2016-10-19,24.48,24.870001,24.32,24.83,2972200,24.534919
2016-10-18,24.299999,24.49,24.24,24.40,2352100,24.110029
2016-10-17,24.379999,24.59,24.120001,24.16,4029100,23.872882
2016-10-14,24.790001,25.110001,24.360001,24.379999,3768400,24.090266
2016-10-13,25.01,25.08,24.280001,24.700001,9153300,24.406465
2016-10-12,25.40,25.74,25.200001,25.219999,7458000,24.920284
2016-10-11,25.629999,25.93,25.620001,25.91,4466700,25.602085
2016-10-10,25.49,25.700001,25.43,25.629999,1751100,25.325411
2016-10-07,25.709999,25.879999,25.25,25.299999,2837800,24.999333
2016-10-06,25.50,25.82,25.299999,25.58,2753800,25.276006
2016-10-05,25.549999,25.889999,25.48,25.51,3195100,25.206839
2016-10-04,25.530001,25.77,25.389999,25.50,2928400,25.196957
2016-10-03,25.16,25.540001,24.90,25.50,3021800,25.196957
2016-09-30,25.299999,25.440001,25.030001,25.25,3848500,24.949928
2016-09-29,25.48,25.60,25.139999,25.16,4287300,24.860998
2016-09-28,25.620001,25.700001,25.370001,25.59,2039800,25.285888
2016-09-27,25.51,25.700001,25.27,25.68,2394800,25.374818
2016-09-26,25.700001,25.75,25.360001,25.459999,2911500,25.157432
2016-09-23,26.02,26.200001,25.799999,25.809999,1583000,25.503273
2016-09-22,26.200001,26.299999,26.030001,26.15,2046400,25.839232
2016-09-21,25.74,26.139999,25.57,26.139999,5574400,25.829351
2016-09-20,26.25,26.27,25.700001,25.709999,3801200,25.404461
2016-09-19,26.219999,26.26,26.00,26.10,2689100,25.789827
2016-09-16,25.98,26.16,25.92,26.120001,2837000,25.80959
2016-09-15,25.940001,26.24,25.860001,26.110001,3206400,25.799708
2016-09-14,25.91,26.360001,25.879999,26.110001,3335900,25.799708
2016-09-13,26.280001,26.280001,25.809999,25.98,4859900,25.671252
2016-09-12,25.559999,26.530001,25.540001,26.48,6950500,26.16531
2016-09-09,25.790001,25.799999,25.540001,25.700001,3554000,25.394581
2016-09-08,26.09,26.129999,25.75,25.959999,3523200,25.65149
2016-09-07,26.16,26.25,25.780001,26.190001,3390100,25.878758
2016-09-06,26.49,26.530001,26.02,26.09,2565100,25.779946
2016-09-02,26.559999,26.76,26.34,26.40,1957900,26.086261
2016-09-01,26.530001,26.629999,26.299999,26.52,2033900,26.204836
2016-08-31,26.700001,26.90,26.35,26.540001,2742800,26.224599
2016-08-30,27.09,27.129999,26.690001,26.76,1916900,26.441983
2016-08-29,27.15,27.440001,27.110001,27.190001,1510800,26.866874
2016-08-26,27.360001,27.67,27.08,27.16,2545500,26.837229
2016-08-25,27.75,27.77,27.25,27.379999,1832900,27.054614
2016-08-24,27.82,27.92,27.66,27.76,2135600,27.430099
2016-08-23,27.790001,27.879999,27.51,27.799999,2273000,27.469623
2016-08-22,27.969999,28.24,27.620001,27.700001,3869300,27.370813
2016-08-19,27.02,27.959999,27.02,27.90,5686200,27.568435
2016-08-18,27.23,27.469999,27.00,27.110001,2250000,26.787824
2016-08-17,27.16,27.379999,26.889999,27.32,3917000,26.995328
2016-08-16,27.24,27.370001,27.01,27.16,2133700,26.837229
2016-08-15,27.18,27.35,27.139999,27.23,3225500,26.906397
2016-08-12,27.139999,27.33,26.98,27.110001,3215700,26.787824
2016-08-11,26.700001,27.370001,26.65,27.26,6880800,26.827349
2016-08-10,26.10,26.73,26.00,26.389999,5805600,25.971156
2016-08-09,25.469999,25.799999,25.379999,25.58,2984000,25.174012
2016-08-08,25.65,25.99,25.35,25.540001,4856700,25.134648
2016-08-05,25.48,25.66,25.110001,25.42,3697200,25.016552
2016-08-04,25.16,25.469999,25.059999,25.290001,4468000,24.888616
2016-08-03,24.24,25.780001,24.139999,25.01,14925700,24.613059
2016-08-02,26.469999,26.98,25.51,25.65,4937500,25.242901
2016-08-01,26.719999,27.049999,26.360001,26.549999,4763400,26.128617
2016-07-29,25.68,26.700001,25.559999,26.66,4801100,26.236871
2016-07-28,26.059999,26.200001,25.639999,25.65,4234100,25.242901
2016-07-27,26.50,26.58,26.049999,26.07,4487800,25.656235
2016-07-26,26.84,27.030001,26.52,26.549999,2817800,26.128617
2016-07-25,26.860001,26.940001,26.719999,26.85,1869000,26.423856
2016-07-22,26.83,26.93,26.549999,26.870001,1846900,26.443539
2016-07-21,27.049999,27.42,26.77,26.870001,2953600,26.443539
2016-07-20,26.77,27.450001,26.75,27.02,3593300,26.591158
2016-07-19,26.50,26.90,26.290001,26.74,1976600,26.315602
2016-07-18,26.60,26.629999,26.389999,26.52,1967800,26.099094
2016-07-15,26.83,26.870001,26.50,26.549999,1872100,26.128617
2016-07-14,26.99,27.190001,26.700001,26.700001,3099700,26.276237
2016-07-13,27.030001,27.049999,26.700001,26.719999,2710100,26.295919
2016-07-12,26.48,27.049999,26.40,26.969999,3276100,26.541951
2016-07-11,26.299999,26.559999,26.209999,26.26,2846700,25.84322
2016-07-08,25.870001,26.379999,25.83,26.27,2700000,25.853062
2016-07-07,25.51,25.77,25.24,25.51,4238500,25.105124
2016-07-06,24.940001,25.65,24.889999,25.530001,4152300,25.124807
2016-07-05,25.60,25.700001,24.709999,25.00,3469200,24.603218
2016-07-01,25.35,25.719999,25.18,25.60,10425100,25.193695
2016-06-30,25.799999,25.969999,25.00,25.129999,7912200,24.731154
