Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,5.51,5.77,5.48,5.65,115000,5.65
2016-10-06,5.77,5.87,5.41,5.54,140900,5.54
2016-10-05,5.76,5.90,5.76,5.83,39500,5.83
2016-10-04,5.85,5.90,5.78,5.82,65500,5.82
2016-10-03,5.79,5.95,5.79,5.84,84800,5.84
2016-09-30,5.73,5.81,5.62,5.78,85400,5.78
2016-09-29,5.93,5.94,5.69,5.71,70200,5.71
2016-09-28,5.89,5.98,5.85,5.91,48300,5.91
2016-09-27,5.89,6.01,5.85,5.92,63400,5.92
2016-09-26,5.88,6.00,5.88,5.89,92300,5.89
2016-09-23,5.89,6.02,5.89,5.92,48200,5.92
2016-09-22,5.94,6.02,5.90,5.91,37300,5.91
2016-09-21,5.96,5.97,5.64,5.93,92700,5.93
2016-09-20,5.96,5.99,5.87,5.90,64400,5.90
2016-09-19,5.76,6.02,5.76,5.97,143800,5.97
2016-09-16,5.82,5.85,5.71,5.72,81500,5.72
2016-09-15,5.90,5.96,5.70,5.81,103500,5.81
2016-09-14,5.83,5.95,5.75,5.90,74500,5.90
2016-09-13,5.97,6.00,5.68,5.82,80900,5.82
2016-09-12,5.74,6.02,5.71,6.01,119000,6.01
2016-09-09,6.02,6.04,5.70,5.78,202000,5.78
2016-09-08,6.04,6.14,5.98,6.04,111000,6.04
2016-09-07,6.00,6.23,5.96,6.09,206400,6.09
2016-09-06,6.26,6.27,5.87,6.05,273900,6.05
2016-09-02,6.40,6.48,6.17,6.24,159900,6.24
2016-09-01,6.56,6.60,6.09,6.36,263800,6.36
2016-08-31,6.54,6.69,6.43,6.50,331100,6.50
2016-08-30,6.36,6.57,6.35,6.49,469400,6.49
2016-08-29,6.19,6.41,6.13,6.35,187100,6.35
2016-08-26,6.34,6.40,6.13,6.22,115900,6.22
2016-08-25,6.19,6.38,6.06,6.37,88300,6.37
2016-08-24,6.43,6.45,6.17,6.18,248500,6.18
2016-08-23,6.20,6.50,6.11,6.29,505900,6.29
2016-08-22,5.92,6.20,5.83,6.16,187700,6.16
2016-08-19,5.93,6.02,5.89,6.01,116600,6.01
2016-08-18,5.87,5.95,5.76,5.93,104100,5.93
2016-08-17,5.95,6.07,5.65,5.82,190300,5.82
2016-08-16,6.11,6.11,5.88,5.96,93100,5.96
2016-08-15,5.92,6.15,5.89,6.07,166800,6.07
2016-08-12,5.87,5.95,5.81,5.84,165400,5.84
2016-08-11,6.08,6.38,5.61,5.85,235300,5.85
2016-08-10,6.46,6.58,6.00,6.03,226600,6.03
2016-08-09,6.50,6.72,6.37,6.45,232100,6.45
2016-08-08,6.02,6.50,6.02,6.42,281600,6.42
2016-08-05,5.81,6.05,5.60,6.02,245200,6.02
2016-08-04,6.36,6.37,5.51,5.78,431200,5.78
2016-08-03,6.23,6.51,6.06,6.31,277400,6.31
2016-08-02,5.75,6.25,5.65,6.24,473700,6.24
2016-08-01,5.58,5.65,5.30,5.43,257200,5.43
2016-07-29,5.59,5.69,5.51,5.59,118900,5.59
2016-07-28,5.62,5.71,5.45,5.56,97100,5.56
2016-07-27,5.56,5.71,5.48,5.59,96000,5.59
2016-07-26,5.50,5.71,5.23,5.60,126100,5.60
2016-07-25,5.65,5.69,5.25,5.53,259900,5.53
2016-07-22,5.61,5.87,5.61,5.64,148100,5.64
2016-07-21,5.75,5.94,5.39,5.66,333100,5.66
2016-07-20,6.35,6.38,5.52,5.99,462800,5.99
2016-07-19,6.75,6.79,6.28,6.40,212200,6.40
2016-07-18,6.69,7.00,6.67,6.77,463700,6.77
2016-07-15,6.65,6.70,6.50,6.60,158900,6.60
2016-07-14,6.27,6.65,6.27,6.54,161000,6.54
2016-07-13,6.50,6.68,6.20,6.22,204900,6.22
2016-07-12,6.60,6.75,6.31,6.47,421600,6.47
2016-07-11,6.52,6.89,6.25,6.39,496400,6.39
2016-07-08,6.00,6.60,5.97,6.24,689600,6.24
2016-07-07,6.00,6.05,5.81,5.94,133900,5.94
2016-07-06,5.99,6.02,5.50,6.00,246400,6.00
2016-07-05,5.81,6.42,5.81,6.00,410200,6.00
2016-07-01,5.25,5.91,5.21,5.76,425500,5.76
2016-06-30,5.12,5.40,5.03,5.25,84300,5.25
2016-06-29,5.32,5.34,5.11,5.17,92000,5.17
2016-06-28,4.99,5.43,4.99,5.24,66800,5.24
2016-06-27,5.46,5.48,5.00,5.02,201400,5.02
2016-06-24,5.30,5.59,5.15,5.50,225600,5.50
2016-06-23,5.42,5.64,5.42,5.51,236000,5.51
2016-06-22,5.50,5.58,5.42,5.44,202300,5.44
2016-06-21,5.57,5.70,5.42,5.46,170100,5.46
2016-06-20,5.50,5.66,5.42,5.52,262300,5.52
2016-06-17,5.32,5.49,5.24,5.42,117700,5.42
2016-06-16,5.50,5.50,5.13,5.24,136700,5.24
2016-06-15,5.39,5.50,5.26,5.44,88600,5.44
2016-06-14,5.54,5.58,5.30,5.41,131300,5.41
2016-06-13,5.51,5.68,5.40,5.45,228600,5.45
2016-06-10,5.36,5.50,5.13,5.42,118800,5.42
2016-06-09,4.97,5.67,4.97,5.33,585600,5.33
2016-06-08,5.00,5.05,4.91,4.97,129800,4.97
2016-06-07,4.95,5.01,4.81,4.98,144300,4.98
2016-06-06,4.75,5.04,4.67,4.98,240700,4.98
2016-06-03,4.72,4.81,4.61,4.78,22300,4.78
2016-06-02,4.66,4.81,4.63,4.70,34000,4.70
2016-06-01,4.53,4.84,4.53,4.68,39900,4.68
2016-05-31,4.69,4.69,4.51,4.65,44800,4.65
2016-05-27,4.63,4.79,4.52,4.52,25800,4.52
2016-05-26,4.63,4.81,4.61,4.64,83500,4.64
2016-05-25,4.64,4.64,4.57,4.59,18800,4.59
2016-05-24,4.78,4.80,4.57,4.64,28500,4.64
2016-05-23,4.73,4.85,4.64,4.80,20800,4.80
2016-05-20,4.68,4.86,4.38,4.69,34700,4.69
2016-05-19,4.51,4.61,4.50,4.61,11000,4.61
2016-05-18,4.52,4.61,4.29,4.51,21700,4.51
2016-05-17,4.49,4.56,4.45,4.52,29300,4.52
2016-05-16,4.55,4.60,4.45,4.52,51800,4.52
2016-05-13,4.50,4.67,4.50,4.60,11900,4.60
2016-05-12,4.82,4.82,4.38,4.50,27800,4.50
2016-05-11,4.90,4.90,4.71,4.73,19500,4.73
2016-05-10,4.71,5.00,4.71,4.90,36500,4.90
2016-05-09,4.96,4.99,4.55,4.72,63700,4.72
2016-05-06,4.70,5.00,4.67,4.93,93900,4.93
2016-05-05,4.97,5.01,4.49,4.71,61100,4.71
2016-05-04,5.00,5.08,4.83,4.96,52300,4.96
2016-05-03,4.72,5.24,4.69,5.00,104100,5.00
2016-05-02,4.66,4.74,4.62,4.65,63400,4.65
2016-04-29,4.63,4.75,4.55,4.59,40300,4.59
2016-04-28,4.60,4.75,4.55,4.60,22700,4.60
2016-04-27,4.58,4.69,4.54,4.60,21200,4.60
2016-04-26,4.52,4.61,4.40,4.57,36300,4.57
2016-04-25,4.55,4.60,4.52,4.59,65300,4.59
2016-04-22,4.48,4.60,4.33,4.55,39300,4.55
2016-04-21,4.36,4.60,4.21,4.50,56800,4.50
2016-04-20,4.25,4.58,4.25,4.38,27200,4.38
2016-04-19,4.31,4.46,4.20,4.21,30500,4.21
2016-04-18,4.42,4.65,4.33,4.38,61500,4.38
2016-04-15,4.31,4.42,4.29,4.31,23200,4.31
2016-04-14,4.23,4.28,4.23,4.27,62600,4.27
2016-04-13,4.00,4.21,3.99,4.19,30200,4.19
2016-04-12,4.09,4.10,3.83,3.95,41600,3.95
2016-04-11,4.25,4.29,4.12,4.12,72500,4.12
2016-04-08,4.00,4.32,3.99,4.25,87800,4.25
2016-04-07,3.80,4.00,3.80,3.99,32600,3.99
2016-04-06,3.79,3.83,3.75,3.79,17600,3.79
2016-04-05,3.82,3.83,3.56,3.80,102100,3.80
2016-04-04,3.66,3.79,3.66,3.77,18200,3.77
2016-04-01,3.76,3.83,3.70,3.71,42200,3.71
2016-03-31,3.83,3.94,3.68,3.68,117200,3.68
2016-03-30,3.75,3.80,3.72,3.75,21300,3.75
2016-03-29,3.83,3.90,3.70,3.71,44800,3.71
2016-03-28,3.74,3.83,3.71,3.83,53500,3.83
2016-03-24,3.75,3.83,3.62,3.68,11500,3.68
2016-03-23,3.72,3.75,3.66,3.75,5600,3.75
2016-03-22,3.78,3.79,3.69,3.73,23600,3.73
2016-03-21,3.75,3.83,3.74,3.75,34900,3.75
2016-03-18,3.68,3.83,3.68,3.75,54200,3.75
2016-03-17,3.78,3.81,3.61,3.73,16700,3.73
2016-03-16,3.82,3.82,3.76,3.76,12200,3.76
2016-03-15,3.77,3.83,3.70,3.81,23000,3.81
2016-03-14,3.71,3.80,3.65,3.70,38900,3.70
2016-03-11,3.70,3.78,3.61,3.70,50600,3.70
2016-03-10,3.73,3.74,3.61,3.70,10500,3.70
2016-03-09,3.74,3.74,3.70,3.70,7900,3.70
2016-03-08,3.70,3.75,3.62,3.71,9600,3.71
2016-03-07,3.70,3.75,3.60,3.60,38400,3.60
2016-03-04,3.46,3.71,3.46,3.62,23900,3.62
2016-03-03,3.54,3.55,3.44,3.44,9400,3.44
2016-03-02,3.51,3.55,3.49,3.55,21300,3.55
2016-03-01,3.50,3.54,3.45,3.51,312800,3.51
2016-02-29,3.52,3.55,3.44,3.44,34800,3.44
2016-02-26,3.38,3.60,3.38,3.51,113000,3.51
2016-02-25,3.27,3.31,3.22,3.30,13500,3.30
2016-02-24,3.26,3.27,3.18,3.27,4100,3.27
2016-02-23,3.27,3.29,3.18,3.27,1800,3.27
2016-02-22,3.22,3.28,3.20,3.20,7700,3.20
2016-02-19,3.28,3.28,3.17,3.17,9700,3.17
2016-02-18,3.27,3.27,3.24,3.24,600,3.24
2016-02-17,3.18,3.28,3.11,3.28,4700,3.28
2016-02-16,3.05,3.34,3.05,3.08,10900,3.08
2016-02-12,3.04,3.04,3.03,3.04,8700,3.04
2016-02-11,3.10,3.10,3.04,3.04,4000,3.04
2016-02-10,3.16,3.32,3.12,3.12,6100,3.12
2016-02-09,3.21,3.21,3.11,3.20,5300,3.20
2016-02-08,3.06,3.17,3.03,3.06,6800,3.06
2016-02-05,3.24,3.33,3.21,3.22,4200,3.22
2016-02-04,3.17,3.29,3.16,3.28,4300,3.28
2016-02-03,3.15,3.33,3.08,3.23,10200,3.23
2016-02-02,3.43,3.48,3.23,3.27,8200,3.27
2016-02-01,3.33,3.33,3.16,3.19,4000,3.19
2016-01-29,3.10,3.40,3.10,3.19,4700,3.19
2016-01-28,3.15,3.15,3.02,3.13,6200,3.13
2016-01-27,3.30,3.34,3.04,3.08,14300,3.08
2016-01-26,3.19,3.22,3.07,3.09,16000,3.09
2016-01-25,3.20,3.20,3.15,3.15,7000,3.15
2016-01-22,3.22,3.31,3.22,3.26,11600,3.26
2016-01-21,3.22,3.26,3.02,3.22,5000,3.22
2016-01-20,3.14,3.19,3.01,3.19,19400,3.19
2016-01-19,3.24,3.25,3.13,3.20,16400,3.20
2016-01-15,3.15,3.25,3.12,3.16,9700,3.16
2016-01-14,3.30,3.30,3.17,3.19,5700,3.19
2016-01-13,3.38,3.38,3.18,3.25,38200,3.25
2016-01-12,3.34,3.45,3.33,3.37,23900,3.37
2016-01-11,3.35,3.35,3.26,3.33,21000,3.33
2016-01-08,3.30,3.45,3.26,3.34,11000,3.34
2016-01-07,3.46,3.56,3.34,3.35,25300,3.35
2016-01-06,3.55,3.59,3.47,3.50,15700,3.50
2016-01-05,3.60,3.73,3.51,3.55,52800,3.55
2016-01-04,3.70,3.70,3.56,3.57,27500,3.57
2015-12-31,3.53,3.92,3.53,3.80,77900,3.80
2015-12-30,3.57,3.57,3.48,3.51,28000,3.51
2015-12-29,3.49,3.56,3.47,3.47,10800,3.47
2015-12-28,3.47,3.56,3.47,3.53,5000,3.53
2015-12-24,3.58,3.64,3.47,3.47,8200,3.47
2015-12-23,3.47,3.64,3.47,3.50,21600,3.50
2015-12-22,3.53,3.56,3.53,3.55,15800,3.55
2015-12-21,3.51,3.54,3.45,3.53,2500,3.53
2015-12-18,3.50,3.55,3.46,3.54,16200,3.54
2015-12-17,3.56,3.67,3.54,3.55,4500,3.55
2015-12-16,3.52,3.64,3.44,3.51,10800,3.51
2015-12-15,3.42,3.58,3.42,3.51,6100,3.51
2015-12-14,3.51,3.58,3.41,3.42,6000,3.42
2015-12-11,3.53,3.59,3.53,3.55,5100,3.55
2015-12-10,3.67,3.67,3.56,3.58,6900,3.58
2015-12-09,3.54,3.69,3.52,3.54,7400,3.54
2015-12-08,3.62,3.67,3.55,3.57,8600,3.57
2015-12-07,3.56,3.68,3.53,3.61,25500,3.61
2015-12-04,3.63,3.70,3.60,3.68,23400,3.68
2015-12-03,3.69,3.69,3.60,3.66,5400,3.66
2015-12-02,3.66,3.69,3.59,3.64,14100,3.64
2015-12-01,3.64,3.70,3.64,3.69,9000,3.69
2015-11-30,3.68,3.70,3.55,3.70,25400,3.70
2015-11-27,3.66,3.70,3.66,3.69,14300,3.69
2015-11-25,3.51,3.68,3.51,3.60,25500,3.60
2015-11-24,3.45,3.62,3.45,3.55,25000,3.55
2015-11-23,3.51,3.51,3.46,3.50,3700,3.50
2015-11-20,3.41,3.50,3.41,3.49,6500,3.49
2015-11-19,3.54,3.57,3.38,3.45,28700,3.45
2015-11-18,3.60,3.60,3.46,3.59,16800,3.59
2015-11-17,3.60,3.60,3.42,3.56,15000,3.56
2015-11-16,3.60,3.60,3.41,3.60,10600,3.60
2015-11-13,3.54,3.58,3.51,3.58,6800,3.58
2015-11-12,3.61,3.63,3.47,3.55,3800,3.55
2015-11-11,3.50,3.68,3.50,3.54,16300,3.54
2015-11-10,3.57,3.58,3.43,3.53,13500,3.53
2015-11-09,3.70,3.70,3.61,3.65,55900,3.65
2015-11-06,3.48,3.69,3.48,3.69,48400,3.69
2015-11-05,3.58,3.58,3.45,3.48,34500,3.48
2015-11-04,3.55,3.58,3.50,3.58,15400,3.58
2015-11-03,3.48,3.56,3.45,3.55,36200,3.55
2015-11-02,3.58,3.60,3.49,3.50,37700,3.50
2015-10-30,3.52,3.63,3.50,3.50,15000,3.50
2015-10-29,3.51,3.75,3.49,3.55,26300,3.55
2015-10-28,3.49,3.54,3.40,3.46,23600,3.46
2015-10-27,3.60,3.60,3.40,3.43,8800,3.43
2015-10-26,3.59,3.62,3.58,3.58,17200,3.58
2015-10-23,3.50,3.60,3.45,3.56,28300,3.56
2015-10-22,3.52,3.60,3.45,3.53,8900,3.53
2015-10-21,3.43,3.58,3.40,3.51,23400,3.51
2015-10-20,3.40,3.42,3.38,3.42,32400,3.42
2015-10-19,3.38,3.39,3.38,3.38,8500,3.38
2015-10-16,3.40,3.40,3.35,3.38,11600,3.38
2015-10-15,3.42,3.43,3.37,3.40,19300,3.40
2015-10-14,3.39,3.46,3.36,3.36,9100,3.36
2015-10-13,3.35,3.40,3.34,3.36,13700,3.36
2015-10-12,3.35,3.35,3.30,3.32,10200,3.32
2015-10-09,3.35,3.44,3.31,3.38,39900,3.38
2015-10-08,3.26,3.46,3.26,3.33,16500,3.33
2015-10-07,3.07,3.34,3.06,3.27,94100,3.27
2015-10-06,3.10,3.10,3.08,3.10,6100,3.10
2015-10-05,3.15,3.15,3.07,3.10,4100,3.10
2015-10-02,3.15,3.15,3.08,3.14,14200,3.14
2015-10-01,3.10,3.15,3.07,3.12,9100,3.12
2015-09-30,3.07,3.15,3.07,3.12,6000,3.12
2015-09-29,3.13,3.13,3.07,3.07,3700,3.07
2015-09-28,3.07,3.08,3.07,3.08,4600,3.08
2015-09-25,3.11,3.11,3.07,3.08,4400,3.08
2015-09-24,3.10,3.10,3.08,3.08,800,3.08
2015-09-23,3.11,3.11,3.11,3.11,100,3.11
2015-09-22,3.15,3.15,3.10,3.10,300,3.10
2015-09-21,3.15,3.15,3.14,3.15,1000,3.15
2015-09-18,3.10,3.15,3.10,3.15,4600,3.15
2015-09-17,3.10,3.10,3.10,3.10,000,3.10
2015-09-16,3.12,3.12,3.07,3.10,10900,3.10
2015-09-15,3.08,3.15,3.08,3.15,900,3.15
2015-09-14,3.07,3.13,3.06,3.13,3300,3.13
2015-09-11,3.08,3.14,3.06,3.14,11000,3.14
2015-09-10,3.07,3.15,3.07,3.14,1300,3.14
2015-09-09,3.13,3.15,3.06,3.11,8000,3.11
2015-09-08,3.06,3.15,3.06,3.15,500,3.15
2015-09-04,3.13,3.15,3.10,3.14,6900,3.14
2015-09-03,3.14,3.15,3.13,3.15,7800,3.15
2015-09-02,3.14,3.15,3.09,3.09,9000,3.09
2015-09-01,3.10,3.15,3.10,3.14,4200,3.14
2015-08-31,3.13,3.15,3.13,3.15,5400,3.15
2015-08-28,3.12,3.15,3.11,3.11,3500,3.11
2015-08-27,3.15,3.15,3.06,3.06,2400,3.06
2015-08-26,3.16,3.16,3.06,3.07,7000,3.07
2015-08-25,3.05,3.24,3.05,3.10,20000,3.10
2015-08-24,3.08,3.08,2.99,3.06,10200,3.06
2015-08-21,3.09,3.09,3.09,3.09,1500,3.09
2015-08-20,3.13,3.24,3.13,3.20,5300,3.20
2015-08-19,3.25,3.25,3.13,3.24,2200,3.24
2015-08-18,3.09,3.24,3.09,3.23,7300,3.23
2015-08-17,3.12,3.20,3.12,3.13,22900,3.13
2015-08-14,3.16,3.16,3.13,3.13,8800,3.13
2015-08-13,3.13,3.19,3.13,3.18,11500,3.18
2015-08-12,3.14,3.21,3.13,3.16,8800,3.16
2015-08-11,3.10,3.20,3.10,3.13,20400,3.13
2015-08-10,3.23,3.23,3.15,3.21,2400,3.21
2015-08-07,3.22,3.23,3.13,3.14,2200,3.14
2015-08-06,3.29,3.29,3.17,3.18,7800,3.18
2015-08-05,3.27,3.30,3.27,3.29,10500,3.29
2015-08-04,3.27,3.30,3.27,3.27,18100,3.27
2015-08-03,3.23,3.32,3.23,3.30,15500,3.30
2015-07-31,3.19,3.29,3.19,3.21,9100,3.21
2015-07-30,3.42,3.45,3.21,3.25,85300,3.25
2015-07-29,3.07,3.29,3.06,3.13,3400,3.13
2015-07-28,3.10,3.15,3.06,3.07,4400,3.07
2015-07-27,3.29,3.29,3.10,3.10,15100,3.10
2015-07-24,3.29,3.30,3.21,3.23,8300,3.23
2015-07-23,3.30,3.30,3.20,3.23,8100,3.23
2015-07-22,3.19,3.24,3.18,3.23,23700,3.23
2015-07-21,3.03,3.15,2.96,3.15,28100,3.15
2015-07-20,2.97,3.06,2.93,2.99,17500,2.99
2015-07-17,3.01,3.06,2.84,2.98,24200,2.98
2015-07-16,3.08,3.10,3.07,3.07,13000,3.07
2015-07-15,3.08,3.11,3.07,3.11,11200,3.11
2015-07-14,3.25,3.25,3.14,3.15,4500,3.15
2015-07-13,3.04,3.21,3.04,3.21,15300,3.21
2015-07-10,3.11,3.16,3.02,3.06,7300,3.06
2015-07-09,3.13,3.13,3.06,3.08,6600,3.08
2015-07-08,3.23,3.24,3.11,3.11,21700,3.11
2015-07-07,3.21,3.22,3.15,3.20,16700,3.20
2015-07-06,3.25,3.30,3.13,3.20,6900,3.20
2015-07-02,3.11,3.50,3.11,3.15,16000,3.15
2015-07-01,3.16,3.19,3.11,3.17,4400,3.17
2015-06-30,3.08,3.14,3.08,3.14,14600,3.14
2015-06-29,3.16,3.16,3.09,3.12,1700,3.12
2015-06-26,3.08,3.28,3.08,3.28,4400,3.28
2015-06-25,3.08,3.09,3.08,3.09,800,3.09
2015-06-24,3.10,3.23,3.02,3.14,12600,3.14
2015-06-23,3.09,3.15,3.03,3.05,15800,3.05
2015-06-22,3.08,3.20,3.05,3.13,10300,3.13
2015-06-19,3.13,3.13,3.10,3.10,2900,3.10
2015-06-18,3.17,3.21,3.10,3.15,10400,3.15
2015-06-17,3.10,3.17,3.10,3.12,6200,3.12
2015-06-16,3.11,3.16,3.11,3.14,3800,3.14
2015-06-15,3.15,3.15,3.12,3.15,6500,3.15
2015-06-12,3.15,3.15,3.11,3.11,1300,3.11
2015-06-11,3.14,3.17,3.12,3.12,2000,3.12
2015-06-10,3.15,3.15,3.11,3.11,6300,3.11
2015-06-09,3.11,3.19,3.11,3.11,2200,3.11
2015-06-08,3.13,3.20,3.10,3.10,22100,3.10
2015-06-05,3.18,3.20,3.15,3.18,8200,3.18
2015-06-04,3.23,3.27,3.23,3.26,500,3.26
2015-06-03,3.62,3.62,3.15,3.15,15600,3.15
2015-06-02,3.40,3.40,3.40,3.40,300,3.40
