Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,9.78,9.81,9.78,9.80,2600,9.80
2016-10-06,9.80,9.80,9.80,9.80,30700,9.80
2016-10-05,9.80,9.85,9.80,9.80,1517500,9.80
2016-10-04,9.80,9.80,9.80,9.80,000,9.80
2016-10-03,9.80,9.80,9.80,9.80,000,9.80
2016-09-30,9.80,9.80,9.80,9.80,000,9.80
2016-09-29,9.80,9.80,9.80,9.80,000,9.80
2016-09-28,9.80,9.80,9.80,9.80,000,9.80
2016-09-27,9.80,9.80,9.80,9.80,100,9.80
2016-09-26,9.85,9.85,9.79,9.82,4800,9.82
2016-09-23,9.89,9.89,9.89,9.89,100,9.89
2016-09-22,9.78,9.81,9.65,9.75,25000,9.75
2016-09-21,9.79,9.79,9.79,9.79,100,9.79
2016-09-20,9.78,9.88,9.77,9.789,6200,9.789
2016-09-19,9.80,9.80,9.80,9.80,200,9.80
2016-09-16,9.79,9.83,9.79,9.83,200,9.83
2016-09-15,9.80,9.80,9.80,9.80,400,9.80
2016-09-14,9.79,9.79,9.79,9.79,000,9.79
2016-09-13,9.72,9.80,9.72,9.79,900,9.79
2016-09-12,9.81,9.81,9.80,9.81,600,9.81
2016-09-09,9.80,9.82,9.771,9.817,1900,9.817
2016-09-08,9.80,9.80,9.80,9.80,1400,9.80
2016-09-07,9.751,9.80,9.69,9.77,2900,9.77
2016-09-06,9.77,9.79,9.74,9.76,53100,9.76
2016-09-02,9.78,9.78,9.78,9.78,000,9.78
2016-09-01,9.78,9.78,9.78,9.78,200,9.78
2016-08-31,9.76,9.83,9.76,9.783,2400,9.783
2016-08-30,9.78,9.78,9.78,9.78,2200,9.78
2016-08-29,9.82,9.82,9.75,9.82,10900,9.82
2016-08-26,9.83,9.83,9.83,9.83,000,9.83
2016-08-25,9.82,9.83,9.81,9.83,1800,9.83
2016-08-24,9.79,9.79,9.79,9.79,000,9.79
2016-08-23,9.79,9.79,9.79,9.79,100,9.79
2016-08-22,9.81,9.88,9.79,9.80,22200,9.80
2016-08-19,9.89,9.90,9.801,9.86,10600,9.86
2016-08-18,9.84,9.85,9.77,9.80,30700,9.80
2016-08-17,9.75,9.84,9.748,9.80,1477600,9.80
2016-08-16,9.75,9.76,9.72,9.749,11000,9.749
2016-08-15,9.76,9.76,9.76,9.76,000,9.76
2016-08-12,9.76,9.76,9.76,9.76,100,9.76
2016-08-11,9.76,9.76,9.76,9.76,300,9.76
2016-08-10,9.75,9.804,9.75,9.75,800,9.75
2016-08-09,9.75,9.75,9.75,9.75,100,9.75
2016-08-08,9.75,9.75,9.75,9.75,000,9.75
2016-08-05,9.60,9.84,9.60,9.75,43600,9.75
2016-08-04,9.827,9.84,9.73,9.75,31800,9.75
2016-08-03,9.77,9.77,9.77,9.77,000,9.77
2016-08-02,9.77,9.77,9.77,9.77,100,9.77
2016-08-01,9.72,9.771,9.72,9.771,1000,9.771
2016-07-29,9.65,9.77,9.50,9.77,1500,9.77
2016-07-28,9.81,9.81,9.81,9.81,100,9.81
2016-07-27,9.81,9.84,9.81,9.84,300,9.84
2016-07-26,9.82,9.82,9.82,9.82,1500,9.82
2016-07-25,9.74,9.90,9.71,9.82,20000,9.82
2016-07-22,9.65,9.78,9.65,9.77,400,9.77
2016-07-21,9.79,9.85,9.70,9.85,2400,9.85
2016-07-20,9.90,9.91,9.87,9.88,31800,9.88
2016-07-19,9.87,9.871,9.87,9.871,1600,9.871
2016-07-18,9.90,9.93,9.90,9.91,2200,9.91
2016-07-15,9.87,9.90,9.87,9.90,9900,9.90
2016-07-14,9.85,9.87,9.76,9.87,246000,9.87
2016-07-13,9.72,9.74,9.72,9.74,400,9.74
2016-07-12,9.69,9.739,9.68,9.739,800,9.739
2016-07-11,9.74,9.74,9.74,9.74,100,9.74
2016-07-08,9.69,9.75,9.69,9.75,2900,9.75
2016-07-07,9.84,9.84,9.69,9.76,2600,9.76
2016-07-06,9.75,9.75,9.75,9.75,400,9.75
2016-07-05,9.76,9.76,9.76,9.76,000,9.76
2016-07-01,9.76,9.76,9.76,9.76,400,9.76
2016-06-30,9.798,9.798,9.798,9.798,200,9.798
2016-06-29,9.77,9.77,9.71,9.72,2300,9.72
2016-06-28,9.67,9.71,9.62,9.71,29200,9.71
2016-06-27,9.70,9.70,9.70,9.70,000,9.70
2016-06-24,9.60,9.70,9.57,9.70,7400,9.70
2016-06-23,9.60,9.60,9.60,9.60,000,9.60
2016-06-22,9.60,9.60,9.60,9.60,000,9.60
2016-06-21,9.70,9.70,9.60,9.60,18800,9.60
2016-06-20,9.65,9.65,9.55,9.63,12800,9.63
2016-06-17,9.71,9.749,9.62,9.699,12400,9.699
2016-06-16,9.71,9.82,9.59,9.69,30900,9.69
2016-06-15,9.82,9.82,9.82,9.82,100,9.82
2016-06-14,9.821,9.821,9.821,9.821,100,9.821
2016-06-13,9.82,9.82,9.44,9.80,1000,9.80
2016-06-10,9.83,9.83,9.83,9.83,200,9.83
2016-06-09,9.80,9.80,9.80,9.80,100,9.80
2016-06-08,9.81,9.81,9.78,9.80,400,9.80
2016-06-07,9.84,9.84,9.84,9.84,000,9.84
2016-06-06,9.84,9.84,9.84,9.84,100,9.84
2016-06-03,9.84,9.84,9.84,9.84,100,9.84
2016-06-02,9.84,9.85,9.73,9.85,31400,9.85
2016-06-01,9.84,9.84,9.84,9.84,100,9.84
2016-05-31,9.83,9.87,9.80,9.836,283500,9.836
2016-05-27,9.84,9.84,9.79,9.82,4500,9.82
2016-05-26,9.77,9.83,9.77,9.83,300,9.83
2016-05-25,9.77,9.829,9.77,9.829,400,9.829
2016-05-24,9.83,9.83,9.75,9.83,2400,9.83
2016-05-23,9.76,9.83,9.76,9.829,13800,9.829
2016-05-20,9.77,9.82,9.77,9.82,1100,9.82
2016-05-19,9.84,9.84,9.84,9.84,100,9.84
2016-05-18,9.834,9.834,9.834,9.834,100,9.834
2016-05-17,9.80,9.839,9.80,9.839,1800,9.839
2016-05-16,9.81,9.829,9.81,9.829,1200,9.829
2016-05-13,9.827,9.849,9.77,9.849,500,9.849
2016-05-12,9.837,9.839,9.79,9.79,300,9.79
