Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,16.219999,16.219999,15.96,16.15,83800,16.15
2016-10-06,16.290001,16.299999,15.82,16.200001,86300,16.200001
2016-10-05,16.440001,16.440001,16.190001,16.280001,92800,16.280001
2016-10-04,16.17,16.629999,16.17,16.33,64900,16.33
2016-10-03,16.52,16.690001,16.48,16.559999,78300,16.559999
2016-09-30,16.280001,16.59,16.26,16.52,148700,16.52
2016-09-29,16.379999,16.469999,16.27,16.299999,51900,16.299999
2016-09-28,16.33,16.40,16.24,16.370001,129300,16.370001
2016-09-27,16.129999,16.389999,16.08,16.360001,67300,16.360001
2016-09-26,16.24,16.610001,16.15,16.17,120900,16.17
2016-09-23,16.34,16.450001,16.17,16.35,149600,16.35
2016-09-22,16.35,16.49,16.309999,16.389999,81300,16.389999
2016-09-21,16.450001,16.629999,16.26,16.35,103000,16.35
2016-09-20,16.469999,16.700001,16.370001,16.379999,50700,16.379999
2016-09-19,16.26,16.549999,16.26,16.459999,87400,16.459999
2016-09-16,16.34,16.43,16.24,16.27,213800,16.27
2016-09-15,16.33,16.790001,16.27,16.309999,57400,16.309999
2016-09-14,16.33,16.73,16.139999,16.280001,88700,16.280001
2016-09-13,16.190001,16.32,16.08,16.26,84300,16.26
2016-09-12,16.219999,16.379999,16.10,16.379999,77100,16.379999
2016-09-09,16.059999,16.299999,16.040001,16.23,138600,16.23
2016-09-08,16.43,16.43,16.110001,16.309999,88500,16.309999
2016-09-07,16.59,16.75,16.139999,16.540001,111500,16.540001
2016-09-06,16.690001,16.809999,16.549999,16.76,125500,16.76
2016-09-02,16.459999,16.639999,15.75,16.629999,76400,16.629999
2016-09-01,16.309999,16.450001,16.08,16.43,97400,16.43
2016-08-31,16.639999,16.68,16.35,16.35,132300,16.35
2016-08-30,16.34,16.66,16.15,16.60,198700,16.60
2016-08-29,16.07,16.389999,15.82,16.370001,204400,16.370001
2016-08-26,15.87,16.07,15.56,16.00,128700,16.00
2016-08-25,15.72,15.93,15.50,15.81,80700,15.81
2016-08-24,15.75,15.83,15.52,15.75,72600,15.75
2016-08-23,15.81,15.86,15.71,15.78,80100,15.78
2016-08-22,15.52,15.78,15.50,15.77,97500,15.77
2016-08-19,15.51,15.69,15.45,15.62,126100,15.62
2016-08-18,15.51,15.63,15.50,15.52,97700,15.52
2016-08-17,15.55,15.68,15.46,15.60,78500,15.60
2016-08-16,15.73,15.74,15.45,15.57,116900,15.57
2016-08-15,15.62,15.86,15.62,15.72,80900,15.72
2016-08-12,15.99,16.040001,15.54,15.57,164900,15.57
2016-08-11,16.18,16.360001,15.96,16.309999,150800,16.309999
2016-08-10,14.79,17.26,14.77,16.08,651300,16.08
2016-08-09,14.18,14.42,13.80,14.37,121000,14.37
2016-08-08,14.26,14.41,13.89,14.11,160700,14.11
2016-08-05,13.97,14.30,13.83,14.27,170600,14.27
2016-08-04,14.12,14.23,13.90,13.92,74800,13.92
2016-08-03,13.85,14.11,13.70,14.11,107000,14.11
2016-08-02,13.92,13.92,13.57,13.74,125100,13.74
2016-08-01,13.51,13.99,13.30,13.99,149100,13.99
2016-07-29,13.90,13.90,13.06,13.39,225700,13.39
2016-07-28,14.07,14.07,13.89,13.89,54100,13.89
2016-07-27,14.06,14.08,13.97,14.04,63200,14.04
2016-07-26,13.99,14.14,13.84,14.07,67200,14.07
2016-07-25,14.02,14.11,13.84,14.00,124800,14.00
2016-07-22,14.14,14.20,13.99,14.03,73500,14.03
2016-07-21,14.10,14.19,14.02,14.10,53300,14.10
2016-07-20,14.17,14.37,14.10,14.11,75700,14.11
2016-07-19,14.11,14.23,14.04,14.14,86900,14.14
2016-07-18,14.17,14.32,13.99,14.08,61700,14.08
2016-07-15,14.32,14.32,13.97,14.21,109900,14.21
2016-07-14,14.44,14.49,14.18,14.19,124200,14.19
2016-07-13,14.33,14.54,14.22,14.40,126900,14.40
2016-07-12,14.20,14.51,14.20,14.30,145300,14.30
2016-07-11,14.11,14.31,14.07,14.16,146200,14.16
2016-07-08,13.72,14.19,13.57,14.16,195000,14.16
2016-07-07,13.54,13.77,13.53,13.65,90600,13.65
2016-07-06,13.64,13.74,13.41,13.50,208000,13.50
2016-07-05,13.79,13.98,13.57,13.65,83800,13.65
2016-07-01,13.93,13.99,13.68,13.80,91900,13.80
2016-06-30,13.49,14.30,13.41,13.87,143300,13.87
2016-06-29,13.36,14.29,13.29,13.42,138400,13.42
2016-06-28,13.31,13.54,13.21,13.23,202700,13.23
