Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,39.560001,39.689999,39.18,39.549999,688300,39.549999
2016-10-06,39.209999,39.77,39.209999,39.549999,365700,39.549999
2016-10-05,39.75,39.810001,39.34,39.549999,381300,39.549999
2016-10-04,39.709999,39.919998,39.32,39.599998,263900,39.599998
2016-10-03,39.209999,39.720001,39.209999,39.650002,250300,39.650002
2016-09-30,39.330002,39.849998,39.139999,39.580002,464300,39.580002
2016-09-29,38.98,39.259998,38.98,39.119999,413200,39.119999
2016-09-28,38.75,39.220001,38.580002,39.09,347900,39.09
2016-09-27,38.880001,38.91,38.52,38.75,251800,38.75
2016-09-26,39.09,39.09,38.52,38.799999,269500,38.799999
2016-09-23,38.950001,39.259998,38.77,39.169998,467200,39.169998
2016-09-22,38.50,39.27,38.50,39.080002,353400,39.080002
2016-09-21,37.950001,38.419998,37.599998,38.389999,270700,38.389999
2016-09-20,38.27,38.50,37.799999,37.830002,339700,37.830002
2016-09-19,38.029999,38.259998,37.880001,38.040001,391800,38.040001
2016-09-16,37.919998,38.299999,37.580002,37.880001,555500,37.880001
2016-09-15,37.610001,38.18,37.25,37.779999,490900,37.779999
2016-09-14,37.240002,37.580002,37.029999,37.560001,305300,37.560001
2016-09-13,37.52,37.779999,37.00,37.279999,354400,37.279999
2016-09-12,37.169998,37.68,37.07,37.68,500800,37.68
2016-09-09,38.25,38.919998,37.259998,37.32,1019500,37.32
2016-09-08,38.66,38.889999,38.009998,38.509998,1184800,38.509998
2016-09-07,39.619999,39.900002,36.580002,38.549999,4056900,38.549999
2016-09-06,41.00,41.130001,40.790001,41.130001,209000,41.130001
2016-09-02,40.650002,41.130001,40.580002,41.080002,341500,41.080002
2016-09-01,40.259998,40.459999,40.040001,40.41,274400,40.41
2016-08-31,40.470001,40.52,40.040001,40.369999,228700,40.369999
2016-08-30,40.259998,40.610001,40.099998,40.369999,268000,40.369999
2016-08-29,39.75,40.360001,39.75,40.130001,163600,40.130001
2016-08-26,40.029999,40.290001,39.689999,39.82,182800,39.82
2016-08-25,39.549999,39.970001,39.549999,39.959999,197600,39.959999
2016-08-24,39.610001,39.779999,39.419998,39.709999,146100,39.709999
2016-08-23,39.549999,39.93,39.50,39.73,234300,39.73
2016-08-22,39.080002,39.43,39.080002,39.389999,151500,39.389999
2016-08-19,38.990002,39.439999,38.689999,39.189999,233300,39.189999
2016-08-18,38.810001,39.029999,38.68,39.02,196000,39.02
2016-08-17,38.790001,38.860001,38.509998,38.790001,181700,38.790001
2016-08-16,39.330002,39.330002,38.959999,38.990002,174300,38.806002
2016-08-15,39.110001,39.369999,38.98,39.299999,288700,39.114537
2016-08-12,39.400002,39.540001,39.040001,39.18,201100,38.995104
2016-08-11,39.439999,39.650002,39.18,39.450001,318800,39.263831
2016-08-10,39.18,39.540001,39.099998,39.310001,349600,39.124492
2016-08-09,38.950001,39.349998,38.919998,39.099998,204400,38.91548
2016-08-08,39.349998,39.450001,38.630001,39.009998,238700,38.825905
2016-08-05,38.900002,39.279999,38.84,39.220001,246900,39.034917
2016-08-04,38.700001,38.889999,38.50,38.860001,315800,38.676615
2016-08-03,38.59,38.84,38.360001,38.66,273900,38.477558
2016-08-02,38.950001,39.450001,38.52,38.560001,269100,38.378031
2016-08-01,38.790001,39.169998,38.709999,38.91,374600,38.726378
2016-07-29,39.00,39.16,38.740002,38.810001,561600,38.626852
2016-07-28,39.150002,39.41,38.93,39.080002,383300,38.895578
2016-07-27,38.970001,39.189999,38.810001,39.16,443700,38.975198
2016-07-26,38.93,39.040001,38.740002,38.990002,541300,38.806002
2016-07-25,38.860001,39.16,38.619999,38.950001,570700,38.76619
2016-07-22,38.290001,38.939999,38.049999,38.790001,811800,38.606946
2016-07-21,38.119999,38.369999,38.00,38.099998,312500,37.920199
2016-07-20,38.220001,38.380001,38.009998,38.290001,620500,38.109305
2016-07-19,38.07,38.27,37.91,37.98,412700,37.800767
2016-07-18,38.59,38.919998,37.91,37.98,472600,37.800767
2016-07-15,38.419998,38.91,38.200001,38.650002,590800,38.467607
2016-07-14,39.25,39.32,38.279999,38.299999,613200,38.119256
2016-07-13,41.900002,41.900002,38.869999,39.049999,1231600,38.865717
2016-07-12,42.18,42.18,41.490002,41.939999,338200,41.742078
2016-07-11,41.040001,41.709999,40.84,41.639999,363900,41.443494
2016-07-08,40.59,41.200001,40.59,41.02,399500,40.826421
2016-07-07,40.939999,41.110001,40.310001,40.459999,389600,40.269063
2016-07-06,41.169998,41.380001,40.619999,40.77,539300,40.577601
2016-07-05,41.349998,41.509998,40.990002,41.279999,351300,41.085193
2016-07-01,41.240002,41.459999,40.240002,41.34,234900,41.144911
2016-06-30,40.43,41.400002,40.290001,41.380001,486000,41.184723
2016-06-29,40.00,40.450001,40.00,40.32,314000,40.129724
2016-06-28,39.959999,40.139999,39.50,39.599998,303000,39.413121
2016-06-27,39.869999,40.139999,39.389999,39.759998,445100,39.572365
2016-06-24,38.900002,40.279999,38.599998,40.040001,576200,39.851047
2016-06-23,40.040001,40.07,39.740002,40.060001,308700,39.870953
2016-06-22,39.810001,39.98,39.549999,39.650002,191100,39.462888
2016-06-21,39.98,39.98,39.700001,39.889999,133600,39.701753
2016-06-20,39.740002,40.02,39.509998,39.790001,223200,39.602226
2016-06-17,39.700001,39.700001,39.259998,39.360001,427900,39.174255
2016-06-16,39.34,39.669998,39.040001,39.639999,182000,39.452933
2016-06-15,39.91,40.009998,39.34,39.41,199500,39.224019
2016-06-14,39.349998,39.830002,38.799999,39.75,233200,39.562414
2016-06-13,39.619999,39.82,39.330002,39.470001,192100,39.283737
2016-06-10,39.799999,39.970001,39.470001,39.650002,231200,39.462888
2016-06-09,39.860001,40.34,39.779999,40.18,246500,39.990385
2016-06-08,39.57,40.09,39.41,40.040001,200900,39.851047
2016-06-07,39.439999,39.619999,39.34,39.560001,147500,39.373312
2016-06-06,39.52,39.740002,39.23,39.459999,232700,39.273782
2016-06-03,39.689999,39.810001,39.380001,39.50,327800,39.313594
2016-06-02,39.419998,39.689999,39.259998,39.689999,383200,39.502696
2016-06-01,38.990002,39.400002,38.740002,39.389999,261800,39.204113
