Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,8.16,8.16,8.06,8.13,9800,8.13
2016-10-06,8.06,8.18,8.03,8.15,86000,8.15
2016-10-05,8.07,8.14,8.04,8.05,21400,8.05
2016-10-04,8.07,8.07,8.05,8.07,3600,8.07
2016-10-03,8.14,8.14,8.06,8.08,9000,8.08
2016-09-30,8.05,8.28,8.02,8.20,22200,8.20
2016-09-29,8.13,8.24,8.01,8.02,7700,8.02
2016-09-28,8.20,8.24,8.13,8.16,20300,8.16
2016-09-27,8.19,8.26,8.19,8.20,43800,8.20
2016-09-26,8.04,8.18,8.01,8.17,22000,8.17
2016-09-23,8.14,8.16,8.09,8.11,14300,8.11
2016-09-22,8.03,8.16,8.02,8.13,43700,8.13
2016-09-21,8.07,8.07,7.93,8.03,31700,8.03
2016-09-20,8.10,8.10,8.02,8.02,6500,8.02
2016-09-19,8.11,8.12,8.03,8.09,22400,8.09
2016-09-16,8.15,8.15,8.06,8.06,63700,8.06
2016-09-15,8.11,8.17,8.10,8.17,9600,8.17
2016-09-14,8.05,8.20,8.03,8.12,15900,8.12
2016-09-13,7.96,8.09,7.96,8.05,95700,8.05
2016-09-12,8.03,8.06,7.90,8.06,128300,8.06
2016-09-09,8.06,8.14,7.99,8.01,17100,8.01
2016-09-08,8.17,8.25,8.15,8.23,9700,8.23
2016-09-07,8.15,8.20,7.99,8.15,28400,8.15
2016-09-06,8.08,8.22,8.01,8.15,119800,8.15
2016-09-02,8.12,8.23,8.08,8.12,19600,8.12
2016-09-01,8.09,8.09,7.90,8.06,95300,8.06
2016-08-31,8.20,8.32,8.02,8.07,47400,8.07
2016-08-30,8.22,8.28,8.19,8.21,13700,8.21
2016-08-29,8.27,8.32,8.13,8.26,11300,8.26
2016-08-26,8.28,8.35,8.18,8.28,12300,8.28
2016-08-25,8.27,8.35,8.22,8.28,9700,8.28
2016-08-24,8.13,8.32,8.13,8.18,23100,8.18
2016-08-23,8.31,8.31,8.21,8.27,10600,8.27
2016-08-22,8.20,8.35,8.20,8.28,15600,8.28
2016-08-19,8.15,8.25,8.10,8.21,40700,8.21
2016-08-18,8.19,8.19,8.01,8.15,9400,8.15
2016-08-17,8.12,8.14,8.00,8.05,12500,8.05
2016-08-16,8.32,8.35,8.24,8.25,12500,8.25
2016-08-15,8.39,8.41,8.25,8.26,18800,8.26
2016-08-12,8.33,8.40,8.30,8.34,14000,8.34
2016-08-11,8.39,8.44,8.35,8.37,10000,8.37
2016-08-10,8.20,8.49,8.14,8.41,71600,8.35
2016-08-09,8.22,8.34,8.13,8.27,101000,8.210999
2016-08-08,8.26,8.31,8.22,8.25,11100,8.191141
2016-08-05,8.25,8.37,8.19,8.27,32400,8.210999
2016-08-04,8.26,8.32,8.15,8.18,13600,8.121641
2016-08-03,8.10,8.30,8.10,8.25,16800,8.191141
2016-08-02,8.25,8.35,8.11,8.11,12300,8.05214
2016-08-01,8.15,8.21,8.14,8.16,10300,8.101783
2016-07-29,8.12,8.23,8.10,8.14,13700,8.081927
2016-07-28,8.21,8.25,8.10,8.18,7700,8.121641
2016-07-27,8.14,8.32,8.11,8.21,8300,8.151427
2016-07-26,8.44,8.44,8.08,8.12,8700,8.062069
2016-07-25,8.32,8.33,7.56,8.19,17300,8.131569
2016-07-22,8.18,8.41,8.18,8.23,8700,8.171284
2016-07-21,8.35,8.35,8.15,8.20,27200,8.141498
2016-07-20,8.46,8.46,8.37,8.40,19200,8.340071
2016-07-19,8.39,8.46,8.35,8.41,13600,8.35
2016-07-18,8.43,8.50,8.36,8.42,22900,8.359929
2016-07-15,8.49,8.50,8.31,8.46,23100,8.399643
2016-07-14,8.38,8.49,8.27,8.45,20200,8.389714
2016-07-13,8.04,8.30,8.04,8.29,49100,8.230856
2016-07-12,7.90,8.15,7.90,8.03,225300,7.972711
2016-07-11,8.00,8.00,7.89,7.91,38200,7.853567
2016-07-08,7.82,8.00,7.82,7.99,77700,7.932996
2016-07-07,7.80,7.84,7.71,7.71,284000,7.654994
2016-07-06,7.73,7.87,7.73,7.81,21000,7.75428
2016-07-05,7.80,7.86,7.80,7.82,35200,7.764209
2016-07-01,7.90,8.00,7.84,7.91,94900,7.853567
2016-06-30,7.97,7.99,7.90,7.94,50100,7.883353
2016-06-29,7.80,7.98,7.70,7.96,278200,7.90321
2016-06-28,7.76,7.92,7.70,7.75,36800,7.694709
2016-06-27,7.73,7.76,7.59,7.69,46600,7.635137
2016-06-24,7.84,8.03,7.75,7.79,166800,7.734423
2016-06-23,7.95,8.15,7.95,8.12,819200,8.062069
2016-06-22,7.95,8.06,7.84,7.86,28800,7.803924
2016-06-21,7.82,7.95,7.76,7.92,30700,7.863496
2016-06-20,7.70,7.93,7.70,7.79,31700,7.734423
2016-06-17,7.80,7.85,7.55,7.58,108000,7.525921
2016-06-16,7.67,7.80,7.53,7.77,22300,7.714566
2016-06-15,7.76,7.86,7.75,7.77,9400,7.714566
2016-06-14,7.88,7.98,7.75,7.81,10600,7.75428
2016-06-13,8.05,8.19,7.88,7.99,254100,7.932996
2016-06-10,8.03,8.10,7.96,8.09,20000,8.032283
2016-06-09,7.99,8.09,7.86,8.07,23500,8.012425
2016-06-08,7.97,8.08,7.97,8.06,13200,8.002497
