Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.91,2.01,1.90,1.93,26900,1.93
2016-10-06,1.96,1.96,1.91,1.92,3600,1.92
2016-10-05,2.03,2.03,1.93,1.96,20800,1.96
2016-10-04,2.02,2.07,1.94,1.95,14600,1.95
2016-10-03,2.31,2.31,1.89,2.00,319400,2.00
2016-09-30,2.35,2.36,2.28,2.36,5000,2.36
2016-09-29,2.29,2.35,2.24,2.35,23200,2.35
2016-09-28,2.29,2.29,2.24,2.26,5700,2.26
2016-09-27,2.21,2.29,2.21,2.22,24500,2.22
2016-09-26,2.30,2.31,2.14,2.16,13800,2.16
2016-09-23,2.37,2.37,2.21,2.30,35000,2.30
2016-09-22,2.14,2.29,2.10,2.22,40900,2.22
2016-09-21,2.08,2.23,2.07,2.07,13300,2.07
2016-09-20,2.12,2.18,2.08,2.08,16900,2.08
2016-09-19,2.20,2.26,2.05,2.06,24800,2.06
2016-09-16,2.15,2.16,2.14,2.16,2500,2.16
2016-09-15,2.18,2.18,2.05,2.13,10200,2.13
2016-09-14,2.23,2.23,2.11,2.11,9700,2.11
2016-09-13,2.21,2.29,2.10,2.19,14300,2.19
2016-09-12,2.28,2.31,2.20,2.22,12500,2.22
2016-09-09,2.35,2.36,2.25,2.33,6100,2.33
2016-09-08,2.42,2.43,2.32,2.38,19800,2.38
2016-09-07,2.37,2.42,2.23,2.32,28500,2.32
2016-09-06,2.37,2.37,2.31,2.31,1000,2.31
2016-09-02,2.34,2.39,2.31,2.37,8300,2.37
2016-09-01,2.30,2.40,2.25,2.40,31200,2.40
2016-08-31,2.40,2.40,2.30,2.35,15800,2.35
2016-08-30,2.37,2.38,2.29,2.37,34800,2.37
2016-08-29,2.40,2.40,2.24,2.32,25000,2.32
2016-08-26,2.46,2.46,2.32,2.32,6300,2.32
2016-08-25,2.25,2.47,2.25,2.28,12400,2.28
2016-08-24,2.50,2.50,2.20,2.25,22200,2.25
2016-08-23,2.20,2.29,2.20,2.28,7800,2.28
2016-08-22,2.40,2.52,2.17,2.30,33400,2.30
2016-08-19,2.46,2.49,2.40,2.40,27500,2.40
2016-08-18,2.42,2.55,2.42,2.48,13900,2.48
2016-08-17,2.40,2.40,2.39,2.39,6200,2.39
2016-08-16,2.42,2.43,2.34,2.39,8600,2.39
2016-08-15,2.48,2.48,2.38,2.39,4800,2.39
2016-08-12,2.64,2.64,2.37,2.39,30200,2.39
2016-08-11,2.55,2.62,2.47,2.62,24400,2.62
2016-08-10,2.66,2.79,2.51,2.54,57900,2.54
2016-08-09,2.30,3.19,2.27,2.66,364500,2.66
2016-08-08,2.34,2.41,2.21,2.32,35200,2.32
2016-08-05,2.26,2.39,2.26,2.31,9400,2.31
2016-08-04,2.35,2.40,2.29,2.35,5500,2.35
2016-08-03,2.32,2.32,2.14,2.32,2500,2.32
2016-08-02,2.29,2.29,2.20,2.22,25600,2.22
2016-08-01,2.00,2.42,2.00,2.35,47900,2.35
2016-07-29,2.06,2.14,2.02,2.05,17000,2.05
2016-07-28,2.10,2.24,2.00,2.02,56500,2.02
2016-07-27,2.26,2.43,2.05,2.08,33200,2.08
2016-07-26,2.30,2.45,2.21,2.31,50300,2.31
2016-07-25,2.00,2.65,2.00,2.19,203400,2.19
2016-07-22,2.23,2.87,2.00,2.04,279600,2.04
2016-07-21,1.87,2.30,1.81,2.26,160000,2.26
2016-07-20,1.88,1.88,1.76,1.81,14100,1.81
2016-07-19,1.82,1.86,1.80,1.86,3400,1.86
2016-07-18,1.76,1.86,1.76,1.82,13700,1.82
2016-07-15,2.00,2.00,1.83,1.91,14600,1.91
2016-07-14,1.84,2.04,1.80,1.85,27500,1.85
2016-07-13,1.68,1.89,1.66,1.89,26700,1.89
2016-07-12,1.69,1.69,1.66,1.68,16500,1.68
2016-07-11,1.71,1.71,1.67,1.69,3700,1.69
2016-07-08,1.66,1.74,1.66,1.74,300,1.74
2016-07-07,1.73,1.73,1.63,1.64,10100,1.64
2016-07-06,1.68,1.72,1.68,1.71,5500,1.71
2016-07-05,1.70,1.72,1.69,1.70,5000,1.70
2016-07-01,1.72,1.75,1.72,1.75,300,1.75
