Date,Open,High,Low,Close,Volume,Adj Close
2017-02-13,18.450001,18.610001,18.370001,18.559999,6057900,18.559999
2017-02-10,18.360001,18.440001,18.27,18.360001,5676600,18.360001
2017-02-09,18.35,18.48,18.209999,18.35,10365500,18.35
2017-02-08,17.959999,18.389999,17.860001,18.33,12920800,18.33
2017-02-07,17.959999,18.26,17.91,18.01,9013100,18.01
2017-02-06,18.049999,18.190001,17.809999,17.879999,6036900,17.879999
2017-02-03,18.040001,18.209999,18.01,18.09,6409300,18.09
2017-02-02,17.83,18.00,17.790001,17.91,7878600,17.91
2017-02-01,18.15,18.379999,17.84,17.870001,7372700,17.870001
2017-01-31,17.959999,18.190001,17.809999,18.07,17109200,18.07
2017-01-30,18.549999,18.57,17.74,17.940001,11599400,17.940001
2017-01-27,18.65,18.709999,18.309999,18.59,9411200,18.59
2017-01-26,18.459999,18.780001,18.43,18.610001,14066900,18.610001
2017-01-25,18.309999,18.49,18.209999,18.48,10628100,18.48
2017-01-24,18.290001,18.389999,18.139999,18.27,11475000,18.27
2017-01-23,18.27,18.309999,18.120001,18.24,5364200,18.24
2017-01-20,18.24,18.50,18.200001,18.33,8037300,18.33
2017-01-19,18.120001,18.40,17.969999,18.219999,8253700,18.219999
2017-01-18,18.190001,18.40,18.110001,18.309999,6615200,18.309999
2017-01-17,18.059999,18.33,17.969999,18.15,10133700,18.15
2017-01-13,18.110001,18.309999,18.049999,18.26,7907300,18.26
2017-01-12,18.120001,18.120001,17.639999,18.02,10585100,18.02
2017-01-11,18.129999,18.34,17.959999,18.18,10568700,18.18
2017-01-10,18.290001,18.50,18.00,18.030001,10722500,18.030001
2017-01-09,18.280001,18.32,17.940001,18.200001,12417800,18.200001
2017-01-06,18.50,18.57,18.15,18.25,14827100,18.25
2017-01-05,19.299999,19.360001,18.35,18.50,19884200,18.50
2017-01-04,19.15,19.48,19.07,19.34,15374000,19.34
2017-01-03,19.040001,19.129999,18.82,19.129999,8866500,19.129999
2016-12-30,18.74,18.950001,18.58,18.84,6377700,18.84
2016-12-29,18.59,18.76,18.52,18.75,4286700,18.75
2016-12-28,18.690001,18.780001,18.440001,18.57,4628500,18.57
2016-12-27,18.98,19.10,18.85,18.959999,3450300,18.709999
2016-12-23,18.82,18.959999,18.77,18.93,4010300,18.680395
2016-12-22,19.139999,19.17,18.66,18.799999,6072900,18.552108
2016-12-21,19.17,19.51,19.110001,19.17,12436300,18.917231
2016-12-20,19.24,19.299999,18.90,19.120001,9458800,18.867891
2016-12-19,19.110001,19.190001,18.93,19.18,6670900,18.927099
2016-12-16,19.030001,19.09,18.82,19.01,13889900,18.75934
2016-12-15,18.790001,19.200001,18.719999,18.92,8313800,18.670527
2016-12-14,19.059999,19.27,18.74,18.870001,12575800,18.621187
2016-12-13,19.049999,19.059999,18.639999,19.049999,14129900,18.798812
2016-12-12,19.139999,19.25,18.85,18.99,9464100,18.739604
2016-12-09,19.08,19.280001,18.99,19.18,8872400,18.927099
2016-12-08,18.85,19.15,18.65,19.01,12440700,18.75934
2016-12-07,18.50,18.98,18.43,18.92,9776900,18.670527
2016-12-06,18.309999,18.620001,18.209999,18.48,10925900,18.236328
2016-12-05,17.84,18.280001,17.84,18.27,10297700,18.029098
2016-12-02,18.17,18.190001,17.67,17.74,26106800,17.506086
2016-12-01,17.809999,18.23,17.690001,18.139999,18932400,17.900811
2016-11-30,17.18,17.90,17.15,17.84,26031500,17.604768
2016-11-29,17.00,17.33,16.98,17.299999,9299700,17.071887
2016-11-28,16.90,17.059999,16.83,16.969999,8249400,16.746238
2016-11-25,16.889999,17.02,16.50,16.940001,2057000,16.716635
2016-11-23,16.780001,16.90,16.58,16.889999,7843100,16.667293
2016-11-22,16.76,16.969999,16.75,16.93,8692000,16.706767
2016-11-21,16.49,16.74,16.49,16.68,7015000,16.460063
2016-11-18,16.66,16.700001,16.40,16.41,8115300,16.193623
2016-11-17,17.01,17.049999,16.67,16.690001,7789300,16.469932
2016-11-16,17.059999,17.219999,16.92,16.98,8629100,16.756107
2016-11-15,17.35,17.389999,16.809999,17.120001,14872900,16.894262
2016-11-14,16.540001,17.41,16.43,17.379999,20291200,17.150832
2016-11-11,16.030001,16.57,15.99,16.48,12208100,16.2627
2016-11-10,16.16,16.40,16.00,16.07,14251000,15.858106
2016-11-09,15.65,16.25,15.29,16.110001,15927600,15.897579
2016-11-08,15.63,16.030001,15.38,15.97,14171000,15.759425
2016-11-07,15.37,15.72,15.34,15.71,8399500,15.502853
2016-11-04,14.82,15.22,14.69,15.16,13432800,14.960105
2016-11-03,15.14,15.15,14.80,14.83,8514400,14.634456
2016-11-02,15.37,15.53,15.01,15.24,14294500,15.03905
2016-11-01,15.46,15.62,15.19,15.26,13426500,15.058787
2016-10-31,15.09,15.53,14.99,15.48,13642300,15.275885
2016-10-28,14.96,15.06,14.83,15.00,10328700,14.802215
2016-10-27,15.03,15.06,14.78,14.89,8050100,14.693666
2016-10-26,15.34,15.34,14.97,15.01,11100100,14.812083
2016-10-25,15.50,15.61,15.37,15.40,6269100,15.19694
2016-10-24,15.54,15.83,15.52,15.54,8688700,15.335094
2016-10-21,15.38,15.51,15.10,15.47,7731900,15.266018
2016-10-20,15.73,15.78,15.21,15.51,15933400,15.30549
2016-10-19,15.76,15.86,15.69,15.72,5695400,15.512721
2016-10-18,15.59,15.78,15.55,15.70,6088900,15.492985
2016-10-17,15.45,15.62,15.43,15.49,4645400,15.285754
2016-10-14,15.60,15.69,15.44,15.44,5967700,15.236413
2016-10-13,15.43,15.57,15.31,15.51,5522500,15.30549
2016-10-12,15.50,15.59,15.41,15.53,4158200,15.325226
2016-10-11,15.63,15.65,15.27,15.45,9246500,15.246281
2016-10-10,15.53,15.77,15.51,15.69,8451300,15.483116
2016-10-07,15.55,15.83,15.37,15.49,7481300,15.285754
2016-10-06,15.35,15.64,15.24,15.55,8382000,15.344963
2016-10-05,15.51,15.66,15.28,15.41,10709000,15.206809
2016-10-04,15.57,15.71,15.37,15.44,11722600,15.236413
2016-10-03,15.50,15.66,15.39,15.58,7380900,15.374567
2016-09-30,15.78,15.87,15.55,15.57,13911500,15.364699
2016-09-29,15.56,15.89,15.43,15.65,11941500,15.443644
2016-09-28,15.54,15.74,15.46,15.60,10152500,15.394304
2016-09-27,15.99,16.00,15.72,15.74,8724900,15.335095
2016-09-26,16.200001,16.25,16.01,16.01,8064400,15.59815
2016-09-23,16.280001,16.40,16.190001,16.25,7430300,15.831975
2016-09-22,16.15,16.40,16.030001,16.309999,8204500,15.890431
2016-09-21,16.059999,16.129999,15.70,15.98,15728000,15.568921
2016-09-20,16.16,16.16,16.00,16.030001,7068700,15.617635
2016-09-19,16.049999,16.200001,15.88,16.02,8139600,15.607893
2016-09-16,16.040001,16.10,15.77,16.00,13412700,15.588407
2016-09-15,16.110001,16.299999,16.01,16.10,7096500,15.685834
2016-09-14,16.049999,16.35,15.97,16.18,14535300,15.763776
2016-09-13,16.040001,16.18,15.84,16.02,13111700,15.607893
2016-09-12,16.09,16.360001,16.07,16.190001,12503800,15.773519
2016-09-09,16.68,16.690001,16.18,16.200001,12837500,15.783262
2016-09-08,16.99,17.02,16.790001,16.809999,12824400,16.377569
2016-09-07,17.02,17.16,16.76,17.059999,16419500,16.621138
2016-09-06,17.43,17.530001,17.01,17.07,11537600,16.630881
2016-09-02,17.639999,17.82,17.34,17.41,7009000,16.962135
2016-09-01,17.879999,17.879999,17.299999,17.57,10995600,17.118019
2016-08-31,18.059999,18.209999,17.65,17.82,11878100,17.361588
2016-08-30,18.07,18.10,17.790001,18.09,4619400,17.624642
2016-08-29,18.040001,18.23,17.969999,18.01,5060100,17.5467
2016-08-26,18.27,18.32,17.84,17.959999,8149400,17.497985
2016-08-25,18.190001,18.290001,18.110001,18.139999,5505300,17.673355
2016-08-24,18.34,18.41,18.129999,18.27,6411900,17.800012
2016-08-23,18.49,18.559999,18.290001,18.309999,6566900,17.838982
2016-08-22,18.190001,18.370001,18.139999,18.370001,4998900,17.89744
2016-08-19,18.01,18.209999,17.950001,18.200001,5832200,17.731813
2016-08-18,17.91,18.120001,17.91,18.10,8524300,17.634385
