Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,284.320007,285.420013,281.380005,284.100006,996700,284.100006
2016-10-06,287.50,288.00,283.559998,284.160004,1437500,284.160004
2016-10-05,289.559998,292.570007,288.170013,290.799988,1023200,290.799988
2016-10-04,289.350006,291.25,286.799988,288.26001,850300,288.26001
2016-10-03,289.51001,290.089996,285.339996,290.00,1803700,290.00
2016-09-30,285.73999,290.529999,283.720001,289.459991,2138100,289.459991
2016-09-29,294.390015,295.309998,285.160004,285.869995,1577900,285.869995
2016-09-28,297.329987,298.450012,292.850006,295.079987,855500,295.079987
2016-09-27,292.100006,297.619995,292.100006,297.480011,1036700,297.480011
2016-09-26,296.179993,297.170013,293.450012,294.529999,1326100,294.529999
2016-09-23,300.079987,301.799988,298.01001,298.179993,1065000,298.09399
2016-09-22,299.290009,300.290009,296.410004,300.079987,1459400,299.993435
2016-09-21,296.25,298.459991,291.429993,297.529999,2000400,297.444183
2016-09-20,294.420013,297.00,293.00,295.700012,1679600,295.614724
2016-09-19,293.00,294.910004,290.410004,291.519989,1361800,291.435907
2016-09-16,288.109985,292.26001,287.700012,291.630005,1315700,291.545891
2016-09-15,285.619995,290.920013,284.200012,290.149994,1316800,290.066307
2016-09-14,284.00,289.450012,283.769989,285.929993,1592200,285.847523
2016-09-13,284.76001,285.01001,279.589996,282.619995,1618600,282.53848
2016-09-12,277.00,287.799988,276.630005,287.109985,1444600,287.027175
2016-09-09,284.619995,285.929993,278.630005,278.630005,1819700,278.549641
2016-09-08,286.640015,288.609985,283.869995,288.029999,799800,287.946923
2016-09-07,284.089996,287.149994,283.690002,286.100006,892600,286.017487
2016-09-06,281.059998,285.480011,280.820007,284.089996,1513400,284.008057
2016-09-02,281.50,282.799988,279.459991,280.609985,1109200,280.52905
2016-09-01,280.619995,282.25,278.600006,281.440002,877100,281.358828
2016-08-31,282.390015,283.410004,279.709991,280.890015,915100,280.808998
2016-08-30,283.470001,285.829987,282.059998,283.290009,1016900,283.2083
2016-08-29,286.00,286.640015,282.160004,283.869995,1402800,283.788119
2016-08-26,283.170013,287.839996,282.549988,285.140015,1946700,285.057773
2016-08-25,287.00,289.089996,278.899994,282.869995,3079000,282.788408
2016-08-24,296.890015,299.25,285.320007,286.230011,3773000,286.147455
2016-08-23,297.320007,298.070007,295.450012,296.179993,926800,296.094566
2016-08-22,291.850006,296.670013,291.839996,296.01001,1199300,295.924633
2016-08-19,289.859985,291.869995,289.149994,290.309998,528300,290.226264
2016-08-18,290.899994,292.880005,289.380005,291.660004,625700,291.575881
2016-08-17,290.730011,291.709991,288.679993,290.899994,732900,290.816091
2016-08-16,294.570007,294.959991,290.799988,291.089996,767600,291.006038
2016-08-15,293.950012,296.230011,292.630005,295.209991,997000,295.124845
2016-08-12,290.980011,292.850006,289.00,292.519989,1270800,292.435618
