Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,35.369999,35.580002,34.150002,34.16,190600,34.16
2016-10-06,35.299999,35.450001,34.849998,35.279999,452300,35.279999
2016-10-05,35.740002,35.740002,35.200001,35.25,68300,35.25
2016-10-04,35.700001,36.080002,35.41,35.509998,139400,35.509998
2016-10-03,36.34,36.52,35.529999,35.82,152600,35.82
2016-09-30,36.689999,37.220001,36.200001,36.240002,227900,36.240002
2016-09-29,37.060001,37.060001,36.029999,36.439999,175000,36.439999
2016-09-28,35.700001,37.00,35.610001,36.98,208400,36.98
2016-09-27,35.18,35.720001,34.889999,35.669998,126200,35.669998
2016-09-26,35.080002,35.669998,34.509998,35.150002,136400,35.150002
2016-09-23,35.630001,36.130001,35.360001,35.380001,149500,35.380001
2016-09-22,36.040001,36.360001,35.68,35.689999,155800,35.689999
2016-09-21,35.110001,35.919998,35.060001,35.73,192300,35.73
2016-09-20,34.740002,35.16,34.59,35.060001,145700,35.060001
2016-09-19,34.98,35.490002,34.459999,34.709999,121300,34.709999
2016-09-16,34.889999,34.889999,34.490002,34.77,199600,34.77
2016-09-15,34.029999,34.990002,34.00,34.82,218000,34.82
2016-09-14,33.41,34.259998,33.23,34.029999,150900,34.029999
2016-09-13,33.380001,33.68,32.84,33.50,381400,33.470001
2016-09-12,32.830002,33.830002,32.540001,33.529999,309200,33.499973
2016-09-09,33.349998,33.349998,32.93,33.110001,151500,33.080351
2016-09-08,33.509998,33.82,33.380001,33.459999,60600,33.430036
2016-09-07,33.34,33.740002,33.32,33.720001,175500,33.689805
2016-09-06,33.619999,33.709999,33.110001,33.360001,75700,33.330127
2016-09-02,33.349998,33.82,33.32,33.810001,55300,33.779725
2016-09-01,33.459999,34.330002,32.98,33.27,88200,33.240207
2016-08-31,34.380001,34.380001,33.27,33.299999,120100,33.270179
2016-08-30,34.599998,34.900002,34.169998,34.68,158200,34.648944
2016-08-29,34.459999,34.900002,34.02,34.599998,96900,34.569014
2016-08-26,35.099998,35.349998,34.580002,34.740002,107500,34.708892
2016-08-25,34.700001,34.98,34.450001,34.779999,69200,34.748853
2016-08-24,34.32,34.810001,34.240002,34.740002,99400,34.708892
2016-08-23,34.00,34.549999,33.939999,34.32,141300,34.289266
2016-08-22,33.439999,33.990002,33.07,33.98,105900,33.94957
2016-08-19,33.869999,33.869999,33.18,33.380001,116800,33.350109
2016-08-18,33.959999,34.110001,33.459999,33.849998,78400,33.819686
2016-08-17,34.200001,34.32,33.73,33.869999,94000,33.839668
2016-08-16,34.700001,34.790001,34.16,34.16,154000,34.12941
2016-08-15,34.299999,34.91,34.299999,34.91,111800,34.878738
2016-08-12,34.439999,34.869999,34.099998,34.290001,111800,34.259294
2016-08-11,34.119999,34.529999,33.990002,34.490002,120600,34.459116
2016-08-10,34.240002,34.389999,33.860001,34.130001,72700,34.099438
2016-08-09,34.50,34.830002,34.169998,34.330002,50000,34.299259
2016-08-08,34.59,34.98,34.290001,34.509998,81900,34.479095
2016-08-05,34.220001,34.799999,33.970001,34.790001,148400,34.758846
2016-08-04,30.57,34.75,30.57,34.049999,168000,34.019507
2016-08-03,34.790001,34.93,34.259998,34.52,159000,34.489088
2016-08-02,35.299999,35.669998,34.720001,34.790001,145300,34.758846
2016-08-01,35.00,35.459999,34.650002,35.32,222400,35.288371
2016-07-29,34.549999,34.900002,34.310001,34.790001,210600,34.758846
2016-07-28,35.32,35.32,34.389999,34.630001,170000,34.59899
2016-07-27,34.970001,35.68,34.919998,35.25,263100,35.218434
2016-07-26,34.84,35.09,34.73,34.84,290300,34.808801
2016-07-25,35.110001,35.240002,34.580002,34.790001,248600,34.758846
2016-07-22,33.98,35.59,33.900002,34.75,388300,34.718881
2016-07-21,32.990002,35.639999,31.52,33.77,538600,33.739759
2016-07-20,31.00,31.60,30.32,31.50,147300,31.471792
2016-07-19,31.17,31.290001,30.73,30.950001,57200,30.922285
2016-07-18,31.08,31.60,30.90,31.17,63900,31.142087
2016-07-15,31.50,31.540001,30.690001,31.07,121100,31.042177
2016-07-14,31.700001,31.790001,31.17,31.25,107100,31.222016
2016-07-13,31.530001,31.83,31.129999,31.34,131500,31.311935
2016-07-12,30.65,31.51,30.65,31.43,93100,31.401855
2016-07-11,30.24,30.66,30.24,30.629999,93100,30.60257
2016-07-08,29.639999,30.32,29.639999,29.99,110800,29.963144
2016-07-07,29.41,29.68,29.209999,29.469999,86700,29.443609
2016-07-06,28.41,29.290001,28.41,29.24,105400,29.213815
2016-07-05,28.700001,29.049999,28.33,28.66,85800,28.634335
2016-07-01,28.629999,29.18,28.59,28.74,124200,28.714263
2016-06-30,27.459999,28.60,27.459999,28.59,110100,28.564398
2016-06-29,27.209999,27.629999,26.950001,27.459999,155900,27.435409
2016-06-28,26.950001,27.370001,26.66,26.889999,104200,26.865919
2016-06-27,27.23,27.42,26.700001,26.719999,159400,26.696072
2016-06-24,26.83,28.540001,25.68,27.549999,247100,27.525328
2016-06-23,28.200001,28.309999,27.790001,28.139999,157100,28.1148
2016-06-22,28.040001,28.219999,27.83,27.889999,100800,27.865024
2016-06-21,28.68,28.68,27.780001,27.93,94900,27.904989
2016-06-20,29.00,29.49,28.60,28.620001,79700,28.594372
2016-06-17,28.82,29.059999,28.450001,28.66,110100,28.634335
2016-06-16,28.139999,28.790001,27.780001,28.719999,89400,28.694281
2016-06-15,28.32,28.57,27.950001,28.370001,107700,28.344595
2016-06-14,27.879999,28.450001,27.66,28.15,113600,28.124791
2016-06-13,28.35,28.60,27.940001,28.049999,82400,28.02488
2016-06-10,28.360001,28.57,28.049999,28.49,92700,28.464487
2016-06-09,28.549999,28.74,28.280001,28.68,88600,28.654317
2016-06-08,27.93,28.68,27.74,28.66,124200,28.634335
2016-06-07,27.58,28.059999,27.309999,27.860001,138500,27.805078
2016-06-06,27.68,27.68,27.209999,27.469999,122300,27.415846
