Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,0.34,0.34,0.30,0.30,106300,0.30
2016-10-06,0.30,0.34,0.30,0.34,44500,0.34
2016-10-05,0.33,0.34,0.30,0.30,62400,0.30
2016-10-04,0.35,0.35,0.32,0.32,18700,0.32
2016-10-03,0.34,0.35,0.29,0.35,94400,0.35
2016-09-30,0.34,0.37,0.28,0.34,109100,0.34
2016-09-29,0.35,0.36,0.34,0.35,30400,0.35
2016-09-28,0.34,0.37,0.34,0.36,75700,0.36
2016-09-27,0.37,0.37,0.35,0.36,44300,0.36
2016-09-26,0.38,0.38,0.34,0.36,90700,0.36
2016-09-23,0.40,0.40,0.38,0.38,103600,0.38
2016-09-22,0.40,0.42,0.38,0.41,86700,0.41
2016-09-21,0.40,0.43,0.37,0.41,139700,0.41
2016-09-20,0.42,0.46,0.42,0.44,108400,0.44
2016-09-19,0.39,0.50,0.38,0.43,442600,0.43
2016-09-16,0.38,0.38,0.36,0.38,55800,0.38
2016-09-15,0.38,0.39,0.36,0.37,104600,0.37
2016-09-14,0.36,0.38,0.36,0.36,46800,0.36
2016-09-13,0.38,0.38,0.36,0.37,68300,0.37
2016-09-12,0.36,0.38,0.34,0.38,317300,0.38
2016-09-09,0.39,0.40,0.35,0.36,702700,0.36
2016-09-08,0.39,0.44,0.37,0.41,606400,0.41
2016-09-07,0.44,0.44,0.38,0.39,116100,0.39
2016-09-06,0.48,0.50,0.43,0.43,208500,0.43
2016-09-02,0.55,0.56,0.49,0.50,163100,0.50
2016-09-01,0.56,0.57,0.50,0.51,74100,0.51
2016-08-31,0.45,0.56,0.43,0.54,473500,0.54
2016-08-30,0.41,0.46,0.41,0.45,39400,0.45
2016-08-29,0.42,0.43,0.39,0.41,121900,0.41
2016-08-26,0.48,0.49,0.38,0.43,312200,0.43
2016-08-25,0.53,0.53,0.44,0.47,104800,0.47
2016-08-24,0.55,0.57,0.46,0.50,226800,0.50
2016-08-23,0.55,0.57,0.52,0.52,191400,0.52
2016-08-22,0.54,0.59,0.52,0.57,188200,0.57
2016-08-19,0.56,0.63,0.51,0.53,124300,0.53
2016-08-18,0.63,0.63,0.53,0.56,366900,0.56
2016-08-17,0.66,0.66,0.60,0.62,335100,0.62
2016-08-16,0.76,0.76,0.66,0.67,207200,0.67
2016-08-15,0.80,0.82,0.65,0.76,78200,0.76
2016-08-12,0.82,0.83,0.80,0.82,31900,0.82
2016-08-11,0.77,0.89,0.75,0.79,145500,0.79
2016-08-10,0.73,0.81,0.73,0.78,179500,0.78
2016-08-09,0.74,0.74,0.72,0.74,69400,0.74
2016-08-08,0.83,0.83,0.72,0.74,381600,0.74
2016-08-05,0.93,0.93,0.80,0.84,167700,0.84
2016-08-04,0.92,1.01,0.86,0.93,447700,0.93
2016-08-03,1.00,1.00,0.85,0.93,317000,0.93
2016-08-02,1.03,1.03,0.98,1.00,93800,1.00
2016-08-01,1.06,1.08,0.97,0.99,889100,0.99
2016-07-29,1.05,1.05,0.95,1.00,246800,1.00
2016-07-28,1.02,1.05,1.00,1.01,38600,1.01
2016-07-27,1.06,1.09,1.02,1.03,165200,1.03
2016-07-26,1.06,1.09,1.04,1.06,65400,1.06
2016-07-25,1.09,1.09,1.04,1.06,116000,1.06
2016-07-22,1.08,1.10,1.05,1.07,316600,1.07
2016-07-21,1.08,1.18,1.06,1.09,175400,1.09
2016-07-20,1.07,1.09,1.02,1.06,111500,1.06
2016-07-19,1.06,1.34,1.04,1.08,1128500,1.08
2016-07-18,1.05,1.08,1.04,1.06,74700,1.06
2016-07-15,1.09,1.09,1.07,1.07,40500,1.07
2016-07-14,1.10,1.10,1.06,1.07,78100,1.07
2016-07-13,1.08,1.09,1.03,1.09,153300,1.09
2016-07-12,1.10,1.10,1.06,1.07,66800,1.07
2016-07-11,1.08,1.10,1.05,1.08,166600,1.08
2016-07-08,1.08,1.09,1.04,1.07,127300,1.07
2016-07-07,1.09,1.16,1.05,1.05,108200,1.05
2016-07-06,1.15,1.17,1.15,1.16,28500,1.16
2016-07-05,1.17,1.17,1.10,1.10,19700,1.10
2016-07-01,1.07,1.16,1.02,1.15,81700,1.15
2016-06-30,1.08,1.12,1.05,1.05,54400,1.05
2016-06-29,1.09,1.11,1.06,1.10,265400,1.10
2016-06-28,1.04,1.15,1.04,1.09,260300,1.09
2016-06-27,1.22,1.22,1.03,1.03,247500,1.03
2016-06-24,1.26,1.33,1.03,1.24,134600,1.24
2016-06-23,1.51,1.74,1.25,1.25,1488900,1.25
2016-06-22,1.44,1.47,1.27,1.41,109200,1.41
2016-06-21,1.44,1.49,1.40,1.49,68100,1.49
2016-06-20,1.43,1.50,1.40,1.42,196700,1.42
2016-06-17,1.15,1.43,1.15,1.41,35800,1.41
2016-06-16,1.42,1.42,1.24,1.24,34700,1.24
2016-06-15,1.38,1.46,1.38,1.39,18700,1.39
2016-06-14,1.50,1.50,1.37,1.38,20000,1.38
2016-06-13,1.40,1.53,1.39,1.50,33200,1.50
2016-06-10,1.39,1.42,1.39,1.41,6900,1.41
2016-06-09,1.54,1.57,1.41,1.42,28600,1.42
2016-06-08,1.53,1.59,1.53,1.58,4200,1.58
2016-06-07,1.59,1.65,1.53,1.59,5600,1.59
2016-06-06,1.60,1.65,1.59,1.64,4700,1.64
2016-06-03,1.66,1.66,1.60,1.65,3900,1.65
2016-06-02,1.60,1.63,1.55,1.61,42800,1.61
2016-06-01,1.61,1.68,1.53,1.67,67900,1.67
2016-05-31,1.61,1.67,1.48,1.65,36700,1.65
2016-05-27,1.67,1.68,1.44,1.61,12500,1.61
2016-05-26,1.69,1.70,1.55,1.69,54700,1.69
2016-05-25,1.58,1.69,1.56,1.68,7100,1.68
2016-05-24,1.57,1.66,1.57,1.62,8300,1.62
2016-05-23,1.62,1.65,1.30,1.65,37400,1.65
2016-05-20,1.47,1.63,1.47,1.62,32200,1.62
2016-05-19,1.56,1.58,1.43,1.56,17300,1.56
2016-05-18,1.56,1.63,1.44,1.53,38800,1.53
2016-05-17,1.29,1.55,1.29,1.55,47300,1.55
2016-05-16,1.04,1.30,1.04,1.30,101300,1.30
2016-05-13,1.06,1.15,1.06,1.11,14400,1.11
2016-05-12,1.06,1.12,1.04,1.09,20300,1.09
2016-05-11,1.06,1.13,1.03,1.08,18300,1.08
2016-05-10,1.15,1.18,1.07,1.13,32600,1.13
2016-05-09,1.05,1.15,1.04,1.10,31600,1.10
2016-05-06,1.05,1.06,1.03,1.05,20900,1.05
2016-05-05,1.08,1.14,1.07,1.07,15500,1.07
2016-05-04,1.13,1.14,1.10,1.10,12400,1.10
2016-05-03,1.09,1.13,1.09,1.13,1400,1.13
2016-05-02,1.02,1.10,1.02,1.09,5000,1.09
2016-04-29,1.14,1.15,1.03,1.15,55800,1.15
2016-04-28,1.11,1.18,1.10,1.13,17400,1.13
2016-04-27,1.01,1.22,1.00,1.07,114800,1.07
2016-04-26,1.00,1.04,1.00,1.02,48400,1.02
2016-04-25,1.00,1.07,1.00,1.01,6500,1.01
2016-04-22,1.02,1.02,1.00,1.01,21800,1.01
2016-04-21,1.06,1.06,1.04,1.04,4300,1.04
2016-04-20,1.04,1.04,1.04,1.04,000,1.04
2016-04-19,1.01,1.04,1.01,1.04,12600,1.04
2016-04-18,1.01,1.08,1.01,1.01,2700,1.01
2016-04-15,1.04,1.09,1.02,1.03,12000,1.03
2016-04-14,1.07,1.08,1.07,1.08,6300,1.08
2016-04-13,1.07,1.10,1.07,1.10,12100,1.10
2016-04-12,1.07,1.08,1.07,1.07,9400,1.07
2016-04-11,1.10,1.10,1.05,1.08,2400,1.08
2016-04-08,1.05,1.09,1.01,1.04,22500,1.04
2016-04-07,1.10,1.10,1.10,1.10,000,1.10
2016-04-06,1.01,1.10,1.01,1.10,2300,1.10
2016-04-05,1.10,1.10,1.06,1.09,700,1.09
2016-04-04,1.10,1.10,1.04,1.10,11100,1.10
2016-04-01,1.09,1.09,1.03,1.08,2000,1.08
2016-03-31,1.05,1.05,1.01,1.05,45600,1.05
2016-03-30,1.05,1.08,1.05,1.06,22000,1.06
2016-03-29,1.09,1.09,1.09,1.09,100,1.09
2016-03-28,1.08,1.09,1.08,1.08,400,1.08
2016-03-24,1.06,1.09,1.06,1.09,1100,1.09
2016-03-23,1.10,1.10,1.06,1.06,1300,1.06
2016-03-22,1.03,1.12,1.03,1.12,31700,1.12
2016-03-21,1.00,1.08,1.00,1.00,6600,1.00
2016-03-18,1.02,1.08,1.00,1.00,6900,1.00
2016-03-17,1.00,1.04,0.95,1.00,81000,1.00
2016-03-16,1.02,1.07,1.00,1.02,29400,1.02
2016-03-15,1.02,1.08,1.02,1.04,17500,1.04
2016-03-14,1.04,1.08,1.02,1.04,38800,1.04
2016-03-11,1.03,1.08,0.95,1.00,82600,1.00
2016-03-10,1.04,1.08,1.00,1.05,117400,1.05
2016-03-09,1.10,1.10,1.03,1.03,76400,1.03
2016-03-08,1.10,1.10,1.06,1.10,9500,1.10
2016-03-07,1.06,1.10,1.06,1.06,27200,1.06
2016-03-04,1.06,1.16,1.06,1.09,12600,1.09
2016-03-03,1.14,1.14,1.06,1.06,42100,1.06
2016-03-02,1.11,1.17,1.11,1.16,12500,1.16
2016-03-01,1.18,1.19,1.18,1.19,1300,1.19
2016-02-29,1.19,1.20,1.17,1.19,10600,1.19
2016-02-26,1.15,1.19,1.08,1.15,14500,1.15
2016-02-25,1.17,1.17,1.15,1.15,3500,1.15
2016-02-24,1.28,1.30,1.20,1.20,19500,1.20
2016-02-23,1.25,1.46,1.25,1.29,1000,1.29
2016-02-22,1.34,1.35,1.25,1.26,19800,1.26
2016-02-19,1.26,1.36,1.26,1.30,6700,1.30
2016-02-18,1.25,1.42,1.25,1.32,14000,1.32
2016-02-17,1.26,1.49,1.20,1.32,184500,1.32
2016-02-16,1.06,1.20,1.06,1.19,127700,1.19
2016-02-12,1.09,1.19,1.09,1.10,8400,1.10
2016-02-11,1.10,1.15,1.08,1.12,15100,1.12
2016-02-10,1.08,1.58,1.08,1.15,22100,1.15
2016-02-09,1.11,1.21,1.09,1.09,8200,1.09
2016-02-08,1.55,1.57,1.18,1.18,16700,1.18
