Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,2.58,2.61,2.54,2.54,818700,2.54
2016-10-06,2.64,2.68,2.56,2.58,809700,2.58
2016-10-05,2.60,2.70,2.59,2.67,1121800,2.67
2016-10-04,2.62,2.68,2.58,2.59,1073500,2.59
2016-10-03,2.66,2.66,2.57,2.63,1169500,2.63
2016-09-30,2.66,2.75,2.60,2.68,1718400,2.68
2016-09-29,2.79,2.80,2.63,2.65,1351000,2.65
2016-09-28,2.75,2.79,2.70,2.76,1029700,2.76
2016-09-27,2.75,2.82,2.73,2.76,718500,2.76
2016-09-26,2.81,2.84,2.73,2.77,796200,2.77
2016-09-23,2.87,2.92,2.78,2.82,850000,2.82
2016-09-22,2.89,2.95,2.84,2.87,757700,2.87
2016-09-21,2.90,2.96,2.78,2.88,1094300,2.88
2016-09-20,2.84,2.90,2.83,2.88,713400,2.88
2016-09-19,2.87,2.94,2.78,2.81,1132500,2.81
2016-09-16,2.81,2.87,2.75,2.83,4399200,2.83
2016-09-15,2.88,2.88,2.76,2.78,1427800,2.78
2016-09-14,2.77,2.88,2.77,2.87,1226700,2.87
2016-09-13,2.66,2.80,2.62,2.76,1371700,2.76
2016-09-12,2.65,2.75,2.63,2.69,1388900,2.69
2016-09-09,2.73,2.80,2.66,2.66,1135200,2.66
2016-09-08,2.73,2.83,2.65,2.81,1157400,2.81
2016-09-07,2.87,2.94,2.70,2.75,2138600,2.75
2016-09-06,2.78,2.88,2.65,2.86,1451700,2.86
2016-09-02,2.80,2.84,2.75,2.75,626400,2.75
2016-09-01,2.80,2.84,2.75,2.80,773400,2.80
2016-08-31,2.87,2.91,2.77,2.81,1008000,2.81
2016-08-30,2.89,2.99,2.84,2.88,691000,2.88
2016-08-29,2.94,2.98,2.81,2.90,741300,2.90
2016-08-26,2.99,3.02,2.84,2.92,1001800,2.92
2016-08-25,2.99,3.07,2.82,2.90,1223200,2.90
2016-08-24,3.12,3.19,2.91,2.97,1722200,2.97
2016-08-23,3.13,3.18,3.07,3.14,655400,3.14
2016-08-22,3.05,3.12,2.98,3.11,882700,3.11
2016-08-19,3.04,3.08,2.98,3.02,783600,3.02
2016-08-18,3.09,3.10,3.02,3.06,905700,3.06
2016-08-17,3.05,3.16,3.00,3.10,1695500,3.10
2016-08-16,3.22,3.25,3.06,3.06,824400,3.06
2016-08-15,3.24,3.24,3.16,3.22,1069300,3.22
2016-08-12,2.98,3.15,2.96,3.15,959100,3.15
2016-08-11,2.96,3.02,2.89,2.99,1326500,2.99
2016-08-10,3.08,3.13,2.91,2.93,1076700,2.93
2016-08-09,3.03,3.10,2.96,3.08,823300,3.08
2016-08-08,3.09,3.23,3.02,3.03,1221500,3.03
2016-08-05,2.78,3.18,2.78,3.11,2070600,3.11
2016-08-04,2.68,2.98,2.53,2.86,1368600,2.86
2016-08-03,2.88,2.98,2.83,2.96,1077900,2.96
2016-08-02,2.95,3.00,2.81,2.88,1174400,2.88
2016-08-01,2.78,3.04,2.76,2.96,1682400,2.96
2016-07-29,2.76,2.79,2.71,2.78,1041000,2.78
2016-07-28,2.93,2.96,2.78,2.79,1227600,2.79
2016-07-27,2.82,2.96,2.78,2.92,1428600,2.92
2016-07-26,2.80,2.88,2.78,2.78,810300,2.78
2016-07-25,2.87,2.94,2.79,2.81,582200,2.81
2016-07-22,2.85,2.89,2.81,2.85,953500,2.85
2016-07-21,3.05,3.11,2.85,2.85,1624800,2.85
2016-07-20,2.81,2.99,2.81,2.95,1071200,2.95
2016-07-19,3.05,3.10,2.81,2.81,2221700,2.81
2016-07-18,2.77,3.13,2.72,3.05,3010100,3.05
2016-07-15,2.76,2.82,2.68,2.76,1314100,2.76
2016-07-14,2.85,2.86,2.74,2.74,1066300,2.74
2016-07-13,3.00,3.01,2.81,2.82,1595000,2.82
2016-07-12,2.99,3.03,2.92,2.97,2393300,2.97
2016-07-11,3.23,3.28,2.91,2.96,2646600,2.96
2016-07-08,3.14,3.24,3.12,3.20,1383000,3.20
2016-07-07,3.15,3.20,3.05,3.12,909400,3.12
2016-07-06,3.08,3.24,3.06,3.13,1320100,3.13
2016-07-05,3.19,3.21,3.08,3.11,1189000,3.11
2016-07-01,3.14,3.28,3.09,3.23,1865300,3.23
2016-06-30,3.14,3.20,3.05,3.08,2114100,3.08
2016-06-29,3.25,3.28,3.05,3.13,2035000,3.13
2016-06-28,3.09,3.20,3.05,3.18,2085100,3.18
2016-06-27,3.14,3.20,2.96,2.98,1659400,2.98
2016-06-24,3.19,3.28,3.12,3.13,1524800,3.13
2016-06-23,3.31,3.36,3.26,3.32,3555600,3.32
2016-06-22,3.25,3.37,3.16,3.25,2377200,3.25
2016-06-21,3.37,3.45,3.19,3.24,1491500,3.24
2016-06-20,3.38,3.41,3.30,3.36,2123400,3.36
2016-06-17,3.52,3.52,3.29,3.32,3257100,3.32
2016-06-16,3.51,3.56,3.37,3.49,3089600,3.49
2016-06-15,3.44,3.56,3.36,3.50,15420100,3.50
2016-06-14,4.26,4.35,3.37,3.49,20216000,3.49
2016-06-13,4.91,5.02,4.82,4.95,1252400,4.95
2016-06-10,5.01,5.03,4.79,4.96,1660100,4.96
2016-06-09,5.34,5.36,5.06,5.07,1472400,5.07
2016-06-08,5.45,5.46,5.32,5.35,1212300,5.35
2016-06-07,5.59,5.69,5.40,5.45,1879700,5.45
2016-06-06,5.82,5.87,5.48,5.65,2037900,5.65
2016-06-03,6.16,6.21,5.76,5.78,2009800,5.78
2016-06-02,5.76,6.20,5.76,6.18,1684700,6.18
2016-06-01,5.64,5.87,5.58,5.75,2931900,5.75
2016-05-31,5.62,5.78,5.56,5.64,1974200,5.64
2016-05-27,5.66,5.70,5.57,5.66,671400,5.66
2016-05-26,5.89,5.90,5.64,5.65,797000,5.65
2016-05-25,5.81,5.92,5.67,5.88,1657800,5.88
2016-05-24,5.64,5.86,5.62,5.72,2852600,5.72
2016-05-23,5.53,5.75,5.47,5.56,2539300,5.56
2016-05-20,5.48,5.60,5.35,5.57,2813400,5.57
2016-05-19,5.55,5.73,5.44,5.44,2504400,5.44
2016-05-18,5.51,5.78,5.46,5.50,2790000,5.50
2016-05-17,5.63,5.81,5.52,5.53,2029200,5.53
2016-05-16,5.69,5.83,5.56,5.65,1487100,5.65
2016-05-13,5.50,5.76,5.50,5.64,1205000,5.64
2016-05-12,5.70,5.73,5.43,5.52,902100,5.52
2016-05-11,5.99,6.00,5.62,5.65,1095700,5.65
2016-05-10,6.10,6.22,5.85,6.01,898800,6.01
2016-05-09,5.80,6.16,5.79,6.06,1532700,6.06
2016-05-06,5.84,5.94,5.67,5.80,1038600,5.80
2016-05-05,6.21,6.30,5.68,5.89,1747600,5.89
2016-05-04,6.12,6.23,5.94,6.17,1838300,6.17
2016-05-03,6.54,6.68,6.05,6.11,2643200,6.11
2016-05-02,6.74,6.84,6.27,6.61,3485700,6.61
2016-04-29,7.07,7.25,6.59,6.85,5302800,6.85
2016-04-28,8.42,8.79,8.34,8.45,842100,8.45
2016-04-27,8.42,8.60,8.25,8.50,776700,8.50
2016-04-26,9.15,9.16,8.37,8.52,1420400,8.52
2016-04-25,9.11,9.45,9.03,9.17,656900,9.17
2016-04-22,9.23,9.29,8.91,9.28,514100,9.28
2016-04-21,8.86,9.28,8.75,9.17,883600,9.17
2016-04-20,9.24,9.37,8.87,8.93,717300,8.93
2016-04-19,9.34,9.41,9.07,9.14,722600,9.14
2016-04-18,9.15,9.47,9.07,9.33,725300,9.33
2016-04-15,9.20,9.33,9.04,9.19,845000,9.19
2016-04-14,9.22,9.30,9.11,9.25,664800,9.25
2016-04-13,8.99,9.28,8.81,9.22,769600,9.22
2016-04-12,9.01,9.16,8.61,8.86,1043000,8.86
2016-04-11,9.14,9.33,8.92,9.01,671300,9.01
2016-04-08,9.63,9.68,8.91,9.10,781900,9.10
2016-04-07,9.65,9.75,9.26,9.45,765000,9.45
2016-04-06,9.04,9.78,9.03,9.76,1149400,9.76
2016-04-05,9.16,9.45,9.01,9.01,1022100,9.01
2016-04-04,8.94,9.63,8.94,9.29,1065200,9.29
2016-04-01,8.46,8.99,8.38,8.91,892600,8.91
2016-03-31,8.31,8.84,8.27,8.52,979400,8.52
2016-03-30,8.27,8.73,8.16,8.26,747500,8.26
2016-03-29,7.65,8.21,7.37,8.20,938100,8.20
2016-03-28,7.95,8.04,7.61,7.67,432300,7.67
2016-03-24,7.76,8.02,7.49,7.85,703800,7.85
2016-03-23,8.49,8.87,7.80,7.81,1044100,7.81
2016-03-22,7.87,8.51,7.86,8.50,1120800,8.50
2016-03-21,7.73,8.09,7.62,7.92,848400,7.92
2016-03-18,7.46,7.78,7.21,7.75,1575200,7.75
2016-03-17,7.31,7.53,6.79,7.41,1525200,7.41
