Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,43.779999,43.779999,43.779999,43.779999,000,43.779999
2016-10-06,41.880001,43.779999,41.880001,43.779999,300,43.779999
2016-10-05,43.82,43.82,43.82,43.82,000,43.82
2016-10-04,43.82,43.82,43.82,43.82,000,43.82
2016-10-03,43.82,43.82,43.82,43.82,000,43.82
2016-09-30,43.740002,43.990002,43.740002,43.82,400,43.82
2016-09-29,43.580002,43.580002,42.029999,42.029999,800,42.029999
2016-09-28,44.50,44.50,44.50,44.50,000,44.50
2016-09-27,44.50,44.50,44.50,44.50,000,44.50
2016-09-26,43.900002,44.790001,43.900002,44.50,300,44.50
2016-09-23,44.00,44.00,44.00,44.00,000,44.00
2016-09-22,44.00,44.00,44.00,44.00,000,44.00
2016-09-21,40.959999,44.00,39.00,44.00,2100,44.00
2016-09-20,40.50,44.700001,40.00,44.700001,2100,44.700001
2016-09-19,40.900002,41.00,40.50,40.50,800,40.50
2016-09-16,41.00,41.00,41.00,41.00,000,41.00
2016-09-15,43.220001,45.00,39.50,41.00,2700,41.00
2016-09-14,40.009998,40.009998,40.009998,40.009998,000,40.009998
2016-09-13,40.009998,40.009998,40.009998,40.009998,000,40.009998
2016-09-12,40.009998,40.009998,40.009998,40.009998,000,40.009998
2016-09-09,40.009998,40.009998,40.009998,40.009998,000,40.009998
2016-09-08,40.009998,40.009998,40.009998,40.009998,500,40.009998
2016-09-07,39.00,41.00,38.990002,40.009998,4300,40.009998
2016-09-06,39.299999,39.299999,39.299999,39.299999,000,39.299999
2016-09-02,39.299999,39.299999,39.299999,39.299999,000,39.299999
2016-09-01,39.299999,39.299999,39.299999,39.299999,100,39.299999
2016-08-31,37.450001,39.349998,37.450001,39.349998,1900,39.349998
2016-08-30,37.599998,37.599998,37.450001,37.450001,600,37.450001
2016-08-29,37.77,38.00,37.450001,37.450001,1700,37.450001
2016-08-26,37.75,37.75,37.75,37.75,000,37.75
2016-08-25,35.830002,37.75,35.830002,37.75,1500,37.75
2016-08-24,37.900002,37.900002,37.900002,37.900002,000,37.900002
2016-08-23,37.900002,37.900002,37.900002,37.900002,000,37.900002
2016-08-22,37.900002,37.900002,37.900002,37.900002,000,37.900002
2016-08-19,37.900002,37.900002,37.900002,37.900002,000,37.900002
2016-08-18,37.900002,37.900002,37.900002,37.900002,000,37.900002
2016-08-17,37.900002,37.900002,37.900002,37.900002,000,37.900002
2016-08-16,37.00,37.900002,37.00,37.900002,400,37.900002
