Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,3.90,3.94,3.82,3.88,58400,3.88
2016-10-06,4.00,4.09,3.80,3.89,144600,3.89
2016-10-05,3.99,4.00,3.92,3.98,47200,3.98
2016-10-04,3.91,4.00,3.91,3.93,104300,3.93
2016-10-03,3.89,4.08,3.89,3.92,124500,3.92
2016-09-30,3.75,3.97,3.75,3.87,105600,3.87
2016-09-29,4.07,4.22,3.75,3.77,270000,3.77
2016-09-28,3.87,4.20,3.87,4.07,201400,4.07
2016-09-27,3.85,3.90,3.76,3.86,114000,3.86
2016-09-26,3.77,3.93,3.76,3.85,148000,3.85
2016-09-23,3.74,3.81,3.57,3.73,76900,3.73
2016-09-22,3.66,3.86,3.65,3.71,158500,3.71
2016-09-21,3.60,3.72,3.60,3.69,166200,3.69
2016-09-20,3.66,3.75,3.57,3.60,80400,3.60
2016-09-19,3.47,3.76,3.47,3.62,285400,3.62
2016-09-16,3.68,3.80,3.47,3.47,324900,3.47
2016-09-15,3.75,3.92,3.55,3.72,548300,3.72
2016-09-14,3.62,4.12,3.62,3.85,1365600,3.85
2016-09-13,3.54,3.66,3.53,3.57,107600,3.57
2016-09-12,3.59,3.64,3.47,3.53,92600,3.53
2016-09-09,3.48,3.67,3.44,3.54,277900,3.54
2016-09-08,3.46,3.58,3.45,3.47,58000,3.47
2016-09-07,3.55,3.60,3.41,3.42,149400,3.42
2016-09-06,3.54,3.73,3.44,3.54,133800,3.54
2016-09-02,3.45,3.54,3.44,3.51,33700,3.51
2016-09-01,3.48,3.53,3.46,3.46,50400,3.46
2016-08-31,3.52,3.55,3.47,3.50,86200,3.50
2016-08-30,3.53,3.63,3.46,3.53,44700,3.53
2016-08-29,3.48,3.77,3.48,3.56,159100,3.56
2016-08-26,3.42,3.56,3.40,3.46,146200,3.46
2016-08-25,3.59,3.67,3.33,3.49,194600,3.49
2016-08-24,3.57,3.69,3.51,3.59,42100,3.59
2016-08-23,3.56,3.69,3.52,3.60,52000,3.60
2016-08-22,3.54,3.72,3.45,3.58,144700,3.58
2016-08-19,3.69,3.78,3.46,3.59,133800,3.59
2016-08-18,3.76,3.92,3.57,3.67,201100,3.67
2016-08-17,3.65,3.94,3.61,3.75,140400,3.75
2016-08-16,3.77,3.77,3.55,3.68,152200,3.68
2016-08-15,3.53,3.95,3.44,3.77,527700,3.77
2016-08-12,3.63,3.63,3.30,3.50,379400,3.50
2016-08-11,3.75,3.90,3.55,3.65,299600,3.65
2016-08-10,4.10,4.11,3.80,3.87,460400,3.87
2016-08-09,4.16,4.27,3.81,4.09,2759200,4.09
2016-08-08,6.09,6.39,3.86,4.05,13308500,4.05
2016-08-05,2.40,2.64,2.35,2.42,234900,2.42
2016-08-04,2.51,2.51,2.35,2.41,61200,2.41
2016-08-03,2.43,2.83,2.43,2.55,287300,2.55
2016-08-02,2.35,2.43,2.35,2.43,4600,2.43
2016-08-01,2.32,2.44,2.32,2.39,1400,2.39
2016-07-29,2.50,2.50,2.24,2.30,53800,2.30
2016-07-28,2.42,2.52,2.42,2.44,11800,2.44
2016-07-27,2.46,2.52,2.40,2.47,22200,2.47
2016-07-26,2.53,2.53,2.36,2.37,13900,2.37
2016-07-25,2.40,2.62,2.31,2.44,11200,2.44
2016-07-22,2.48,2.52,2.35,2.38,30700,2.38
2016-07-21,2.48,2.57,2.42,2.49,21900,2.49
