Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,6.09,6.15,6.08,6.13,13600,6.13
2016-10-06,6.08,6.14,6.08,6.12,17500,6.12
2016-10-05,5.93,6.14,5.93,6.10,11600,6.10
2016-10-04,6.05,6.09,5.91,5.91,4800,5.91
2016-10-03,5.90,6.15,5.86,6.10,32900,6.10
2016-09-30,5.92,5.95,5.84,5.90,7200,5.90
2016-09-29,5.99,5.99,5.88,5.94,6200,5.94
2016-09-28,5.99,6.00,5.99,5.99,3200,5.99
2016-09-27,6.05,6.10,6.05,6.07,5000,6.07
2016-09-26,5.98,6.05,5.95,6.05,8100,6.05
2016-09-23,6.04,6.05,5.97,6.05,5200,6.05
2016-09-22,6.02,6.19,6.01,6.09,13100,6.09
2016-09-21,6.08,6.20,6.05,6.07,40400,6.07
2016-09-20,6.09,6.12,6.08,6.10,4300,6.10
2016-09-19,5.98,6.13,5.98,6.13,20300,6.13
2016-09-16,5.76,6.04,5.76,6.04,25500,6.04
2016-09-15,5.73,5.83,5.73,5.82,10700,5.82
2016-09-14,5.65,5.79,5.65,5.76,13600,5.76
2016-09-13,5.83,5.86,5.65,5.65,17700,5.65
2016-09-12,5.70,5.75,5.65,5.67,19600,5.67
2016-09-09,5.82,5.85,5.74,5.78,12400,5.78
2016-09-08,5.86,5.96,5.80,5.90,15500,5.90
2016-09-07,5.83,6.00,5.83,5.91,18300,5.91
2016-09-06,6.02,6.05,5.76,6.00,57500,6.00
2016-09-02,6.02,6.11,6.02,6.06,6800,6.06
2016-09-01,6.16,6.16,6.00,6.03,4200,6.03
2016-08-31,5.99,6.18,5.99,6.06,18000,6.06
2016-08-30,6.07,6.08,5.88,6.02,42900,6.02
2016-08-29,6.07,6.11,6.02,6.04,15100,6.04
2016-08-26,6.10,6.19,6.02,6.06,7700,6.06
2016-08-25,6.01,6.14,6.01,6.09,13500,6.09
2016-08-24,6.18,6.18,6.01,6.04,21100,6.04
2016-08-23,6.25,6.25,6.04,6.09,13700,6.09
2016-08-22,6.12,6.21,6.06,6.16,22800,6.16
2016-08-19,6.14,6.19,6.04,6.09,15400,6.09
2016-08-18,6.13,6.26,6.07,6.12,16700,6.12
2016-08-17,6.05,6.23,6.03,6.15,35800,6.15
2016-08-16,6.09,6.14,6.03,6.07,13400,6.07
2016-08-15,6.13,6.21,6.10,6.14,21400,6.14
2016-08-12,6.19,6.19,6.02,6.11,11000,6.11
2016-08-11,6.15,6.22,6.06,6.10,17900,6.10
2016-08-10,6.17,6.30,6.10,6.10,25000,6.10
2016-08-09,6.07,6.26,6.00,6.15,161400,6.15
2016-08-08,6.08,6.26,6.00,6.15,105700,6.15
2016-08-05,5.87,6.03,5.70,6.02,36200,6.02
2016-08-04,6.00,6.05,5.73,5.73,38500,5.73
2016-08-03,6.09,6.13,6.00,6.01,44900,6.01
2016-08-02,6.00,6.60,6.00,6.25,330400,6.25
2016-08-01,5.67,5.73,5.65,5.70,51500,5.70
2016-07-29,5.90,5.90,5.68,5.73,6500,5.73
2016-07-28,5.97,5.97,5.79,5.79,1200,5.79
2016-07-27,5.99,6.00,5.82,5.83,2100,5.83
2016-07-26,5.95,6.00,5.88,5.91,15700,5.91
2016-07-25,5.93,5.95,5.87,5.91,7700,5.91
2016-07-22,5.91,5.91,5.82,5.85,5100,5.85
2016-07-21,5.77,5.95,5.63,5.91,8700,5.91
2016-07-20,5.92,5.95,5.91,5.91,6200,5.91
2016-07-19,5.82,5.95,5.82,5.95,30400,5.95
2016-07-18,5.91,5.99,5.87,5.89,14500,5.89
2016-07-15,6.18,6.20,5.87,5.90,29800,5.90
2016-07-14,5.79,6.20,5.75,6.10,102700,6.10
2016-07-13,5.59,5.80,5.59,5.72,19900,5.72
2016-07-12,5.70,5.84,5.49,5.49,26300,5.49
2016-07-11,5.75,5.75,5.68,5.70,7500,5.70
2016-07-08,5.76,5.87,5.66,5.73,13300,5.73
2016-07-07,5.72,5.94,5.66,5.68,4300,5.68
2016-07-06,5.72,5.75,5.65,5.73,7800,5.73
2016-07-05,5.73,5.73,5.66,5.73,6500,5.73
