Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,13.15,13.20,12.62,12.95,2300,12.95
2016-10-06,12.80,13.25,12.80,13.17,6000,13.17
2016-10-05,12.53,12.62,12.53,12.62,1800,12.62
2016-10-04,12.50,12.50,12.50,12.50,300,12.50
2016-10-03,12.30,12.53,12.15,12.40,6300,12.40
2016-09-30,12.30,12.35,12.30,12.35,1200,12.35
2016-09-29,12.56,12.56,12.35,12.35,600,12.35
2016-09-28,12.50,12.60,12.12,12.37,2500,12.37
2016-09-27,12.62,12.68,12.50,12.50,600,12.50
2016-09-26,12.54,12.61,12.50,12.61,1700,12.61
2016-09-23,12.77,12.77,12.77,12.77,500,12.77
2016-09-22,12.67,12.67,12.67,12.67,500,12.67
2016-09-21,12.65,12.81,12.45,12.45,700,12.45
2016-09-20,12.80,12.80,12.65,12.65,400,12.65
2016-09-19,12.71,12.75,12.71,12.75,600,12.75
2016-09-16,12.84,12.84,12.84,12.84,600,12.84
2016-09-15,12.50,12.58,12.43,12.45,1400,12.45
2016-09-14,12.69,12.69,12.46,12.46,700,12.46
2016-09-13,12.89,12.89,12.65,12.84,900,12.84
2016-09-12,12.50,12.85,12.49,12.71,4700,12.71
2016-09-09,13.05,13.05,13.05,13.05,000,13.05
2016-09-08,13.05,13.05,13.05,13.05,000,13.05
2016-09-07,13.22,13.22,12.70,13.05,3900,13.05
2016-09-06,12.55,12.67,12.35,12.45,6000,12.45
2016-09-02,12.53,12.82,12.43,12.68,5400,12.68
2016-09-01,12.42,13.19,12.42,12.43,5400,12.43
2016-08-31,12.25,12.95,12.25,12.42,5500,12.42
2016-08-30,12.30,12.95,12.30,12.75,4600,12.75
2016-08-29,12.73,12.73,12.10,12.21,600,12.21
2016-08-26,12.73,12.85,12.53,12.85,3200,12.85
2016-08-25,12.76,12.89,12.67,12.83,1200,12.83
2016-08-24,12.80,13.15,12.80,13.00,3600,13.00
2016-08-23,12.81,12.81,12.81,12.81,000,12.81
2016-08-22,12.88,12.88,12.69,12.81,3500,12.81
2016-08-19,12.50,12.75,12.50,12.66,5400,12.66
2016-08-18,12.80,12.86,12.80,12.86,1000,12.86
2016-08-17,12.96,12.96,12.96,12.96,000,12.96
2016-08-16,12.78,13.19,12.77,12.96,8000,12.96
2016-08-15,13.50,13.50,12.56,12.56,4900,12.56
2016-08-12,13.17,13.98,13.17,13.70,1200,13.70
2016-08-11,13.77,14.25,13.77,13.92,1600,13.92
2016-08-10,13.99,14.15,13.99,14.14,1200,14.14
2016-08-09,14.40,14.40,13.80,13.99,11000,13.99
2016-08-08,14.41,14.50,14.25,14.40,5100,14.40
2016-08-05,14.16,14.58,14.15,14.39,4400,14.39
2016-08-04,14.10,14.10,14.10,14.10,000,14.10
2016-08-03,14.10,14.10,14.10,14.10,000,14.10
2016-08-02,14.35,14.35,14.10,14.10,800,14.10
2016-08-01,14.40,14.95,14.31,14.33,7600,14.33
2016-07-29,14.30,14.40,14.25,14.32,4000,14.32
2016-07-28,14.11,14.30,14.11,14.18,7800,14.18
2016-07-27,13.97,13.97,13.97,13.97,000,13.97
2016-07-26,14.25,14.25,13.60,13.97,5300,13.97
2016-07-25,13.50,14.30,13.34,13.99,28600,13.99
2016-07-22,13.00,13.49,13.00,13.49,1100,13.49
2016-07-21,13.06,13.08,12.98,13.00,1800,13.00
2016-07-20,13.66,13.66,13.37,13.50,13100,13.50
2016-07-19,13.21,13.38,12.87,13.38,16400,13.38
2016-07-18,13.96,14.44,12.01,13.10,44000,13.10
2016-07-15,12.00,13.60,12.00,13.40,116700,13.40
2016-07-14,11.30,11.30,11.30,11.30,000,11.30
2016-07-13,11.10,11.40,11.10,11.30,1400,11.30
2016-07-12,11.24,11.24,11.24,11.24,000,11.24
2016-07-11,10.85,11.25,10.85,11.24,400,11.24
2016-07-08,10.95,11.40,10.95,11.10,4500,11.10
2016-07-07,11.30,11.30,11.30,11.30,000,11.30
2016-07-06,10.97,11.30,10.97,11.30,20000,11.30
2016-07-05,11.01,11.01,11.01,11.01,500,11.01
2016-07-01,10.80,10.80,10.80,10.80,000,10.80
2016-06-30,11.06,11.06,10.80,10.80,1600,10.80
2016-06-29,11.30,11.32,10.93,10.93,3100,10.93
2016-06-28,11.17,11.32,10.83,10.83,3300,10.83
2016-06-27,11.28,11.32,10.91,11.12,39400,11.12
2016-06-24,11.30,11.30,11.30,11.30,400,11.30
2016-06-23,10.86,10.86,10.86,10.86,000,10.86
2016-06-22,10.86,10.86,10.86,10.86,200,10.86
2016-06-21,11.26,11.35,11.26,11.35,1800,11.35
2016-06-20,11.22,11.28,11.20,11.28,1800,11.28
2016-06-17,10.83,10.83,10.83,10.83,900,10.83
2016-06-16,11.81,11.81,11.81,11.81,000,11.81
2016-06-15,11.81,11.81,11.81,11.81,000,11.81
2016-06-14,11.80,11.94,11.60,11.81,7000,11.81
2016-06-13,11.77,11.77,11.39,11.70,5900,11.70
2016-06-10,11.66,11.87,11.66,11.76,19800,11.76
2016-06-09,10.71,11.74,10.63,11.66,5100,11.66
2016-06-08,11.45,11.54,11.45,11.54,1200,11.54
2016-06-07,11.45,11.48,11.45,11.48,800,11.48
2016-06-06,11.40,11.49,11.25,11.49,4600,11.49
2016-06-03,11.51,11.65,11.47,11.48,13000,11.48
2016-06-02,11.21,11.33,10.95,11.30,7200,11.30
2016-06-01,12.07,12.07,11.16,11.16,1000,11.16
2016-05-31,11.57,12.06,11.57,12.06,300,12.06
2016-05-27,11.95,11.95,11.95,11.95,000,11.95
2016-05-26,11.95,11.95,11.66,11.95,3600,11.95
2016-05-25,11.84,12.44,11.78,12.26,12300,12.26
2016-05-24,11.84,11.84,11.84,11.84,000,11.84
2016-05-23,11.64,11.89,11.64,11.84,2400,11.84
2016-05-20,10.60,11.67,10.55,11.67,1000,11.67
2016-05-19,11.73,11.87,11.73,11.84,2000,11.84
2016-05-18,11.68,11.68,11.68,11.68,000,11.68
2016-05-17,11.69,11.72,11.68,11.68,2500,11.68
2016-05-16,11.60,11.92,11.50,11.69,14500,11.69
2016-05-13,9.74,11.84,9.74,11.65,4400,11.65
2016-05-12,11.41,11.41,11.41,11.41,000,11.41
2016-05-11,11.01,12.00,11.01,11.41,31400,11.41
2016-05-10,11.26,11.26,11.26,11.26,900,11.26
2016-05-09,11.00,11.35,11.00,11.31,1700,11.31
2016-05-06,11.15,11.59,10.80,10.96,7900,10.96
2016-05-05,11.60,11.68,11.15,11.15,1300,11.15
2016-05-04,11.53,11.53,11.53,11.53,500,11.53
2016-05-03,11.45,11.96,11.45,11.63,17000,11.63
2016-05-02,11.09,11.09,11.09,11.09,200,11.09
2016-04-29,11.43,11.43,11.01,11.25,2800,11.25
2016-04-28,10.57,11.83,10.07,11.37,11600,11.37
2016-04-27,10.53,10.53,10.53,10.53,000,10.53
2016-04-26,10.71,10.89,9.64,10.53,4600,10.53
2016-04-25,10.73,10.98,10.70,10.70,1800,10.70
2016-04-22,10.60,10.60,10.60,10.60,200,10.60
2016-04-21,11.28,11.28,11.28,11.28,000,11.28
2016-04-20,11.28,11.28,11.28,11.28,700,11.28
2016-04-19,10.25,10.25,10.25,10.25,400,10.25
2016-04-18,11.36,11.46,11.01,11.10,4900,11.10
2016-04-15,11.18,11.18,11.18,11.18,000,11.18
2016-04-14,10.38,11.71,10.38,11.18,21600,11.18
2016-04-13,11.01,11.01,11.01,11.01,000,11.01
2016-04-12,11.01,11.01,11.01,11.01,000,11.01
2016-04-11,11.01,11.01,11.01,11.01,700,11.01
2016-04-08,11.01,11.01,11.01,11.01,000,11.01
2016-04-07,11.01,11.01,11.01,11.01,100,11.01
2016-04-06,11.32,11.32,10.92,11.26,5200,11.26
2016-04-05,11.20,11.43,10.91,11.32,3800,11.32
2016-04-04,11.20,11.20,11.20,11.20,000,11.20
2016-04-01,11.20,11.20,11.20,11.20,000,11.20
2016-03-31,11.20,11.20,11.20,11.20,600,11.20
2016-03-30,11.24,11.50,11.20,11.20,2400,11.20
2016-03-29,10.93,10.93,10.93,10.93,000,10.93
2016-03-28,10.93,10.93,10.93,10.93,400,10.93
