Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,4.10,4.10,4.00,4.01,91000,4.01
2016-10-06,4.12,4.15,4.07,4.08,107200,4.08
2016-10-05,4.17,4.20,4.10,4.13,104700,4.13
2016-10-04,4.24,4.26,4.14,4.14,97100,4.14
2016-10-03,4.24,4.31,4.23,4.23,138700,4.23
2016-09-30,4.22,4.29,4.20,4.26,154300,4.26
2016-09-29,4.30,4.35,4.21,4.22,128500,4.22
2016-09-28,4.29,4.30,4.22,4.29,89800,4.29
2016-09-27,4.22,4.31,4.20,4.25,89300,4.25
2016-09-26,4.29,4.29,4.22,4.22,90900,4.22
2016-09-23,4.40,4.40,4.26,4.29,213900,4.29
2016-09-22,4.34,4.40,4.32,4.40,340700,4.40
2016-09-21,4.31,4.36,4.26,4.35,70100,4.35
2016-09-20,4.30,4.35,4.26,4.27,62200,4.27
2016-09-19,4.27,4.38,4.26,4.32,184100,4.32
2016-09-16,4.26,4.27,4.20,4.25,645200,4.25
2016-09-15,4.20,4.25,4.20,4.23,126400,4.23
2016-09-14,4.17,4.25,4.15,4.20,85100,4.20
2016-09-13,4.27,4.27,4.16,4.20,149100,4.20
2016-09-12,4.17,4.30,4.17,4.27,207300,4.27
2016-09-09,4.26,4.31,4.17,4.18,154900,4.18
2016-09-08,4.30,4.35,4.25,4.31,191300,4.31
2016-09-07,4.36,4.38,4.30,4.33,145600,4.33
2016-09-06,4.35,4.38,4.29,4.34,181800,4.34
2016-09-02,4.22,4.34,4.21,4.33,135700,4.33
2016-09-01,4.22,4.25,4.13,4.18,162800,4.18
2016-08-31,4.34,4.34,4.20,4.22,168600,4.22
2016-08-30,4.39,4.42,4.34,4.34,95900,4.34
2016-08-29,4.42,4.43,4.38,4.40,125000,4.40
2016-08-26,4.38,4.46,4.33,4.39,143400,4.39
2016-08-25,4.41,4.45,4.38,4.40,173000,4.40
2016-08-24,4.45,4.49,4.39,4.39,111400,4.39
2016-08-23,4.41,4.48,4.40,4.47,181400,4.47
2016-08-22,4.35,4.45,4.33,4.39,140100,4.39
2016-08-19,4.47,4.47,4.33,4.39,248000,4.39
2016-08-18,4.22,4.59,4.20,4.47,557200,4.47
2016-08-17,3.90,4.22,3.87,4.20,732300,4.20
2016-08-16,4.09,4.15,4.06,4.07,131300,4.07
2016-08-15,4.07,4.15,4.07,4.10,106300,4.10
2016-08-12,4.09,4.13,4.07,4.09,68500,4.09
2016-08-11,4.08,4.12,4.06,4.10,82700,4.10
2016-08-10,4.05,4.12,4.00,4.07,105600,4.07
2016-08-09,3.99,4.09,3.99,4.08,165300,4.08
2016-08-08,3.96,4.10,3.95,4.02,135600,4.02
2016-08-05,3.81,4.00,3.74,3.99,287200,3.99
2016-08-04,3.94,3.99,3.90,3.95,75100,3.95
2016-08-03,4.00,4.00,3.91,3.97,103000,3.97
2016-08-02,3.85,3.97,3.85,3.90,122500,3.90
2016-08-01,3.80,3.88,3.77,3.85,87700,3.85
2016-07-29,3.76,3.80,3.75,3.80,115800,3.80
2016-07-28,3.82,3.86,3.76,3.78,68200,3.78
2016-07-27,3.85,3.85,3.77,3.80,62300,3.80
2016-07-26,3.79,3.84,3.78,3.83,28100,3.83
2016-07-25,3.77,3.85,3.50,3.79,63500,3.79
2016-07-22,3.75,3.77,3.60,3.77,52200,3.77
2016-07-21,3.77,3.80,3.70,3.72,56500,3.72
2016-07-20,3.74,3.79,3.70,3.74,173500,3.74
2016-07-19,3.73,3.78,3.68,3.71,175300,3.71
2016-07-18,3.79,3.79,3.71,3.73,186000,3.73
2016-07-15,3.84,3.84,3.77,3.80,119600,3.80
2016-07-14,3.83,3.83,3.79,3.81,87100,3.81
2016-07-13,3.83,3.83,3.81,3.82,86900,3.82
2016-07-12,3.83,3.87,3.77,3.84,208700,3.84
2016-07-11,3.80,3.87,3.79,3.80,181300,3.80
2016-07-08,3.84,3.92,3.79,3.81,202400,3.81
2016-07-07,3.81,3.86,3.81,3.83,42400,3.83
2016-07-06,3.80,3.86,3.78,3.81,63100,3.81
2016-07-05,3.79,3.83,3.77,3.81,58300,3.81
2016-07-01,3.77,3.86,3.75,3.79,72300,3.79
2016-06-30,3.70,3.76,3.68,3.76,219600,3.76
2016-06-29,3.71,3.73,3.58,3.70,207400,3.70
2016-06-28,3.68,3.77,3.63,3.64,171100,3.64
2016-06-27,3.71,3.75,3.60,3.66,223500,3.66
2016-06-24,3.80,3.84,3.64,3.76,1156600,3.76
2016-06-23,3.90,3.95,3.90,3.95,100700,3.95
2016-06-22,3.99,3.99,3.86,3.87,68100,3.87
2016-06-21,3.96,4.00,3.96,3.98,109900,3.98
2016-06-20,3.97,3.99,3.95,3.96,102700,3.96
2016-06-17,4.00,4.00,3.91,3.94,215200,3.94
2016-06-16,3.94,4.00,3.89,3.98,123400,3.98
2016-06-15,3.94,3.99,3.91,3.95,83400,3.95
2016-06-14,3.95,4.00,3.94,3.95,122000,3.95
2016-06-13,3.83,4.00,3.82,3.98,180400,3.98
2016-06-10,3.90,3.92,3.79,3.86,81100,3.86
2016-06-09,3.98,3.99,3.89,3.92,53200,3.92
2016-06-08,3.96,4.01,3.85,4.00,95000,4.00
2016-06-07,3.96,3.99,3.94,3.97,43800,3.97
2016-06-06,4.04,4.07,3.95,3.98,108100,3.98
2016-06-03,4.02,4.08,3.98,4.05,109200,4.05
2016-06-02,3.85,4.01,3.85,4.00,87900,4.00
2016-06-01,3.80,3.92,3.78,3.88,227900,3.88
2016-05-31,3.80,3.84,3.77,3.80,257100,3.80
2016-05-27,3.79,3.80,3.76,3.80,92900,3.80
2016-05-26,3.84,3.86,3.77,3.79,94500,3.79
2016-05-25,3.82,3.88,3.79,3.85,118600,3.85
2016-05-24,3.79,3.89,3.79,3.80,193300,3.80
2016-05-23,3.83,3.89,3.78,3.79,148500,3.79
2016-05-20,3.85,3.85,3.79,3.85,134300,3.85
2016-05-19,3.78,4.00,3.77,3.83,183200,3.83
2016-05-18,3.66,3.80,3.64,3.80,465800,3.80
2016-05-17,3.51,3.73,3.51,3.65,866800,3.65
2016-05-16,3.75,3.84,3.72,3.79,182300,3.79
2016-05-13,3.79,3.86,3.77,3.78,88700,3.78
2016-05-12,3.85,3.90,3.82,3.82,112400,3.82
2016-05-11,3.75,4.06,3.69,3.85,259200,3.85
2016-05-10,3.95,3.96,3.87,3.88,239600,3.88
2016-05-09,3.93,4.00,3.92,3.92,84400,3.92
2016-05-06,3.90,3.95,3.90,3.92,86600,3.92
2016-05-05,3.90,3.94,3.90,3.91,65700,3.91
2016-05-04,3.90,3.99,3.85,3.90,87300,3.90
2016-05-03,4.04,4.04,3.87,3.90,152700,3.90
2016-05-02,4.12,4.15,4.06,4.09,117700,4.09
2016-04-29,4.03,4.07,3.93,4.07,179700,4.07
2016-04-28,4.09,4.19,4.02,4.03,112000,4.03
2016-04-27,4.06,4.20,4.02,4.10,105200,4.10
2016-04-26,4.08,4.17,4.04,4.14,108800,4.14
2016-04-25,4.11,4.14,4.01,4.04,63300,4.04
2016-04-22,4.04,4.15,4.04,4.10,167800,4.10
2016-04-21,3.95,4.11,3.95,4.07,260400,4.07
2016-04-20,4.04,4.12,3.97,3.98,99700,3.98
2016-04-19,4.12,4.19,4.06,4.07,126600,4.07
2016-04-18,3.86,4.18,3.86,4.13,168200,4.13
2016-04-15,3.95,4.01,3.92,3.92,157200,3.92
2016-04-14,3.99,4.06,3.97,3.99,94700,3.99
2016-04-13,3.83,4.03,3.82,4.01,152300,4.01
2016-04-12,3.77,3.90,3.76,3.82,160800,3.82
2016-04-11,3.81,3.87,3.76,3.77,114400,3.77
2016-04-08,3.81,3.82,3.75,3.78,156400,3.78
2016-04-07,3.76,3.83,3.74,3.77,112700,3.77
2016-04-06,3.79,3.84,3.74,3.80,102100,3.80
2016-04-05,3.76,3.86,3.76,3.78,86200,3.78
2016-04-04,3.81,3.84,3.74,3.77,102600,3.77
2016-04-01,3.73,3.91,3.70,3.78,90900,3.78
2016-03-31,3.75,3.80,3.73,3.78,86900,3.78
2016-03-30,3.82,3.85,3.69,3.72,165600,3.72
2016-03-29,3.55,3.84,3.52,3.81,114800,3.81
2016-03-28,3.61,3.64,3.52,3.55,111700,3.55
2016-03-24,3.49,3.64,3.40,3.61,88100,3.61
2016-03-23,3.62,3.66,3.47,3.50,175600,3.50
2016-03-22,3.61,3.69,3.55,3.64,122100,3.64
2016-03-21,3.64,3.70,3.59,3.64,141300,3.64
2016-03-18,3.71,3.74,3.64,3.68,226600,3.68
2016-03-17,3.62,3.74,3.62,3.69,288800,3.69
2016-03-16,3.53,3.65,3.52,3.63,227800,3.63
2016-03-15,3.55,3.60,3.48,3.53,185200,3.53
2016-03-14,3.61,3.66,3.47,3.57,216700,3.57
2016-03-11,3.53,3.63,3.50,3.63,193200,3.63
2016-03-10,3.59,3.71,3.48,3.52,180600,3.52
2016-03-09,3.52,3.66,3.48,3.56,266200,3.56
2016-03-08,3.60,3.60,3.42,3.51,211400,3.51
2016-03-07,3.45,3.64,3.45,3.64,264700,3.64
2016-03-04,3.57,3.59,3.42,3.46,173400,3.46
2016-03-03,3.36,3.57,3.34,3.55,237800,3.55
2016-03-02,3.28,3.40,3.28,3.37,224200,3.37
2016-03-01,3.23,3.37,3.23,3.30,289400,3.30
2016-02-29,3.27,3.30,3.20,3.24,319200,3.24
2016-02-26,3.24,3.32,3.23,3.28,260500,3.28
2016-02-25,3.19,3.26,3.11,3.23,201700,3.23
2016-02-24,3.10,3.28,3.10,3.21,329600,3.21
2016-02-23,3.00,3.16,3.00,3.15,593700,3.15
2016-02-22,3.00,3.05,2.95,3.05,615000,3.05
2016-02-19,3.02,3.06,2.84,3.01,348700,3.01
2016-02-18,3.26,3.31,3.01,3.02,713400,3.02
2016-02-17,3.20,3.41,3.20,3.22,389000,3.22
2016-02-16,3.13,3.37,3.07,3.25,410800,3.25
2016-02-12,3.10,3.14,3.03,3.10,263100,3.10
2016-02-11,3.05,3.20,3.03,3.07,217000,3.07
2016-02-10,3.15,3.27,3.09,3.11,281700,3.11
2016-02-09,3.12,3.23,3.08,3.14,292400,3.14
2016-02-08,3.29,3.30,3.11,3.16,333000,3.16
2016-02-05,3.43,3.50,3.29,3.32,403600,3.32
2016-02-04,3.39,3.53,3.39,3.45,153200,3.45
2016-02-03,3.43,3.47,3.34,3.42,151100,3.42
2016-02-02,3.52,3.52,3.36,3.41,190400,3.41
2016-02-01,3.47,3.59,3.43,3.55,297900,3.55
2016-01-29,3.42,3.53,3.37,3.48,294100,3.48
2016-01-28,3.43,3.46,3.35,3.41,377300,3.41
2016-01-27,3.47,3.49,3.39,3.40,152200,3.40
2016-01-26,3.41,3.52,3.40,3.49,146400,3.49
2016-01-25,3.46,3.50,3.36,3.42,253400,3.42
2016-01-22,3.42,3.71,3.42,3.49,201300,3.49
2016-01-21,3.37,3.48,3.29,3.40,147700,3.40
2016-01-20,3.46,3.46,3.10,3.37,609100,3.37
2016-01-19,3.73,3.73,3.47,3.50,560200,3.50
2016-01-15,3.61,3.73,3.53,3.73,279000,3.73
2016-01-14,3.66,3.74,3.58,3.71,264900,3.71
2016-01-13,3.82,3.82,3.62,3.65,324900,3.65
2016-01-12,3.75,3.97,3.66,3.79,356700,3.79
2016-01-11,3.63,4.03,3.59,3.73,259600,3.73
2016-01-08,3.70,3.81,3.62,3.63,193000,3.63
2016-01-07,3.86,3.89,3.69,3.69,238700,3.69
2016-01-06,3.96,3.99,3.88,3.91,225500,3.91
2016-01-05,3.90,4.04,3.82,4.01,246800,4.01
2016-01-04,4.05,4.05,3.78,3.86,530800,3.86
2015-12-31,4.02,4.13,3.98,4.08,533000,4.08
2015-12-30,4.00,4.22,3.97,4.04,527200,4.04
2015-12-29,4.03,4.14,3.99,4.00,250700,4.00
2015-12-28,4.10,4.12,4.01,4.03,147100,4.03
2015-12-24,4.24,4.25,4.10,4.13,69700,4.13
2015-12-23,4.19,4.23,4.11,4.21,188800,4.21
2015-12-22,4.15,4.16,4.02,4.16,300400,4.16
2015-12-21,4.29,4.46,4.09,4.13,321500,4.13
2015-12-18,4.41,4.53,4.29,4.29,770700,4.29
2015-12-17,4.50,4.52,4.30,4.42,239700,4.42
2015-12-16,4.56,4.63,4.35,4.48,305700,4.48
2015-12-15,4.41,4.59,4.30,4.59,438200,4.59
2015-12-14,4.50,4.54,4.33,4.39,411400,4.39
2015-12-11,4.71,4.76,4.46,4.48,369100,4.48
2015-12-10,4.74,4.79,4.56,4.78,225700,4.78
2015-12-09,4.79,4.85,4.58,4.73,431500,4.73
2015-12-08,4.74,4.84,4.56,4.78,268100,4.78
2015-12-07,4.84,4.85,4.74,4.77,257500,4.77
2015-12-04,4.93,4.95,4.79,4.82,257600,4.82
2015-12-03,5.00,5.05,4.90,4.91,207600,4.91
2015-12-02,5.00,5.00,4.92,4.98,270300,4.98
2015-12-01,5.01,5.03,4.95,5.00,230700,5.00
2015-11-30,5.00,5.10,4.97,5.02,423400,5.02
2015-11-27,4.95,5.04,4.73,4.96,124300,4.96
2015-11-25,4.98,5.01,4.88,4.94,332800,4.94
2015-11-24,4.81,4.99,4.62,4.99,239300,4.99
2015-11-23,4.75,4.86,4.71,4.85,155600,4.85
2015-11-20,4.63,4.78,4.60,4.76,323100,4.76
2015-11-19,4.59,4.66,4.56,4.59,416400,4.59
2015-11-18,4.40,4.64,4.30,4.64,421300,4.64
2015-11-17,4.65,4.76,4.36,4.39,1074000,4.39
2015-11-16,4.90,4.92,4.78,4.85,448000,4.85
2015-11-13,4.97,5.06,4.86,4.88,716600,4.88
2015-11-12,5.00,5.18,5.00,5.06,589900,5.06
2015-11-11,5.10,5.20,5.07,5.10,534200,5.10
2015-11-10,4.72,5.21,4.70,5.11,1466000,5.11
2015-11-09,4.84,4.84,4.66,4.68,413500,4.68
2015-11-06,4.87,4.91,4.78,4.84,236400,4.84
2015-11-05,4.99,5.00,4.89,4.90,224800,4.90
2015-11-04,4.96,5.03,4.93,4.99,220200,4.99
2015-11-03,4.85,4.98,4.85,4.95,251700,4.95
2015-11-02,4.85,4.95,4.77,4.84,282500,4.84
2015-10-30,4.89,4.93,4.86,4.87,133100,4.87
2015-10-29,4.89,4.90,4.79,4.87,189700,4.87
2015-10-28,4.77,4.91,4.77,4.89,222800,4.89
2015-10-27,4.82,4.82,4.68,4.74,318700,4.74
2015-10-26,4.81,4.90,4.80,4.82,152300,4.82
2015-10-23,4.88,4.89,4.78,4.84,263200,4.84
2015-10-22,4.82,4.98,4.79,4.83,282500,4.83
2015-10-21,4.84,4.87,4.77,4.79,225900,4.79
2015-10-20,4.88,4.94,4.82,4.82,217700,4.82
2015-10-19,4.86,4.93,4.80,4.92,244500,4.92
2015-10-16,4.88,4.89,4.80,4.88,227000,4.88
2015-10-15,4.80,4.85,4.72,4.85,398400,4.85
2015-10-14,4.90,4.92,4.76,4.77,264000,4.77
2015-10-13,4.94,5.00,4.87,4.87,343300,4.87
2015-10-12,4.97,4.98,4.89,4.96,295100,4.96
2015-10-09,4.89,5.01,4.88,5.00,392400,5.00
2015-10-08,4.92,4.92,4.82,4.86,300500,4.86
2015-10-07,4.85,4.95,4.62,4.93,314500,4.93
2015-10-06,4.81,4.88,4.79,4.86,279900,4.86
2015-10-05,4.76,4.84,4.73,4.78,474500,4.78
2015-10-02,4.70,4.77,4.69,4.76,394100,4.76
2015-10-01,4.70,4.73,4.63,4.70,320500,4.70
2015-09-30,4.68,4.75,4.62,4.67,574600,4.67
2015-09-29,4.71,4.73,4.61,4.63,493000,4.63
2015-09-28,4.72,4.74,4.66,4.68,589600,4.68
2015-09-25,4.70,4.75,4.58,4.70,567800,4.70
2015-09-24,4.57,4.74,4.54,4.71,863200,4.71
2015-09-23,4.71,4.77,4.65,4.69,455800,4.69
2015-09-22,4.70,4.70,4.59,4.68,392400,4.68
2015-09-21,4.74,4.75,4.69,4.70,365200,4.70
2015-09-18,4.70,4.77,4.70,4.70,451700,4.70
2015-09-17,4.75,4.80,4.72,4.73,437900,4.73
2015-09-16,4.73,4.78,4.69,4.74,582800,4.74
2015-09-15,4.73,4.75,4.70,4.70,325700,4.70
2015-09-14,4.71,4.75,4.67,4.70,330500,4.70
2015-09-11,4.72,4.72,4.64,4.70,509500,4.70
2015-09-10,4.52,4.80,4.49,4.72,1144600,4.72
2015-09-09,4.68,4.94,4.66,4.80,802300,4.80
2015-09-08,4.67,4.73,4.60,4.63,1944600,4.63
2015-09-04,4.55,4.65,4.55,4.61,426800,4.61
2015-09-03,4.66,4.68,4.52,4.61,404200,4.61
2015-09-02,4.59,4.64,4.54,4.63,322600,4.63
2015-09-01,4.46,4.63,4.44,4.55,513500,4.55
2015-08-31,4.51,4.53,4.43,4.51,303800,4.51
