Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,2.59,2.74,2.56,2.73,3400,2.73
2016-10-06,2.55,2.72,2.55,2.72,500,2.72
2016-10-05,2.68,2.90,2.65,2.65,18500,2.65
2016-10-04,2.69,2.80,2.62,2.69,25100,2.69
2016-10-03,2.69,3.19,2.53,2.72,38900,2.72
2016-09-30,2.27,2.75,2.27,2.69,39500,2.69
2016-09-29,2.46,2.46,2.25,2.28,19600,2.28
2016-09-28,2.48,2.48,2.44,2.44,400,2.44
2016-09-27,2.23,2.35,2.21,2.34,5000,2.34
2016-09-26,2.31,2.31,2.25,2.25,200,2.25
2016-09-23,2.15,2.38,2.15,2.17,6400,2.17
2016-09-22,2.11,2.50,2.11,2.39,13100,2.39
2016-09-21,2.00,2.50,2.00,2.23,25100,2.23
2016-09-20,2.11,2.29,2.03,2.28,7200,2.28
2016-09-19,2.26,2.26,2.01,2.08,700,2.08
2016-09-16,2.15,2.15,2.01,2.01,1800,2.01
2016-09-15,2.13,2.15,2.06,2.15,2300,2.15
2016-09-14,2.20,2.20,2.15,2.15,1700,2.15
2016-09-13,2.15,2.15,2.15,2.15,600,2.15
2016-09-12,1.91,2.40,1.91,2.15,20700,2.15
2016-09-09,2.15,2.15,1.89,2.14,7600,2.14
2016-09-08,2.11,2.11,2.10,2.11,900,2.11
2016-09-07,2.15,2.15,2.00,2.01,4100,2.01
2016-09-06,2.19,2.19,2.03,2.15,2000,2.15
2016-09-02,2.01,2.19,2.00,2.09,4700,2.09
2016-09-01,1.95,2.20,1.91,2.11,4300,2.11
2016-08-31,2.05,2.05,2.05,2.05,1000,2.05
2016-08-30,2.08,2.08,2.08,2.08,900,2.08
2016-08-29,2.07,2.11,1.96,2.09,7600,2.09
2016-08-26,2.01,2.15,2.01,2.15,1400,2.15
2016-08-25,2.11,2.16,2.08,2.15,3200,2.15
2016-08-24,2.10,2.16,2.06,2.16,6700,2.16
2016-08-23,2.06,2.20,2.06,2.16,2300,2.16
2016-08-22,1.99,2.20,1.95,2.20,10900,2.20
2016-08-19,2.08,2.20,1.95,1.97,12600,1.97
2016-08-18,2.15,2.17,2.15,2.17,2600,2.17
2016-08-17,2.10,2.10,2.07,2.07,7800,2.07
2016-08-16,2.10,2.10,2.10,2.10,500,2.10
2016-08-15,2.11,2.15,2.10,2.10,2600,2.10
2016-08-12,2.09,2.29,2.08,2.11,3800,2.11
2016-08-11,2.11,2.11,2.11,2.11,000,2.11
2016-08-10,2.08,2.35,2.06,2.11,47100,2.11
2016-08-09,2.10,2.10,2.10,2.10,400,2.10
2016-08-08,2.15,2.15,2.10,2.10,1100,2.10
2016-08-05,2.16,2.19,2.05,2.10,4400,2.10
2016-08-04,2.09,2.15,2.05,2.07,19500,2.07
2016-08-03,2.05,2.23,2.05,2.16,8500,2.16
2016-08-02,2.20,2.20,2.12,2.12,2900,2.12
2016-08-01,2.17,2.23,2.12,2.18,6600,2.18
2016-07-29,2.24,2.24,2.23,2.24,1700,2.24
2016-07-28,2.21,2.29,2.20,2.27,8000,2.27
2016-07-27,2.20,2.30,2.20,2.30,1200,2.30
2016-07-26,2.15,2.31,2.15,2.21,2900,2.21
2016-07-25,2.28,2.32,2.09,2.14,23600,2.14
2016-07-22,2.40,3.25,2.21,2.23,247800,2.23
2016-07-21,2.30,2.30,2.30,2.30,800,2.30
2016-07-20,2.24,2.30,2.24,2.25,1300,2.25
2016-07-19,2.21,2.37,2.21,2.29,2100,2.29
2016-07-18,2.21,2.26,2.21,2.26,700,2.26
2016-07-15,2.18,2.29,2.18,2.22,900,2.22
2016-07-14,2.21,2.28,2.12,2.19,1100,2.19
2016-07-13,2.19,2.29,2.11,2.11,2900,2.11
2016-07-12,2.28,2.40,2.20,2.28,6300,2.28
2016-07-11,2.30,2.30,2.30,2.30,100,2.30
2016-07-08,2.35,2.35,2.30,2.30,300,2.30
2016-07-07,2.45,2.45,2.30,2.30,1200,2.30
2016-07-06,2.45,2.45,2.45,2.45,000,2.45
2016-07-05,2.28,2.45,2.28,2.45,6200,2.45
2016-07-01,2.28,2.28,2.28,2.28,000,2.28
2016-06-30,2.28,2.30,2.28,2.28,1700,2.28
2016-06-29,2.10,2.25,2.10,2.18,2500,2.18
2016-06-28,2.60,2.60,2.60,2.60,200,2.60
2016-06-27,2.46,2.51,2.30,2.30,900,2.30
2016-06-24,2.35,2.35,2.13,2.13,3400,2.13
2016-06-23,2.45,2.50,2.42,2.42,1800,2.42
2016-06-22,2.55,2.60,2.30,2.35,3800,2.35
2016-06-21,2.50,2.60,2.33,2.50,4000,2.50
2016-06-20,2.50,2.60,2.50,2.60,1300,2.60
2016-06-17,2.50,2.50,2.50,2.50,000,2.50
2016-06-16,2.60,2.60,2.50,2.50,300,2.50
