Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,85.32,87.459999,83.239998,84.730003,116100,84.730003
2016-10-06,84.389999,85.699997,84.150002,84.989998,162000,84.989998
2016-10-05,84.620003,85.57,83.879997,84.800003,89900,84.800003
2016-10-04,85.43,86.440002,83.989998,84.059998,85800,84.059998
2016-10-03,86.970001,88.68,84.709999,85.739998,114700,85.739998
2016-09-30,86.760002,87.790001,85.449997,86.489998,152700,86.489998
2016-09-29,87.870003,87.900002,85.650002,85.870003,87800,85.870003
2016-09-28,85.309998,88.400002,84.120003,88.220001,198700,88.220001
2016-09-27,84.739998,85.779999,83.949997,85.440002,149300,85.440002
2016-09-26,85.099998,85.790001,84.650002,85.00,126200,85.00
2016-09-23,85.550003,87.860001,84.849998,85.419998,136200,85.419998
2016-09-22,86.440002,88.019997,85.839996,85.919998,207000,85.919998
2016-09-21,84.800003,85.809998,84.550003,85.489998,235800,85.489998
2016-09-20,85.080002,85.93,84.32,84.389999,144000,84.389999
2016-09-19,83.769997,84.970001,83.32,84.629997,127400,84.629997
2016-09-16,82.57,83.440002,81.449997,83.32,228200,83.32
2016-09-15,82.230003,83.389999,81.809998,83.050003,85000,83.050003
2016-09-14,82.110001,82.889999,81.690002,82.110001,150700,82.110001
2016-09-13,83.32,83.900002,80.709999,81.980003,163700,81.980003
2016-09-12,83.080002,85.099998,83.010002,84.43,162000,84.43
2016-09-09,86.839996,86.889999,83.779999,83.970001,143700,83.970001
2016-09-08,89.370003,89.370003,83.519997,86.839996,134000,86.839996
2016-09-07,89.139999,89.540001,87.190002,89.360001,111400,89.360001
2016-09-06,86.589996,89.050003,86.589996,88.970001,361500,88.970001
2016-09-02,86.239998,86.760002,84.690002,85.629997,85300,85.629997
2016-09-01,85.209999,86.18,84.32,85.620003,78400,85.620003
2016-08-31,84.879997,85.739998,84.080002,85.230003,116400,85.230003
2016-08-30,85.00,85.599998,84.260002,85.330002,110200,85.330002
2016-08-29,84.120003,85.209999,83.650002,85.00,114800,85.00
2016-08-26,85.459999,86.690002,84.059998,84.190002,197300,84.190002
2016-08-25,83.739998,86.449997,83.610001,85.169998,197900,85.169998
2016-08-24,85.209999,85.209999,83.480003,83.769997,142700,83.769997
2016-08-23,85.230003,86.019997,84.809998,85.489998,86400,85.489998
2016-08-22,83.32,84.910004,82.959999,84.830002,82300,84.830002
2016-08-19,84.169998,84.639999,83.099998,83.720001,113900,83.720001
