Date,Open,High,Low,Close,Volume,Adj Close
2017-02-13,18.389999,18.639999,18.35,18.459999,10402800,18.459999
2017-02-10,18.219999,18.32,18.120001,18.26,8954700,18.26
2017-02-09,17.99,18.18,17.85,18.139999,11380900,18.139999
2017-02-08,17.93,17.940001,17.58,17.83,11918000,17.83
2017-02-07,18.379999,18.41,18.030001,18.09,7898000,18.09
2017-02-06,18.24,18.43,18.200001,18.27,9079000,18.27
2017-02-03,18.110001,18.440001,17.93,18.370001,11740900,18.370001
2017-02-02,17.879999,17.879999,17.67,17.84,12656400,17.84
2017-02-01,18.190001,18.33,17.959999,18.040001,10207600,18.040001
2017-01-31,18.07,18.209999,17.809999,17.969999,7991100,17.969999
2017-01-30,18.18,18.18,17.790001,18.07,10029700,18.07
2017-01-27,18.40,18.450001,18.27,18.299999,6520400,18.299999
2017-01-26,18.43,18.57,18.33,18.450001,10799700,18.450001
2017-01-25,18.33,18.43,18.139999,18.40,9302100,18.40
2017-01-24,17.76,18.08,17.68,18.049999,15447400,18.049999
2017-01-23,17.860001,17.92,17.610001,17.690001,10605700,17.690001
2017-01-20,17.860001,18.040001,17.75,17.860001,12885300,17.860001
2017-01-19,18.16,18.209999,17.65,17.84,18711100,17.84
2017-01-18,17.84,18.139999,17.610001,18.129999,20101900,18.129999
2017-01-17,18.40,18.40,17.690001,17.709999,24968600,17.709999
2017-01-13,18.379999,18.77,18.379999,18.58,10568800,18.58
2017-01-12,18.49,18.530001,18.110001,18.290001,11322200,18.290001
2017-01-11,18.42,18.59,18.219999,18.59,10528000,18.59
2017-01-10,18.309999,18.60,18.17,18.48,9456500,18.48
2017-01-09,18.24,18.35,18.02,18.26,9473900,18.26
2017-01-06,18.40,18.50,18.290001,18.32,9897900,18.32
2017-01-05,18.459999,18.59,18.15,18.280001,13676200,18.280001
2017-01-04,18.35,18.620001,18.35,18.51,9955800,18.51
2017-01-03,18.51,18.66,18.16,18.26,13641800,18.26
2016-12-30,18.17,18.43,18.07,18.27,10231100,18.27
2016-12-29,18.27,18.290001,17.969999,18.110001,10018500,18.110001
2016-12-28,18.540001,18.549999,18.23,18.26,7023000,18.26
2016-12-27,18.50,18.620001,18.469999,18.540001,4865900,18.540001
2016-12-23,18.379999,18.530001,18.26,18.469999,6765300,18.469999
2016-12-22,18.35,18.48,18.24,18.360001,9142000,18.360001
2016-12-21,18.469999,18.50,18.32,18.32,6923800,18.32
2016-12-20,18.32,18.50,18.27,18.459999,8626700,18.459999
2016-12-19,18.059999,18.219999,17.92,18.17,13952400,18.17
2016-12-16,18.459999,18.49,18.110001,18.16,23590100,18.16
2016-12-15,18.209999,18.49,18.02,18.370001,14915600,18.370001
2016-12-14,17.92,18.549999,17.719999,18.139999,20717200,18.139999
2016-12-13,18.280001,18.440001,17.85,18.08,17860800,18.08
2016-12-12,18.370001,18.469999,18.049999,18.200001,14274800,18.200001
2016-12-09,18.540001,18.540001,18.190001,18.459999,11218900,18.459999
2016-12-08,18.40,18.610001,18.17,18.370001,14576100,18.370001
2016-12-07,17.969999,18.299999,17.85,18.25,14096100,18.25
2016-12-06,17.700001,17.98,17.59,17.950001,12527800,17.950001
2016-12-05,17.889999,18.01,17.620001,17.700001,19207700,17.700001
2016-12-02,17.879999,17.99,17.58,17.90,16969000,17.90
2016-12-01,17.42,17.870001,17.42,17.860001,15528100,17.860001
2016-11-30,17.42,17.59,17.200001,17.309999,18054200,17.309999
2016-11-29,17.030001,17.219999,16.959999,17.01,10028500,17.01
2016-11-28,17.209999,17.299999,16.940001,17.00,11957400,17.00
2016-11-25,17.41,17.440001,17.200001,17.33,6134500,17.33
2016-11-23,17.33,17.57,17.280001,17.52,16881200,17.435001
2016-11-22,17.27,17.309999,17.07,17.18,13703900,17.09665
2016-11-21,17.15,17.290001,16.969999,17.18,16731400,17.09665
2016-11-18,17.049999,17.10,16.92,17.01,16480700,16.927475
2016-11-17,16.780001,17.01,16.719999,17.00,25404400,16.917523
2016-11-16,16.67,16.969999,16.540001,16.73,23338600,16.648833
2016-11-15,16.629999,17.120001,16.33,17.09,26637700,17.007087
2016-11-14,16.60,17.07,16.459999,16.790001,32390500,16.708543
2016-11-11,15.72,16.35,15.62,16.33,32090800,16.250774
2016-11-10,15.50,16.040001,15.28,15.79,28197300,15.713394
2016-11-09,14.66,15.31,14.56,15.23,33340000,15.15611
2016-11-08,14.43,14.51,14.17,14.41,17263300,14.340089
2016-11-07,14.34,14.58,14.34,14.54,17217900,14.469458
2016-11-04,13.98,14.17,13.85,14.05,13876200,13.981835
2016-11-03,13.95,14.19,13.94,13.96,14461800,13.892272
2016-11-02,14.10,14.10,13.83,13.95,13887300,13.88232
2016-11-01,14.21,14.28,13.95,14.14,15735600,14.071399
2016-10-31,14.15,14.24,14.07,14.12,11500500,14.051496
2016-10-28,14.29,14.33,14.00,14.07,18812700,14.001738
2016-10-27,14.27,14.38,14.16,14.27,15352400,14.200768
2016-10-26,13.87,14.27,13.85,14.18,24081100,14.111205
2016-10-25,13.31,13.89,13.20,13.87,36703600,13.802708
2016-10-24,13.10,13.25,13.09,13.10,12880800,13.036445
2016-10-21,12.91,13.06,12.84,13.04,10194600,12.976735
2016-10-20,12.92,13.15,12.88,13.02,19806800,12.956833
2016-10-19,12.70,12.98,12.67,12.92,15884400,12.857318
2016-10-18,12.54,12.65,12.36,12.63,18228800,12.568725
2016-10-17,12.54,12.57,12.33,12.35,9379600,12.290083
2016-10-14,12.53,12.62,12.42,12.52,14724300,12.459259
2016-10-13,12.55,12.57,12.20,12.31,14401500,12.250277
2016-10-12,12.75,12.79,12.65,12.70,18754000,12.638385
2016-10-11,12.78,12.84,12.63,12.74,15710900,12.678191
2016-10-10,12.82,12.90,12.78,12.80,10389600,12.7379
2016-10-07,12.71,12.82,12.56,12.68,10867800,12.618482
2016-10-06,12.78,12.85,12.68,12.73,10160000,12.668239
2016-10-05,12.47,12.79,12.47,12.76,15362300,12.698094
2016-10-04,12.21,12.57,12.18,12.41,15709500,12.349792
2016-10-03,12.11,12.22,12.06,12.15,11002200,12.091053
2016-09-30,12.12,12.22,12.00,12.17,22705300,12.110956
2016-09-29,12.20,12.37,11.97,12.05,13195700,11.991539
2016-09-28,12.18,12.25,12.05,12.24,11451500,12.180616
2016-09-27,11.96,12.18,11.89,12.15,13497300,12.091053
2016-09-26,12.20,12.26,11.99,12.01,17728600,11.951733
2016-09-23,12.30,12.47,12.26,12.31,11499100,12.250277
2016-09-22,12.29,12.37,12.26,12.34,13022900,12.280132
2016-09-21,12.24,12.31,12.08,12.24,14128900,12.180616
2016-09-20,12.38,12.39,12.14,12.19,8813000,12.130859
2016-09-19,12.33,12.39,12.20,12.26,9640300,12.20052
2016-09-16,12.24,12.28,12.13,12.26,17026400,12.20052
2016-09-15,12.17,12.39,12.15,12.37,14117500,12.309986
2016-09-14,12.31,12.40,12.19,12.22,14041600,12.160714
2016-09-13,12.45,12.47,12.18,12.32,19901800,12.260228
2016-09-12,12.18,12.62,12.08,12.62,26413000,12.558773
2016-09-09,12.36,12.54,12.26,12.26,18967700,12.20052
2016-09-08,12.40,12.45,12.28,12.40,17418600,12.33984
2016-09-07,12.31,12.40,12.24,12.37,11151400,12.309986
2016-09-06,12.54,12.56,12.24,12.35,13430500,12.290083
2016-09-02,12.50,12.57,12.35,12.55,13488000,12.489113
2016-09-01,12.60,12.64,12.30,12.44,13130100,12.379646
2016-08-31,12.53,12.60,12.41,12.56,20063500,12.499065
2016-08-30,12.32,12.50,12.32,12.49,10910000,12.429404
2016-08-29,12.23,12.42,12.23,12.32,15686400,12.260228
2016-08-26,12.29,12.43,12.20,12.32,19061100,12.260228
2016-08-25,12.07,12.28,12.07,12.26,19800000,12.20052
2016-08-24,12.17,12.22,12.06,12.08,20849000,12.021393
2016-08-23,12.24,12.27,12.13,12.14,11203600,12.081102
2016-08-22,12.21,12.33,12.13,12.18,21943600,12.120908
2016-08-19,12.19,12.26,12.15,12.23,14174300,12.170665
2016-08-18,12.18,12.35,12.14,12.21,14221300,12.150762
2016-08-17,12.19,12.28,12.14,12.19,15336800,12.130859
2016-08-16,12.12,12.28,12.07,12.17,14436000,12.110956
2016-08-15,12.07,12.22,12.06,12.20,15115200,12.140811
2016-08-12,12.01,12.02,11.89,11.99,13092400,11.931829
2016-08-11,12.16,12.19,12.08,12.12,11629800,12.061199
2016-08-10,12.21,12.27,12.12,12.12,22098400,12.061199
2016-08-09,12.19,12.30,12.16,12.24,17562200,12.180616
2016-08-08,12.30,12.40,12.15,12.17,18593900,12.110956
2016-08-05,11.91,12.27,11.89,12.26,23633800,12.20052
2016-08-04,11.67,11.80,11.67,11.73,14563500,11.673091
2016-08-03,11.45,11.68,11.45,11.67,18294100,11.613382
2016-08-02,11.46,11.52,11.35,11.45,17540400,11.394449
2016-08-01,11.68,11.80,11.45,11.48,16378700,11.424303
2016-07-29,11.57,11.82,11.57,11.70,76853300,11.643236
2016-07-28,11.56,11.73,11.47,11.65,14126000,11.593479
2016-07-27,11.57,11.72,11.53,11.57,18790100,11.513867
2016-07-26,11.66,11.71,11.44,11.61,25149900,11.469085
2016-07-25,11.77,11.84,11.64,11.68,14631800,11.538236
2016-07-22,11.72,11.83,11.62,11.81,11517900,11.666658
2016-07-21,11.78,11.90,11.64,11.68,10606600,11.538236
2016-07-20,11.77,11.84,11.63,11.82,9376400,11.676536
2016-07-19,11.67,11.82,11.61,11.72,7787200,11.57775
2016-07-18,11.69,11.75,11.62,11.73,9255800,11.587628
2016-07-15,11.86,11.91,11.64,11.70,12625600,11.557993
2016-07-14,11.83,11.89,11.73,11.78,14763900,11.637022
2016-07-13,11.53,11.61,11.38,11.56,13072000,11.419693
2016-07-12,11.40,11.56,11.38,11.47,15112200,11.330785
2016-07-11,11.24,11.36,11.17,11.22,11285700,11.083819
2016-07-08,11.17,11.29,11.07,11.09,14107500,10.955397
2016-07-07,10.81,11.09,10.81,10.94,14513500,10.807217
2016-07-06,10.55,10.85,10.38,10.80,16081700,10.668917
2016-07-05,10.93,10.96,10.60,10.68,14182100,10.550373
2016-07-01,10.97,11.11,10.88,10.96,17636800,10.826975
2016-06-30,11.03,11.05,10.80,11.05,23249000,10.915882
2016-06-29,10.80,10.88,10.55,10.82,21876600,10.688674
2016-06-28,10.54,10.70,10.35,10.67,29016400,10.540495
2016-06-27,10.92,10.92,10.21,10.29,23525500,10.165107
2016-06-24,11.28,11.49,11.05,11.07,24581200,10.935639
2016-06-23,11.76,11.99,11.76,11.99,10457600,11.844473
2016-06-22,11.64,11.80,11.56,11.57,8454700,11.429571
2016-06-21,11.65,11.69,11.46,11.63,10815100,11.488843
2016-06-20,11.81,11.96,11.57,11.60,10527700,11.459207
2016-06-17,11.48,11.78,11.48,11.62,15680200,11.478964
2016-06-16,11.56,11.59,11.34,11.53,15131700,11.390056
2016-06-15,11.67,11.89,11.62,11.66,11802400,11.518478
2016-06-14,11.99,12.16,11.53,11.65,19381900,11.508599
2016-06-13,12.17,12.33,12.07,12.08,10793400,11.933381
2016-06-10,12.31,12.32,12.18,12.25,11391600,12.101317
2016-06-09,12.60,12.61,12.29,12.44,14828600,12.289011
2016-06-08,12.68,12.79,12.62,12.70,13970100,12.545855
2016-06-07,12.87,12.88,12.68,12.69,9853600,12.535977
2016-06-06,12.73,12.97,12.71,12.84,13909400,12.684157
2016-06-03,12.42,12.73,12.39,12.71,10762800,12.555734
2016-06-02,12.85,12.98,12.78,12.96,8504400,12.8027
2016-06-01,12.67,12.93,12.56,12.89,12618800,12.73355
2016-05-31,12.94,12.98,12.76,12.82,13959400,12.664399
2016-05-27,12.78,12.96,12.75,12.88,13414800,12.723671
2016-05-26,12.93,12.94,12.69,12.75,7934700,12.595249
2016-05-25,12.83,13.08,12.83,12.96,14015300,12.718732
2016-05-24,12.60,12.80,12.56,12.75,11101400,12.512641
2016-05-23,12.48,12.56,12.31,12.48,9997600,12.247667
2016-05-20,12.44,12.60,12.42,12.48,9113700,12.247667
2016-05-19,12.49,12.67,12.28,12.39,14295900,12.159343
2016-05-18,11.93,12.57,11.92,12.52,19136400,12.286923
2016-05-17,11.85,12.08,11.76,11.94,11117200,11.71772
2016-05-16,11.70,11.95,11.67,11.90,10715100,11.678465
