Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,20.290001,20.43,20.00,20.01,108300,20.01
2016-10-06,20.440001,20.440001,20.16,20.280001,47200,20.280001
2016-10-05,20.639999,20.74,20.41,20.41,84900,20.41
2016-10-04,20.620001,20.83,20.32,20.49,73400,20.49
2016-10-03,20.27,20.57,20.219999,20.50,96800,20.50
2016-09-30,19.639999,20.549999,19.530001,20.49,190200,20.49
2016-09-29,19.950001,19.950001,19.49,19.610001,124900,19.610001
2016-09-28,19.540001,19.959999,19.49,19.91,74500,19.91
2016-09-27,19.540001,19.549999,19.360001,19.440001,64000,19.440001
2016-09-26,19.92,20.08,19.52,19.58,77700,19.58
2016-09-23,19.98,20.040001,19.83,19.99,126900,19.99
2016-09-22,19.43,20.030001,19.24,19.959999,147700,19.959999
2016-09-21,18.700001,19.290001,18.700001,19.280001,178900,19.280001
2016-09-20,18.969999,19.030001,18.66,18.67,136100,18.67
2016-09-19,18.66,19.110001,18.48,18.799999,115900,18.799999
2016-09-16,18.49,18.65,18.129999,18.58,212200,18.58
2016-09-15,17.99,18.52,17.950001,18.52,106300,18.52
2016-09-14,18.26,18.450001,17.950001,18.049999,103700,18.049999
2016-09-13,18.559999,18.889999,18.049999,18.15,93900,18.15
2016-09-12,18.57,18.790001,18.290001,18.74,121600,18.74
2016-09-09,19.040001,19.040001,18.549999,18.629999,245100,18.629999
2016-09-08,19.299999,19.299999,19.040001,19.16,114900,19.16
2016-09-07,19.24,19.389999,18.950001,19.299999,130700,19.299999
2016-09-06,19.59,19.60,19.299999,19.309999,51100,19.19
2016-09-02,19.540001,19.75,19.49,19.51,48700,19.388758
2016-09-01,19.450001,19.530001,19.190001,19.35,92300,19.229752
2016-08-31,19.57,19.58,19.059999,19.35,205300,19.229752
2016-08-30,19.50,19.57,19.42,19.51,69000,19.388758
2016-08-29,19.65,19.709999,19.49,19.50,111500,19.37882
2016-08-26,19.84,20.00,19.559999,19.629999,91100,19.508011
2016-08-25,19.85,20.030001,19.76,19.84,188700,19.716707
2016-08-24,19.700001,19.91,19.700001,19.85,220700,19.726645
2016-08-23,19.120001,19.780001,18.99,19.709999,289200,19.587514
2016-08-22,18.51,19.120001,18.370001,19.110001,196700,18.991244
2016-08-19,18.50,18.75,17.74,18.530001,188200,18.414848
2016-08-18,18.48,18.68,18.35,18.58,211700,18.464537
2016-08-17,18.129999,18.40,17.90,18.35,377000,18.235967
2016-08-16,18.23,18.50,17.18,18.040001,232600,17.927893
2016-08-15,17.690001,18.27,17.16,18.26,169700,18.146526
2016-08-12,17.74,17.809999,17.459999,17.73,168900,17.619819
2016-08-11,17.50,17.84,17.459999,17.790001,228300,17.679447
2016-08-10,17.280001,17.459999,17.23,17.43,109100,17.321684
2016-08-09,17.370001,17.40,17.200001,17.32,107400,17.212367
2016-08-08,17.370001,17.42,17.129999,17.34,208200,17.232243
2016-08-05,16.65,17.43,16.65,17.290001,203400,17.182554
2016-08-04,16.58,16.85,16.379999,16.549999,276400,16.447151
2016-08-03,19.52,19.58,16.219999,16.59,685100,16.486904
2016-08-02,18.57,18.57,17.65,17.969999,175600,17.858327
2016-08-01,17.93,18.60,17.610001,18.51,260500,18.394972
2016-07-29,18.190001,18.190001,17.51,17.860001,560000,17.749012
2016-07-28,19.49,19.49,17.99,18.07,501200,17.957706
2016-07-27,19.59,19.65,18.799999,19.459999,389700,19.339067
2016-07-26,19.299999,19.66,19.280001,19.60,119800,19.478199
2016-07-25,19.25,19.389999,18.91,19.299999,91300,19.180062
2016-07-22,19.24,19.34,18.709999,19.309999,73300,19.19
2016-07-21,18.940001,19.379999,18.76,19.24,146000,19.120435
2016-07-20,18.799999,18.92,18.66,18.84,94300,18.722921
2016-07-19,18.50,18.709999,18.440001,18.700001,112900,18.583792
2016-07-18,18.469999,18.65,18.15,18.540001,64500,18.424786
2016-07-15,18.389999,18.530001,18.200001,18.51,87600,18.394972
2016-07-14,18.629999,18.700001,18.209999,18.23,154000,18.116711
2016-07-13,18.540001,18.540001,18.23,18.360001,56600,18.245905
2016-07-12,18.26,18.639999,18.26,18.450001,94800,18.335345
2016-07-11,17.83,18.16,17.83,18.08,135600,17.967644
2016-07-08,17.34,17.92,17.34,17.74,196400,17.629757
2016-07-07,17.280001,17.40,16.889999,17.09,136700,16.983796
2016-07-06,17.040001,17.18,16.93,17.17,106800,17.063299
2016-07-05,17.07,17.42,16.860001,17.129999,165500,17.023547
2016-07-01,16.83,17.379999,16.83,17.059999,148400,16.953982
2016-06-30,16.719999,17.120001,16.50,16.889999,131400,16.785039
2016-06-29,16.09,17.09,16.09,16.65,278000,16.54653
2016-06-28,16.27,16.309999,15.78,16.030001,216700,15.930384
2016-06-27,17.24,17.24,15.98,16.07,173000,15.970135
2016-06-24,17.90,17.90,17.48,17.48,425000,17.371372
2016-06-23,17.93,18.209999,17.610001,18.110001,86700,17.997458
2016-06-22,17.60,17.969999,17.60,17.719999,228500,17.60988
2016-06-21,17.799999,17.799999,17.469999,17.60,96300,17.490627
2016-06-20,17.77,18.17,17.67,17.73,101800,17.619819
2016-06-17,17.77,17.82,17.40,17.49,263200,17.38131
2016-06-16,18.00,18.00,17.549999,17.719999,112100,17.60988
2016-06-15,18.280001,18.309999,17.99,18.02,64200,17.908017
2016-06-14,18.40,18.469999,17.91,18.129999,156300,18.017332
2016-06-13,18.74,18.74,18.450001,18.48,186800,18.365158
2016-06-10,19.24,19.24,18.67,18.73,104300,18.613604
2016-06-09,19.49,19.559999,19.200001,19.35,84200,19.229752
2016-06-08,19.66,19.66,19.32,19.51,115000,19.388758
2016-06-07,19.82,20.00,19.60,19.83,107800,19.587514
2016-06-06,19.49,19.77,19.200001,19.76,151400,19.51837
2016-06-03,19.459999,19.459999,18.940001,19.389999,167300,19.152894
2016-06-02,19.40,19.57,19.129999,19.57,133600,19.330693
2016-06-01,18.60,19.41,18.16,19.379999,286900,19.143016
2016-05-31,18.77,18.790001,18.27,18.700001,324300,18.471332
2016-05-27,18.280001,18.73,18.280001,18.68,106800,18.451577
2016-05-26,18.120001,18.26,17.91,18.209999,129200,17.987323
2016-05-25,18.299999,18.299999,17.99,18.15,104700,17.928057
2016-05-24,18.01,18.35,17.68,18.23,110100,18.007079
2016-05-23,17.969999,18.09,17.049999,17.860001,136100,17.641604
2016-05-20,17.75,17.99,17.50,17.950001,205800,17.730504
2016-05-19,17.780001,17.860001,17.43,17.73,133800,17.513193
2016-05-18,17.99,18.27,17.76,17.92,139900,17.70087
2016-05-17,18.219999,18.40,17.780001,17.99,202600,17.770014
2016-05-16,18.09,18.49,17.969999,18.200001,140800,17.977447
2016-05-13,17.950001,18.139999,17.780001,18.040001,93900,17.819403
2016-05-12,18.33,18.33,17.700001,17.950001,117400,17.730504
2016-05-11,18.35,18.389999,18.10,18.23,124700,18.007079
2016-05-10,18.16,18.34,17.940001,18.32,130400,18.095978
2016-05-09,18.16,18.16,17.74,18.030001,273800,17.809525
2016-05-06,18.00,18.24,17.93,18.10,159100,17.878669
2016-05-05,17.34,18.09,17.34,18.049999,205600,17.829279
