Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,2.04,2.05,1.96,2.01,159900,2.01
2016-10-06,2.09,2.09,1.93,2.03,136700,2.03
2016-10-05,1.97,2.09,1.91,2.09,254800,2.09
2016-10-04,1.73,1.97,1.73,1.94,861200,1.94
2016-10-03,2.26,2.28,1.70,1.73,603400,1.73
2016-09-30,2.27,2.30,2.26,2.26,90400,2.26
2016-09-29,2.27,2.29,2.27,2.27,68300,2.27
2016-09-28,2.27,2.35,2.26,2.27,117800,2.27
2016-09-27,2.27,2.29,2.25,2.29,79900,2.29
2016-09-26,2.31,2.31,2.26,2.27,60200,2.27
2016-09-23,2.25,2.30,2.25,2.30,47300,2.30
2016-09-22,2.32,2.33,2.25,2.25,71900,2.25
2016-09-21,2.26,2.34,2.22,2.32,112400,2.32
2016-09-20,2.31,2.34,2.23,2.25,36400,2.25
2016-09-19,2.24,2.35,2.24,2.30,137300,2.30
2016-09-16,2.36,2.38,2.19,2.23,412800,2.23
2016-09-15,2.34,2.38,2.28,2.37,117100,2.37
2016-09-14,2.27,2.34,2.20,2.34,176700,2.34
2016-09-13,2.30,2.30,2.11,2.27,263600,2.27
2016-09-12,2.10,2.30,2.10,2.28,207900,2.28
2016-09-09,2.20,2.20,2.10,2.14,263000,2.14
2016-09-08,2.25,2.27,2.15,2.19,157100,2.19
2016-09-07,2.27,2.27,2.20,2.24,234400,2.24
2016-09-06,2.21,2.30,2.21,2.25,204300,2.25
2016-09-02,2.20,2.25,2.17,2.22,175800,2.22
2016-09-01,2.25,2.25,2.19,2.22,97300,2.22
2016-08-31,2.23,2.28,2.20,2.23,96100,2.23
2016-08-30,2.19,2.25,2.19,2.23,97200,2.23
2016-08-29,2.12,2.21,2.12,2.17,148900,2.17
2016-08-26,2.23,2.30,2.15,2.15,294900,2.15
2016-08-25,2.40,2.47,2.23,2.23,273800,2.23
2016-08-24,2.45,2.48,2.34,2.35,253400,2.35
2016-08-23,2.41,2.50,2.40,2.45,125900,2.45
2016-08-22,2.56,2.68,2.36,2.42,480300,2.42
2016-08-19,2.71,2.84,2.35,2.56,1456100,2.56
2016-08-18,2.40,2.59,2.40,2.56,484100,2.56
2016-08-17,2.38,2.40,2.32,2.40,366600,2.40
2016-08-16,2.31,2.38,2.25,2.35,657800,2.35
2016-08-15,2.44,2.46,2.14,2.23,2755300,2.23
2016-08-12,2.01,2.07,1.99,2.05,125500,2.05
2016-08-11,2.03,2.06,2.00,2.01,129600,2.01
2016-08-10,2.06,2.09,2.01,2.01,158900,2.01
2016-08-09,2.03,2.08,2.03,2.05,79000,2.05
2016-08-08,2.09,2.10,2.01,2.04,132700,2.04
2016-08-05,2.01,2.06,2.00,2.04,84800,2.04
2016-08-04,2.00,2.00,1.90,2.00,204100,2.00
2016-08-03,2.10,2.15,1.95,1.97,208200,1.97
2016-08-02,2.09,2.14,2.01,2.09,178700,2.09
2016-08-01,1.91,2.15,1.83,2.10,1318100,2.10
2016-07-29,1.85,1.85,1.79,1.79,265700,1.79
2016-07-28,1.84,1.87,1.82,1.82,119700,1.82
2016-07-27,1.86,1.91,1.81,1.82,116400,1.82
2016-07-26,1.82,1.88,1.80,1.84,87200,1.84
2016-07-25,1.88,1.88,1.80,1.83,31100,1.83
2016-07-22,1.81,1.84,1.78,1.80,198100,1.80
