Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,9.72,10.50,9.635,9.96,99800,9.96
2016-10-06,9.61,9.70,9.45,9.57,38700,9.57
2016-10-05,9.50,9.64,9.44,9.56,28500,9.56
2016-10-04,9.84,9.98,9.35,9.57,38200,9.57
2016-10-03,9.43,9.60,9.40,9.42,27600,9.42
2016-09-30,9.49,9.55,9.36,9.38,36100,9.38
2016-09-29,9.45,9.775,9.22,9.36,72000,9.36
2016-09-28,9.69,9.75,9.36,9.49,59600,9.49
2016-09-27,9.56,9.79,9.00,9.74,69400,9.74
2016-09-26,9.27,9.65,9.09,9.54,39500,9.54
2016-09-23,8.91,9.16,8.90,9.11,50800,9.11
2016-09-22,9.29,9.50,8.98,9.00,42600,9.00
2016-09-21,9.01,9.35,8.96,9.28,39700,9.28
2016-09-20,9.45,9.59,8.91,8.96,23600,8.96
2016-09-19,9.26,9.53,8.98,9.45,29400,9.45
2016-09-16,9.09,9.30,9.05,9.25,62200,9.25
2016-09-15,9.46,9.60,9.10,9.10,9500,9.10
2016-09-14,9.60,9.66,9.45,9.50,56600,9.50
2016-09-13,9.39,9.73,9.39,9.51,58600,9.51
2016-09-12,9.89,10.00,9.36,9.39,23200,9.39
2016-09-09,10.29,10.29,9.77,9.89,39000,9.89
2016-09-08,10.75,10.75,10.24,10.42,42300,10.42
2016-09-07,10.63,10.95,10.56,10.65,351600,10.65
2016-09-06,10.77,10.90,10.516,10.58,105700,10.58
2016-09-02,11.12,11.12,10.54,10.90,66000,10.90
2016-09-01,11.37,11.37,10.97,11.25,39100,11.25
2016-08-31,11.30,11.58,11.19,11.28,23400,11.28
2016-08-30,11.16,11.58,11.04,11.39,69900,11.39
2016-08-29,10.93,11.23,10.72,11.04,25000,11.04
2016-08-26,11.37,11.57,11.00,11.01,102000,11.01
2016-08-25,10.61,10.78,10.51,10.70,56400,10.70
2016-08-24,10.80,10.96,10.69,10.71,7400,10.71
2016-08-23,10.63,10.94,10.52,10.73,70800,10.73
2016-08-22,11.30,11.30,10.73,10.80,27500,10.80
2016-08-19,11.22,11.70,10.83,11.31,26300,11.31
2016-08-18,10.50,11.42,10.36,11.345,54300,11.345
2016-08-17,10.37,10.56,10.22,10.56,46300,10.56
2016-08-16,10.10,10.77,10.005,10.45,53600,10.45
2016-08-15,9.94,10.15,9.94,10.11,211000,10.11
2016-08-12,9.92,10.09,9.86,9.92,90500,9.92
2016-08-11,9.72,9.959,9.72,9.915,48400,9.915
2016-08-10,10.00,10.00,9.69,9.75,11600,9.75
2016-08-09,10.00,10.10,9.98,10.00,14000,10.00
2016-08-08,10.09,10.09,9.95,10.01,29900,10.01
2016-08-05,10.02,10.09,9.95,10.07,24700,10.07
2016-08-04,9.83,10.11,9.83,10.05,24900,10.05
2016-08-03,9.91,10.15,9.50,10.13,43200,10.13
2016-08-02,10.00,10.12,9.924,10.09,11200,10.09
2016-08-01,10.00,10.09,10.00,10.02,5800,10.02
2016-07-29,10.03,10.15,9.94,10.10,7100,10.10
2016-07-28,10.13,10.15,9.85,10.13,33100,10.13
2016-07-27,10.10,10.15,9.96,10.12,54000,10.12
2016-07-26,9.89,10.458,9.89,10.10,26200,10.10
2016-07-25,10.03,10.205,9.98,10.11,39500,10.11
2016-07-22,10.05,10.05,9.97,10.02,25000,10.02
2016-07-21,10.00,10.072,10.00,10.03,8300,10.03
2016-07-20,10.09,10.28,9.95,10.07,26700,10.07
2016-07-19,10.07,10.07,9.96,9.99,8200,9.99
2016-07-18,10.12,10.136,9.58,10.01,12900,10.01
2016-07-15,10.01,10.105,10.01,10.07,6500,10.07
2016-07-14,10.26,10.26,10.06,10.115,23700,10.115
2016-07-13,10.13,10.19,9.71,10.12,26800,10.12
2016-07-12,10.10,10.16,10.05,10.13,28600,10.13
2016-07-11,9.98,10.26,9.39,10.11,28700,10.11
2016-07-08,10.10,10.32,10.05,10.17,27800,10.17
2016-07-07,10.22,10.22,10.05,10.06,25300,10.06
2016-07-06,10.01,10.10,10.00,10.03,13500,10.03
2016-07-05,10.00,10.24,10.00,10.08,45500,10.08
2016-07-01,9.54,10.14,9.54,10.05,59400,10.05
2016-06-30,9.361,10.09,9.361,9.76,21400,9.76
2016-06-29,9.39,9.52,9.27,9.36,26800,9.36
2016-06-28,8.90,9.545,8.80,9.23,32800,9.23
2016-06-27,9.41,9.41,8.48,8.83,39300,8.83
2016-06-24,9.71,9.72,9.27,9.46,18700,9.46
2016-06-23,10.00,10.04,9.76,9.97,58500,9.97
2016-06-22,9.77,9.92,9.77,9.86,6500,9.86
2016-06-21,9.84,10.486,9.74,9.78,26500,9.78
2016-06-20,10.10,10.49,9.75,9.77,14800,9.77
2016-06-17,9.80,10.10,9.59,9.90,15700,9.90
2016-06-16,9.57,10.006,9.47,9.92,26400,9.92
2016-06-15,9.71,9.73,9.45,9.48,2500,9.48
2016-06-14,9.78,9.83,9.51,9.54,10000,9.54
2016-06-13,10.00,10.09,9.30,9.51,56000,9.51
2016-06-10,9.93,10.12,9.90,10.03,36000,10.03
2016-06-09,10.21,10.28,9.95,10.08,31700,10.08
2016-06-08,10.00,10.295,9.99,10.19,54900,10.19
2016-06-07,10.01,10.155,9.91,10.10,38400,10.10
2016-06-06,9.99,10.13,9.71,9.91,15000,9.91
2016-06-03,9.87,10.20,9.75,9.85,39900,9.85
2016-06-02,9.96,10.13,9.75,10.13,24700,10.13
2016-06-01,9.00,9.89,9.00,9.88,16400,9.88
2016-05-31,10.13,10.13,9.45,9.84,81200,9.84
2016-05-27,9.94,10.16,9.78,10.15,35700,10.15
2016-05-26,10.00,10.30,9.87,9.99,32600,9.99
2016-05-25,9.17,9.97,9.17,9.97,28600,9.97
2016-05-24,9.35,9.60,9.15,9.55,34700,9.55
2016-05-23,9.08,9.55,9.00,9.01,20300,9.01
2016-05-20,8.80,9.07,8.165,9.02,101300,9.02
