Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,3.80,3.97,3.60,3.79,223000,3.79
2016-10-06,3.84,4.24,3.60,3.77,803200,3.77
2016-10-05,3.59,3.931,3.55,3.76,630700,3.76
2016-10-04,3.54,3.77,3.502,3.57,299300,3.57
2016-10-03,3.45,3.47,3.33,3.47,137600,3.47
2016-09-30,3.48,3.51,3.40,3.48,101400,3.48
2016-09-29,3.50,3.64,3.30,3.50,370700,3.50
2016-09-28,3.60,3.77,3.35,3.54,791100,3.54
2016-09-27,3.24,4.15,3.24,3.62,5157100,3.62
2016-09-26,3.27,3.34,3.225,3.27,123900,3.27
2016-09-23,3.22,3.265,3.18,3.25,93700,3.25
2016-09-22,3.14,3.27,3.07,3.22,104900,3.22
2016-09-21,3.15,3.16,3.06,3.14,74400,3.14
2016-09-20,3.13,3.15,3.05,3.09,62800,3.09
2016-09-19,3.16,3.221,3.06,3.09,96600,3.09
2016-09-16,3.21,3.246,3.15,3.19,55100,3.19
2016-09-15,3.16,3.29,3.15,3.23,171200,3.23
2016-09-14,3.15,3.21,3.09,3.15,86400,3.15
2016-09-13,3.21,3.24,3.031,3.15,160700,3.15
2016-09-12,3.24,3.26,3.10,3.24,115600,3.24
2016-09-09,3.39,3.39,3.05,3.17,234000,3.17
2016-09-08,3.23,3.48,3.22,3.30,715200,3.30
2016-09-07,2.952,3.37,2.95,3.25,1091100,3.25
2016-09-06,2.95,3.09,2.91,2.96,115600,2.96
2016-09-02,2.98,2.98,2.85,2.87,104900,2.87
2016-09-01,2.95,2.975,2.88,2.91,72600,2.91
2016-08-31,2.948,3.02,2.93,2.99,48500,2.99
2016-08-30,3.01,3.058,2.92,2.96,45900,2.96
2016-08-29,3.00,3.046,2.89,3.01,117800,3.01
2016-08-26,3.091,3.10,3.017,3.02,76000,3.02
2016-08-25,3.04,3.09,3.01,3.04,56300,3.04
2016-08-24,3.07,3.128,3.05,3.07,27600,3.07
2016-08-23,3.13,3.13,2.98,3.13,58000,3.13
2016-08-22,3.24,3.24,3.11,3.16,38800,3.16
2016-08-19,3.16,3.25,3.12,3.21,71700,3.21
2016-08-18,3.05,3.16,3.02,3.12,70500,3.12
2016-08-17,3.00,3.08,2.87,3.07,186000,3.07
2016-08-16,3.16,3.194,2.97,3.07,169300,3.07
2016-08-15,3.14,3.18,3.07,3.18,178700,3.18
2016-08-12,3.12,3.12,2.82,3.06,310700,3.06
2016-08-11,3.28,3.28,3.074,3.14,320300,3.14
2016-08-10,3.56,3.59,3.21,3.33,690200,3.33
2016-08-09,3.47,3.49,3.30,3.38,427100,3.38
2016-08-08,3.33,3.44,3.22,3.40,470900,3.40
2016-08-05,3.20,3.27,3.08,3.27,273500,3.27
2016-08-04,3.22,3.228,3.01,3.18,307400,3.18
2016-08-03,3.08,3.34,3.06,3.25,1079200,3.25
2016-08-02,3.11,3.11,3.00,3.07,158800,3.07
2016-08-01,3.00,3.149,2.98,3.05,160100,3.05
2016-07-29,2.99,3.07,2.939,3.01,179400,3.01
2016-07-28,3.01,3.08,2.84,2.995,163200,2.995
2016-07-27,2.80,3.00,2.781,2.96,172400,2.96
2016-07-26,2.87,2.87,2.70,2.77,117700,2.77
2016-07-25,2.89,2.89,2.76,2.80,76000,2.80
2016-07-22,2.97,2.99,2.88,2.97,72000,2.97
2016-07-21,3.00,3.00,2.96,2.96,36000,2.96
2016-07-20,2.95,3.02,2.92,3.01,76300,3.01
2016-07-19,3.10,3.10,2.93,2.98,121100,2.98
2016-07-18,3.05,3.06,3.02,3.06,58600,3.06
