Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,23.35,23.49,22.25,22.860001,89700,22.860001
2016-10-06,23.68,23.68,23.17,23.35,58300,23.35
2016-10-05,23.639999,24.540001,23.469999,23.93,77200,23.93
2016-10-04,23.440001,23.780001,23.07,23.639999,107600,23.639999
2016-10-03,23.700001,23.879999,22.049999,23.48,142300,23.48
2016-09-30,23.700001,24.52,23.379999,23.790001,116000,23.790001
2016-09-29,25.559999,25.559999,23.51,23.60,179800,23.60
2016-09-28,25.879999,25.879999,25.26,25.51,98600,25.51
2016-09-27,25.639999,26.49,25.40,25.74,102300,25.74
2016-09-26,26.09,26.32,25.57,25.82,162800,25.82
2016-09-23,26.99,28.200001,26.139999,26.33,183000,26.33
2016-09-22,26.440001,27.049999,25.82,26.92,168100,26.92
2016-09-21,27.030001,27.65,24.90,26.27,294100,26.27
2016-09-20,23.15,27.25,22.450001,27.030001,362400,27.030001
2016-09-19,22.49,23.60,22.049999,22.889999,181900,22.889999
2016-09-16,22.190001,22.73,22.040001,22.26,115300,22.26
2016-09-15,22.219999,22.309999,21.83,22.25,106900,22.25
2016-09-14,22.00,23.10,21.950001,22.23,293700,22.23
2016-09-13,20.00,21.33,19.74,21.09,134400,21.09
2016-09-12,19.280001,20.389999,19.280001,20.07,174400,20.07
2016-09-09,18.860001,20.360001,18.790001,19.52,462900,19.52
2016-09-08,17.049999,18.99,16.35,18.610001,387400,18.610001
2016-09-07,16.41,16.540001,15.77,16.02,99400,16.02
2016-09-06,16.24,16.879999,16.24,16.41,90500,16.41
2016-09-02,16.59,16.620001,16.040001,16.15,72100,16.15
2016-09-01,16.33,16.559999,16.16,16.48,40800,16.48
2016-08-31,17.200001,17.200001,16.290001,16.35,127000,16.35
2016-08-30,17.059999,17.74,17.00,17.209999,41900,17.209999
2016-08-29,17.620001,17.620001,16.940001,17.10,47300,17.10
2016-08-26,17.02,17.700001,16.879999,17.58,71400,17.58
2016-08-25,17.940001,18.389999,16.799999,17.040001,114300,17.040001
2016-08-24,19.00,19.469999,17.610001,17.90,86200,17.90
2016-08-23,19.059999,19.40,18.879999,19.049999,85500,19.049999
2016-08-22,18.35,18.959999,18.10,18.860001,86700,18.860001
2016-08-19,18.27,18.440001,17.860001,18.379999,85000,18.379999
2016-08-18,18.00,18.40,17.66,18.379999,45600,18.379999
2016-08-17,18.23,18.33,17.84,17.99,99800,17.99
2016-08-16,18.35,18.559999,17.809999,18.27,98500,18.27
2016-08-15,18.379999,18.76,18.01,18.389999,73200,18.389999
2016-08-12,18.33,18.52,17.83,18.209999,76400,18.209999
2016-08-11,17.549999,18.440001,17.15,18.309999,86000,18.309999
2016-08-10,18.209999,18.66,17.200001,17.450001,161200,17.450001
2016-08-09,18.32,19.07,17.629999,18.120001,123200,18.120001
2016-08-08,18.379999,18.540001,17.84,18.25,68300,18.25
2016-08-05,18.040001,18.60,18.01,18.440001,54200,18.440001
2016-08-04,18.690001,18.75,17.940001,17.969999,83600,17.969999
2016-08-03,17.790001,18.85,17.790001,18.57,91700,18.57
2016-08-02,17.540001,18.25,17.27,17.889999,113400,17.889999
2016-08-01,17.110001,17.889999,16.92,17.57,73100,17.57
2016-07-29,16.91,17.110001,16.690001,17.00,66700,17.00
2016-07-28,17.379999,17.940001,16.620001,16.98,90800,16.98
2016-07-27,16.48,17.57,16.48,17.469999,168800,17.469999
2016-07-26,16.08,16.549999,16.00,16.389999,57400,16.389999
2016-07-25,16.129999,16.26,15.91,16.15,57200,16.15
2016-07-22,16.07,16.299999,15.84,16.139999,52000,16.139999
2016-07-21,16.65,17.01,15.85,16.00,117200,16.00
2016-07-20,15.75,16.690001,15.70,16.549999,104800,16.549999
2016-07-19,16.34,16.41,15.55,15.66,66500,15.66
2016-07-18,15.96,16.469999,15.77,16.370001,67900,16.370001
2016-07-15,15.86,15.99,15.65,15.88,61400,15.88
2016-07-14,16.209999,16.209999,15.62,15.70,75000,15.70
2016-07-13,17.209999,17.799999,15.89,15.99,198200,15.99
2016-07-12,16.780001,17.42,16.379999,17.10,139000,17.10
2016-07-11,16.940001,17.040001,16.49,16.559999,93400,16.559999
2016-07-08,16.450001,16.99,15.96,16.85,115100,16.85
2016-07-07,16.43,16.85,15.92,16.370001,78400,16.370001
2016-07-06,16.049999,16.700001,15.93,16.309999,75300,16.309999
2016-07-05,15.85,16.360001,15.57,16.17,53600,16.17
2016-07-01,16.01,16.76,15.76,16.059999,146500,16.059999
2016-06-30,16.67,16.700001,15.82,16.00,157000,16.00
