Date,Open,High,Low,Close,Volume,Adj Close
2017-02-13,261.049988,263.109985,261.019989,262.350006,906700,262.350006
2017-02-10,258.480011,260.920013,258.00,260.549988,748800,260.549988
2017-02-09,256.73999,259.040009,256.73999,258.200012,869300,258.200012
2017-02-08,256.929993,257.809998,256.399994,256.73999,972400,256.73999
2017-02-07,256.00,257.299988,255.580002,256.369995,976300,256.369995
2017-02-06,254.429993,257.070007,254.110001,255.309998,970200,255.309998
2017-02-03,252.669998,256.459991,251.50,254.460007,1801600,254.460007
2017-02-02,250.899994,252.169998,250.339996,251.970001,1044000,251.970001
2017-02-01,250.830002,252.559998,249.979996,250.899994,1209200,250.899994
2017-01-31,252.320007,252.50,249.960007,251.330002,1262400,251.330002
2017-01-30,254.330002,256.279999,251.880005,252.830002,1533300,252.830002
2017-01-27,254.979996,259.119995,250.130005,253.50,2597200,253.50
2017-01-26,250.00,254.990005,249.550003,254.970001,1955800,254.970001
2017-01-25,253.059998,254.330002,248.00,251.00,2325800,251.00
2017-01-24,250.380005,253.449997,249.020004,252.910004,2980400,252.910004
2017-01-23,258.149994,259.73999,255.020004,257.480011,1604200,257.480011
2017-01-20,257.959991,258.079987,256.100006,257.730011,1163200,257.730011
2017-01-19,255.570007,257.440002,255.190002,257.029999,1074900,257.029999
2017-01-18,254.100006,254.729996,252.940002,254.070007,925300,254.070007
2017-01-17,253.460007,254.339996,252.059998,254.119995,1431000,254.119995
2017-01-13,252.740005,255.949997,252.020004,254.529999,1160900,254.529999
2017-01-12,254.910004,255.330002,251.309998,252.619995,1153300,252.619995
2017-01-11,256.299988,257.00,251.710007,255.130005,1613000,255.130005
2017-01-10,258.160004,258.959991,256.170013,256.170013,1145100,256.170013
2017-01-09,258.00,258.98999,257.429993,257.809998,1067100,257.809998
2017-01-06,255.479996,258.570007,255.479996,257.850006,1246000,257.850006
2017-01-05,254.369995,258.019989,254.100006,255.979996,1279200,255.979996
2017-01-04,254.100006,254.899994,253.339996,253.990005,1075500,253.990005
2017-01-03,251.199997,254.110001,250.759995,253.309998,1599700,253.309998
2016-12-30,250.529999,251.320007,248.779999,249.940002,1058100,249.940002
2016-12-29,250.190002,251.919998,249.449997,250.589996,900900,250.589996
2016-12-28,250.440002,251.00,248.520004,249.580002,997700,249.580002
2016-12-27,250.779999,251.75,250.199997,250.860001,788800,250.860001
2016-12-23,248.169998,251.880005,247.009995,249.589996,2086400,249.589996
2016-12-22,252.009995,253.50,251.100006,252.800003,804100,252.800003
2016-12-21,254.50,254.50,252.279999,252.520004,810300,252.520004
2016-12-20,252.179993,253.779999,252.100006,253.729996,898400,253.729996
2016-12-19,249.539993,252.460007,249.539993,252.179993,1042700,252.179993
2016-12-16,251.279999,252.789993,249.029999,250.080002,1971400,250.080002
2016-12-15,252.339996,253.309998,250.410004,250.649994,1762000,250.649994
2016-12-14,252.309998,254.830002,252.080002,252.300003,1820700,252.300003
2016-12-13,254.669998,255.50,250.119995,251.690002,2495400,251.690002
2016-12-12,251.779999,253.699997,245.50,253.110001,7076200,253.110001
2016-12-09,258.600006,260.220001,258.059998,259.529999,1545300,259.529999
2016-12-08,266.380005,266.380005,258.609985,259.25,2765900,259.25
2016-12-07,266.070007,267.00,264.350006,266.380005,1259500,266.380005
2016-12-06,265.829987,266.799988,264.01001,266.00,1135200,266.00
2016-12-05,268.950012,269.899994,266.309998,266.929993,1266900,266.929993
2016-12-02,266.579987,268.149994,266.01001,267.619995,1089300,267.619995
2016-12-01,265.290009,266.529999,264.309998,266.399994,871700,266.399994
2016-11-30,267.549988,267.950012,265.25,265.25,1416000,265.25
2016-11-29,264.50,267.769989,263.709991,266.579987,1209500,266.579987
2016-11-28,265.730011,266.230011,264.859985,265.929993,1364900,264.109988
2016-11-25,265.339996,266.48999,264.649994,265.920013,653000,264.100077
2016-11-23,264.910004,265.820007,263.559998,264.399994,1038000,262.59046
2016-11-22,264.48999,265.640015,263.420013,264.660004,1244700,262.848691
2016-11-21,264.049988,264.329987,262.640015,263.420013,965500,261.617187
2016-11-18,263.140015,264.459991,261.579987,263.089996,1197100,261.289428
2016-11-17,263.50,264.470001,262.390015,263.279999,913500,261.47813
2016-11-16,265.869995,266.170013,261.459991,263.350006,1464200,261.547659
2016-11-15,268.790009,269.73999,261.850006,265.929993,2014600,264.109988
2016-11-14,261.230011,267.809998,260.799988,267.23999,2455100,265.41102
2016-11-11,257.959991,259.730011,255.059998,259.170013,2002900,257.396273
2016-11-10,257.50,258.190002,252.770004,257.269989,2627400,255.509253
2016-11-09,256.589996,257.480011,250.00,253.460007,4184300,251.725346
2016-11-08,239.00,240.919998,238.600006,239.190002,1259300,237.553004
2016-11-07,239.830002,239.919998,237.520004,239.270004,1376000,237.632458
2016-11-04,238.850006,239.699997,236.210007,236.279999,1512200,234.662916
2016-11-03,242.550003,243.399994,237.110001,238.699997,1695100,237.066352
2016-11-02,244.949997,247.649994,244.199997,245.110001,953800,243.432486
2016-11-01,247.190002,247.190002,244.229996,244.979996,1081000,243.303371
2016-10-31,248.240005,248.809998,245.679993,246.380005,1320900,244.693799
2016-10-28,248.720001,250.169998,247.690002,248.00,1119000,246.302707
2016-10-27,250.279999,251.240005,248.050003,248.529999,1294400,246.829078
2016-10-26,248.600006,252.00,247.490005,250.089996,2112300,248.378399
2016-10-25,241.080002,249.789993,238.639999,249.259995,3130700,247.554078
2016-10-24,231.50,232.490005,230.919998,232.160004,1304900,230.571118
2016-10-21,231.070007,231.160004,228.50,230.520004,1553000,228.942343
2016-10-20,232.149994,232.710007,230.720001,231.830002,922800,230.243375
2016-10-19,233.080002,233.740005,231.580002,232.330002,992400,230.739953
2016-10-18,234.289993,239.600006,232.580002,232.789993,867900,231.196796
2016-10-17,232.679993,234.330002,232.600006,232.770004,793300,231.176944
2016-10-14,233.380005,234.089996,231.929993,232.570007,1081000,230.978316
2016-10-13,231.660004,233.419998,231.050003,232.990005,1112000,231.395439
2016-10-12,231.929993,233.119995,231.369995,232.100006,1256000,230.511531
2016-10-11,233.00,233.630005,231.639999,231.850006,1060700,230.263242
2016-10-10,233.820007,234.929993,233.119995,233.289993,990000,231.693374
2016-10-07,233.199997,233.990005,231.570007,233.529999,2183900,231.931737
2016-10-06,237.00,237.020004,234.479996,234.720001,1899700,233.113595
2016-10-05,239.050003,239.050003,236.50,236.600006,1172100,234.980734
2016-10-04,240.960007,241.050003,236.50,237.100006,1409600,235.477312
2016-10-03,238.710007,241.300003,237.539993,240.580002,1338300,238.93349
2016-09-30,243.059998,243.470001,237.330002,239.720001,2167000,238.079376
2016-09-29,246.080002,246.080002,240.960007,242.339996,1134100,240.68144
2016-09-28,246.130005,246.960007,244.860001,245.75,1352500,244.068106
2016-09-27,246.039993,247.020004,245.300003,245.789993,946500,244.107825
2016-09-26,245.710007,247.479996,245.009995,245.529999,880700,243.84961
2016-09-23,246.080002,246.539993,244.639999,245.839996,858800,244.157486
2016-09-22,244.949997,247.029999,244.740005,246.619995,1173000,244.932146
2016-09-21,241.139999,243.869995,240.619995,243.820007,1660200,242.151322
2016-09-20,241.350006,242.240005,240.479996,240.479996,1007900,238.834169
2016-09-19,239.300003,241.889999,239.080002,240.880005,1456600,239.23144
2016-09-16,238.419998,238.639999,237.25,237.449997,2892900,235.824907
2016-09-15,237.410004,239.490005,236.699997,239.089996,1267100,237.453682
2016-09-14,237.410004,239.009995,236.910004,237.410004,1494500,235.785188
2016-09-13,237.669998,238.720001,237.00,237.410004,1609000,235.785188
2016-09-12,236.50,239.50,235.279999,238.800003,1822000,237.165674
2016-09-09,240.139999,240.639999,237.889999,237.940002,1574200,236.311559
2016-09-08,240.490005,242.25,240.00,241.630005,1249600,239.976307
2016-09-07,242.160004,243.00,241.149994,241.369995,1245900,239.718077
2016-09-06,244.240005,244.490005,242.259995,243.00,1599800,241.336926
2016-09-02,243.75,245.00,242.259995,243.320007,1492700,241.654744
2016-09-01,243.130005,243.839996,241.899994,243.610001,1337100,241.942752
2016-08-31,239.00,243.619995,238.600006,242.970001,2890200,241.307133
2016-08-30,242.649994,243.309998,238.850006,239.449997,1887400,237.811219
2016-08-29,245.00,246.080002,244.039993,244.300003,1637600,240.989334
2016-08-26,249.00,249.800003,243.649994,244.440002,4697100,241.127436
2016-08-25,247.610001,250.190002,246.00,248.529999,4383900,245.162007
2016-08-24,248.759995,249.75,244.800003,248.119995,10559900,244.757559
2016-08-23,255.240005,255.240005,248.139999,249.75,10627900,246.365475
2016-08-22,254.369995,256.420013,253.75,254.199997,3791000,250.755167
2016-08-19,254.729996,255.00,252.699997,254.119995,2412700,250.676249
2016-08-18,255.639999,255.990005,254.100006,255.419998,2596300,251.958635
2016-08-17,256.700012,257.50,251.550003,255.639999,4381100,252.175655
2016-08-16,265.230011,266.049988,254.440002,256.769989,7884400,253.290331
2016-08-15,264.220001,266.929993,264.200012,266.50,9143800,262.888485
2016-08-12,262.48999,265.339996,261.670013,264.149994,13962300,260.570325
2016-08-11,261.50,264.070007,260.149994,262.540009,12648900,258.982158
2016-08-10,259.820007,262.100006,259.070007,261.299988,9565300,257.758941
2016-08-09,260.429993,261.290009,259.179993,260.660004,9900300,257.12763
2016-08-08,260.00,261.869995,258.790009,260.190002,8743400,256.663998
2016-08-05,259.140015,260.290009,257.630005,260.290009,4418100,256.762649
2016-08-04,257.649994,258.779999,256.140015,257.75,5720200,254.257062
2016-08-03,257.51001,257.75,254.75,256.850006,6827200,253.369264
2016-08-02,254.169998,257.459991,252.729996,257.00,4770800,253.517225
2016-08-01,252.630005,254.929993,252.300003,254.839996,2782400,251.386493
2016-07-29,254.50,254.809998,252.699997,252.729996,2178300,249.305087
2016-07-28,254.199997,254.889999,252.050003,254.550003,2716000,251.10043
2016-07-27,255.470001,256.00,253.029999,254.160004,2593300,250.715716
2016-07-26,255.619995,256.459991,253.830002,254.759995,2121500,251.307576
2016-07-25,256.820007,257.279999,254.720001,255.619995,1295200,252.155922
2016-07-22,254.600006,257.48999,253.050003,257.309998,1864500,253.823022
2016-07-21,257.48999,257.48999,251.600006,254.139999,2733400,250.695982
2016-07-20,259.320007,259.820007,255.889999,256.670013,3361600,253.191711
2016-07-19,258.540009,263.369995,252.100006,258.959991,4980000,255.450656
2016-07-18,257.779999,258.290009,255.300003,256.290009,2345800,252.816855
