Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,5.20,5.90,5.11,5.41,11403200,5.41
2016-10-06,4.27,4.32,4.11,4.17,119700,4.17
2016-10-05,4.25,4.35,4.13,4.30,105700,4.30
2016-10-04,4.56,4.56,4.22,4.25,158100,4.25
2016-10-03,4.49,4.58,4.22,4.54,201500,4.54
2016-09-30,4.08,4.55,3.95,4.46,450200,4.46
2016-09-29,4.40,4.406,4.00,4.06,204100,4.06
2016-09-28,4.51,4.59,4.31,4.41,261600,4.41
2016-09-27,4.40,4.55,4.15,4.48,572600,4.48
2016-09-26,4.45,4.93,4.13,4.28,1948900,4.28
2016-09-23,3.83,3.94,3.74,3.89,116700,3.89
2016-09-22,3.66,3.90,3.66,3.83,146300,3.83
2016-09-21,3.61,3.75,3.52,3.65,187500,3.65
2016-09-20,3.47,3.66,3.361,3.59,187500,3.59
2016-09-19,3.63,3.67,3.40,3.45,237400,3.45
2016-09-16,3.52,3.68,3.425,3.62,236300,3.62
2016-09-15,3.28,3.58,3.28,3.50,216400,3.50
2016-09-14,3.28,3.47,3.20,3.30,125100,3.30
2016-09-13,3.59,3.59,3.221,3.29,112200,3.29
2016-09-12,3.37,3.63,3.35,3.60,75500,3.60
2016-09-09,3.36,3.45,3.31,3.40,79200,3.40
2016-09-08,3.34,3.43,3.33,3.37,151800,3.37
2016-09-07,3.39,3.485,3.33,3.33,180700,3.33
2016-09-06,3.50,3.60,3.39,3.39,131700,3.39
2016-09-02,3.43,3.52,3.376,3.48,96700,3.48
2016-09-01,3.41,3.49,3.33,3.43,116100,3.43
2016-08-31,3.51,3.61,3.33,3.37,122800,3.37
2016-08-30,3.50,3.66,3.50,3.54,91800,3.54
2016-08-29,3.64,3.73,3.51,3.54,260100,3.54
2016-08-26,3.52,3.74,3.52,3.62,76900,3.62
2016-08-25,3.65,3.81,3.407,3.53,249200,3.53
2016-08-24,3.87,3.89,3.59,3.63,87100,3.63
2016-08-23,3.77,3.90,3.66,3.81,168200,3.81
2016-08-22,3.68,3.94,3.54,3.77,124400,3.77
2016-08-19,3.69,3.90,3.63,3.67,144600,3.67
2016-08-18,3.93,3.94,3.66,3.70,162500,3.70
2016-08-17,4.00,4.15,3.76,3.86,131600,3.86
2016-08-16,4.33,4.35,4.00,4.01,161300,4.01
2016-08-15,4.48,4.50,4.31,4.36,110800,4.36
2016-08-12,4.24,4.62,4.148,4.48,447700,4.48
2016-08-11,4.23,4.26,4.06,4.23,94900,4.23
2016-08-10,4.29,4.37,3.96,4.22,463700,4.22
2016-08-09,3.71,4.39,3.62,4.32,604200,4.32
2016-08-08,3.70,3.72,3.62,3.69,133200,3.69
2016-08-05,3.66,3.74,3.54,3.70,121300,3.70
2016-08-04,3.60,3.70,3.50,3.645,163900,3.645
2016-08-03,3.25,3.66,3.25,3.59,195800,3.59
2016-08-02,3.42,3.49,3.29,3.40,234700,3.40
2016-08-01,3.70,3.70,3.29,3.425,243600,3.425
2016-07-29,3.61,3.71,3.56,3.69,112400,3.69
2016-07-28,3.60,3.73,3.56,3.60,103300,3.60
2016-07-27,3.60,3.719,3.53,3.60,111800,3.60
2016-07-26,3.64,3.70,3.54,3.60,190900,3.60
2016-07-25,3.71,3.72,3.61,3.64,214900,3.64
2016-07-22,3.54,3.71,3.41,3.70,217300,3.70
2016-07-21,3.32,3.71,3.32,3.55,388200,3.55
2016-07-20,3.28,3.36,3.22,3.32,307100,3.32
2016-07-19,3.32,3.33,3.16,3.27,302100,3.27
2016-07-18,3.34,3.36,3.29,3.33,185700,3.33
2016-07-15,3.37,3.40,3.29,3.36,205500,3.36
2016-07-14,3.33,3.41,3.29,3.36,215300,3.36
2016-07-13,3.40,3.42,3.29,3.32,216400,3.32
2016-07-12,3.40,3.44,3.30,3.38,279400,3.38
2016-07-11,3.35,3.35,3.21,3.30,263800,3.30
2016-07-08,3.24,3.36,3.20,3.34,397500,3.34
2016-07-07,3.32,3.32,3.11,3.27,459500,3.27
2016-07-06,3.48,3.86,3.17,3.20,1028600,3.20
2016-07-05,3.03,3.48,2.96,3.44,1747800,3.44
2016-07-01,3.05,3.13,3.02,3.04,1313500,3.04
2016-06-30,3.07,3.20,3.00,3.04,1685200,3.04
2016-06-29,2.82,3.11,2.51,3.10,6315600,3.10
2016-06-28,7.27,7.36,6.17,6.27,1491700,6.27
2016-06-27,7.00,7.37,6.56,7.19,710900,7.19
2016-06-24,6.90,7.15,6.70,6.88,2074300,6.88
2016-06-23,7.70,7.785,7.15,7.19,497200,7.19
2016-06-22,7.01,7.76,6.89,7.49,734300,7.49
2016-06-21,6.86,6.98,6.46,6.96,573900,6.96
2016-06-20,7.00,7.20,6.412,6.81,693700,6.81
2016-06-17,7.68,7.80,6.91,7.03,449500,7.03
2016-06-16,7.49,7.66,7.20,7.50,362400,7.50
2016-06-15,8.04,8.09,7.20,7.45,773800,7.45
2016-06-14,8.42,8.55,7.97,8.02,331600,8.02
2016-06-13,8.17,8.47,8.03,8.44,290600,8.44
2016-06-10,8.93,9.00,8.13,8.16,520700,8.16
2016-06-09,8.99,9.59,8.90,9.10,428900,9.10
2016-06-08,8.78,8.96,8.65,8.90,183100,8.90
2016-06-07,8.71,9.10,8.60,8.75,287300,8.75
2016-06-06,8.48,8.74,8.40,8.71,193500,8.71
2016-06-03,8.78,8.92,8.37,8.44,253000,8.44
2016-06-02,8.56,9.012,8.56,8.75,308600,8.75
2016-06-01,8.74,8.74,8.44,8.51,208400,8.51
2016-05-31,9.24,9.24,8.66,8.74,267000,8.74
2016-05-27,9.09,9.48,8.98,9.07,244100,9.07
2016-05-26,8.92,9.14,8.84,9.04,94700,9.04
2016-05-25,9.16,9.21,8.83,8.91,179700,8.91
2016-05-24,8.88,9.30,8.87,9.10,349400,9.10
2016-05-23,7.84,8.88,7.76,8.73,332000,8.73
2016-05-20,7.81,8.32,7.66,7.83,241700,7.83
2016-05-19,7.78,7.87,7.53,7.79,538400,7.79
2016-05-18,7.88,8.19,7.66,7.79,245600,7.79
2016-05-17,7.75,8.02,7.73,7.85,209100,7.85
2016-05-16,7.65,7.90,7.472,7.82,239700,7.82
2016-05-13,7.64,7.72,7.31,7.38,298300,7.38
2016-05-12,8.07,8.23,7.51,7.65,285500,7.65
2016-05-11,8.49,8.52,7.91,8.01,160100,8.01
2016-05-10,8.72,8.75,7.30,8.47,638600,8.47
