Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,15.11,15.11,14.69,14.93,17300,14.93
2016-10-06,15.06,15.34,14.97,15.00,25000,15.00
2016-10-05,16.059999,16.059999,15.08,15.18,34800,15.18
2016-10-04,16.110001,16.299999,15.95,15.99,16800,15.99
2016-10-03,16.75,16.959999,16.02,16.08,25700,16.08
2016-09-30,16.389999,16.98,16.360001,16.940001,36600,16.940001
2016-09-29,15.91,16.370001,15.91,16.27,15900,16.27
2016-09-28,15.63,16.030001,15.61,15.99,14300,15.99
2016-09-27,15.86,15.91,15.62,15.69,13900,15.69
2016-09-26,15.62,15.82,15.57,15.76,23400,15.76
2016-09-23,15.78,16.040001,15.50,15.56,15800,15.56
2016-09-22,15.76,16.049999,15.76,15.92,17000,15.92
2016-09-21,16.09,16.120001,15.64,15.76,31400,15.76
2016-09-20,16.07,16.07,15.55,15.88,18600,15.88
2016-09-19,16.26,16.60,15.70,15.80,69300,15.80
2016-09-16,14.94,16.15,14.75,15.96,159200,15.96
2016-09-15,14.49,15.20,14.22,14.40,22400,14.40
2016-09-14,13.66,14.63,13.66,14.50,34200,14.50
2016-09-13,13.61,13.69,13.52,13.61,8100,13.61
2016-09-12,13.46,13.66,13.27,13.60,17500,13.60
2016-09-09,12.95,13.68,12.92,13.50,43300,13.50
2016-09-08,12.84,13.18,12.75,13.12,16100,13.12
2016-09-07,12.83,12.85,12.73,12.77,10400,12.77
2016-09-06,12.44,12.76,12.33,12.71,18300,12.71
2016-09-02,12.05,12.40,11.85,12.36,11700,12.36
2016-09-01,12.46,12.50,11.75,11.95,18800,11.95
2016-08-31,12.31,12.60,12.20,12.40,26500,12.40
2016-08-30,11.99,12.46,11.87,12.35,18800,12.35
2016-08-29,11.29,11.99,11.16,11.88,17600,11.88
2016-08-26,11.08,11.28,11.07,11.20,6400,11.20
2016-08-25,11.16,11.16,10.91,11.03,1900,11.03
2016-08-24,10.70,11.11,10.70,11.04,4400,11.04
2016-08-23,10.93,11.14,10.81,10.89,6700,10.89
2016-08-22,10.56,11.28,10.46,10.82,24800,10.82
2016-08-19,10.49,10.58,10.41,10.53,11400,10.53
2016-08-18,11.03,11.03,10.40,10.51,10200,10.51
2016-08-17,10.87,11.00,10.40,10.63,11600,10.63
2016-08-16,10.64,10.64,10.57,10.57,3700,10.57
2016-08-15,10.50,10.64,10.50,10.62,6500,10.62
2016-08-12,10.64,10.64,10.55,10.60,5100,10.60
2016-08-11,10.60,10.65,10.54,10.64,5800,10.64
2016-08-10,10.70,10.79,10.55,10.62,7200,10.62
2016-08-09,10.39,10.69,10.33,10.60,7100,10.60
2016-08-08,10.19,10.44,9.98,10.28,4600,10.28
2016-08-05,10.23,10.27,10.06,10.27,7000,10.27
2016-08-04,10.19,10.29,10.02,10.16,5800,10.16
2016-08-03,9.84,9.93,9.81,9.93,13700,9.93
2016-08-02,10.18,10.24,9.88,9.93,5700,9.93
2016-08-01,9.94,10.18,9.85,10.11,6300,10.11
2016-07-29,9.76,10.30,9.68,9.99,7300,9.99
2016-07-28,9.42,9.87,9.42,9.67,10800,9.67
2016-07-27,10.35,10.36,9.23,9.87,22000,9.87
2016-07-26,10.42,10.44,10.35,10.42,5000,10.42
2016-07-25,10.75,10.95,10.10,10.45,24300,10.45
2016-07-22,11.02,11.64,10.75,10.85,8900,10.85
2016-07-21,11.20,11.20,10.69,10.93,15400,10.93
2016-07-20,11.82,11.82,10.97,11.11,14500,11.11
2016-07-19,11.51,12.13,11.51,11.76,6800,11.76
2016-07-18,12.07,12.20,11.87,11.88,10100,11.88
2016-07-15,12.01,12.50,11.93,12.14,26800,12.14
2016-07-14,12.00,12.00,11.89,11.92,3700,11.92
2016-07-13,12.00,12.25,11.55,11.91,14000,11.91
2016-07-12,12.04,12.04,11.81,11.85,13900,11.85
