Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,18.940001,18.99,18.540001,18.950001,762600,18.950001
2016-10-06,18.190001,18.709999,18.190001,18.50,525900,18.50
2016-10-05,18.01,18.620001,17.76,18.43,663600,18.43
2016-10-04,18.00,18.18,17.610001,17.85,325200,17.85
2016-10-03,17.99,18.17,17.68,18.02,413600,18.02
2016-09-30,18.059999,18.360001,17.66,18.07,454300,18.07
2016-09-29,18.10,18.10,17.50,17.90,800900,17.90
2016-09-28,18.51,18.530001,17.92,18.059999,663300,18.059999
2016-09-27,18.370001,18.68,18.139999,18.42,590700,18.42
2016-09-26,18.620001,18.860001,18.360001,18.370001,413800,18.370001
2016-09-23,18.82,19.16,18.620001,18.629999,487300,18.629999
2016-09-22,18.959999,19.08,18.51,18.82,641200,18.82
2016-09-21,19.40,19.620001,18.40,18.90,811700,18.90
2016-09-20,18.969999,19.370001,18.92,19.24,681000,19.24
2016-09-19,19.00,19.459999,18.82,18.91,1925100,18.91
2016-09-16,18.93,18.99,18.610001,18.90,915700,18.90
2016-09-15,18.459999,19.35,18.459999,19.07,2489100,19.07
2016-09-14,18.65,19.15,18.52,18.83,1796200,18.83
2016-09-13,18.559999,18.690001,18.040001,18.450001,1123600,18.450001
2016-09-12,17.60,18.83,17.50,18.559999,2174600,18.559999
2016-09-09,17.90,19.190001,17.700001,17.85,12860900,17.85
2016-09-08,14.91,15.32,14.56,15.31,504400,15.31
2016-09-07,14.30,14.94,14.30,14.90,774200,14.90
2016-09-06,14.24,14.39,14.07,14.30,726100,14.30
2016-09-02,14.41,14.43,14.04,14.21,344700,14.21
2016-09-01,13.85,14.37,13.80,14.33,484500,14.33
2016-08-31,13.95,13.99,13.73,13.88,279900,13.88
2016-08-30,13.94,14.13,13.75,13.93,555000,13.93
2016-08-29,14.19,14.19,13.76,13.94,613300,13.94
2016-08-26,14.51,14.60,14.17,14.20,627300,14.20
2016-08-25,14.56,14.77,14.06,14.50,522300,14.50
2016-08-24,15.41,15.64,14.41,14.52,787300,14.52
2016-08-23,15.74,15.74,15.37,15.45,856500,15.45
2016-08-22,15.50,15.75,15.43,15.56,785700,15.56
2016-08-19,15.70,15.78,15.38,15.44,324400,15.44
2016-08-18,15.51,15.84,15.42,15.75,437000,15.75
2016-08-17,15.60,15.92,15.41,15.53,552400,15.53
2016-08-16,16.24,16.25,15.64,15.65,1183700,15.65
2016-08-15,16.00,16.540001,16.00,16.24,390000,16.24
2016-08-12,15.94,15.98,15.71,15.95,392400,15.95
2016-08-11,15.71,15.99,15.55,15.93,390500,15.93
2016-08-10,16.190001,16.190001,15.61,15.65,526800,15.65
2016-08-09,16.030001,16.360001,15.97,16.219999,482500,16.219999
2016-08-08,16.469999,16.469999,15.96,15.99,346900,15.99
2016-08-05,16.59,16.780001,16.049999,16.370001,661400,16.370001
2016-08-04,15.96,16.74,15.19,16.51,748000,16.51
2016-08-03,16.040001,16.57,15.82,16.120001,569300,16.120001
2016-08-02,16.83,16.889999,15.89,15.99,841600,15.99
2016-08-01,16.40,16.809999,16.360001,16.719999,541000,16.719999
2016-07-29,16.389999,16.459999,16.209999,16.32,442700,16.32
2016-07-28,16.24,16.98,16.190001,16.459999,902000,16.459999
2016-07-27,16.219999,16.360001,16.09,16.219999,447200,16.219999
2016-07-26,15.82,16.290001,15.75,16.219999,520400,16.219999
2016-07-25,15.66,15.98,15.39,15.84,421400,15.84
2016-07-22,15.35,15.84,15.24,15.75,325400,15.75
2016-07-21,15.29,15.68,15.22,15.41,416000,15.41
2016-07-20,14.73,15.27,14.64,15.25,852300,15.25
2016-07-19,15.05,15.16,14.63,14.64,273000,14.64
2016-07-18,14.98,15.30,14.76,15.06,408500,15.06
2016-07-15,14.56,14.99,14.56,14.98,435900,14.98
2016-07-14,14.65,14.65,14.26,14.49,347800,14.49
2016-07-13,15.00,15.00,14.23,14.49,584100,14.49
2016-07-12,14.96,15.04,14.75,14.85,1005400,14.85
2016-07-11,15.09,15.23,14.72,14.75,590700,14.75
2016-07-08,14.80,15.12,14.70,15.03,559200,15.03
2016-07-07,14.60,14.82,14.50,14.76,521800,14.76
2016-07-06,14.40,14.65,14.19,14.51,698200,14.51
2016-07-05,14.23,14.60,13.83,14.45,589100,14.45
2016-07-01,14.43,14.75,14.36,14.41,642800,14.41
2016-06-30,14.38,14.43,14.03,14.35,1144400,14.35
2016-06-29,13.80,14.32,13.55,14.21,821400,14.21
2016-06-28,13.32,13.63,13.22,13.56,516100,13.56
2016-06-27,13.31,13.62,13.01,13.14,626100,13.14
