Date,Open,High,Low,Close,Volume,Adj Close
2016-10-11,165.00,165.740005,163.509995,163.630005,1888800,163.630005
2016-10-10,166.169998,166.729996,164.789993,165.330002,1284200,165.330002
2016-10-07,165.389999,166.899994,164.259995,165.820007,1256900,165.820007
2016-10-06,164.839996,164.970001,163.279999,164.75,1677200,164.75
2016-10-05,166.039993,166.350006,164.639999,165.669998,1555200,165.669998
2016-10-04,165.949997,166.779999,165.199997,165.660004,1208100,165.660004
2016-10-03,166.220001,166.259995,164.850006,165.380005,1163800,165.380005
2016-09-30,164.970001,167.210007,163.570007,166.75,2085200,166.75
2016-09-29,165.970001,166.210007,164.210007,164.419998,1444500,164.419998
2016-09-28,166.229996,167.339996,165.630005,166.619995,984800,166.619995
2016-09-27,165.179993,167.009995,165.179993,166.360001,1192400,166.360001
2016-09-26,166.009995,166.820007,165.029999,165.179993,1481400,165.179993
2016-09-23,167.949997,169.00,166.130005,167.080002,1265400,167.080002
2016-09-22,167.100006,168.889999,167.059998,168.119995,1949900,168.119995
2016-09-21,165.399994,166.779999,164.300003,166.399994,1865500,166.399994
2016-09-20,165.130005,166.199997,164.360001,164.800003,2161100,164.800003
2016-09-19,165.970001,166.690002,164.479996,165.00,2406100,165.00
2016-09-16,168.240005,168.660004,164.020004,166.160004,5998000,166.160004
2016-09-15,167.839996,169.839996,163.970001,168.970001,5116600,168.970001
2016-09-14,175.589996,176.360001,167.350006,167.699997,5825400,167.699997
2016-09-13,178.490005,179.449997,174.770004,175.839996,2511400,175.839996
2016-09-12,175.220001,181.529999,175.110001,180.470001,1901200,180.470001
2016-09-09,181.429993,181.820007,176.020004,176.089996,2094900,176.089996
2016-09-08,184.520004,185.210007,182.880005,183.039993,1353600,183.039993
2016-09-07,184.00,186.279999,184.00,184.960007,971300,184.960007
2016-09-06,183.50,185.020004,182.410004,184.690002,1431700,184.690002
2016-09-02,184.039993,184.440002,182.669998,182.979996,668500,182.979996
2016-09-01,184.720001,184.720001,182.130005,183.270004,796700,183.270004
2016-08-31,183.029999,184.839996,182.110001,184.619995,1430600,184.619995
2016-08-30,183.490005,183.860001,182.25,183.029999,1081200,183.029999
2016-08-29,183.160004,184.330002,182.610001,183.899994,1178900,183.619999
2016-08-26,183.690002,184.110001,181.820007,182.789993,1661300,182.511688
2016-08-25,187.039993,187.899994,182.009995,183.300003,2898200,183.020921
2016-08-24,192.779999,193.580002,188.639999,189.050003,1535600,188.762167
2016-08-23,194.220001,194.660004,192.679993,192.75,1048300,192.45653
2016-08-22,193.75,193.940002,192.850006,193.649994,821900,193.355154
2016-08-19,193.779999,194.770004,192.970001,193.850006,801100,193.554862
2016-08-18,195.339996,195.949997,194.220001,194.429993,1085600,194.133965
2016-08-17,195.080002,196.020004,193.580002,195.779999,944100,195.481916
2016-08-16,195.460007,196.080002,194.850006,195.009995,501200,194.713084
2016-08-15,195.350006,197.080002,195.100006,196.119995,696300,195.821394
2016-08-12,196.279999,196.50,194.449997,195.240005,634300,194.942745
2016-08-11,196.529999,196.860001,195.289993,196.619995,761500,196.320633
2016-08-10,196.289993,196.490005,194.949997,195.649994,947800,195.352109
2016-08-09,195.410004,196.919998,195.179993,196.289993,767200,195.991134
2016-08-08,194.949997,195.350006,193.789993,195.100006,768900,194.802958
2016-08-05,195.059998,196.630005,194.520004,194.660004,1029200,194.363626
2016-08-04,194.639999,195.350006,193.50,194.479996,932400,194.183892
2016-08-03,193.039993,195.309998,192.940002,195.139999,1157700,194.842891
2016-08-02,192.169998,195.009995,191.839996,193.529999,1872500,193.235341
2016-08-01,195.199997,195.380005,191.729996,192.089996,1379900,191.797531
2016-07-29,192.789993,195.130005,191.199997,194.559998,1440100,194.263772
2016-07-28,191.309998,196.910004,190.880005,193.440002,2661100,193.145482
2016-07-27,196.25,197.910004,195.050003,196.919998,1040500,196.620179
2016-07-26,195.419998,196.979996,195.00,196.279999,879200,195.981154
2016-07-25,195.889999,196.110001,194.050003,196.009995,807600,195.711561
2016-07-22,196.779999,196.960007,195.820007,196.570007,869500,196.270721
2016-07-21,198.440002,198.940002,195.919998,196.50,1204100,196.200821
2016-07-20,198.039993,199.270004,197.850006,198.440002,887000,198.137869
2016-07-19,196.589996,198.729996,196.520004,197.970001,925400,197.668584
2016-07-18,197.300003,197.929993,196.070007,197.699997,814700,197.398991
2016-07-15,198.679993,199.050003,196.220001,197.139999,933100,196.839846
2016-07-14,198.880005,199.429993,197.509995,198.029999,1063400,197.72849
2016-07-13,196.520004,198.059998,195.679993,197.410004,1620300,197.109439
2016-07-12,193.990005,197.00,193.850006,195.470001,1628600,195.17239
2016-07-11,192.720001,193.899994,191.899994,193.449997,1448600,193.155461
2016-07-08,192.330002,193.369995,191.869995,192.789993,1491100,192.496463
