Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,16.34,16.92,15.97,16.92,30900,16.92
2016-10-06,15.41,16.290001,15.32,16.290001,72300,16.290001
2016-10-05,14.18,15.47,14.18,15.35,31200,15.35
2016-10-04,12.99,14.37,12.99,14.11,51300,14.11
2016-10-03,12.60,12.90,12.60,12.81,21500,12.81
2016-09-30,12.11,12.93,12.11,12.68,13400,12.68
2016-09-29,12.27,12.63,12.17,12.27,18800,12.27
2016-09-28,11.80,12.36,11.70,12.31,17400,12.31
2016-09-27,11.66,11.95,11.53,11.72,10900,11.72
2016-09-26,11.40,11.95,11.25,11.80,11900,11.80
2016-09-23,11.57,11.75,11.45,11.65,3100,11.65
2016-09-22,11.11,11.75,11.11,11.56,8200,11.56
2016-09-21,10.26,11.39,10.19,11.14,23500,11.14
2016-09-20,10.10,10.39,10.00,10.18,11100,10.18
2016-09-19,10.49,10.49,9.87,9.87,10400,9.87
2016-09-16,10.15,10.34,9.85,9.85,29500,9.85
2016-09-15,10.38,10.50,10.00,10.08,6900,10.08
2016-09-14,10.49,10.61,10.32,10.34,6300,10.34
2016-09-13,10.92,10.92,10.50,10.50,18800,10.50
2016-09-12,11.03,11.03,10.82,10.87,11500,10.87
2016-09-09,11.02,11.10,10.85,11.07,5200,11.07
2016-09-08,10.95,11.01,10.78,11.01,12800,11.01
2016-09-07,11.01,11.01,10.68,10.79,25800,10.79
2016-09-06,11.86,11.86,10.80,11.13,25000,11.13
2016-09-02,11.88,11.95,11.69,11.87,13500,11.87
2016-09-01,11.45,11.90,11.36,11.88,13800,11.88
2016-08-31,10.90,11.60,10.90,11.54,23500,11.54
2016-08-30,10.20,10.90,10.20,10.90,19300,10.90
2016-08-29,9.71,10.45,9.63,10.16,21600,10.16
2016-08-26,9.33,9.60,9.30,9.41,9400,9.41
2016-08-25,9.41,9.62,9.35,9.50,8400,9.50
2016-08-24,9.35,9.50,9.20,9.33,46100,9.33
2016-08-23,9.29,9.48,9.19,9.35,9400,9.35
2016-08-22,8.74,9.34,8.74,9.32,33300,9.32
2016-08-19,9.35,9.35,8.98,9.27,30700,9.27
2016-08-18,8.70,9.44,8.54,9.16,24800,9.16
2016-08-17,8.73,9.11,8.15,8.90,19600,8.90
2016-08-16,8.07,8.86,7.79,8.65,53500,8.65
2016-08-15,7.51,8.40,7.46,8.14,23700,8.14
2016-08-12,7.30,7.80,7.27,7.53,13800,7.53
2016-08-11,7.30,7.69,7.30,7.36,21500,7.36
2016-08-10,7.66,7.67,7.37,7.44,10000,7.44
2016-08-09,7.42,7.75,7.42,7.67,10000,7.67
2016-08-08,7.41,7.99,7.41,7.75,15400,7.75
2016-08-05,7.40,7.79,7.26,7.59,18300,7.59
2016-08-04,7.08,8.11,7.08,7.30,28100,7.30
2016-08-03,6.76,8.10,6.70,7.85,33100,7.85
2016-08-02,6.60,7.30,6.60,7.03,36200,7.03
2016-08-01,7.35,7.43,6.79,6.89,62500,6.89
2016-07-29,8.25,8.25,7.25,7.50,84000,7.50
2016-07-28,7.42,8.23,7.42,7.85,49400,7.85
2016-07-27,8.53,8.74,7.17,7.50,136100,7.50
2016-07-26,10.00,10.36,8.56,8.86,67400,8.86
2016-07-25,8.35,11.79,7.94,10.15,58700,10.15
2016-07-22,0.28,0.40,0.27,0.34,266400,11.899988
2016-07-21,0.28,0.28,0.26,0.27,8700,9.449991
2016-07-20,0.26,0.28,0.25,0.27,8800,9.449991
2016-07-19,0.27,0.28,0.25,0.26,14000,9.099992
2016-07-18,0.27,0.28,0.26,0.27,10300,9.449991
2016-07-15,0.27,0.28,0.26,0.27,7800,9.449991
2016-07-14,0.28,0.28,0.27,0.27,6900,9.449991
2016-07-13,0.27,0.28,0.27,0.27,6200,9.449991
2016-07-12,0.27,0.29,0.27,0.27,11800,9.449991
2016-07-11,0.28,0.30,0.26,0.27,7800,9.449991
2016-07-08,0.29,0.30,0.27,0.28,8600,9.799991
2016-07-07,0.29,0.29,0.26,0.28,5500,9.799991
2016-07-06,0.27,0.30,0.26,0.28,8300,9.799991
2016-07-05,0.28,0.30,0.27,0.27,6100,9.449991
2016-07-01,0.27,0.31,0.26,0.29,18400,10.14999
2016-06-30,0.27,0.28,0.25,0.26,11000,9.099992
2016-06-29,0.29,0.29,0.26,0.27,19300,9.449991
2016-06-28,0.26,0.29,0.26,0.28,17800,9.799991
2016-06-27,0.31,0.35,0.26,0.26,30600,9.099992
2016-06-24,0.31,0.32,0.30,0.31,243000,10.84999
2016-06-23,0.31,0.34,0.31,0.31,20600,10.84999
2016-06-22,0.31,0.32,0.31,0.31,12100,10.84999
2016-06-21,0.32,0.32,0.31,0.31,12000,10.84999
2016-06-20,0.34,0.35,0.32,0.32,20600,11.199989
2016-06-17,0.33,0.34,0.31,0.34,14500,11.899988
2016-06-16,0.31,0.34,0.30,0.32,12300,11.199989
2016-06-15,0.31,0.34,0.30,0.31,7500,10.84999
2016-06-14,0.34,0.35,0.31,0.31,16200,10.84999
2016-06-13,0.35,0.37,0.31,0.34,33400,11.899988
2016-06-10,0.36,0.36,0.35,0.35,15600,12.249988
2016-06-09,0.37,0.38,0.36,0.36,5900,12.599988
2016-06-08,0.37,0.38,0.36,0.37,10500,12.949987
2016-06-07,0.36,0.38,0.36,0.36,12800,12.599988
2016-06-06,0.36,0.38,0.36,0.38,7100,13.299987
2016-06-03,0.37,0.37,0.36,0.37,6900,12.949987
2016-06-02,0.36,0.37,0.36,0.36,12400,12.599988
2016-06-01,0.35,0.37,0.35,0.37,7400,12.949987
2016-05-31,0.37,0.38,0.35,0.35,33600,12.249988
2016-05-27,0.38,0.39,0.36,0.36,8900,12.599988
2016-05-26,0.37,0.39,0.36,0.36,9100,12.599988
2016-05-25,0.37,0.39,0.37,0.38,4300,13.299987
2016-05-24,0.38,0.39,0.36,0.37,5900,12.949987
2016-05-23,0.37,0.39,0.35,0.38,6400,13.299987
2016-05-20,0.37,0.38,0.36,0.37,6000,12.949987
2016-05-19,0.36,0.39,0.35,0.36,6100,12.599988
2016-05-18,0.38,0.39,0.36,0.36,13700,12.599988
2016-05-17,0.39,0.41,0.38,0.38,8900,13.299987
2016-05-16,0.42,0.43,0.38,0.39,11800,13.649986
2016-05-13,0.45,0.45,0.41,0.41,12300,14.349986
2016-05-12,0.42,0.45,0.41,0.44,31100,15.399985
2016-05-11,0.39,0.45,0.37,0.42,27100,14.699986
2016-05-10,0.38,0.40,0.36,0.39,10800,13.649986
2016-05-09,0.40,0.40,0.36,0.38,12500,13.299987
2016-05-06,0.40,0.40,0.38,0.40,13200,13.999986
2016-05-05,0.39,0.41,0.38,0.39,13800,13.649986
2016-05-04,0.41,0.41,0.39,0.39,17800,13.649986
2016-05-03,0.42,0.42,0.40,0.41,15900,14.349986
2016-05-02,0.43,0.43,0.40,0.41,19100,14.349986
2016-04-29,0.42,0.44,0.39,0.40,26800,13.999986
2016-04-28,0.40,0.45,0.38,0.42,37100,14.699986
2016-04-27,0.39,0.40,0.38,0.39,16000,13.649986
2016-04-26,0.42,0.42,0.36,0.39,33400,13.649986
2016-04-25,0.38,0.41,0.37,0.40,60500,13.999986
2016-04-22,0.34,0.38,0.34,0.37,31600,12.949987
2016-04-21,0.34,0.36,0.32,0.35,20200,12.249988
2016-04-20,0.33,0.35,0.31,0.33,24900,11.549989
2016-04-19,0.33,0.36,0.31,0.33,37600,11.549989
2016-04-18,0.39,0.39,0.32,0.35,52700,12.249988
2016-04-15,0.41,0.41,0.35,0.38,96000,13.299987
2016-04-14,0.35,0.45,0.32,0.41,443000,14.349986
2016-04-13,0.24,0.25,0.23,0.24,20200,8.399991
2016-04-12,0.23,0.24,0.23,0.23,11300,8.049992
2016-04-11,0.24,0.24,0.23,0.24,17500,8.399991
2016-04-08,0.23,0.24,0.23,0.24,9200,8.399991
2016-04-07,0.23,0.25,0.23,0.23,10300,8.049992
2016-04-06,0.23,0.25,0.23,0.24,16900,8.399991
2016-04-05,0.24,0.25,0.24,0.24,10600,8.399991
2016-04-04,0.26,0.26,0.24,0.24,10600,8.399991
2016-04-01,0.24,0.26,0.24,0.25,7800,8.749991
2016-03-31,0.26,0.26,0.23,0.24,10900,8.399991
2016-03-30,0.24,0.27,0.24,0.25,10500,8.749991
2016-03-29,0.24,0.25,0.23,0.24,16200,8.399991
2016-03-28,0.24,0.25,0.23,0.24,10000,8.399991
2016-03-24,0.24,0.25,0.23,0.24,17700,8.399991
2016-03-23,0.27,0.27,0.24,0.25,28900,8.749991
2016-03-22,0.24,0.29,0.24,0.27,68200,9.449991
2016-03-21,0.23,0.25,0.23,0.24,20400,8.399991
2016-03-18,0.26,0.26,0.23,0.23,37500,8.049992
2016-03-17,0.24,0.24,0.22,0.23,29100,8.049992
2016-03-16,0.25,0.26,0.22,0.23,53800,8.049992
2016-03-15,0.31,0.32,0.24,0.25,97000,8.749991
2016-03-14,0.25,0.31,0.25,0.30,207600,10.49999
2016-03-11,0.26,0.26,0.24,0.25,20800,8.749991
2016-03-10,0.26,0.27,0.23,0.23,18400,8.049992
2016-03-09,0.27,0.27,0.25,0.25,8700,8.749991
2016-03-08,0.27,0.27,0.26,0.26,17600,9.099992
2016-03-07,0.27,0.27,0.25,0.27,26500,9.449991
2016-03-04,0.26,0.28,0.25,0.25,64500,8.749991
2016-03-03,0.22,0.27,0.21,0.26,124600,9.099992
2016-03-02,0.22,0.24,0.21,0.23,20100,8.049992
2016-03-01,0.23,0.23,0.22,0.22,8700,7.699992
2016-02-29,0.23,0.23,0.21,0.23,25800,8.049992
2016-02-26,0.21,0.23,0.21,0.23,17100,8.049992
2016-02-25,0.22,0.23,0.21,0.22,13000,7.699992
2016-02-24,0.22,0.23,0.20,0.22,18200,7.699992
2016-02-23,0.23,0.23,0.20,0.21,27700,7.349993
2016-02-22,0.24,0.24,0.22,0.23,11600,8.049992
2016-02-19,0.24,0.24,0.22,0.23,11900,8.049992
2016-02-18,0.24,0.24,0.22,0.23,24400,8.049992
2016-02-17,0.22,0.26,0.21,0.24,59600,8.399991
2016-02-16,0.20,0.22,0.19,0.22,54700,7.699992
2016-02-12,0.19,0.20,0.19,0.19,20200,6.649994
2016-02-11,0.19,0.19,0.16,0.19,28400,6.649994
2016-02-10,0.20,0.20,0.17,0.19,29400,6.649994
2016-02-09,0.20,0.21,0.20,0.20,16700,6.999993
2016-02-08,0.20,0.21,0.15,0.20,45100,6.999993
2016-02-05,0.21,0.22,0.20,0.20,13300,6.999993
2016-02-04,0.21,0.22,0.20,0.21,27000,7.349993
2016-02-03,0.22,0.22,0.20,0.21,35600,7.349993
2016-02-02,0.23,0.24,0.22,0.22,16900,7.699992
2016-02-01,0.23,0.25,0.22,0.23,22700,8.049992
2016-01-29,0.24,0.25,0.23,0.24,32000,8.399991
2016-01-28,0.23,0.24,0.22,0.24,32400,8.399991
2016-01-27,0.24,0.24,0.23,0.23,26200,8.049992
2016-01-26,0.24,0.24,0.22,0.24,14700,8.399991
2016-01-25,0.26,0.26,0.22,0.23,33900,8.049992
2016-01-22,0.23,0.25,0.23,0.24,28200,8.399991
2016-01-21,0.23,0.24,0.21,0.23,44100,8.049992
2016-01-20,0.22,0.24,0.20,0.24,36500,8.399991
2016-01-19,0.23,0.24,0.22,0.22,41200,7.699992
2016-01-15,0.22,0.23,0.21,0.23,27100,8.049992
2016-01-14,0.23,0.25,0.22,0.24,47000,8.399991
2016-01-13,0.26,0.27,0.23,0.23,43200,8.049992
2016-01-12,0.26,0.27,0.24,0.25,28100,8.749991
2016-01-11,0.28,0.30,0.25,0.25,32100,8.749991
2016-01-08,0.29,0.30,0.27,0.27,21500,9.449991
2016-01-07,0.30,0.31,0.28,0.28,46100,9.799991
2016-01-06,0.35,0.36,0.30,0.31,43300,10.84999
2016-01-05,0.33,0.36,0.32,0.34,37100,11.899988
2016-01-04,0.33,0.36,0.32,0.33,24900,11.549989
2015-12-31,0.35,0.36,0.33,0.35,240400,12.249988
2015-12-30,0.35,0.38,0.34,0.35,58500,12.249988
2015-12-29,0.35,0.37,0.34,0.35,48400,12.249988
2015-12-28,0.35,0.40,0.34,0.35,37900,12.249988
2015-12-24,0.35,0.36,0.34,0.36,13800,12.599988
2015-12-23,0.31,0.36,0.31,0.35,60800,12.249988
2015-12-22,0.33,0.33,0.31,0.32,32400,11.199989
2015-12-21,0.33,0.33,0.30,0.33,42600,11.549989
2015-12-18,0.32,0.33,0.30,0.31,153400,10.84999
2015-12-17,0.33,0.33,0.32,0.32,34000,11.199989
2015-12-16,0.31,0.35,0.31,0.33,24900,11.549989
2015-12-15,0.33,0.34,0.31,0.32,61500,11.199989
2015-12-14,0.35,0.37,0.29,0.31,85000,10.84999
2015-12-11,0.37,0.39,0.35,0.36,55500,12.599988
2015-12-10,0.38,0.39,0.37,0.38,37000,13.299987
2015-12-09,0.37,0.38,0.37,0.38,22500,13.299987
2015-12-08,0.39,0.40,0.36,0.37,79200,12.949987
2015-12-07,0.41,0.41,0.38,0.38,43400,13.299987
2015-12-04,0.41,0.42,0.40,0.41,40600,14.349986
2015-12-03,0.42,0.43,0.41,0.41,33200,14.349986
2015-12-02,0.43,0.44,0.41,0.41,52300,14.349986
2015-12-01,0.43,0.44,0.43,0.43,63800,15.049986
2015-11-30,0.42,0.48,0.42,0.43,93400,15.049986
2015-11-27,0.47,0.50,0.44,0.45,66100,15.749985
2015-11-25,0.44,0.51,0.43,0.46,110900,16.099985
2015-11-24,0.42,0.45,0.42,0.44,35900,15.399985
2015-11-23,0.44,0.46,0.43,0.43,58600,15.049986
2015-11-20,0.46,0.46,0.43,0.44,38000,15.399985
2015-11-19,0.44,0.539999,0.44,0.45,111000,15.749985
2015-11-18,0.43,0.45,0.43,0.45,18300,15.749985
