Date,Open,High,Low,Close,Volume,Adj Close
2016-09-28,81.440002,81.440002,81.440002,81.440002,000,81.440002
2016-09-27,81.440002,81.480003,81.43,81.440002,7187400,81.440002
2016-09-26,81.419998,81.449997,81.419998,81.419998,3028300,81.419998
2016-09-23,81.43,81.449997,81.400002,81.419998,16113900,81.419998
2016-09-22,81.029999,81.099998,80.940002,81.080002,2754300,81.080002
2016-09-21,80.93,81.040001,80.870003,81.029999,3975200,81.029999
2016-09-20,80.940002,81.040001,80.860001,80.900002,3705500,80.900002
2016-09-19,80.940002,81.07,80.870003,80.900002,3079800,80.900002
2016-09-16,81.040001,81.089996,80.870003,80.870003,5714800,80.870003
2016-09-15,81.07,81.150002,81.019997,81.050003,5641100,81.050003
2016-09-14,80.959999,81.150002,80.949997,81.120003,5899500,81.120003
2016-09-13,80.919998,81.040001,80.910004,80.959999,5047400,80.959999
2016-09-12,80.760002,81.029999,80.760002,81.00,4621700,81.00
2016-09-09,80.779999,80.970001,80.779999,80.809998,3166300,80.809998
2016-09-08,80.910004,80.989998,80.75,80.760002,3283000,80.760002
2016-09-07,80.839996,80.970001,80.75,80.970001,2413800,80.970001
2016-09-06,80.809998,80.989998,80.739998,80.839996,3271200,80.839996
2016-09-02,80.910004,80.980003,80.720001,80.849998,3300200,80.849998
2016-09-01,80.449997,80.980003,80.449997,80.93,6699400,80.93
2016-08-31,80.379997,80.57,80.379997,80.559998,5897900,80.559998
2016-08-30,80.300003,80.379997,80.25,80.360001,6538400,80.360001
2016-08-29,80.300003,80.339996,80.260002,80.279999,5798100,80.279999
2016-08-26,80.239998,80.349998,80.209999,80.349998,7540900,80.349998
2016-08-25,80.239998,80.309998,80.199997,80.239998,8157800,80.239998
2016-08-24,80.349998,80.360001,80.199997,80.230003,14129700,80.230003
2016-08-23,80.400002,80.50,80.260002,80.269997,16752800,80.269997
2016-08-22,80.620003,80.669998,80.360001,80.419998,46881500,80.419998
2016-08-19,67.190002,67.400002,67.00,67.160004,1404800,67.160004
2016-08-18,66.50,67.50,66.419998,67.190002,1713300,67.190002
2016-08-17,65.07,68.370003,65.00,66.480003,2571900,66.480003
2016-08-16,65.220001,65.650002,65.129997,65.220001,1400200,65.220001
2016-08-15,66.00,66.010002,65.029999,65.300003,1240000,65.300003
2016-08-12,65.540001,66.190002,65.220001,66.019997,1554800,66.019997
2016-08-11,63.990002,65.919998,63.580002,65.599998,3812600,65.599998
2016-08-10,63.599998,64.480003,63.450001,63.990002,3196000,63.990002
2016-08-09,63.119999,63.630001,62.619999,63.450001,1909000,63.450001
2016-08-08,63.360001,63.470001,62.990002,63.18,1067800,63.18
2016-08-05,63.759998,64.089996,62.950001,63.25,1426400,63.25
2016-08-04,63.959999,64.389999,63.48,63.73,1022500,63.73
2016-08-03,63.619999,64.120003,63.259998,64.080002,1007300,64.080002
2016-08-02,63.59,63.880001,62.689999,63.580002,2226500,63.580002
2016-08-01,64.00,64.389999,63.560001,64.080002,1916500,64.080002
2016-07-29,62.189999,64.160004,62.099998,63.990002,2861800,63.990002
2016-07-28,62.549999,62.98,61.57,62.490002,1409700,62.490002
2016-07-27,62.490002,63.009998,62.27,62.549999,924400,62.549999
2016-07-26,62.970001,63.200001,62.349998,62.639999,1263700,62.639999
2016-07-25,62.77,63.16,62.049999,63.110001,1368800,63.110001
2016-07-22,62.790001,63.349998,62.50,62.630001,907200,62.630001
2016-07-21,62.130001,63.23,61.549999,62.540001,2792200,62.540001
2016-07-20,62.049999,62.110001,61.549999,61.810001,1234900,61.810001
2016-07-19,61.669998,62.139999,61.41,61.869999,1012200,61.869999
2016-07-18,61.880001,62.139999,61.529999,61.830002,702700,61.830002
2016-07-15,61.66,61.98,61.50,61.880001,1886900,61.880001
2016-07-14,61.91,62.029999,61.549999,61.740002,976300,61.740002
2016-07-13,62.00,62.66,61.52,61.57,1546200,61.57
2016-07-12,62.59,62.639999,62.049999,62.150002,1687100,62.150002
2016-07-11,62.549999,62.790001,62.139999,62.23,2085000,62.23
2016-07-08,62.919998,62.919998,61.990002,62.099998,1387400,62.099998
2016-07-07,62.599998,62.98,62.25,62.740002,1372700,62.740002
2016-07-06,62.529999,62.75,61.599998,62.330002,4563300,62.330002
2016-07-05,59.860001,62.689999,58.799999,61.759998,5703800,61.759998
2016-07-01,60.18,61.00,59.450001,60.119999,1611700,60.119999
2016-06-30,60.619999,61.209999,60.02,60.299999,2998900,60.299999
2016-06-29,59.48,60.990002,59.200001,60.950001,3699800,60.950001
2016-06-28,56.939999,58.07,56.799999,57.790001,2404600,57.790001
2016-06-27,56.459999,57.240002,56.240002,56.610001,3069800,56.610001
2016-06-24,58.00,58.419998,56.869999,56.950001,6065900,56.950001
2016-06-23,59.200001,59.57,58.790001,59.259998,1480500,59.259998
2016-06-22,58.790001,59.93,58.599998,58.889999,1700100,58.889999
2016-06-21,59.349998,59.830002,58.610001,58.970001,2215300,58.970001
2016-06-20,59.549999,60.00,59.099998,59.470001,1717900,59.470001
2016-06-17,59.00,59.639999,58.50,59.330002,2913500,59.330002
2016-06-16,59.470001,59.880001,59.099998,59.360001,1007900,59.360001
2016-06-15,60.07,60.439999,59.450001,59.540001,902200,59.540001
2016-06-14,60.080002,60.439999,59.259998,60.07,1645900,60.07
2016-06-13,59.66,60.279999,59.470001,60.029999,2515100,60.029999
2016-06-10,59.709999,60.299999,59.380001,60.009998,1474700,60.009998
2016-06-09,59.43,60.330002,59.200001,60.099998,1355100,60.099998
2016-06-08,59.50,60.43,59.18,60.07,1355000,60.07
2016-06-07,59.34,60.34,59.18,59.68,1634100,59.68
2016-06-06,60.34,60.700001,58.52,59.630001,2848300,59.630001
2016-06-03,60.599998,61.080002,60.27,60.799999,1682900,60.799999
2016-06-02,61.200001,61.380001,60.50,60.970001,2335800,60.970001
2016-06-01,60.009998,61.27,60.00,61.139999,1667200,61.139999
2016-05-31,60.34,61.389999,59.939999,60.459999,2245600,60.459999
2016-05-27,60.459999,60.950001,59.580002,60.630001,3023800,60.630001
2016-05-26,61.75,61.82,60.25,60.310001,2885600,60.310001
2016-05-25,62.349998,62.389999,61.09,61.48,4746300,61.48
2016-05-24,60.669998,62.189999,60.549999,61.91,3537300,61.91
2016-05-23,60.50,61.59,60.419998,60.75,2102700,60.75
2016-05-20,60.73,61.43,60.150002,60.560001,1904100,60.560001
2016-05-19,61.119999,61.279999,60.310001,60.73,1238700,60.73
2016-05-18,60.669998,61.32,60.279999,61.00,1737700,61.00
2016-05-17,61.380001,62.07,60.50,60.709999,2257100,60.709999
2016-05-16,60.810001,62.080002,60.759998,61.720001,2068400,61.720001
2016-05-13,60.709999,61.75,60.709999,61.169998,2007200,61.169998
2016-05-12,61.150002,61.720001,60.580002,60.790001,2290400,60.790001
2016-05-11,61.619999,62.330002,60.860001,61.009998,3468100,61.009998
2016-05-10,62.560001,62.939999,61.549999,62.00,3638800,62.00
2016-05-09,60.099998,62.869999,59.700001,62.540001,6272100,62.540001
2016-05-06,60.00,60.990002,59.529999,60.00,3839800,60.00
2016-05-05,59.119999,60.400002,58.880001,59.220001,5764600,59.220001
2016-05-04,59.50,59.950001,58.27,59.060001,5185000,59.060001
2016-05-03,58.00,58.849998,57.50,57.52,3741400,57.52
2016-05-02,57.48,58.25,56.860001,58.009998,3511400,58.009998
2016-04-29,56.169998,59.919998,55.50,57.799999,8976200,57.799999
2016-04-28,55.900002,56.950001,55.00,56.169998,13745900,56.169998
2016-04-27,51.599998,52.419998,50.830002,52.049999,2225800,52.049999
2016-04-26,52.389999,52.490002,50.919998,51.82,1695300,51.82
2016-04-25,52.50,52.939999,51.799999,52.07,1651700,52.07
2016-04-22,53.029999,53.349998,51.799999,52.639999,2422100,52.639999
2016-04-21,51.540001,53.349998,50.82,53.32,2503200,53.32
2016-04-20,52.50,52.84,50.91,51.380001,2815000,51.380001
2016-04-19,54.25,54.349998,51.040001,52.150002,4023200,52.150002
2016-04-18,52.57,54.549999,51.73,53.360001,6015300,53.360001
2016-04-15,49.540001,52.25,49.41,51.169998,6170300,51.169998
2016-04-14,49.099998,50.41,48.509998,49.220001,3221700,49.220001
2016-04-13,49.049999,50.400002,48.25,49.369999,6151400,49.369999
2016-04-12,45.279999,45.790001,43.900002,45.73,2680400,45.73
2016-04-11,46.48,46.580002,45.029999,45.240002,2404800,45.240002
2016-04-08,46.950001,47.040001,45.23,46.450001,2894400,46.450001
2016-04-07,46.700001,49.860001,45.759998,45.990002,4253300,45.990002
2016-04-06,44.759998,47.119999,44.470001,47.09,4569000,47.09
2016-04-05,43.849998,45.25,43.75,43.919998,3385400,43.919998
2016-04-04,46.32,46.48,43.82,44.18,3658800,44.18
2016-04-01,45.150002,46.540001,43.759998,46.189999,4908800,46.189999
2016-03-31,43.099998,46.880001,41.700001,45.98,17011600,45.98
2016-03-30,38.849998,40.580002,37.00,37.389999,5476900,37.389999
2016-03-29,38.299999,38.889999,35.549999,38.75,8528400,38.75
2016-03-28,41.950001,42.490002,40.380001,41.25,2669100,41.25
2016-03-24,38.830002,42.970001,38.119999,42.57,5025900,42.57
2016-03-23,38.720001,40.799999,37.810001,39.389999,4689700,39.389999
2016-03-22,37.220001,39.310001,36.59,39.029999,3335400,39.029999
2016-03-21,35.669998,37.900002,35.470001,36.950001,2399200,36.950001
2016-03-18,35.529999,36.27,34.650002,35.82,3356400,35.82
2016-03-17,36.77,37.299999,33.799999,35.419998,3912800,35.419998
2016-03-16,36.650002,38.049999,36.48,37.299999,1685000,37.299999
2016-03-15,38.310001,38.75,36.759998,37.290001,2217600,37.290001
2016-03-14,38.900002,40.00,38.549999,38.869999,1592600,38.869999
2016-03-11,39.639999,39.860001,38.290001,38.98,2166200,38.98
2016-03-10,38.459999,39.470001,37.369999,38.25,1996200,38.25
2016-03-09,39.48,39.990002,37.759998,38.16,2529100,38.16
2016-03-08,40.43,41.200001,38.889999,39.130001,3031500,39.130001
2016-03-07,40.040001,42.119999,39.669998,40.75,3072400,40.75
2016-03-04,38.419998,41.98,38.32,40.439999,5995500,40.439999
2016-03-03,37.040001,38.400002,36.540001,38.200001,2628900,38.200001
2016-03-02,36.470001,37.48,36.049999,36.84,1745800,36.84
2016-03-01,36.200001,36.669998,34.900002,36.599998,2819400,36.599998
2016-02-29,35.279999,36.009998,35.02,35.77,2526400,35.77
2016-02-26,34.799999,37.889999,33.779999,35.57,4146300,35.57
2016-02-25,32.380001,33.00,31.41,32.700001,2084000,32.700001
2016-02-24,31.889999,32.169998,30.639999,32.040001,1604000,32.040001
2016-02-23,32.48,32.900002,31.43,31.440001,1454700,31.440001
2016-02-22,33.130001,33.849998,32.009998,32.360001,1740400,32.360001
