Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.50,1.55,1.48,1.52,32000,1.52
2016-10-06,1.40,1.50,1.40,1.46,14400,1.46
2016-10-05,1.35,1.47,1.30,1.40,194700,1.40
2016-10-04,1.46,1.53,1.37,1.39,40000,1.39
2016-10-03,1.49,1.61,1.436,1.48,19900,1.48
2016-09-30,1.53,1.63,1.43,1.48,39000,1.48
2016-09-29,1.50,1.54,1.50,1.54,43400,1.54
2016-09-28,1.61,1.61,1.51,1.51,57400,1.51
2016-09-27,1.549,1.64,1.53,1.57,55100,1.57
2016-09-26,1.72,1.74,1.60,1.63,40100,1.63
2016-09-23,1.66,1.74,1.60,1.70,72900,1.70
2016-09-22,1.70,1.74,1.67,1.67,72000,1.67
2016-09-21,1.59,1.71,1.58,1.69,200800,1.69
2016-09-20,1.53,1.639,1.53,1.56,39300,1.56
2016-09-19,1.60,1.608,1.47,1.50,50000,1.50
2016-09-16,1.47,1.70,1.47,1.58,102600,1.58
2016-09-15,1.531,1.56,1.47,1.50,18300,1.50
2016-09-14,1.54,1.70,1.46,1.50,122700,1.50
2016-09-13,1.47,1.56,1.429,1.56,19000,1.56
2016-09-12,1.41,1.53,1.39,1.41,39300,1.41
2016-09-09,1.43,1.474,1.35,1.41,51000,1.41
2016-09-08,1.43,1.43,1.38,1.38,7000,1.38
2016-09-07,1.47,1.47,1.42,1.42,6900,1.42
2016-09-06,1.41,1.47,1.31,1.43,41400,1.43
2016-09-02,1.43,1.47,1.43,1.44,18300,1.44
2016-09-01,1.40,1.45,1.38,1.43,30300,1.43
2016-08-31,1.42,1.45,1.40,1.405,21200,1.405
2016-08-30,1.43,1.46,1.40,1.43,52200,1.43
2016-08-29,1.50,1.52,1.40,1.41,50700,1.41
2016-08-26,1.59,1.59,1.42,1.48,21700,1.48
2016-08-25,1.41,1.60,1.40,1.60,72100,1.60
2016-08-24,1.39,1.60,1.39,1.44,703400,1.44
2016-08-23,1.31,1.40,1.30,1.36,73000,1.36
2016-08-22,1.27,1.30,1.21,1.30,21000,1.30
2016-08-19,1.27,1.29,1.21,1.27,48200,1.27
2016-08-18,1.32,1.325,1.24,1.30,22400,1.30
2016-08-17,1.37,1.41,1.21,1.28,75900,1.28
2016-08-16,1.36,1.383,1.34,1.34,24100,1.34
2016-08-15,1.45,1.467,1.36,1.36,29300,1.36
2016-08-12,1.42,1.469,1.38,1.42,21700,1.42
2016-08-11,1.32,1.52,1.32,1.45,247200,1.45
2016-08-10,1.31,1.32,1.31,1.32,2100,1.32
2016-08-09,1.30,1.391,1.29,1.31,110200,1.31
2016-08-08,1.38,1.44,1.308,1.32,76100,1.32
2016-08-05,1.35,1.37,1.291,1.35,26500,1.35
2016-08-04,1.339,1.38,1.313,1.38,24900,1.38
2016-08-03,1.32,1.34,1.28,1.34,8300,1.34
2016-08-02,1.301,1.34,1.25,1.34,53700,1.34
2016-08-01,1.37,1.40,1.33,1.34,25700,1.34
2016-07-29,1.45,1.45,1.30,1.36,36700,1.36
2016-07-28,1.38,1.40,1.23,1.32,67000,1.32
2016-07-27,1.262,1.50,1.262,1.43,106500,1.43
2016-07-26,1.35,1.43,1.312,1.43,10500,1.43
2016-07-25,1.36,1.53,1.229,1.37,185600,1.37
2016-07-22,1.36,1.40,1.25,1.36,44100,1.36
2016-07-21,1.37,1.40,1.36,1.40,40800,1.40
2016-07-20,1.29,1.38,1.14,1.351,92800,1.351
2016-07-19,1.332,1.37,1.25,1.26,41000,1.26
2016-07-18,1.30,1.414,1.30,1.37,67700,1.37
2016-07-15,1.38,1.43,1.30,1.30,38700,1.30
2016-07-14,1.46,1.46,1.346,1.38,49200,1.38
2016-07-13,1.48,1.60,1.368,1.42,284500,1.42
2016-07-12,1.37,1.65,1.20,1.41,718000,1.41
2016-07-11,1.31,1.40,1.25,1.33,52300,1.33
2016-07-08,1.30,1.30,1.27,1.30,24400,1.30
2016-07-07,1.21,1.40,1.21,1.31,98300,1.31
2016-07-06,1.27,1.40,1.20,1.27,97000,1.27
2016-07-05,1.25,1.30,1.16,1.28,60400,1.28
2016-07-01,1.32,1.40,1.22,1.25,75500,1.25
