Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.76,1.77,1.72,1.76,175300,1.76
2016-10-06,1.79,1.79,1.74,1.76,121100,1.76
2016-10-05,1.76,1.84,1.75,1.77,251000,1.77
2016-10-04,1.86,1.87,1.77,1.77,217200,1.77
2016-10-03,1.80,1.89,1.79,1.86,1144800,1.86
2016-09-30,1.73,1.78,1.72,1.76,199500,1.76
2016-09-29,1.75,1.76,1.72,1.72,194000,1.72
2016-09-28,1.74,1.77,1.72,1.74,162600,1.74
2016-09-27,1.70,1.74,1.70,1.73,187900,1.73
2016-09-26,1.70,1.76,1.70,1.71,137900,1.71
2016-09-23,1.73,1.75,1.69,1.69,187200,1.69
2016-09-22,1.75,1.77,1.68,1.73,376100,1.73
2016-09-21,1.76,1.77,1.71,1.75,246400,1.75
2016-09-20,1.72,1.76,1.71,1.76,297300,1.76
2016-09-19,1.72,1.75,1.70,1.71,143800,1.71
2016-09-16,1.75,1.77,1.70,1.71,372100,1.71
2016-09-15,1.77,1.80,1.72,1.76,193800,1.76
2016-09-14,1.73,1.80,1.73,1.77,207400,1.77
2016-09-13,1.78,1.78,1.70,1.74,239900,1.74
2016-09-12,1.81,1.82,1.73,1.77,248800,1.77
2016-09-09,1.85,1.87,1.78,1.80,280000,1.80
2016-09-08,1.85,1.89,1.83,1.87,161300,1.87
2016-09-07,1.92,1.92,1.84,1.87,209200,1.87
2016-09-06,1.74,1.92,1.73,1.88,601900,1.88
2016-09-02,1.74,1.78,1.69,1.76,123100,1.76
2016-09-01,1.78,1.83,1.71,1.74,471100,1.74
2016-08-31,1.91,1.93,1.78,1.79,491200,1.79
2016-08-30,1.90,1.95,1.90,1.90,173600,1.90
2016-08-29,1.91,1.95,1.90,1.90,168500,1.90
2016-08-26,1.98,2.01,1.90,1.91,483800,1.91
2016-08-25,1.95,2.00,1.95,1.98,226700,1.98
2016-08-24,2.05,2.07,1.96,1.97,474300,1.97
2016-08-23,2.03,2.13,2.01,2.05,1561100,2.05
2016-08-22,1.98,2.05,1.93,2.04,567100,2.04
2016-08-19,1.92,1.98,1.92,1.96,216500,1.96
2016-08-18,2.01,2.06,1.92,1.94,900400,1.94
2016-08-17,1.98,2.06,1.90,2.03,896000,2.03
2016-08-16,2.04,2.06,1.97,1.99,691800,1.99
2016-08-15,2.01,2.08,2.00,2.04,682800,2.04
2016-08-12,1.96,2.07,1.95,2.03,746400,2.03
2016-08-11,1.97,2.00,1.91,1.98,564600,1.98
2016-08-10,1.95,1.98,1.88,1.97,1049500,1.97
2016-08-09,2.07,2.10,1.90,1.96,2053600,1.96
2016-08-08,2.28,2.28,1.95,2.06,8898900,2.06
2016-08-05,1.47,1.62,1.45,1.61,1122300,1.61
2016-08-04,1.48,1.49,1.43,1.48,270000,1.48
2016-08-03,1.47,1.47,1.42,1.45,293200,1.45
2016-08-02,1.48,1.48,1.38,1.46,511600,1.46
2016-08-01,1.58,1.58,1.39,1.47,2878400,1.47
2016-07-29,1.38,1.39,1.32,1.36,67700,1.36
2016-07-28,1.39,1.40,1.36,1.36,95200,1.36
