Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,6.88,6.95,6.86,6.93,53500,6.93
2016-10-06,6.93,6.99,6.88,6.90,102600,6.90
2016-10-05,7.00,7.12,6.92,7.00,191400,7.00
2016-10-04,6.96,7.13,6.87,6.92,42500,6.92
2016-10-03,7.00,7.07,6.90,6.96,57200,6.96
2016-09-30,6.92,7.16,6.85,7.10,127700,7.10
2016-09-29,7.07,7.08,6.86,6.87,81900,6.87
2016-09-28,7.20,7.20,7.01,7.10,36300,7.10
2016-09-27,7.05,7.22,7.05,7.09,24000,7.09
2016-09-26,7.05,7.14,7.05,7.07,32100,7.07
2016-09-23,7.25,7.33,7.10,7.15,30800,7.15
2016-09-22,7.16,7.33,7.13,7.24,45700,7.24
2016-09-21,7.11,7.15,7.03,7.13,28700,7.13
2016-09-20,7.15,7.18,7.02,7.04,39300,7.04
2016-09-19,7.10,7.19,7.04,7.07,55900,7.07
2016-09-16,7.11,7.18,6.85,7.04,134300,7.04
2016-09-15,6.92,7.14,6.92,7.07,38900,7.07
2016-09-14,7.05,7.11,6.88,6.95,75600,6.95
2016-09-13,7.05,7.13,6.82,7.02,115600,7.02
2016-09-12,6.95,7.15,6.76,7.13,165100,7.13
2016-09-09,7.31,7.31,6.90,6.91,130300,6.91
2016-09-08,7.09,7.18,7.00,7.11,127900,7.11
2016-09-07,6.95,7.18,6.95,7.01,117200,7.01
2016-09-06,7.48,8.00,6.78,6.96,492100,6.96
2016-09-02,7.23,7.42,7.21,7.35,45800,7.35
2016-09-01,7.23,7.32,7.08,7.16,66800,7.16
2016-08-31,7.40,7.45,7.21,7.27,67800,7.27
2016-08-30,7.32,7.50,7.31,7.40,73900,7.40
2016-08-29,7.45,7.48,7.13,7.33,40400,7.33
2016-08-26,7.28,7.49,6.99,7.45,79800,7.45
2016-08-25,7.23,7.41,7.23,7.31,40400,7.31
2016-08-24,7.16,7.43,7.16,7.42,64800,7.42
2016-08-23,7.34,7.41,7.28,7.32,43900,7.32
2016-08-22,7.34,7.38,7.17,7.33,66600,7.33
2016-08-19,7.30,7.37,7.08,7.33,97800,7.33
2016-08-18,7.29,7.38,7.06,7.31,58700,7.31
2016-08-17,7.25,7.41,7.05,7.28,67500,7.28
2016-08-16,7.19,7.40,7.00,7.23,82100,7.23
2016-08-15,7.33,7.55,7.23,7.25,98300,7.25
2016-08-12,7.18,7.42,7.02,7.34,124300,7.34
2016-08-11,6.88,7.24,6.88,7.19,81900,7.19
2016-08-10,7.00,7.10,6.85,6.87,169600,6.87
2016-08-09,6.77,7.12,6.67,7.00,96400,7.00
2016-08-08,6.89,7.05,6.86,6.98,107400,6.98
2016-08-05,6.69,7.02,6.66,6.85,140000,6.85
2016-08-04,6.50,6.72,6.47,6.63,107900,6.63
2016-08-03,6.41,6.66,6.29,6.55,201000,6.55
2016-08-02,6.60,6.65,6.42,6.44,218400,6.44
2016-08-01,6.83,6.96,6.53,6.62,351900,6.62
2016-07-29,7.48,7.60,6.78,6.96,372600,6.96
2016-07-28,7.85,7.85,7.65,7.74,78300,7.74
2016-07-27,7.83,7.90,7.80,7.84,96200,7.84
2016-07-26,7.63,7.85,7.60,7.80,98900,7.80
2016-07-25,8.33,8.33,7.56,7.64,280100,7.64
2016-07-22,7.42,7.68,7.36,7.54,125000,7.54
2016-07-21,7.28,7.61,7.28,7.42,147700,7.42
2016-07-20,7.07,7.30,6.93,7.29,73600,7.29
2016-07-19,7.10,7.19,6.96,7.05,94100,7.05
2016-07-18,7.10,7.17,6.84,7.12,85000,7.12
2016-07-15,7.12,7.18,7.04,7.08,95200,7.08
2016-07-14,7.01,7.13,6.94,7.06,97300,7.06
2016-07-13,7.04,7.10,6.94,6.96,109900,6.96
2016-07-12,6.93,7.12,6.84,6.99,162700,6.99
2016-07-11,6.85,7.14,6.55,7.09,130000,7.09
2016-07-08,6.72,6.88,6.58,6.84,228400,6.84
2016-07-07,6.90,6.90,6.34,6.65,109800,6.65
2016-07-06,6.68,6.74,6.57,6.69,91800,6.69
2016-07-05,6.92,6.92,6.67,6.74,63900,6.74
2016-07-01,6.92,7.04,6.84,7.00,97600,7.00
2016-06-30,6.91,7.10,6.66,6.85,86900,6.85
2016-06-29,6.99,6.99,6.73,6.90,80800,6.90
2016-06-28,6.69,6.94,6.58,6.94,134500,6.94
2016-06-27,6.98,6.98,6.44,6.61,160100,6.61
2016-06-24,6.83,7.15,6.74,7.15,296700,7.15
2016-06-23,7.07,7.21,6.90,7.19,85000,7.19
2016-06-22,7.02,7.22,6.76,7.02,93600,7.02
2016-06-21,7.01,7.05,6.78,7.03,86600,7.03
2016-06-20,6.98,7.23,6.80,7.03,96800,7.03
2016-06-17,6.80,7.01,6.72,6.85,183300,6.85
2016-06-16,7.05,7.15,6.95,7.09,67800,7.09
2016-06-15,7.17,7.35,7.04,7.09,159500,7.09
2016-06-14,7.15,7.23,7.02,7.11,203300,7.11
2016-06-13,7.02,7.30,7.00,7.17,128000,7.17
2016-06-10,7.20,7.33,7.02,7.08,127800,7.08
2016-06-09,7.25,7.33,7.04,7.22,85000,7.22
2016-06-08,7.19,7.37,7.15,7.29,103900,7.29
2016-06-07,7.16,7.27,7.10,7.14,98400,7.14
2016-06-06,6.90,7.18,6.73,7.16,159700,7.16
2016-06-03,6.77,7.01,6.53,6.92,133200,6.92
2016-06-02,6.48,6.83,6.42,6.80,124300,6.80
2016-06-01,6.47,6.55,6.37,6.52,138600,6.52
2016-05-31,6.48,6.54,6.31,6.49,241000,6.49
2016-05-27,6.33,6.59,6.33,6.49,210200,6.49
2016-05-26,6.38,6.42,6.14,6.33,185000,6.33
2016-05-25,6.32,6.60,6.29,6.35,308500,6.35
2016-05-24,6.16,6.38,6.10,6.31,206100,6.31
2016-05-23,6.08,6.20,6.08,6.14,220600,6.14
2016-05-20,6.02,6.15,5.87,6.08,250900,6.08
2016-05-19,5.97,6.04,5.86,5.97,129300,5.97
2016-05-18,5.92,6.16,5.85,6.00,227900,6.00
2016-05-17,5.95,6.01,5.83,5.94,156300,5.94
2016-05-16,5.91,6.11,5.91,5.99,108800,5.99
2016-05-13,5.83,6.09,5.82,5.84,89700,5.84
2016-05-12,6.13,6.18,5.85,5.96,62000,5.96
