Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,7.19,7.29,7.19,7.29,16300,7.29
2016-10-06,7.12,7.22,7.12,7.20,6200,7.20
2016-10-05,7.17,7.21,7.12,7.16,16000,7.16
2016-10-04,7.21,7.21,7.14,7.16,9400,7.16
2016-10-03,7.14,7.17,7.14,7.16,5800,7.16
2016-09-30,7.05,7.17,7.05,7.13,10200,7.13
2016-09-29,7.14,7.22,7.01,7.05,13800,7.05
2016-09-28,7.15,7.29,7.10,7.18,6400,7.18
2016-09-27,7.34,7.36,7.25,7.26,19100,7.26
2016-09-26,7.35,7.39,7.30,7.36,17700,7.36
2016-09-23,7.55,7.60,7.37,7.42,74100,7.42
2016-09-22,6.98,7.58,6.91,7.55,186800,7.55
2016-09-21,6.85,6.95,6.84,6.91,11400,6.91
2016-09-20,6.88,6.93,6.83,6.87,7300,6.87
2016-09-19,6.79,7.01,6.79,6.91,24000,6.91
2016-09-16,6.60,6.66,6.51,6.64,24800,6.64
2016-09-15,6.89,6.89,6.60,6.60,47900,6.60
2016-09-14,7.05,7.08,6.78,6.84,31300,6.84
2016-09-13,7.30,7.30,7.05,7.07,31100,7.07
2016-09-12,7.37,7.49,7.24,7.37,15400,7.37
2016-09-09,7.60,7.63,7.55,7.61,9800,7.61
2016-09-08,7.61,7.73,7.61,7.68,34600,7.68
2016-09-07,7.68,7.73,7.63,7.69,12900,7.69
2016-09-06,7.58,7.69,7.54,7.69,49400,7.69
2016-09-02,7.59,7.69,7.59,7.66,6400,7.575
2016-09-01,7.62,7.63,7.57,7.60,19600,7.515666
2016-08-31,7.71,7.73,7.61,7.69,9300,7.604667
2016-08-30,7.83,7.83,7.69,7.70,11200,7.614556
2016-08-29,7.72,7.82,7.72,7.78,12400,7.693669
2016-08-26,7.85,7.89,7.85,7.88,2300,7.792559
2016-08-25,7.86,7.89,7.85,7.89,19400,7.802448
2016-08-24,7.82,7.85,7.81,7.82,20100,7.733225
2016-08-23,7.71,7.85,7.69,7.81,39100,7.723336
2016-08-22,7.84,7.84,7.56,7.69,176300,7.604667
2016-08-19,7.74,7.83,7.54,7.80,38400,7.713447
2016-08-18,7.67,7.75,7.67,7.75,29900,7.664001
