Date,Open,High,Low,Close,Volume,Adj Close
2016-10-11,168.479996,170.229996,168.309998,169.190002,1028200,169.190002
2016-10-10,170.699997,172.610001,169.869995,171.25,873400,171.25
2016-10-07,178.449997,178.979996,169.860001,170.119995,1218400,170.119995
2016-10-06,175.139999,178.820007,175.100006,178.449997,658900,178.449997
2016-10-05,176.690002,178.389999,174.710007,175.759995,855700,175.759995
2016-10-04,176.440002,178.300003,175.429993,175.699997,712700,175.699997
2016-10-03,178.979996,180.309998,176.259995,176.899994,730900,176.899994
2016-09-30,182.50,183.479996,178.690002,179.110001,1117800,179.110001
2016-09-29,184.00,184.360001,179.899994,182.50,996200,182.50
2016-09-28,184.339996,186.00,182.619995,185.100006,517800,185.100006
2016-09-27,183.320007,183.789993,180.429993,183.580002,656600,183.580002
2016-09-26,180.789993,184.809998,180.789993,183.25,864500,183.25
2016-09-23,181.50,182.830002,180.669998,181.289993,831700,181.289993
2016-09-22,180.059998,182.479996,180.059998,181.919998,954200,181.919998
2016-09-21,176.009995,178.979996,174.809998,178.910004,726500,178.910004
2016-09-20,176.229996,176.229996,172.490005,174.759995,582200,174.759995
2016-09-19,175.589996,176.779999,174.089996,174.970001,487500,174.970001
2016-09-16,177.149994,178.210007,173.539993,173.949997,770400,173.949997
2016-09-15,177.380005,178.50,174.779999,177.830002,807300,177.830002
2016-09-14,178.470001,180.029999,176.279999,177.380005,688500,177.380005
2016-09-13,178.429993,179.669998,177.119995,178.50,650500,178.50
2016-09-12,174.820007,180.350006,174.089996,179.889999,1013700,179.889999
2016-09-09,178.610001,178.699997,173.509995,175.00,1193000,175.00
2016-09-08,180.910004,181.759995,179.330002,179.940002,399100,179.940002
2016-09-07,180.949997,183.429993,180.020004,180.899994,619900,180.899994
2016-09-06,184.720001,185.289993,179.699997,180.949997,774600,180.949997
2016-09-02,184.740005,185.059998,182.220001,184.630005,641800,184.630005
2016-09-01,182.619995,184.419998,180.630005,183.529999,631200,183.529999
2016-08-31,187.50,187.50,181.630005,183.029999,1004800,183.029999
2016-08-30,189.600006,190.139999,187.690002,188.830002,482100,188.830002
2016-08-29,188.690002,191.160004,188.690002,189.610001,448400,189.189998
