Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,0.71,0.78,0.68,0.78,24300,0.78
2016-10-06,0.71,0.75,0.71,0.71,16400,0.71
2016-10-05,0.74,0.76,0.74,0.75,5400,0.75
2016-10-04,0.78,0.78,0.71,0.71,17100,0.71
2016-10-03,0.75,0.75,0.73,0.73,14800,0.73
2016-09-30,0.76,0.77,0.73,0.75,22800,0.75
2016-09-29,0.76,0.78,0.73,0.75,22200,0.75
2016-09-28,0.75,0.79,0.75,0.75,20200,0.75
2016-09-27,0.78,0.79,0.75,0.78,13600,0.78
2016-09-26,0.75,0.80,0.74,0.78,16800,0.78
2016-09-23,0.75,0.77,0.74,0.77,27400,0.77
2016-09-22,0.77,0.78,0.75,0.75,34000,0.75
2016-09-21,0.77,0.77,0.75,0.75,4400,0.75
2016-09-20,0.75,0.77,0.74,0.76,20300,0.76
2016-09-19,0.73,0.78,0.72,0.77,25200,0.77
2016-09-16,0.75,0.80,0.71,0.73,76600,0.73
2016-09-15,0.74,0.80,0.73,0.77,106900,0.77
2016-09-14,0.76,0.77,0.72,0.76,83400,0.76
2016-09-13,0.77,0.78,0.75,0.75,53000,0.75
2016-09-12,0.78,0.78,0.69,0.77,58100,0.77
2016-09-09,0.75,0.79,0.75,0.78,22200,0.78
2016-09-08,0.73,0.80,0.73,0.80,41400,0.80
2016-09-07,0.71,0.78,0.71,0.74,94200,0.74
2016-09-06,0.75,0.78,0.73,0.74,156700,0.74
2016-09-02,0.74,0.78,0.71,0.75,58900,0.75
2016-09-01,0.71,0.78,0.71,0.76,92200,0.76
2016-08-31,0.79,0.80,0.78,0.79,21900,0.79
2016-08-30,0.82,0.83,0.72,0.79,61000,0.79
2016-08-29,0.75,0.80,0.75,0.80,91300,0.80
2016-08-26,0.75,0.77,0.69,0.76,100800,0.76
2016-08-25,0.75,0.75,0.71,0.71,83400,0.71
2016-08-24,0.74,0.77,0.72,0.75,55900,0.75
2016-08-23,0.75,0.75,0.69,0.72,33800,0.72
2016-08-22,0.74,0.76,0.73,0.74,57200,0.74
2016-08-19,0.69,0.74,0.69,0.73,28700,0.73
2016-08-18,0.69,0.72,0.69,0.71,220600,0.71
2016-08-17,0.67,0.71,0.67,0.71,21900,0.71
2016-08-16,0.72,0.72,0.63,0.70,29600,0.70
2016-08-15,0.71,0.73,0.70,0.70,35700,0.70
2016-08-12,0.64,0.75,0.64,0.69,92300,0.69
2016-08-11,0.60,0.67,0.60,0.64,22600,0.64
2016-08-10,0.70,0.70,0.61,0.63,103200,0.63
2016-08-09,0.72,0.72,0.67,0.70,55700,0.70
2016-08-08,0.65,0.79,0.61,0.70,152600,0.70
2016-08-05,0.58,0.64,0.55,0.64,122100,0.64
2016-08-04,0.60,0.60,0.53,0.60,39700,0.60
2016-08-03,0.56,0.59,0.50,0.59,57500,0.59
2016-08-02,0.54,0.59,0.54,0.56,45600,0.56
2016-08-01,0.50,0.57,0.50,0.55,131100,0.55
2016-07-29,0.54,0.54,0.50,0.50,14500,0.50
2016-07-28,0.52,0.54,0.51,0.51,55500,0.51
2016-07-27,0.52,0.53,0.50,0.52,51100,0.52
2016-07-26,0.55,0.55,0.50,0.50,97800,0.50
2016-07-25,0.54,0.57,0.52,0.54,106400,0.54
2016-07-22,0.50,0.64,0.50,0.53,362100,0.53
2016-07-21,0.50,0.52,0.47,0.51,87500,0.51
2016-07-20,0.46,0.51,0.44,0.50,93500,0.50
2016-07-19,0.45,0.49,0.42,0.46,37400,0.46
2016-07-18,0.44,0.45,0.40,0.44,26300,0.44
2016-07-15,0.44,0.45,0.41,0.45,18500,0.45
2016-07-14,0.42,0.44,0.40,0.41,32000,0.41
2016-07-13,0.42,0.43,0.40,0.42,28200,0.42
2016-07-12,0.42,0.44,0.42,0.43,13400,0.43
2016-07-11,0.40,0.49,0.40,0.41,100200,0.41
2016-07-08,0.40,0.43,0.40,0.42,16500,0.42
2016-07-07,0.42,0.43,0.40,0.42,24700,0.42
2016-07-06,0.42,0.43,0.41,0.43,24100,0.43
2016-07-05,0.44,0.45,0.40,0.42,20900,0.42
2016-07-01,0.44,0.46,0.42,0.43,55000,0.43
2016-06-30,0.40,0.45,0.40,0.41,81000,0.41
2016-06-29,0.42,0.43,0.39,0.39,92700,0.39
2016-06-28,0.39,0.45,0.39,0.40,103600,0.40
2016-06-27,0.44,0.49,0.39,0.39,69500,0.39
2016-06-24,0.43,0.49,0.38,0.44,99800,0.44
2016-06-23,0.46,0.49,0.44,0.45,67100,0.45
2016-06-22,0.47,0.49,0.46,0.46,47700,0.46
2016-06-21,0.50,0.50,0.45,0.46,87200,0.46
2016-06-20,0.55,0.55,0.48,0.50,148300,0.50
2016-06-17,0.43,0.50,0.43,0.47,74800,0.47
2016-06-16,0.46,0.55,0.42,0.42,320900,0.42
2016-06-15,0.33,0.47,0.32,0.47,420900,0.47
2016-06-14,0.34,0.34,0.30,0.33,288800,0.33
2016-06-13,0.33,0.38,0.32,0.33,247100,0.33
2016-06-10,0.33,0.33,0.32,0.33,119000,0.33
2016-06-09,0.34,0.37,0.32,0.32,41400,0.32
2016-06-08,0.33,0.33,0.32,0.33,100100,0.33
2016-06-07,0.34,0.34,0.32,0.33,86300,0.33
2016-06-06,0.37,0.39,0.33,0.33,154700,0.33
2016-06-03,0.36,0.39,0.36,0.36,64300,0.36
2016-06-02,0.39,0.39,0.35,0.39,66900,0.39
2016-06-01,0.39,0.40,0.38,0.39,31800,0.39
2016-05-31,0.45,0.45,0.38,0.39,135400,0.39
2016-05-27,0.41,0.41,0.40,0.41,67300,0.41
2016-05-26,0.45,0.45,0.39,0.40,98500,0.40
2016-05-25,0.44,0.44,0.40,0.42,154800,0.42
2016-05-24,0.46,0.47,0.40,0.44,55800,0.44
2016-05-23,0.46,0.48,0.46,0.47,11700,0.47
2016-05-20,0.48,0.48,0.45,0.46,5900,0.46
2016-05-19,0.45,0.48,0.45,0.45,18700,0.45
2016-05-18,0.44,0.47,0.44,0.44,22900,0.44
2016-05-17,0.47,0.48,0.40,0.44,89700,0.44
2016-05-16,0.48,0.48,0.46,0.46,33900,0.46
2016-05-13,0.45,0.48,0.45,0.48,18500,0.48
2016-05-12,0.47,0.49,0.45,0.47,67200,0.47
2016-05-11,0.47,0.50,0.47,0.48,25000,0.48
2016-05-10,0.52,0.52,0.47,0.47,29200,0.47
2016-05-09,0.45,0.52,0.45,0.47,54500,0.47
2016-05-06,0.52,0.52,0.44,0.48,40700,0.48
2016-05-05,0.50,0.52,0.50,0.52,18700,0.52
2016-05-04,0.55,0.58,0.48,0.52,58100,0.52
2016-05-03,0.48,0.54,0.48,0.51,23700,0.51
2016-05-02,0.53,0.55,0.44,0.48,74200,0.48
2016-04-29,0.56,0.56,0.43,0.53,61200,0.53
2016-04-28,0.51,0.58,0.46,0.46,132100,0.46
2016-04-27,0.55,0.57,0.46,0.52,45900,0.52
2016-04-26,0.55,0.58,0.50,0.53,167400,0.53
2016-04-25,0.53,0.53,0.52,0.53,89200,0.53
2016-04-22,0.56,0.56,0.51,0.54,30300,0.54
2016-04-21,0.57,0.57,0.46,0.54,75000,0.54
2016-04-20,0.56,0.58,0.50,0.51,47000,0.51
2016-04-19,0.57,0.57,0.50,0.55,128200,0.55
2016-04-18,0.58,0.58,0.51,0.57,143700,0.57
2016-04-15,0.61,0.62,0.58,0.58,50200,0.58
2016-04-14,0.60,0.62,0.59,0.59,10400,0.59
2016-04-13,0.58,0.64,0.58,0.59,41900,0.59
2016-04-12,0.60,0.62,0.58,0.58,20100,0.58
2016-04-11,0.61,0.64,0.58,0.62,138400,0.62
2016-04-08,0.62,0.62,0.58,0.61,65900,0.61
2016-04-07,0.60,0.62,0.59,0.62,110000,0.62
2016-04-06,0.65,0.66,0.60,0.60,50400,0.60
2016-04-05,0.65,0.65,0.60,0.61,24900,0.61
2016-04-04,0.65,0.70,0.60,0.63,82400,0.63
2016-04-01,0.66,0.68,0.65,0.65,45100,0.65
2016-03-31,0.66,0.68,0.65,0.65,42300,0.65
2016-03-30,0.66,0.68,0.66,0.66,3400,0.66
2016-03-29,0.69,0.69,0.64,0.65,32100,0.65
2016-03-28,0.69,0.72,0.61,0.69,69100,0.69
2016-03-24,0.66,0.69,0.65,0.67,44200,0.67
2016-03-23,0.70,0.71,0.62,0.66,65300,0.66
2016-03-22,0.72,0.76,0.70,0.72,66400,0.72
2016-03-21,0.71,0.76,0.68,0.72,97500,0.72
2016-03-18,0.77,0.79,0.73,0.73,42300,0.73
2016-03-17,0.76,0.79,0.66,0.75,104000,0.75
2016-03-16,0.79,0.79,0.70,0.78,38700,0.78
2016-03-15,0.90,0.90,0.75,0.80,93000,0.80
2016-03-14,0.88,0.90,0.85,0.88,29700,0.88
2016-03-11,0.85,0.87,0.81,0.87,65600,0.87
2016-03-10,0.75,0.85,0.75,0.85,92400,0.85
2016-03-09,0.77,0.82,0.73,0.79,83800,0.79
2016-03-08,0.81,0.81,0.70,0.76,132100,0.76
2016-03-07,0.73,0.86,0.73,0.76,61100,0.76
2016-03-04,0.67,0.77,0.67,0.71,170400,0.71
2016-03-03,0.65,0.66,0.61,0.64,63800,0.64
2016-03-02,0.59,0.65,0.57,0.62,178500,0.62
2016-03-01,0.56,0.62,0.56,0.62,232300,0.62
2016-02-29,0.59,0.65,0.57,0.62,126500,0.62
2016-02-26,0.58,0.61,0.56,0.59,44100,0.59
2016-02-25,0.59,0.60,0.56,0.60,87700,0.60
2016-02-24,0.59,0.60,0.57,0.59,60000,0.59
2016-02-23,0.61,0.61,0.56,0.57,149800,0.57
