Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,6.00,6.08,5.91,5.94,85200,5.94
2016-10-06,6.00,6.06,5.87,6.01,95400,6.01
2016-10-05,6.06,6.13,5.84,5.99,50900,5.99
2016-10-04,5.82,6.48,5.70,5.98,525900,5.98
2016-10-03,5.55,5.79,5.34,5.76,105100,5.76
2016-09-30,5.32,5.54,5.23,5.49,202600,5.49
2016-09-29,5.46,5.50,5.06,5.26,82000,5.26
2016-09-28,5.15,5.40,5.05,5.37,73200,5.37
2016-09-27,5.11,5.28,5.05,5.12,131000,5.12
2016-09-26,5.33,5.35,5.05,5.15,126600,5.15
2016-09-23,5.56,5.62,5.15,5.25,113500,5.25
2016-09-22,5.55,5.63,5.40,5.52,93700,5.52
2016-09-21,5.65,5.67,5.35,5.50,130300,5.50
2016-09-20,5.38,5.61,5.11,5.56,130800,5.56
2016-09-19,5.31,5.50,5.20,5.42,96500,5.42
2016-09-16,5.24,5.35,5.20,5.31,102100,5.31
2016-09-15,5.15,5.41,5.12,5.32,93100,5.32
2016-09-14,5.02,5.23,4.83,5.22,87500,5.22
2016-09-13,5.22,5.25,4.70,4.97,323800,4.97
2016-09-12,5.52,5.56,5.20,5.30,216900,5.30
2016-09-09,5.79,5.89,5.55,5.61,236200,5.61
2016-09-08,5.76,6.18,5.60,5.83,446800,5.83
2016-09-07,5.76,5.90,5.60,5.70,278100,5.70
2016-09-06,5.46,5.90,5.43,5.80,230800,5.80
2016-09-02,5.93,6.23,5.40,5.47,711600,5.47
2016-09-01,5.50,6.58,5.50,5.93,2305300,5.93
2016-08-31,5.46,5.67,5.45,5.50,169000,5.50
2016-08-30,5.46,5.55,5.36,5.50,153700,5.50
2016-08-29,5.46,5.72,5.35,5.46,230100,5.46
2016-08-26,5.50,5.50,5.30,5.48,200400,5.48
2016-08-25,5.44,5.53,5.27,5.39,97700,5.39
2016-08-24,5.43,5.55,5.35,5.48,141600,5.48
2016-08-23,5.48,5.57,5.41,5.48,162900,5.48
2016-08-22,5.57,5.85,5.40,5.50,237100,5.50
2016-08-19,5.31,5.77,5.24,5.64,409500,5.64
2016-08-18,5.66,6.02,5.30,5.46,873600,5.46
2016-08-17,5.90,6.34,5.58,5.75,584700,5.75
2016-08-16,5.89,6.28,5.08,6.06,1400200,6.06
2016-08-15,6.30,6.64,5.85,6.10,942700,6.10
2016-08-12,6.05,7.17,6.05,6.65,2004900,6.65
2016-08-11,5.30,6.74,5.00,6.01,5073600,6.01
2016-08-10,4.02,5.57,3.94,5.35,1230200,5.35
2016-08-09,4.14,4.42,3.79,4.12,659400,4.12
2016-08-08,3.40,4.35,3.32,4.16,2156300,4.16
2016-08-05,2.75,3.40,2.66,3.32,1029900,3.32
2016-08-04,2.64,2.95,2.35,2.81,1318600,2.81
2016-08-03,2.03,5.00,1.70,2.50,7559600,2.50
2016-08-02,1.14,1.22,1.14,1.20,41400,1.20
2016-08-01,1.27,1.29,1.12,1.14,27500,1.14
2016-07-29,1.29,1.32,1.23,1.28,18900,1.28
2016-07-28,1.26,1.32,1.18,1.28,11300,1.28
2016-07-27,1.30,1.36,1.24,1.24,41300,1.24
2016-07-26,1.29,1.29,1.21,1.22,14500,1.22
2016-07-25,1.21,1.33,1.21,1.21,58400,1.21
2016-07-22,1.15,1.25,1.12,1.20,91000,1.20
2016-07-21,1.14,1.28,1.12,1.15,82600,1.15
2016-07-20,1.21,1.21,1.15,1.15,18200,1.15
2016-07-19,1.22,1.26,1.15,1.21,45200,1.21
2016-07-18,1.23,1.39,1.20,1.24,226700,1.24
2016-07-15,1.18,1.20,1.12,1.20,17000,1.20
2016-07-14,1.19,1.20,1.18,1.19,19100,1.19
2016-07-13,1.19,1.19,1.19,1.19,9500,1.19
2016-07-12,1.19,1.20,1.16,1.16,10100,1.16
2016-07-11,1.18,1.19,1.17,1.18,11200,1.18
2016-07-08,1.16,1.20,1.16,1.17,35100,1.17
2016-07-07,1.20,1.20,1.18,1.18,6500,1.18
2016-07-06,1.19,1.20,1.17,1.19,18100,1.19
2016-07-05,1.20,1.21,1.11,1.16,20800,1.16
2016-07-01,1.22,1.22,1.18,1.18,10700,1.18
2016-06-30,1.24,1.30,1.18,1.18,27400,1.18
2016-06-29,1.21,1.26,1.21,1.24,6400,1.24
2016-06-28,1.20,1.21,1.19,1.19,14500,1.19
2016-06-27,1.28,1.28,1.21,1.21,12700,1.21
2016-06-24,1.28,1.29,1.28,1.29,6400,1.29
2016-06-23,1.24,1.35,1.24,1.30,6000,1.30
2016-06-22,1.26,1.31,1.26,1.27,11400,1.27
2016-06-21,1.29,1.31,1.25,1.26,20500,1.26
2016-06-20,1.30,1.35,1.27,1.29,24500,1.29
2016-06-17,1.29,1.35,1.24,1.32,15900,1.32
2016-06-16,1.22,1.33,1.21,1.29,10200,1.29
2016-06-15,1.28,1.29,1.18,1.25,34400,1.25
2016-06-14,1.35,1.35,1.27,1.30,21100,1.30
2016-06-13,1.26,1.33,1.26,1.30,11200,1.30
2016-06-10,1.27,1.30,1.27,1.27,2400,1.27
2016-06-09,1.28,1.35,1.27,1.31,14400,1.31
2016-06-08,1.31,1.34,1.25,1.28,54600,1.28
2016-06-07,1.38,1.40,1.32,1.32,19000,1.32
2016-06-06,1.39,1.41,1.31,1.39,10400,1.39
2016-06-03,1.32,1.41,1.29,1.36,26300,1.36
2016-06-02,1.30,1.37,1.30,1.30,13100,1.30
2016-06-01,1.32,1.41,1.30,1.30,56100,1.30
2016-05-31,1.24,1.38,1.24,1.30,26600,1.30
2016-05-27,1.28,1.33,1.28,1.33,6500,1.33
2016-05-26,1.39,1.39,1.26,1.30,10200,1.30
2016-05-25,1.27,1.39,1.26,1.39,7000,1.39
2016-05-24,1.29,1.30,1.25,1.25,10300,1.25
2016-05-23,1.32,1.37,1.25,1.32,21400,1.32
2016-05-20,1.30,1.38,1.29,1.31,35600,1.31
2016-05-19,1.32,1.36,1.26,1.32,54300,1.32
2016-05-18,1.24,1.36,1.24,1.32,46300,1.32
2016-05-17,1.20,1.29,1.20,1.25,45500,1.25
2016-05-16,1.19,1.25,1.17,1.22,16000,1.22
2016-05-13,1.16,1.25,1.10,1.17,26600,1.17
2016-05-12,1.14,1.19,1.12,1.16,26300,1.16
2016-05-11,1.09,1.12,1.09,1.11,14200,1.11
2016-05-10,1.10,1.11,1.07,1.08,25000,1.08
2016-05-09,1.09,1.10,1.00,1.05,15800,1.05
2016-05-06,1.10,1.10,1.06,1.09,11600,1.09
2016-05-05,0.94,1.10,0.94,1.09,76300,1.09
2016-05-04,0.90,0.96,0.90,0.92,8400,0.92
2016-05-03,0.95,0.96,0.87,0.94,14500,0.94
2016-05-02,0.96,0.96,0.93,0.94,7600,0.94
2016-04-29,0.88,0.95,0.87,0.95,33700,0.95
2016-04-28,0.92,0.92,0.89,0.89,7500,0.89
2016-04-27,0.92,0.92,0.87,0.92,26600,0.92
2016-04-26,0.96,0.96,0.94,0.94,13700,0.94
2016-04-25,0.96,0.96,0.94,0.96,10500,0.96
2016-04-22,0.91,0.96,0.91,0.94,15200,0.94
2016-04-21,0.83,0.91,0.83,0.90,25900,0.90
2016-04-20,0.84,0.87,0.82,0.85,20400,0.85
2016-04-19,0.82,0.89,0.82,0.87,29200,0.87
2016-04-18,0.90,0.91,0.85,0.87,13000,0.87
2016-04-15,0.88,0.92,0.88,0.91,10900,0.91
2016-04-14,0.92,0.92,0.81,0.88,16600,0.88
2016-04-13,0.87,0.90,0.80,0.88,30700,0.88
2016-04-12,0.89,0.93,0.88,0.89,30400,0.89
2016-04-11,0.95,0.96,0.88,0.91,17600,0.91
2016-04-08,0.95,0.98,0.90,0.91,30700,0.91
2016-04-07,0.90,0.99,0.86,0.86,18300,0.86
2016-04-06,1.00,1.02,0.80,0.90,43200,0.90
2016-04-05,0.93,1.02,0.92,1.01,9200,1.01
2016-04-04,0.97,1.08,0.94,0.96,19200,0.96
2016-04-01,1.07,1.10,0.99,1.00,41900,1.00
2016-03-31,1.07,1.08,1.05,1.05,8800,1.05
