Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,11.28,11.57,11.28,11.56,10000,11.56
2016-10-06,11.42,11.45,11.30,11.35,14700,11.35
2016-10-05,11.45,11.49,11.05,11.49,16800,11.49
2016-10-04,11.12,11.14,11.01,11.01,7100,11.01
2016-10-03,11.45,11.45,11.10,11.20,29300,11.20
2016-09-30,11.14,11.58,11.08,11.58,15600,11.58
2016-09-29,10.96,11.78,10.96,11.33,64600,11.33
2016-09-28,11.13,11.22,10.86,11.03,61200,11.03
2016-09-27,11.13,11.20,11.12,11.15,2400,11.15
2016-09-26,11.23,11.35,11.14,11.18,5900,11.18
2016-09-23,11.25,11.25,11.25,11.25,300,11.25
2016-09-22,11.29,11.40,11.09,11.18,12900,11.18
2016-09-21,11.21,11.21,11.21,11.21,000,11.21
2016-09-20,11.24,11.28,11.20,11.21,2100,11.21
2016-09-19,11.21,11.36,11.04,11.35,6100,11.35
2016-09-16,10.90,11.38,10.90,11.38,68400,11.38
2016-09-15,11.01,11.18,10.90,11.01,8900,11.01
2016-09-14,11.32,11.32,11.04,11.13,3400,11.13
2016-09-13,11.30,11.31,11.30,11.30,1900,11.30
2016-09-12,11.31,11.44,11.30,11.38,2200,11.38
2016-09-09,11.29,11.49,11.24,11.33,3800,11.33
2016-09-08,11.50,11.50,11.13,11.19,46300,11.19
2016-09-07,11.50,11.60,11.05,11.37,5300,11.37
2016-09-06,11.49,11.50,11.35,11.48,22200,11.48
2016-09-02,11.43,11.56,11.39,11.42,11400,11.42
2016-09-01,11.39,11.39,11.39,11.39,000,11.39
2016-08-31,11.30,11.40,11.30,11.39,900,11.39
2016-08-30,11.23,11.35,11.23,11.35,400,11.35
2016-08-29,11.22,11.39,11.18,11.30,26500,11.30
2016-08-26,11.20,11.20,11.20,11.20,000,11.20
2016-08-25,11.20,11.20,11.20,11.20,000,11.20
2016-08-24,11.01,11.25,10.98,11.20,35900,11.20
2016-08-23,11.07,11.43,11.07,11.43,200,11.43
2016-08-22,10.91,10.95,10.75,10.95,651000,10.95
2016-08-19,11.20,11.20,11.20,11.20,000,11.20
2016-08-18,11.30,11.30,11.08,11.20,1800,11.20
2016-08-17,11.17,11.18,11.17,11.17,500,11.17
2016-08-16,11.09,11.18,11.09,11.14,1000,11.14
2016-08-15,11.20,11.20,11.20,11.20,1500,11.20
2016-08-12,11.08,11.08,11.08,11.08,000,11.08
2016-08-11,11.08,11.09,11.08,11.08,700,11.08
2016-08-10,11.28,11.29,11.15,11.15,700,11.15
2016-08-09,11.20,11.25,11.12,11.20,7000,11.20
2016-08-08,11.08,11.10,11.00,11.10,10400,11.10
2016-08-05,11.08,11.10,11.08,11.10,800,11.09
2016-08-04,11.09,11.09,11.02,11.05,1300,11.040045
2016-08-03,11.00,11.00,11.00,11.00,100,10.99009
2016-08-02,11.05,11.05,11.05,11.05,100,11.040045
2016-08-01,11.20,11.54,10.88,11.05,2100,11.040045
2016-07-29,11.30,11.30,11.28,11.30,7100,11.28982
2016-07-28,10.95,11.31,10.95,11.03,8000,11.020063
2016-07-27,10.99,10.99,10.99,10.99,200,10.980099
2016-07-26,11.15,11.15,11.15,11.15,000,11.139954
2016-07-25,10.80,11.37,10.80,11.15,5800,11.139954
2016-07-22,11.12,11.12,10.93,10.95,9400,10.940135
2016-07-21,11.08,11.09,11.08,11.09,2300,11.080009
2016-07-20,11.03,11.03,11.03,11.03,000,11.020063
2016-07-19,11.00,11.21,11.00,11.03,3200,11.020063
2016-07-18,10.97,11.14,10.81,11.03,10300,11.020063
2016-07-15,11.15,11.31,11.00,11.25,22900,11.239865
2016-07-14,11.23,11.25,11.00,11.00,3200,10.99009
2016-07-13,11.25,11.40,11.25,11.34,7300,11.329784
2016-07-12,11.45,11.45,11.45,11.45,100,11.439684
2016-07-11,11.37,11.49,11.24,11.49,6200,11.479648
2016-07-08,11.31,11.31,11.17,11.24,11400,11.229873
2016-07-07,10.88,11.41,10.88,11.24,7900,11.229873
2016-07-06,10.50,11.25,10.50,11.25,11700,11.239865
2016-07-05,11.49,11.49,11.19,11.20,2800,11.189909
2016-07-01,11.25,11.40,11.25,11.40,6200,11.389729
2016-06-30,11.20,11.50,11.11,11.25,2500,11.239865
2016-06-29,11.10,11.12,10.99,11.09,3200,11.080009
2016-06-28,11.23,11.30,11.12,11.29,3600,11.279829
2016-06-27,11.26,11.26,11.26,11.26,000,11.249856
2016-06-24,11.52,11.63,11.25,11.26,5900,11.249856
2016-06-23,11.52,11.64,11.51,11.52,5900,11.509622
2016-06-22,11.16,11.16,11.16,11.16,000,11.149946
2016-06-21,11.16,11.16,11.15,11.16,1500,11.149946
2016-06-20,11.35,11.35,11.10,11.31,20300,11.299811
2016-06-17,10.75,11.08,10.72,11.08,43900,11.070018
2016-06-16,10.91,11.20,10.65,10.83,10900,10.820243
2016-06-15,10.81,11.30,10.60,10.66,26200,10.650396
2016-06-14,10.64,11.10,10.64,10.68,7700,10.670378
2016-06-13,10.99,11.03,10.54,10.54,7300,10.530504
2016-06-10,10.80,10.82,10.77,10.82,900,10.810252
2016-06-09,10.84,10.86,10.75,10.84,6300,10.830234
