Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,18.740999,18.789,18.52,18.58,12900,18.58
2016-10-06,18.77,18.815001,18.549999,18.75,37900,18.75
2016-10-05,18.49,18.65,18.440001,18.639999,33000,18.639999
2016-10-04,18.552999,18.639999,18.299999,18.41,15000,18.41
2016-10-03,18.34,18.50,18.34,18.43,45400,18.43
2016-09-30,18.469999,18.620001,18.129999,18.49,21000,18.49
2016-09-29,18.85,19.025999,18.155001,18.35,70800,18.35
2016-09-28,18.299999,19.15,18.110001,18.92,51700,18.92
2016-09-27,17.17,18.440001,17.17,18.379999,79400,18.379999
2016-09-26,17.360001,17.360001,17.01,17.25,30500,17.25
2016-09-23,17.959999,18.00,17.334999,17.370001,21100,17.370001
2016-09-22,17.50,18.00,17.190001,17.75,59600,17.75
2016-09-21,17.35,17.66,17.055,17.469999,104500,17.469999
2016-09-20,17.50,17.50,16.950001,17.35,54400,17.35
2016-09-19,17.309999,17.440001,16.950001,17.290001,40500,17.290001
2016-09-16,16.83,17.58,16.83,17.23,149400,17.23
2016-09-15,16.91,16.940001,16.639999,16.940001,48000,16.940001
2016-09-14,16.48,16.719999,16.35,16.67,30700,16.67
2016-09-13,16.91,16.91,16.02,16.290001,40700,16.290001
2016-09-12,16.93,17.190001,16.51,16.879999,84600,16.879999
2016-09-09,17.049999,17.15,16.309999,16.92,48200,16.92
2016-09-08,16.90,17.16,16.700001,17.10,94100,17.10
2016-09-07,16.780001,16.92,16.559999,16.889999,35700,16.889999
2016-09-06,16.26,16.889999,16.26,16.68,110700,16.68
2016-09-02,16.27,16.280001,16.030001,16.08,23600,16.08
2016-09-01,16.50,17.08,16.030001,16.26,151300,16.26
2016-08-31,16.389999,16.389999,16.15,16.34,40400,16.34
2016-08-30,16.290001,16.59,16.08,16.290001,34300,16.290001
2016-08-29,16.23,16.299999,16.055,16.17,32100,16.17
2016-08-26,16.700001,16.74,16.16,16.26,19300,16.26
2016-08-25,17.50,17.50,16.360001,16.50,27800,16.50
2016-08-24,17.43,17.639999,16.764999,16.90,100100,16.90
2016-08-23,17.440001,17.52,17.209999,17.379999,37500,17.379999
2016-08-22,17.360001,17.42,17.10,17.34,50800,17.34
2016-08-19,17.469999,17.50,17.200001,17.27,28100,17.27
2016-08-18,17.85,17.85,17.42,17.52,11800,17.52
2016-08-17,17.76,17.799999,17.41,17.59,30400,17.59
2016-08-16,17.90,17.99,17.559999,17.73,45500,17.73
2016-08-15,17.93,17.98,17.530001,17.860001,39700,17.860001
2016-08-12,17.959999,18.17,17.82,17.90,19400,17.90
2016-08-11,18.129999,18.360001,17.799999,17.92,30600,17.92
2016-08-10,18.32,18.360001,18.110001,18.16,17900,18.16
2016-08-09,18.52,18.690001,18.375,18.50,38600,18.50
2016-08-08,18.67,18.67,18.35,18.43,17600,18.43
2016-08-05,19.09,19.15,18.51,18.67,22800,18.67
2016-08-04,18.370001,19.030001,18.370001,18.92,25200,18.92
2016-08-03,18.110001,18.83,18.110001,18.52,46800,18.52
2016-08-02,18.209999,18.372,17.879999,18.16,36100,18.16
