Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,14.39,15.35,14.39,15.30,360800,15.30
2016-10-06,15.50,15.65,14.22,14.42,536400,14.42
2016-10-05,14.74,16.59,14.71,15.73,842200,15.73
2016-10-04,15.05,15.39,14.64,14.69,283800,14.69
2016-10-03,15.05,15.18,14.73,14.92,317000,14.92
2016-09-30,14.76,15.40,14.51,15.02,465200,15.02
2016-09-29,14.91,14.98,14.53,14.68,521600,14.68
2016-09-28,13.32,15.37,13.07,14.99,1416100,14.99
2016-09-27,12.50,13.59,12.34,13.32,528200,13.32
2016-09-26,12.82,12.91,11.96,12.55,586400,12.55
2016-09-23,12.00,13.32,11.81,12.87,667300,12.87
2016-09-22,11.67,12.05,11.46,12.01,291100,12.01
2016-09-21,11.79,11.87,11.16,11.61,376200,11.61
2016-09-20,11.24,11.90,10.98,11.73,396700,11.73
2016-09-19,10.77,11.26,10.68,11.08,277100,11.08
2016-09-16,10.60,10.85,10.50,10.77,267300,10.77
2016-09-15,10.47,10.78,10.18,10.63,139400,10.63
2016-09-14,10.29,10.62,10.13,10.44,190100,10.44
2016-09-13,10.37,10.40,9.96,10.25,238100,10.25
2016-09-12,9.99,10.50,9.87,10.49,194100,10.49
2016-09-09,10.14,10.32,10.02,10.03,210300,10.03
2016-09-08,10.26,10.52,10.16,10.33,143700,10.33
2016-09-07,10.26,10.47,10.07,10.30,155800,10.30
2016-09-06,9.98,10.49,9.94,10.24,211100,10.24
2016-09-02,10.35,10.39,9.72,9.91,441100,9.91
2016-09-01,10.24,10.34,10.07,10.31,203200,10.31
2016-08-31,10.22,10.30,10.01,10.18,227200,10.18
2016-08-30,10.02,10.36,10.02,10.22,197200,10.22
2016-08-29,10.07,10.26,9.70,10.04,274200,10.04
2016-08-26,10.00,10.25,9.84,10.05,170400,10.05
2016-08-25,10.06,10.33,9.78,9.94,373300,9.94
2016-08-24,10.28,10.78,9.90,9.99,365200,9.99
2016-08-23,10.39,10.45,10.03,10.26,166200,10.26
2016-08-22,10.15,10.47,10.11,10.32,205700,10.32
2016-08-19,10.19,10.38,9.96,10.06,176200,10.06
2016-08-18,10.10,10.34,10.03,10.25,136900,10.25
