Date,Open,High,Low,Close,Volume,Adj Close
2016-10-11,96.589996,97.00,94.25,94.669998,3034100,94.669998
2016-10-10,97.220001,97.589996,95.690002,95.830002,1743000,95.830002
2016-10-07,97.300003,97.400002,96.050003,96.779999,1441700,96.779999
2016-10-06,97.040001,97.82,96.650002,97.449997,1638500,97.449997
2016-10-05,96.230003,97.169998,96.050003,97.040001,1200000,97.040001
2016-10-04,97.110001,97.730003,95.370003,95.790001,1456800,95.790001
2016-10-03,96.589996,97.120003,96.330002,96.910004,1350200,96.910004
2016-09-30,95.519997,97.279999,95.290001,97.059998,1921300,97.059998
2016-09-29,95.550003,95.870003,94.839996,95.150002,1796500,95.150002
2016-09-28,94.50,95.620003,94.169998,95.529999,1100000,95.529999
2016-09-27,93.25,94.720001,93.150002,94.480003,1086500,94.480003
2016-09-26,93.07,94.050003,92.839996,93.279999,1114700,93.279999
2016-09-23,93.480003,94.230003,93.25,93.620003,889500,93.620003
2016-09-22,93.779999,94.389999,93.639999,93.910004,1280100,93.910004
2016-09-21,92.029999,93.309998,91.889999,93.110001,1253700,93.110001
2016-09-20,92.379997,92.529999,91.610001,91.919998,1369500,91.919998
2016-09-19,91.760002,92.669998,91.760002,92.029999,1111100,92.029999
2016-09-16,91.059998,91.779999,90.440002,91.349998,2074000,91.349998
2016-09-15,90.360001,91.940002,89.919998,91.510002,1476500,91.510002
2016-09-14,90.519997,91.660004,90.220001,90.669998,1714200,90.669998
2016-09-13,91.440002,92.120003,90.300003,90.739998,1102300,90.739998
2016-09-12,90.690002,93.029999,90.209999,92.379997,1413500,92.379997
2016-09-09,93.290001,93.290001,90.75,90.779999,1646200,90.779999
2016-09-08,94.00,94.919998,93.239998,93.989998,1271600,93.989998
2016-09-07,94.93,95.970001,93.760002,93.940002,2427700,93.940002
2016-09-06,94.160004,95.150002,94.040001,95.150002,1553600,95.150002
2016-09-02,94.089996,94.800003,93.690002,94.160004,774200,94.160004
2016-09-01,94.110001,94.25,92.879997,93.800003,1142600,93.800003
2016-08-31,94.07,94.43,93.260002,93.900002,1544700,93.900002
2016-08-30,94.010002,94.370003,93.540001,94.370003,1398900,94.370003
2016-08-29,92.230003,94.300003,92.120003,94.010002,1721000,94.010002
2016-08-26,92.160004,92.970001,91.900002,92.269997,1322700,92.269997
2016-08-25,91.910004,92.669998,91.849998,92.080002,1075400,92.080002
2016-08-24,91.980003,92.330002,91.790001,92.099998,793700,92.099998
2016-08-23,91.900002,92.190002,91.519997,92.029999,723000,92.029999
2016-08-22,91.50,91.580002,91.010002,91.360001,811500,91.360001
2016-08-19,91.300003,91.959999,91.050003,91.580002,1078400,91.580002
2016-08-18,89.830002,91.669998,89.650002,91.669998,1580900,91.669998
2016-08-17,89.089996,89.870003,88.620003,89.82,950600,89.82
2016-08-16,88.730003,89.379997,88.07,89.120003,1286000,89.120003
2016-08-15,88.860001,89.639999,88.669998,88.919998,780400,88.919998
2016-08-12,89.480003,89.480003,87.970001,88.360001,1108600,88.360001
2016-08-11,88.769997,90.239998,88.279999,89.480003,1653500,89.480003
2016-08-10,89.559998,89.559998,88.379997,88.57,806700,88.57
2016-08-09,89.43,89.860001,89.169998,89.25,1044000,89.25
2016-08-08,89.00,90.470001,89.00,89.519997,1273300,89.519997
2016-08-05,88.160004,89.379997,87.610001,88.879997,1466900,88.879997
2016-08-04,87.57,88.309998,86.879997,87.610001,1684800,87.610001
2016-08-03,87.089996,88.529999,87.00,88.330002,1424000,87.740004
2016-08-02,88.25,88.519997,86.910004,87.169998,1002400,86.587748
2016-08-01,89.669998,89.669998,88.279999,88.550003,1639500,87.958535
2016-07-29,89.730003,90.309998,89.099998,89.779999,1218800,89.180315
2016-07-28,89.75,91.029999,88.879997,90.019997,1525900,89.41871
2016-07-27,92.440002,92.50,89.18,90.139999,2736400,89.537911
2016-07-26,91.959999,93.089996,91.50,92.75,2141500,92.130479
2016-07-25,92.00,92.730003,90.970001,91.959999,1277500,91.345755
2016-07-22,91.339996,92.099998,90.790001,92.010002,1047000,91.395424
2016-07-21,91.120003,92.160004,90.529999,91.559998,1453700,90.948425
2016-07-20,91.400002,92.010002,90.699997,91.75,1371700,91.137158
2016-07-19,91.050003,91.779999,90.860001,91.400002,1154700,90.789497
2016-07-18,91.279999,91.720001,90.900002,91.610001,895800,90.998094
2016-07-15,91.900002,92.300003,90.779999,91.489998,1204000,90.878893
2016-07-14,91.25,92.639999,90.849998,91.790001,2310800,91.176892
2016-07-13,88.989998,91.43,87.470001,90.769997,2658300,90.163701
