Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,29.209999,29.23,28.639999,28.74,368200,28.74
2016-10-06,29.309999,29.379999,29.01,29.24,385800,29.24
2016-10-05,28.950001,29.879999,28.879999,29.459999,332500,29.459999
2016-10-04,28.84,29.360001,28.65,28.870001,176200,28.870001
2016-10-03,29.059999,29.23,28.67,28.809999,486100,28.809999
2016-09-30,29.18,29.99,29.110001,29.25,732800,29.25
2016-09-29,29.549999,29.620001,28.93,28.99,310900,28.99
2016-09-28,29.139999,29.60,28.870001,29.58,470400,29.58
2016-09-27,28.34,29.129999,28.26,29.110001,466000,29.110001
2016-09-26,29.00,29.15,28.41,28.48,612900,28.48
2016-09-23,29.49,29.790001,29.110001,29.120001,461600,29.120001
2016-09-22,28.969999,29.540001,28.75,29.42,393500,29.42
2016-09-21,28.59,28.879999,28.33,28.690001,381200,28.690001
2016-09-20,29.35,29.35,28.440001,28.450001,380200,28.450001
2016-09-19,29.309999,29.799999,29.059999,29.209999,391000,29.209999
2016-09-16,29.42,29.42,28.879999,29.110001,1758000,29.110001
2016-09-15,28.290001,29.709999,28.290001,29.42,563800,29.42
2016-09-14,28.67,28.780001,28.34,28.60,738600,28.60
2016-09-13,28.41,28.690001,28.379999,28.57,603500,28.57
2016-09-12,28.08,28.620001,27.75,28.60,938000,28.60
2016-09-09,28.76,29.26,28.16,28.18,902500,28.18
2016-09-08,29.540001,29.68,29.040001,29.10,616000,29.10
2016-09-07,29.66,30.190001,29.540001,29.690001,539900,29.690001
2016-09-06,29.99,30.00,29.559999,29.75,542700,29.75
2016-09-02,29.75,30.309999,29.559999,30.110001,696700,30.110001
2016-09-01,29.530001,29.73,28.93,29.73,614400,29.73
2016-08-31,30.059999,30.09,29.01,29.58,766200,29.58
2016-08-30,29.709999,30.209999,29.66,30.16,698800,30.16
2016-08-29,29.719999,29.98,29.620001,29.75,666200,29.75
2016-08-26,29.57,29.889999,29.459999,29.77,556300,29.77
2016-08-25,29.26,29.610001,29.219999,29.59,450500,29.59
2016-08-24,29.57,29.969999,29.32,29.40,482900,29.40
2016-08-23,29.09,29.709999,29.09,29.700001,800800,29.700001
2016-08-22,28.950001,29.139999,28.75,29.049999,361900,29.049999
2016-08-19,28.82,29.209999,28.290001,29.15,408200,29.15
2016-08-18,28.639999,28.83,28.57,28.82,484300,28.82
2016-08-17,28.50,28.74,28.25,28.57,839400,28.57
2016-08-16,28.540001,28.809999,28.370001,28.549999,448600,28.549999
2016-08-15,28.00,28.77,27.99,28.620001,851200,28.620001
2016-08-12,27.879999,28.10,27.40,28.07,595600,28.07
2016-08-11,27.77,28.10,27.24,27.98,437100,27.98
2016-08-10,27.690001,27.879999,27.57,27.719999,586600,27.719999
2016-08-09,27.719999,27.889999,27.43,27.700001,534300,27.700001
2016-08-08,27.85,28.049999,27.74,27.799999,639800,27.799999
2016-08-05,27.809999,28.07,27.74,27.93,552700,27.93
2016-08-04,27.99,28.18,27.620001,27.67,590500,27.67
2016-08-03,27.24,28.10,27.24,28.059999,1304800,28.059999
2016-08-02,27.48,27.75,27.25,27.26,853500,27.26
