Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.72,1.85,1.61,1.80,20728000,1.80
2016-10-06,1.99,2.00,1.87,1.88,13252000,1.88
2016-10-05,1.99,2.06,1.96,2.01,13473900,2.01
2016-10-04,2.08,2.09,1.98,2.00,11414700,2.00
2016-10-03,2.09,2.17,2.06,2.08,11192800,2.08
2016-09-30,2.08,2.09,1.98,2.08,16731900,2.08
2016-09-29,2.20,2.25,2.00,2.06,28193300,2.06
2016-09-28,2.31,2.31,2.12,2.20,28931700,2.20
2016-09-27,2.43,2.47,2.14,2.28,53951800,2.28
2016-09-26,2.30,2.43,2.27,2.35,37728400,2.35
2016-09-23,2.25,2.41,2.17,2.26,70677000,2.26
2016-09-22,2.24,2.25,2.05,2.15,84554000,2.15
2016-09-21,1.49,1.94,1.45,1.94,92342000,1.94
2016-09-20,1.49,1.52,1.39,1.46,30235200,1.46
2016-09-19,1.43,1.50,1.36,1.49,82770200,1.49
2016-09-16,1.17,1.68,1.16,1.29,241705400,1.29
2016-09-15,8.48,8.49,8.10,8.34,5920000,8.34
2016-09-14,8.10,8.42,8.10,8.31,5978700,8.31
2016-09-13,8.01,8.10,7.85,7.96,5690700,7.96
2016-09-12,8.00,8.18,7.80,8.18,8863400,8.18
2016-09-09,7.64,8.15,7.58,7.79,14644300,7.79
2016-09-08,7.23,7.60,7.20,7.50,5203700,7.50
2016-09-07,7.25,7.60,7.19,7.25,4823000,7.25
2016-09-06,6.87,7.25,6.79,7.25,4956600,7.25
2016-09-02,6.83,6.92,6.72,6.77,2440900,6.77
2016-09-01,6.85,6.89,6.71,6.82,2766000,6.82
2016-08-31,7.00,7.02,6.78,6.84,3343900,6.84
2016-08-30,7.08,7.19,6.92,6.96,5260800,6.96
2016-08-29,7.20,7.22,6.99,7.21,3639300,7.21
2016-08-26,7.20,7.29,7.04,7.18,5383600,7.18
2016-08-25,7.07,7.21,6.64,6.87,5506900,6.87
2016-08-24,7.40,7.59,6.97,6.99,7799900,6.99
2016-08-23,7.29,7.47,7.27,7.40,2683700,7.40
2016-08-22,7.02,7.23,6.90,7.23,4124000,7.23
2016-08-19,7.16,7.17,6.96,7.02,5493800,7.02
2016-08-18,7.39,7.41,7.14,7.19,5566200,7.19
2016-08-17,7.40,7.45,7.28,7.36,2712500,7.36
2016-08-16,7.55,7.61,7.35,7.38,4498300,7.38
2016-08-15,7.12,7.62,7.10,7.51,4740700,7.51
2016-08-12,6.92,7.14,6.86,7.04,8093700,7.04
2016-08-11,6.90,6.96,6.71,6.86,5647400,6.86
2016-08-10,7.33,7.37,6.72,6.83,11085200,6.83
2016-08-09,7.60,7.68,7.46,7.57,3753900,7.57
2016-08-08,7.70,7.74,7.50,7.52,2812900,7.52
2016-08-05,7.55,7.70,7.51,7.64,2731500,7.64
2016-08-04,7.68,7.79,7.51,7.51,3349900,7.51
2016-08-03,7.22,7.65,7.18,7.61,4317700,7.61
2016-08-02,7.36,7.39,7.06,7.19,3618600,7.19
2016-08-01,7.37,7.49,7.26,7.35,4107200,7.35
2016-07-29,7.32,7.44,7.11,7.32,4066800,7.32
2016-07-28,7.48,7.48,7.23,7.38,3516600,7.38
2016-07-27,7.42,7.50,7.32,7.41,5259300,7.41
2016-07-26,7.33,7.38,7.23,7.37,3627000,7.37
2016-07-25,7.35,7.43,7.24,7.30,5013800,7.30
2016-07-22,7.38,7.41,7.15,7.35,5917300,7.35
2016-07-21,7.49,7.56,7.34,7.44,3379900,7.44
2016-07-20,7.27,7.43,7.22,7.43,3282700,7.43
2016-07-19,7.58,7.63,7.24,7.26,3913800,7.26
2016-07-18,7.58,7.64,7.49,7.59,2857000,7.59
2016-07-15,7.62,7.66,7.51,7.56,5564700,7.56
2016-07-14,7.48,7.70,7.46,7.55,3702400,7.55
2016-07-13,7.75,7.78,7.40,7.43,4825800,7.43
2016-07-12,7.89,7.90,7.70,7.73,4113200,7.73
2016-07-11,7.80,7.97,7.74,7.77,5193600,7.77
2016-07-08,7.45,7.68,7.44,7.62,3885800,7.62
2016-07-07,7.49,7.65,7.33,7.46,3695000,7.46
2016-07-06,7.18,7.47,7.06,7.46,3957600,7.46
2016-07-05,7.46,7.50,7.21,7.23,4152600,7.23
2016-07-01,7.25,7.51,7.22,7.49,5523200,7.49
2016-06-30,7.28,7.40,7.14,7.27,6864000,7.27
2016-06-29,7.09,7.25,6.90,7.17,6779400,7.17
2016-06-28,6.40,7.00,6.38,6.97,9470800,6.97
2016-06-27,6.53,6.73,6.26,6.27,7306300,6.27
2016-06-24,6.53,6.79,6.49,6.66,6381300,6.66
2016-06-23,6.77,6.91,6.70,6.91,3048100,6.91
2016-06-22,6.72,6.89,6.57,6.69,3699100,6.69
2016-06-21,6.84,6.85,6.65,6.72,3410100,6.72
2016-06-20,6.85,6.95,6.71,6.81,3297700,6.81
2016-06-17,6.81,6.89,6.66,6.69,9459000,6.69
2016-06-16,6.63,6.80,6.50,6.77,3973800,6.77
2016-06-15,6.65,6.90,6.59,6.65,4345000,6.65
2016-06-14,6.30,6.59,6.28,6.58,4341500,6.58
2016-06-13,6.51,6.64,6.34,6.35,4515400,6.35
2016-06-10,6.55,6.59,6.36,6.49,4501600,6.49
2016-06-09,6.66,6.98,6.61,6.61,6460600,6.61
2016-06-08,6.66,6.75,6.54,6.70,4925300,6.70
2016-06-07,6.48,6.92,6.30,6.56,7780300,6.56
2016-06-06,6.10,6.51,5.94,6.47,6250300,6.47
2016-06-03,6.31,6.33,6.01,6.12,7320300,6.12
2016-06-02,6.15,6.30,6.10,6.30,5036200,6.30
2016-06-01,6.02,6.21,6.01,6.14,7476700,6.14
2016-05-31,5.98,6.29,5.93,6.09,9044000,6.09
2016-05-27,5.64,5.86,5.58,5.86,3740100,5.86
2016-05-26,5.77,5.78,5.57,5.62,3795500,5.62
2016-05-25,5.90,6.06,5.73,5.78,10367800,5.78
2016-05-24,5.44,5.52,5.37,5.50,4206100,5.50
2016-05-23,5.27,5.47,5.26,5.36,4780600,5.36
2016-05-20,5.11,5.25,5.11,5.24,3824600,5.24
2016-05-19,5.12,5.31,5.00,5.10,3969600,5.10
2016-05-18,4.84,5.16,4.83,5.15,6238400,5.15
2016-05-17,4.68,5.05,4.67,4.85,6373900,4.85
2016-05-16,4.44,4.70,4.39,4.69,4271000,4.69
2016-05-13,4.30,4.47,4.30,4.41,3337600,4.41
2016-05-12,4.46,4.56,4.27,4.33,3651700,4.33
2016-05-11,4.64,4.70,4.44,4.46,3186500,4.46
2016-05-10,4.80,4.90,4.49,4.67,6255500,4.67
2016-05-09,4.52,4.82,4.49,4.79,5784900,4.79
2016-05-06,4.57,4.67,4.49,4.61,4826300,4.61
2016-05-05,4.71,4.82,4.51,4.58,6336700,4.58
2016-05-04,5.09,5.14,4.76,4.78,7054000,4.78
2016-05-03,5.21,5.27,5.01,5.03,4757800,5.03
2016-05-02,5.30,5.33,5.07,5.32,5167300,5.32
2016-04-29,5.43,5.49,5.24,5.24,5309500,5.24
2016-04-28,5.43,5.68,5.40,5.45,5595400,5.45
2016-04-27,5.44,5.54,5.38,5.47,5194300,5.47
2016-04-26,5.46,5.55,5.26,5.50,5528900,5.50
2016-04-25,5.60,5.63,5.41,5.45,3079000,5.45
2016-04-22,5.49,5.60,5.33,5.60,4621600,5.60
2016-04-21,5.25,5.51,5.18,5.50,4121700,5.50
2016-04-20,5.29,5.34,5.12,5.23,4140100,5.23
2016-04-19,5.49,5.54,5.26,5.32,5228100,5.32
2016-04-18,5.42,5.58,5.35,5.49,3713500,5.49
2016-04-15,5.52,5.58,5.37,5.47,4739700,5.47
2016-04-14,5.64,5.70,5.46,5.57,6477700,5.57
2016-04-13,5.58,5.62,5.46,5.57,4701400,5.57
2016-04-12,5.46,5.55,5.28,5.47,4684700,5.47
2016-04-11,5.58,5.75,5.45,5.47,4994600,5.47
2016-04-08,5.55,5.69,5.45,5.51,4188300,5.51
2016-04-07,5.65,5.81,5.47,5.49,6539100,5.49
2016-04-06,5.37,5.69,5.31,5.68,6656000,5.68
2016-04-05,5.26,5.53,5.16,5.34,5958500,5.34
2016-04-04,5.45,5.51,5.27,5.32,5583600,5.32
2016-04-01,5.09,5.55,5.08,5.49,5578100,5.49
2016-03-31,5.18,5.32,5.09,5.16,7060000,5.16
2016-03-30,5.26,5.59,5.08,5.14,5827100,5.14
2016-03-29,5.02,5.22,4.86,5.21,4818600,5.21
2016-03-28,5.21,5.24,5.04,5.04,3762900,5.04
2016-03-24,5.16,5.33,5.00,5.18,4622300,5.18
2016-03-23,5.51,5.62,5.15,5.16,6095600,5.16
2016-03-22,5.18,5.64,5.16,5.52,6847600,5.52
2016-03-21,5.06,5.37,5.02,5.25,5561000,5.25
2016-03-18,4.94,5.12,4.88,5.07,9148000,5.07
2016-03-17,4.81,4.98,4.69,4.90,4431200,4.90
2016-03-16,4.93,5.13,4.72,4.87,5130700,4.87
2016-03-15,5.35,5.37,4.95,4.99,5987800,4.99
2016-03-14,4.84,5.50,4.79,5.38,8599200,5.38
2016-03-11,4.84,4.89,4.67,4.88,3543800,4.88
2016-03-10,4.96,5.06,4.63,4.75,4453300,4.75
2016-03-09,4.91,4.98,4.73,4.91,3711500,4.91
2016-03-08,5.18,5.19,4.86,4.88,6312100,4.88
2016-03-07,4.83,5.33,4.75,5.14,6758400,5.14
2016-03-04,4.83,4.99,4.73,4.86,6051200,4.86
2016-03-03,4.83,4.87,4.70,4.79,7831500,4.79
2016-03-02,4.71,4.89,4.57,4.82,9687500,4.82
