Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,11.73,11.73,11.69,11.72,6600,11.72
2016-10-06,11.84,11.84,11.75,11.76,17000,11.76
2016-10-05,11.75,11.85,11.67,11.78,5300,11.78
2016-10-04,11.93,11.93,11.74,11.77,8100,11.77
2016-10-03,11.76,11.92,11.76,11.86,17300,11.86
2016-09-30,11.83,11.93,11.81,11.82,3500,11.82
2016-09-29,11.93,11.93,11.77,11.81,8500,11.81
2016-09-28,11.89,12.11,11.87,12.07,8100,12.07
2016-09-27,12.06,12.08,11.96,12.05,8500,12.05
2016-09-26,12.10,12.20,12.01,12.15,17600,12.15
2016-09-23,12.13,12.26,12.08,12.25,120500,12.25
2016-09-22,12.12,12.15,12.00,12.13,51700,12.13
2016-09-21,12.05,12.10,11.98,12.07,27500,12.07
2016-09-20,11.84,12.05,11.84,12.03,78900,12.03
2016-09-19,11.82,11.95,11.79,11.90,26700,11.90
2016-09-16,11.70,11.90,11.68,11.85,61000,11.85
2016-09-15,11.46,11.66,11.42,11.62,45600,11.62
2016-09-14,11.38,11.54,11.31,11.50,65200,11.50
2016-09-13,11.40,11.44,11.20,11.25,16300,11.25
2016-09-12,11.41,11.51,11.36,11.42,22800,11.42
2016-09-09,11.82,11.82,11.46,11.53,34100,11.53
2016-09-08,11.95,11.95,11.84,11.88,7300,11.88
2016-09-07,11.82,11.95,11.80,11.91,28800,11.91
2016-09-06,11.78,11.88,11.75,11.80,30400,11.80
2016-09-02,11.79,11.93,11.78,11.87,16300,11.87
2016-09-01,11.73,11.83,11.68,11.83,9000,11.83
2016-08-31,11.82,11.83,11.66,11.73,19700,11.73
2016-08-30,11.85,11.85,11.76,11.77,3000,11.77
2016-08-29,11.85,11.89,11.80,11.83,10100,11.83
2016-08-26,12.09,12.14,11.92,11.99,33900,11.99
2016-08-25,12.13,12.13,12.01,12.04,26500,12.04
2016-08-24,12.05,12.10,12.00,12.00,25600,12.00
2016-08-23,12.14,12.15,12.00,12.04,45100,12.04
2016-08-22,11.99,12.00,11.96,12.00,27900,12.00
2016-08-19,11.92,11.98,11.79,11.79,62600,11.79
2016-08-18,11.65,11.83,11.65,11.80,41700,11.80
2016-08-17,11.55,11.60,11.43,11.55,21900,11.55
2016-08-16,11.47,11.55,11.37,11.52,20500,11.52
2016-08-15,11.41,11.50,11.35,11.40,14300,11.40
2016-08-12,11.35,11.35,11.14,11.27,79400,11.27
2016-08-11,11.30,11.32,11.19,11.28,10000,11.28
2016-08-10,11.32,11.34,11.15,11.27,38200,11.27
2016-08-09,11.32,11.33,10.94,11.17,41800,11.17
2016-08-08,11.33,11.43,11.28,11.37,21600,11.37
2016-08-05,11.16,11.29,11.11,11.16,28300,11.16
2016-08-04,11.18,11.19,11.05,11.10,26400,11.10
2016-08-03,11.55,11.55,11.27,11.32,24200,11.32
2016-08-02,11.37,11.44,11.29,11.43,31800,11.43
2016-08-01,11.28,11.35,11.24,11.24,20100,11.24
2016-07-29,11.25,11.34,11.25,11.27,10700,11.27
2016-07-28,11.31,11.33,11.23,11.25,6000,11.25
2016-07-27,11.39,11.39,11.25,11.31,47000,11.31
2016-07-26,11.42,11.42,11.18,11.29,49300,11.29
2016-07-25,11.43,11.44,11.27,11.31,12500,11.31
2016-07-22,11.30,11.30,11.21,11.30,7500,11.30
2016-07-21,11.30,11.38,11.25,11.28,8200,11.28
2016-07-20,11.42,11.50,11.36,11.40,14500,11.40
2016-07-19,11.45,11.50,11.37,11.44,24000,11.44
2016-07-18,11.52,11.55,11.48,11.52,10800,11.52
2016-07-15,11.62,11.73,11.60,11.63,7300,11.63
2016-07-14,11.79,11.79,11.65,11.66,18300,11.66
2016-07-13,11.77,11.80,11.63,11.67,4600,11.67
2016-07-12,11.82,11.90,11.78,11.81,19500,11.81
2016-07-11,11.55,11.74,11.53,11.57,66900,11.57
2016-07-08,11.01,11.09,11.01,11.05,1400,11.05
2016-07-07,10.96,11.00,10.88,10.90,16900,10.90
2016-07-06,10.77,10.91,10.77,10.86,1100,10.86
2016-07-05,10.87,10.87,10.78,10.81,62600,10.81
2016-07-01,10.93,10.97,10.89,10.95,3900,10.95
2016-06-30,10.86,10.96,10.85,10.94,20800,10.94
2016-06-29,10.93,10.94,10.84,10.87,9800,10.87
2016-06-28,10.88,11.05,10.84,10.95,76400,10.95
2016-06-27,10.96,10.96,10.67,10.67,20200,10.67
2016-06-24,11.05,11.36,11.05,11.17,19900,11.17
