Date,Open,High,Low,Close,Volume,Adj Close
2017-02-13,13.70,13.80,13.35,13.35,658600,13.35
2017-02-10,12.50,13.75,12.50,13.60,749200,13.60
2017-02-09,12.40,12.75,12.40,12.75,494600,12.75
2017-02-08,12.55,12.55,12.35,12.45,283600,12.45
2017-02-07,12.55,12.60,12.40,12.55,386500,12.55
2017-02-06,12.60,12.70,12.55,12.55,182300,12.55
2017-02-03,12.60,12.65,12.50,12.60,280000,12.60
2017-02-02,12.70,12.70,12.50,12.60,414100,12.60
2017-02-01,12.65,12.75,12.50,12.70,379500,12.70
2017-01-31,12.70,12.70,12.40,12.65,457700,12.65
2017-01-30,12.70,12.70,12.45,12.70,445300,12.70
2017-01-27,12.55,12.70,12.50,12.65,613300,12.65
2017-01-26,12.75,12.80,12.50,12.55,424200,12.55
2017-01-25,12.60,12.80,12.55,12.70,792000,12.70
2017-01-24,12.35,12.63,12.30,12.60,359000,12.60
2017-01-23,12.35,12.45,12.30,12.40,471000,12.40
2017-01-20,12.45,12.55,12.35,12.35,482200,12.35
2017-01-19,12.55,12.60,12.40,12.45,439800,12.45
2017-01-18,12.70,12.70,12.40,12.55,867600,12.55
2017-01-17,12.40,12.73,12.30,12.70,529800,12.70
2017-01-13,12.45,12.58,12.40,12.45,381700,12.45
2017-01-12,12.50,12.60,12.30,12.45,1157000,12.45
2017-01-11,12.45,12.55,12.33,12.55,800000,12.55
2017-01-10,12.35,12.50,12.28,12.50,638900,12.50
2017-01-09,12.25,12.45,12.25,12.40,471000,12.40
2017-01-06,12.25,12.40,12.10,12.25,367900,12.25
2017-01-05,12.20,12.35,12.18,12.25,812100,12.25
2017-01-04,12.05,12.30,12.05,12.25,735600,12.25
2017-01-03,11.95,12.25,11.90,12.05,912900,12.05
2016-12-30,12.15,12.15,11.75,11.80,549600,11.80
2016-12-29,12.00,12.10,11.85,12.05,685800,12.05
2016-12-28,12.25,12.30,12.00,12.05,371600,12.05
2016-12-27,12.10,12.25,12.10,12.25,298500,12.25
2016-12-23,12.10,12.15,12.00,12.05,182200,12.05
2016-12-22,12.05,12.15,11.95,12.05,363400,12.05
2016-12-21,12.00,12.13,11.85,12.05,712700,12.05
2016-12-20,12.15,12.20,11.90,11.95,966200,11.95
2016-12-19,12.00,12.15,11.95,12.15,477600,12.15
2016-12-16,12.10,12.20,11.85,12.00,1498600,12.00
2016-12-15,12.25,12.40,11.98,12.05,744700,12.05
2016-12-14,12.25,12.43,12.15,12.20,880800,12.20
2016-12-13,12.35,12.55,12.15,12.25,2562100,12.25
