Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,38.32,38.43,38.240002,38.240002,1100,38.240002
2016-10-06,38.299999,38.349998,38.240002,38.240002,1800,38.240002
2016-10-05,38.580002,38.580002,38.139999,38.16,1300,38.16
2016-10-04,38.02,38.049999,37.900002,38.049999,4600,38.049999
2016-10-03,38.25,38.310001,38.189999,38.189999,1300,38.189999
2016-09-30,38.209999,38.599998,38.209999,38.560001,2900,38.560001
2016-09-29,38.00,38.18,37.919998,38.18,1900,38.18
2016-09-28,38.220001,38.240002,37.459999,38.00,6500,38.00
2016-09-27,38.25,38.59,38.00,38.209999,3600,38.209999
2016-09-26,38.209999,38.59,37.630001,38.07,4400,38.07
2016-09-23,38.049999,38.580002,38.049999,38.360001,5100,38.360001
2016-09-22,38.50,38.50,38.110001,38.110001,1200,38.110001
2016-09-21,38.23,38.369999,38.00,38.040001,1500,38.040001
2016-09-20,38.48,38.48,37.139999,37.900002,1100,37.900002
2016-09-19,37.509998,38.07,37.00,37.389999,5900,37.389999
2016-09-16,37.209999,37.75,37.00,37.75,15600,37.75
2016-09-15,37.02,37.189999,36.099998,37.110001,4300,37.110001
2016-09-14,35.439999,37.00,35.439999,37.00,5600,37.00
2016-09-13,37.799999,37.799999,36.099998,36.099998,3700,36.099998
2016-09-12,37.799999,38.00,37.799999,38.00,1500,38.00
2016-09-09,38.009998,38.009998,37.799999,37.799999,2300,37.799999
2016-09-08,38.34,38.43,37.799999,38.43,1300,38.43
2016-09-07,38.400002,38.400002,38.07,38.099998,2800,38.099998
2016-09-06,38.119999,38.470001,37.880001,38.119999,1300,38.119999
2016-09-02,38.380001,38.48,37.889999,37.939999,1100,37.939999
2016-09-01,38.279999,38.52,37.84,38.48,1900,38.48
2016-08-31,37.900002,38.41,37.799999,38.290001,2300,38.290001
2016-08-30,38.400002,38.599998,37.82,37.82,1900,37.82
2016-08-29,38.16,38.380001,38.16,38.16,1500,38.16
2016-08-26,38.599998,38.610001,38.16,38.16,3300,38.16
2016-08-25,38.459999,38.98,37.900002,38.549999,2300,38.549999
2016-08-24,37.830002,38.720001,37.799999,38.299999,5800,38.299999
2016-08-23,37.68,38.150002,37.150002,37.830002,3000,37.830002
2016-08-22,36.889999,37.720001,36.880001,37.720001,3900,37.720001
2016-08-19,35.52,36.669998,35.52,36.330002,3900,36.330002
2016-08-18,35.50,35.880001,34.939999,35.700001,3900,35.700001
2016-08-17,35.080002,35.59,35.080002,35.380001,2900,35.380001
2016-08-16,35.459999,35.459999,34.93,35.009998,3800,35.009998
2016-08-15,36.299999,36.299999,35.119999,35.470001,3000,35.470001
2016-08-12,36.200001,36.200001,34.799999,35.099998,14000,35.099998
2016-08-11,35.389999,36.290001,35.389999,36.279999,4200,36.279999
2016-08-10,35.16,35.459999,34.619999,34.82,1800,34.82
2016-08-09,35.349998,36.099998,35.110001,36.029999,5700,36.029999
2016-08-08,34.84,36.09,34.52,35.380001,1200,35.380001
2016-08-05,35.68,35.93,35.52,35.900002,1600,35.900002
2016-08-04,35.119999,35.810001,34.919998,34.919998,3300,34.919998
2016-08-03,35.150002,35.310001,34.439999,35.080002,9500,35.080002
2016-08-02,34.959999,36.099998,34.709999,34.709999,2900,34.709999
2016-08-01,34.00,35.459999,34.00,34.810001,11200,34.810001
2016-07-29,34.009998,34.299999,34.00,34.110001,5900,34.110001
2016-07-28,34.139999,34.34,34.049999,34.139999,3400,34.139999
2016-07-27,34.25,34.349998,34.049999,34.049999,9100,34.049999
2016-07-26,34.189999,34.299999,34.009998,34.099998,30800,34.099998
2016-07-25,35.560001,35.560001,34.25,34.380001,7600,34.380001
2016-07-22,36.240002,36.549999,35.400002,35.959999,2200,35.959999
2016-07-21,35.869999,37.099998,35.73,36.18,2900,36.18
2016-07-20,36.459999,36.700001,35.02,36.700001,1700,36.700001
2016-07-19,35.25,36.52,35.189999,35.860001,5100,35.860001
2016-07-18,36.00,36.00,35.50,35.830002,9100,35.830002
2016-07-15,35.25,36.049999,35.139999,35.669998,42200,35.669998
2016-07-14,35.639999,36.400002,35.00,35.43,15200,35.43
2016-07-13,36.66,36.889999,35.00,35.400002,13600,35.400002
2016-07-12,35.91,37.599998,35.490002,36.630001,8400,36.630001
2016-07-11,36.32,37.50,35.00,35.919998,12700,35.919998
2016-07-08,37.060001,37.450001,35.509998,36.299999,15600,36.299999
2016-07-07,36.25,37.419998,36.25,36.849998,12100,36.849998
2016-07-06,36.50,36.610001,35.630001,36.259998,16600,36.259998
2016-07-05,37.98,38.959999,35.860001,36.50,17400,36.50
2016-07-01,37.919998,38.369999,37.759998,37.810001,2300,37.810001
2016-06-30,38.200001,38.400002,37.080002,38.040001,7100,38.040001
2016-06-29,38.82,39.419998,37.790001,38.50,8400,38.50
2016-06-28,39.950001,39.950001,38.009998,38.84,8600,38.84
2016-06-27,38.509998,38.889999,38.25,38.580002,17400,38.580002
2016-06-24,36.549999,39.00,36.490002,39.00,46900,39.00
2016-06-23,37.650002,37.700001,36.73,36.959999,3500,36.959999
2016-06-22,37.759998,37.759998,36.689999,37.490002,6100,37.490002
2016-06-21,37.240002,37.990002,37.240002,37.400002,3100,37.400002
2016-06-20,37.610001,38.330002,36.540001,37.50,7800,37.50
2016-06-17,37.689999,38.00,35.080002,37.740002,25000,37.740002
2016-06-16,36.52,37.549999,36.490002,37.48,6400,37.48
2016-06-15,36.75,37.599998,36.150002,37.43,9300,37.43
