Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,1.71,1.71,1.65,1.66,59900,1.66
2016-10-06,1.70,1.75,1.65,1.69,83200,1.69
2016-10-05,1.70,1.72,1.70,1.70,37300,1.70
2016-10-04,1.69,1.72,1.69,1.70,43500,1.70
2016-10-03,1.73,1.73,1.68,1.69,71800,1.69
2016-09-30,1.73,1.73,1.69,1.71,31800,1.71
2016-09-29,1.74,1.74,1.69,1.71,103600,1.71
2016-09-28,1.76,1.76,1.71,1.71,24600,1.71
2016-09-27,1.72,1.77,1.70,1.73,72300,1.73
2016-09-26,1.78,1.80,1.77,1.77,58700,1.77
2016-09-23,1.77,1.79,1.77,1.78,62200,1.78
2016-09-22,1.77,1.79,1.74,1.77,147000,1.77
2016-09-21,1.75,1.77,1.72,1.74,95300,1.74
2016-09-20,1.70,1.73,1.69,1.73,42300,1.73
2016-09-19,1.73,1.73,1.69,1.71,81700,1.71
2016-09-16,1.74,1.75,1.70,1.71,31000,1.71
2016-09-15,1.72,1.76,1.70,1.75,52600,1.75
2016-09-14,1.70,1.75,1.68,1.75,136400,1.75
2016-09-13,1.73,1.75,1.69,1.69,75600,1.69
2016-09-12,1.76,1.76,1.67,1.75,70400,1.75
2016-09-09,1.74,1.79,1.71,1.73,72300,1.73
2016-09-08,1.67,1.78,1.66,1.77,56600,1.77
2016-09-07,1.70,1.70,1.68,1.68,100200,1.68
2016-09-06,1.72,1.72,1.69,1.69,34800,1.69
2016-09-02,1.71,1.72,1.69,1.70,30000,1.70
2016-09-01,1.72,1.73,1.69,1.71,40100,1.71
2016-08-31,1.72,1.72,1.68,1.69,13200,1.69
2016-08-30,1.68,1.73,1.68,1.72,50900,1.72
2016-08-29,1.70,1.72,1.68,1.69,50100,1.69
2016-08-26,1.74,1.74,1.68,1.70,72000,1.70
2016-08-25,1.71,1.79,1.70,1.72,55400,1.72
2016-08-24,1.80,1.80,1.72,1.73,113100,1.73
2016-08-23,1.81,1.83,1.78,1.80,106300,1.80
2016-08-22,1.83,1.83,1.79,1.83,41200,1.83
2016-08-19,1.80,1.83,1.76,1.83,38400,1.83
2016-08-18,1.83,1.85,1.79,1.79,74100,1.79
2016-08-17,1.82,1.86,1.80,1.86,94100,1.86
2016-08-16,1.79,1.85,1.76,1.81,113500,1.81
2016-08-15,1.76,1.78,1.72,1.75,116500,1.75
2016-08-12,1.68,1.77,1.67,1.74,78300,1.74
2016-08-11,1.73,1.75,1.66,1.67,168300,1.67
2016-08-10,1.90,1.92,1.65,1.70,289000,1.70
2016-08-09,1.92,1.95,1.89,1.91,67300,1.91
2016-08-08,1.92,1.95,1.89,1.91,163800,1.91
2016-08-05,1.90,1.92,1.87,1.90,79000,1.90
2016-08-04,1.91,1.93,1.88,1.90,191100,1.90
2016-08-03,1.81,1.90,1.80,1.89,186100,1.89
2016-08-02,1.87,1.90,1.77,1.81,267800,1.81
2016-08-01,1.87,1.89,1.83,1.84,247100,1.84
2016-07-29,1.78,1.95,1.72,1.82,982000,1.82
2016-07-28,1.71,1.80,1.71,1.79,210400,1.79
2016-07-27,1.74,1.77,1.71,1.72,31800,1.72
2016-07-26,1.76,1.77,1.71,1.75,45000,1.75
2016-07-25,1.76,1.79,1.73,1.75,142200,1.75
2016-07-22,1.71,1.78,1.70,1.74,141200,1.74
2016-07-21,1.68,1.80,1.68,1.70,280900,1.70
2016-07-20,1.64,1.67,1.63,1.64,28900,1.64
2016-07-19,1.66,1.68,1.62,1.63,47900,1.63
2016-07-18,1.60,1.68,1.60,1.66,80300,1.66
2016-07-15,1.65,1.66,1.59,1.60,52100,1.60
2016-07-14,1.67,1.68,1.64,1.64,59500,1.64
2016-07-13,1.66,1.70,1.64,1.67,28500,1.67
2016-07-12,1.66,1.73,1.66,1.67,127500,1.67
2016-07-11,1.70,1.71,1.65,1.68,47500,1.68
2016-07-08,1.69,1.72,1.65,1.68,53400,1.68
2016-07-07,1.68,1.71,1.67,1.69,19800,1.69
2016-07-06,1.65,1.71,1.65,1.68,36600,1.68
2016-07-05,1.68,1.71,1.64,1.68,39200,1.68
2016-07-01,1.65,1.72,1.64,1.70,78800,1.70
2016-06-30,1.71,1.72,1.64,1.64,20500,1.64
2016-06-29,1.70,1.74,1.61,1.68,62000,1.68
2016-06-28,1.62,1.75,1.59,1.68,214600,1.68
2016-06-27,1.60,1.64,1.52,1.59,222400,1.59
2016-06-24,1.58,1.68,1.58,1.63,206300,1.63
2016-06-23,1.68,1.68,1.58,1.60,242800,1.60
2016-06-22,1.64,1.70,1.61,1.64,72500,1.64
2016-06-21,1.70,1.72,1.63,1.65,104500,1.65
2016-06-20,1.75,1.76,1.61,1.69,241800,1.69
2016-06-17,1.65,1.70,1.63,1.69,82000,1.69
2016-06-16,1.69,1.80,1.55,1.69,360200,1.69
2016-06-15,1.69,1.79,1.69,1.75,39800,1.75
2016-06-14,1.74,1.78,1.69,1.70,54700,1.70
2016-06-13,1.65,1.75,1.59,1.74,87300,1.74
2016-06-10,1.75,1.84,1.65,1.67,223600,1.67
