Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,22.65,22.65,22.48,22.530001,2200,22.530001
2016-10-06,22.58,22.629999,22.52,22.52,1300,22.52
2016-10-05,22.60,22.74,22.60,22.709999,9600,22.709999
2016-10-04,22.57,22.66,22.49,22.50,12400,22.50
2016-10-03,22.290001,22.60,22.290001,22.559999,9500,22.559999
2016-09-30,22.73,22.73,22.549999,22.65,20300,22.65
2016-09-29,22.709999,22.73,22.450001,22.459999,1800,22.459999
2016-09-28,22.74,22.75,22.629999,22.719999,8200,22.719999
2016-09-27,22.459999,22.68,22.389999,22.60,10800,22.60
2016-09-26,22.65,22.65,22.440001,22.59,6100,22.59
2016-09-23,22.780001,22.84,22.74,22.74,7300,22.74
2016-09-22,22.75,22.860001,22.719999,22.719999,7300,22.719999
2016-09-21,22.85,22.85,22.690001,22.719999,2500,22.719999
2016-09-20,22.719999,22.85,22.719999,22.77,2400,22.77
2016-09-19,22.73,22.84,22.73,22.83,26900,22.83
2016-09-16,22.690001,22.75,22.540001,22.66,26100,22.66
2016-09-15,22.74,22.870001,22.68,22.709999,10100,22.709999
2016-09-14,22.629999,22.799999,22.610001,22.74,11600,22.74
2016-09-13,22.870001,22.870001,22.709999,22.799999,10500,22.799999
2016-09-12,22.93,23.01,22.82,23.01,17500,23.01
2016-09-09,22.93,23.049999,22.92,22.92,32500,22.92
2016-09-08,23.040001,23.07,23.030001,23.049999,10900,23.049999
2016-09-07,23.00,23.18,23.00,23.15,15600,23.15
2016-09-06,23.00,23.00,22.91,22.950001,5800,22.950001
2016-09-02,22.99,23.059999,22.889999,22.92,3600,22.92
2016-09-01,23.00,23.00,22.870001,22.940001,2500,22.940001
2016-08-31,22.879999,23.02,22.879999,23.02,9200,23.02
2016-08-30,23.00,23.00,22.879999,22.879999,4900,22.879999
2016-08-29,22.67,22.99,22.67,22.98,19200,22.98
2016-08-26,22.60,22.799999,22.57,22.799999,44500,22.799999
2016-08-25,22.389999,22.549999,22.370001,22.50,41600,22.50
2016-08-24,22.49,22.49,22.219999,22.440001,21200,22.440001
2016-08-23,22.48,22.540001,22.379999,22.42,21900,22.42
2016-08-22,22.33,22.48,22.33,22.43,20200,22.43
2016-08-19,22.26,22.379999,22.209999,22.280001,44700,22.280001
2016-08-18,22.16,22.299999,22.16,22.299999,14000,22.299999
2016-08-17,22.190001,22.24,22.08,22.15,19000,22.15
2016-08-16,22.15,22.200001,22.059999,22.16,17600,22.16
2016-08-15,22.02,22.219999,22.02,22.17,26300,22.17
2016-08-12,22.10,22.219999,22.00,22.09,21900,22.09
