Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,4.72,4.80,4.65,4.75,32800,4.75
2016-10-06,4.83,4.90,4.69,4.72,68000,4.72
2016-10-05,4.82,4.92,4.73,4.78,46700,4.78
2016-10-04,4.94,4.96,4.80,4.82,52900,4.82
2016-10-03,4.99,5.01,4.85,4.92,25600,4.92
2016-09-30,4.78,5.02,4.65,4.96,108900,4.96
2016-09-29,4.78,4.78,4.63,4.70,35100,4.70
2016-09-28,4.74,4.85,4.65,4.83,42200,4.83
2016-09-27,4.68,4.84,4.57,4.72,75500,4.72
2016-09-26,4.75,4.78,4.63,4.69,47000,4.69
2016-09-23,4.80,4.86,4.75,4.78,55100,4.78
2016-09-22,4.90,4.97,4.81,4.89,75500,4.89
2016-09-21,4.99,5.03,4.67,4.89,98800,4.89
2016-09-20,5.06,5.16,4.94,4.97,82700,4.97
2016-09-19,5.00,5.13,5.00,5.04,24300,5.04
2016-09-16,5.14,5.14,5.00,5.08,83200,5.08
2016-09-15,5.02,5.22,5.02,5.12,87900,5.12
2016-09-14,5.05,5.12,5.02,5.05,32600,5.05
2016-09-13,5.18,5.21,4.97,5.01,53500,5.01
2016-09-12,5.27,5.46,5.16,5.27,40100,5.27
2016-09-09,5.75,5.79,5.28,5.30,80000,5.30
2016-09-08,5.72,5.95,5.60,5.93,65400,5.93
2016-09-07,5.56,5.76,5.56,5.69,65900,5.69
2016-09-06,5.28,5.60,5.24,5.55,90300,5.55
2016-09-02,5.20,5.27,5.11,5.25,49900,5.25
2016-09-01,5.01,5.18,4.97,5.14,41100,5.14
2016-08-31,5.04,5.07,4.90,5.01,71300,5.01
2016-08-30,4.89,5.07,4.88,5.01,42800,5.01
2016-08-29,4.99,4.99,4.84,4.92,35300,4.92
2016-08-26,5.02,5.20,4.96,4.99,46400,4.99
2016-08-25,4.97,5.11,4.95,5.05,52100,5.05
2016-08-24,5.12,5.26,4.95,4.97,82000,4.97
2016-08-23,5.20,5.28,5.05,5.12,28400,5.12
2016-08-22,5.20,5.24,5.09,5.20,18600,5.20
2016-08-19,5.22,5.24,5.08,5.18,57500,5.18
2016-08-18,5.33,5.36,5.16,5.24,27700,5.24
2016-08-17,5.31,5.41,5.10,5.28,33700,5.28
2016-08-16,5.33,5.43,5.27,5.30,26500,5.30
2016-08-15,5.41,5.58,5.02,5.40,37900,5.40
2016-08-12,5.26,5.67,5.26,5.47,88900,5.47
2016-08-11,5.06,5.35,5.05,5.29,59200,5.29
2016-08-10,5.45,5.45,5.00,5.07,103800,5.07
2016-08-09,5.51,5.58,5.43,5.48,52800,5.48
2016-08-08,5.52,5.63,5.44,5.59,42000,5.59
2016-08-05,5.70,5.82,5.48,5.53,128800,5.53
2016-08-04,5.29,5.39,5.22,5.32,34100,5.32
2016-08-03,5.10,5.31,5.10,5.29,49300,5.29
2016-08-02,4.89,5.17,4.89,5.13,48400,5.13
2016-08-01,5.00,5.08,4.98,5.05,31700,5.05
2016-07-29,4.92,5.08,4.87,5.00,40700,5.00
2016-07-28,5.00,5.00,4.84,4.96,42600,4.96
2016-07-27,5.02,5.05,4.94,5.02,39200,5.02
2016-07-26,4.99,5.10,4.90,4.98,31300,4.98
2016-07-25,5.10,5.10,5.00,5.01,38200,5.01
2016-07-22,5.18,5.25,5.08,5.13,26200,5.13
2016-07-21,5.24,5.46,5.16,5.21,44400,5.21
2016-07-20,5.21,5.42,5.16,5.22,61700,5.22
2016-07-19,5.19,5.24,5.15,5.17,38100,5.17
2016-07-18,5.08,5.22,5.08,5.20,45300,5.20
2016-07-15,5.01,5.15,4.95,5.10,57800,5.10
2016-07-14,5.00,5.01,4.85,4.95,43500,4.95
