Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,2.24,2.24,2.20,2.23,1200,2.23
2016-10-06,2.22,2.22,2.20,2.22,5700,2.22
2016-10-05,2.27,2.31,2.21,2.25,7500,2.25
2016-10-04,2.41,2.46,2.23,2.23,6300,2.23
2016-10-03,2.37,2.38,2.30,2.30,5100,2.30
2016-09-30,2.42,2.42,2.28,2.30,3100,2.30
2016-09-29,2.44,2.48,2.26,2.26,16600,2.26
2016-09-28,2.26,2.47,2.26,2.33,16500,2.33
2016-09-27,2.31,2.32,2.21,2.27,3300,2.27
2016-09-26,2.42,2.42,2.23,2.24,5100,2.24
2016-09-23,2.42,2.42,2.23,2.31,2200,2.31
2016-09-22,2.30,2.42,2.30,2.42,14700,2.42
2016-09-21,2.44,2.44,2.41,2.41,500,2.41
2016-09-20,2.38,2.51,2.38,2.44,3900,2.44
2016-09-19,2.30,2.49,2.26,2.49,7700,2.49
2016-09-16,2.56,2.56,2.32,2.38,8700,2.38
2016-09-15,2.30,2.52,2.27,2.45,67700,2.45
2016-09-14,2.26,2.29,2.26,2.29,800,2.29
2016-09-13,2.19,2.30,2.19,2.21,1400,2.21
2016-09-12,2.17,2.31,2.16,2.26,4700,2.26
2016-09-09,2.36,2.36,2.31,2.31,2200,2.31
2016-09-08,2.39,2.39,2.30,2.32,19900,2.32
2016-09-07,2.42,2.43,2.33,2.33,12900,2.33
2016-09-06,2.37,2.43,2.34,2.43,6400,2.43
2016-09-02,2.23,2.42,2.23,2.30,3900,2.30
2016-09-01,2.18,2.40,2.16,2.26,18000,2.26
2016-08-31,2.45,2.51,2.19,2.19,44900,2.19
2016-08-30,2.40,2.63,2.37,2.52,20300,2.52
2016-08-29,2.43,2.66,2.40,2.42,6800,2.42
2016-08-26,2.57,2.64,2.41,2.45,3100,2.45
2016-08-25,2.68,2.71,2.42,2.57,18800,2.57
2016-08-24,2.74,2.90,2.59,2.74,9700,2.74
2016-08-23,2.98,3.00,2.68,2.75,15800,2.75
2016-08-22,2.76,2.95,2.76,2.76,6000,2.76
2016-08-19,0.969999,0.999999,0.909999,0.989999,11900,2.969997
2016-08-18,0.999999,1.019999,0.939999,1.019999,14600,3.059997
2016-08-17,1.009999,1.009999,0.999999,0.999999,1000,2.999997
2016-08-16,1.009999,1.029999,0.949999,1.009999,23500,3.029997
2016-08-15,1.089999,1.089999,0.949999,1.039999,11100,3.119997
2016-08-12,0.929999,1.039999,0.819999,1.019999,83500,3.059997
2016-08-11,0.849999,0.929999,0.799999,0.929999,11200,2.789997
2016-08-10,0.879999,0.879999,0.819999,0.819999,2100,2.459997
2016-08-09,0.899999,0.899999,0.819999,0.819999,4800,2.459997
2016-08-08,0.859999,0.869999,0.819999,0.819999,10400,2.459997
2016-08-05,0.899999,0.939999,0.879999,0.879999,6400,2.639997
2016-08-04,0.869999,0.949999,0.869999,0.909999,11000,2.729997
2016-08-03,0.889999,0.949999,0.879999,0.909999,6900,2.729997
2016-08-02,0.919999,0.939999,0.869999,0.879999,10100,2.639997
2016-08-01,0.879999,0.949999,0.849999,0.869999,7800,2.609997
2016-07-29,0.839999,0.879999,0.839999,0.849999,9900,2.549997
2016-07-28,0.829999,0.849999,0.819999,0.849999,7000,2.549997
2016-07-27,0.879999,0.909999,0.819999,0.819999,10100,2.459997
2016-07-26,0.999999,1.049999,0.799999,0.879999,46100,2.639997
2016-07-25,0.809999,1.179999,0.769999,0.969999,427600,2.909997
2016-07-22,0.789999,0.889999,0.759999,0.769999,30300,2.309998
2016-07-21,0.709999,0.779999,0.709999,0.769999,13800,2.309998
2016-07-20,0.649999,0.729999,0.649999,0.679999,2800,2.039998
2016-07-19,0.699999,0.749999,0.649999,0.649999,6600,1.949998
2016-07-18,0.709999,0.829999,0.669999,0.679999,49800,2.039998
2016-07-15,0.699999,0.729999,0.699999,0.699999,4200,2.099998
2016-07-14,0.699999,0.719999,0.649999,0.689999,6500,2.069998
2016-07-13,0.709999,0.809999,0.699999,0.729999,31700,2.189998
2016-07-12,0.699999,0.729999,0.689999,0.719999,6200,2.159998
2016-07-11,0.649999,0.749999,0.639999,0.659999,51400,1.979998
2016-07-08,0.809999,0.809999,0.649999,0.729999,12100,2.189998
2016-07-07,0.739999,0.779999,0.739999,0.749999,1200,2.249998
2016-07-06,0.709999,0.769999,0.709999,0.769999,400,2.309998
2016-07-05,0.759999,0.759999,0.679999,0.699999,4100,2.099998
2016-07-01,0.769999,0.769999,0.729999,0.759999,1700,2.279998
2016-06-30,0.699999,0.769999,0.699999,0.769999,700,2.309998
2016-06-29,0.779999,0.819999,0.679999,0.799999,7600,2.399998
2016-06-28,0.729999,0.819999,0.709999,0.809999,2700,2.429998
2016-06-27,0.729999,0.839999,0.729999,0.769999,900,2.309998
2016-06-24,0.799999,0.799999,0.729999,0.729999,300,2.189998
2016-06-23,0.709999,0.839999,0.709999,0.749999,900,2.249998
2016-06-22,0.739999,0.839999,0.699999,0.839999,5800,2.519997
2016-06-21,0.789999,0.819999,0.679999,0.769999,3900,2.309998
2016-06-20,0.799999,0.839999,0.799999,0.839999,1400,2.519997
2016-06-17,0.839999,0.839999,0.839999,0.839999,100,2.519997
2016-06-16,0.839999,0.839999,0.819999,0.839999,2700,2.519997
2016-06-15,0.839999,0.839999,0.819999,0.839999,800,2.519997
2016-06-14,0.839999,0.839999,0.839999,0.839999,700,2.519997
2016-06-13,0.789999,0.839999,0.789999,0.839999,100,2.519997
2016-06-10,0.789999,0.789999,0.789999,0.789999,000,2.369997
2016-06-09,0.789999,0.789999,0.779999,0.789999,1500,2.369997
2016-06-08,0.789999,0.789999,0.729999,0.779999,3600,2.339997
2016-06-07,0.809999,0.809999,0.769999,0.789999,1800,2.369997
2016-06-06,0.809999,0.809999,0.729999,0.759999,1100,2.279998
2016-06-03,0.749999,0.809999,0.729999,0.809999,2300,2.429998
2016-06-02,0.809999,0.809999,0.809999,0.809999,000,2.429998
2016-06-01,0.799999,0.799999,0.729999,0.729999,2300,2.189998
2016-05-31,0.799999,0.809999,0.799999,0.809999,800,2.429998
2016-05-27,0.709999,0.829999,0.709999,0.829999,3800,2.489997
2016-05-26,0.679999,0.699999,0.679999,0.699999,4000,2.099998
2016-05-25,0.699999,0.709999,0.649999,0.699999,9700,2.099998
2016-05-24,0.709999,0.749999,0.699999,0.699999,6000,2.099998
2016-05-23,0.709999,0.839999,0.709999,0.709999,8600,2.129998
2016-05-20,0.799999,0.819999,0.699999,0.699999,8000,2.099998
2016-05-19,0.739999,0.839999,0.739999,0.799999,600,2.399998
2016-05-18,0.879999,0.879999,0.779999,0.799999,3400,2.399998
2016-05-17,0.879999,0.879999,0.809999,0.879999,100,2.639997
2016-05-16,0.839999,0.879999,0.799999,0.879999,800,2.639997
2016-05-13,0.849999,0.879999,0.799999,0.799999,1000,2.399998
2016-05-12,0.949999,0.949999,0.849999,0.879999,600,2.639997
2016-05-11,0.999999,0.999999,0.849999,0.899999,10300,2.699997
2016-05-10,0.999999,0.999999,0.919999,0.999999,1400,2.999997
2016-05-09,0.999999,0.999999,0.939999,0.989999,300,2.969997
2016-05-06,0.999999,0.999999,0.949999,0.999999,3900,2.999997
2016-05-05,1.049999,1.049999,0.939999,0.989999,7900,2.969997
2016-05-04,1.029999,1.029999,0.919999,0.999999,2100,2.999997
2016-05-03,1.049999,1.049999,0.949999,0.999999,3700,2.999997
2016-05-02,1.059999,1.099999,0.939999,1.099999,44000,3.299997
2016-04-29,1.029999,1.099999,0.979999,1.099999,30200,3.299997
2016-04-28,1.039999,1.039999,1.019999,1.029999,7100,3.089997
2016-04-27,1.049999,1.089999,0.829999,1.039999,25900,3.119997
2016-04-26,1.049999,1.049999,0.999999,1.049999,800,3.149997
2016-04-25,0.999999,1.099999,0.819999,1.079999,900,3.239997
2016-04-22,0.849999,1.179999,0.849999,1.099999,10100,3.299997
2016-04-21,0.999999,1.099999,0.999999,1.099999,3300,3.299997
2016-04-20,0.999999,0.999999,0.999999,0.999999,100,2.999997
2016-04-19,0.899999,0.999999,0.899999,0.949999,21100,2.849997
2016-04-18,0.939999,0.939999,0.879999,0.919999,200,2.759997
2016-04-15,0.909999,0.919999,0.909999,0.919999,2000,2.759997
2016-04-14,0.879999,0.909999,0.859999,0.859999,800,2.579997
