Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,8.07,8.11,7.92,7.95,219100,7.95
2016-10-06,8.03,8.15,7.99,8.07,320600,8.07
2016-10-05,8.08,8.15,7.99,8.06,341400,8.06
2016-10-04,8.03,8.15,8.01,8.01,399200,8.01
2016-10-03,7.90,8.07,7.86,8.03,592100,8.03
2016-09-30,7.95,7.99,7.80,7.97,664300,7.97
2016-09-29,8.17,8.20,7.88,7.89,524700,7.89
2016-09-28,8.20,8.22,8.12,8.15,492400,8.15
2016-09-27,8.14,8.26,8.01,8.19,851300,8.19
2016-09-26,8.25,8.28,8.14,8.14,619200,8.14
2016-09-23,8.43,8.51,8.29,8.31,689700,8.31
2016-09-22,8.45,8.59,8.06,8.49,829300,8.49
2016-09-21,8.31,8.50,8.22,8.49,777900,8.49
2016-09-20,8.46,8.55,8.34,8.35,638900,8.35
2016-09-19,8.36,8.50,8.08,8.46,1424700,8.46
2016-09-16,8.66,8.87,8.58,8.65,1081000,8.65
2016-09-15,8.64,8.77,8.55,8.68,869000,8.68
2016-09-14,8.65,8.66,8.49,8.60,915200,8.60
2016-09-13,8.67,8.79,8.56,8.58,688600,8.58
2016-09-12,8.49,8.75,8.31,8.73,509800,8.73
2016-09-09,8.83,8.83,8.52,8.52,690300,8.52
2016-09-08,8.72,9.05,8.71,8.94,809300,8.94
2016-09-07,8.60,8.81,8.60,8.77,656900,8.77
2016-09-06,8.81,8.82,8.51,8.64,966400,8.64
2016-09-02,8.63,8.74,8.51,8.72,480000,8.72
2016-09-01,8.57,8.63,8.42,8.56,720000,8.56
2016-08-31,8.56,8.64,8.44,8.57,1046200,8.57
2016-08-30,8.83,8.86,8.43,8.58,1439700,8.58
2016-08-29,8.24,9.00,8.14,8.66,4159000,8.66
2016-08-26,7.75,8.09,7.72,7.85,1100400,7.85
2016-08-25,7.75,7.90,7.57,7.76,990800,7.76
2016-08-24,7.48,8.20,7.42,7.74,6271600,7.74
2016-08-23,7.03,7.10,6.99,7.00,486800,7.00
2016-08-22,6.89,7.00,6.87,6.99,400800,6.99
2016-08-19,6.91,7.02,6.84,6.94,339400,6.94
2016-08-18,6.98,7.07,6.91,6.93,394600,6.93
2016-08-17,7.06,7.16,6.95,6.96,308600,6.96
2016-08-16,7.00,7.13,7.00,7.03,444800,7.03
2016-08-15,7.02,7.17,7.01,7.06,376300,7.06
2016-08-12,7.05,7.13,6.92,6.97,508100,6.97
2016-08-11,7.00,7.17,7.00,7.05,504700,7.05
2016-08-10,7.23,7.25,7.01,7.05,414200,7.05
2016-08-09,7.26,7.30,7.14,7.20,549100,7.20
2016-08-08,7.28,7.32,7.18,7.24,709200,7.24
2016-08-05,7.02,7.35,6.94,7.31,818100,7.31
2016-08-04,6.95,7.24,6.87,6.98,1046400,6.98
2016-08-03,6.61,6.82,6.53,6.81,674100,6.81
2016-08-02,6.77,6.82,6.57,6.67,804600,6.67
2016-08-01,6.80,6.82,6.67,6.81,626200,6.81
2016-07-29,6.62,6.84,6.43,6.82,615500,6.82
2016-07-28,6.60,6.65,6.42,6.59,451500,6.59
2016-07-27,6.51,6.66,6.43,6.63,269300,6.63
2016-07-26,6.50,6.57,6.41,6.50,219900,6.50
2016-07-25,6.46,6.55,6.39,6.51,245500,6.51
2016-07-22,6.50,6.53,6.37,6.46,320200,6.46
2016-07-21,6.48,6.62,6.45,6.49,444800,6.49
2016-07-20,6.45,6.53,6.41,6.46,239700,6.46
2016-07-19,6.44,6.56,6.40,6.45,400500,6.45
2016-07-18,6.42,6.49,6.23,6.42,355000,6.42
2016-07-15,6.52,6.59,6.42,6.46,347400,6.46
2016-07-14,6.46,6.65,6.35,6.48,1063700,6.48
2016-07-13,6.65,6.69,6.41,6.47,762700,6.47
2016-07-12,6.60,6.72,6.54,6.59,1341200,6.59
2016-07-11,6.50,6.57,6.39,6.56,1034000,6.56
2016-07-08,6.23,6.58,6.21,6.44,991600,6.44
2016-07-07,6.26,6.41,6.14,6.20,1082400,6.20
2016-07-06,5.93,6.31,5.92,6.27,1095200,6.27
2016-07-05,6.10,6.16,5.89,5.97,1087500,5.97
2016-07-01,5.57,6.39,5.57,6.20,5272100,6.20
2016-06-30,7.06,7.19,5.81,5.91,5448400,5.91
2016-06-29,6.83,7.09,6.82,7.08,1179400,7.08
2016-06-28,6.60,6.83,6.60,6.73,1075700,6.73
2016-06-27,6.51,6.64,6.45,6.55,893800,6.55
2016-06-24,6.57,6.74,6.44,6.61,2183300,6.61
2016-06-23,6.81,6.95,6.76,6.81,523900,6.81
2016-06-22,6.90,6.93,6.63,6.77,709000,6.77
2016-06-21,6.89,7.03,6.83,6.89,391600,6.89
2016-06-20,7.00,7.02,6.86,6.87,533100,6.87
2016-06-17,6.97,7.00,6.87,6.94,996100,6.94
2016-06-16,6.98,7.05,6.80,6.95,752500,6.95
2016-06-15,6.99,7.09,6.95,7.00,953300,7.00
2016-06-14,6.74,7.05,6.74,6.99,730500,6.99
2016-06-13,7.40,7.50,6.67,6.83,1712100,6.83
2016-06-10,7.84,7.89,7.72,7.78,306400,7.78
2016-06-09,7.83,7.92,7.74,7.91,364900,7.91
2016-06-08,7.87,7.90,7.69,7.83,325100,7.83
2016-06-07,7.89,7.97,7.77,7.91,478900,7.91
2016-06-06,7.81,7.99,7.76,7.90,342300,7.90
2016-06-03,7.91,7.91,7.72,7.82,343400,7.82
2016-06-02,7.85,7.97,7.80,7.91,381600,7.91
2016-06-01,7.64,7.91,7.60,7.89,686500,7.89
2016-05-31,7.51,7.71,7.51,7.68,732800,7.68
2016-05-27,7.34,7.58,7.24,7.51,1087900,7.51
2016-05-26,7.31,7.38,7.20,7.34,685000,7.34
2016-05-25,7.16,7.36,7.03,7.32,1102000,7.32
2016-05-24,7.00,7.17,6.94,7.17,387900,7.17
2016-05-23,6.86,7.04,6.85,6.97,462000,6.97
2016-05-20,6.71,7.03,6.71,6.84,528600,6.84
2016-05-19,6.89,6.91,6.67,6.72,351200,6.72
2016-05-18,6.70,7.04,6.65,6.91,451900,6.91
2016-05-17,6.90,6.99,6.69,6.71,668400,6.71
2016-05-16,6.68,6.98,6.68,6.93,873700,6.93
2016-05-13,6.56,6.76,6.54,6.68,440600,6.68
2016-05-12,6.78,6.96,6.54,6.56,453800,6.56
2016-05-11,6.81,6.92,6.72,6.78,328800,6.78
2016-05-10,6.73,6.96,6.71,6.84,760300,6.84
2016-05-09,6.62,6.79,6.53,6.67,585300,6.67
2016-05-06,6.50,6.90,6.46,6.64,926900,6.64
2016-05-05,6.65,6.86,6.40,6.51,1114200,6.51
2016-05-04,6.94,7.07,6.76,6.85,473400,6.85
2016-05-03,7.13,7.14,6.95,6.97,351200,6.97
2016-05-02,7.22,7.37,7.09,7.16,382300,7.16
2016-04-29,7.32,7.49,7.11,7.18,328300,7.18
2016-04-28,7.22,7.49,7.22,7.37,525100,7.37
2016-04-27,7.40,7.53,7.11,7.27,593600,7.27
2016-04-26,7.33,7.49,7.11,7.40,360200,7.40
2016-04-25,7.26,7.37,7.24,7.32,256200,7.32
2016-04-22,7.48,7.51,7.25,7.29,357700,7.29
2016-04-21,7.38,7.60,7.37,7.46,520300,7.46
2016-04-20,7.22,7.44,7.19,7.38,718200,7.38
2016-04-19,7.05,7.28,6.98,7.18,1471200,7.18
2016-04-18,7.10,7.20,6.99,7.04,770500,7.04
2016-04-15,7.09,7.18,7.03,7.11,236200,7.11
2016-04-14,7.11,7.21,7.01,7.15,622800,7.15
2016-04-13,7.15,7.35,7.10,7.14,686200,7.14
2016-04-12,6.98,7.16,6.91,7.09,327100,7.09
2016-04-11,7.08,7.17,6.89,7.02,426200,7.02
2016-04-08,7.20,7.22,7.03,7.07,312300,7.07
2016-04-07,7.18,7.27,7.10,7.13,343400,7.13
2016-04-06,7.10,7.22,7.03,7.21,395700,7.21
2016-04-05,7.10,7.18,7.01,7.10,454100,7.10
