Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,0.96,0.99,0.95,0.95,35600,0.95
2016-10-06,0.96,0.99,0.96,0.96,58600,0.96
2016-10-05,0.99,1.00,0.98,0.98,118200,0.98
2016-10-04,0.99,1.03,0.99,1.00,32900,1.00
2016-10-03,1.02,1.05,0.99,1.00,33100,1.00
2016-09-30,0.99,1.04,0.99,1.04,27000,1.04
2016-09-29,1.02,1.02,0.98,1.00,75300,1.00
2016-09-28,1.01,1.03,1.00,1.01,26100,1.01
2016-09-27,1.01,1.03,1.00,1.03,14800,1.03
2016-09-26,1.01,1.03,1.00,1.00,54200,1.00
2016-09-23,1.07,1.07,1.01,1.01,68200,1.01
2016-09-22,1.02,1.10,1.02,1.08,114600,1.08
2016-09-21,1.15,1.17,1.00,1.04,126900,1.04
2016-09-20,0.99,1.04,0.95,0.97,30200,0.97
2016-09-19,1.00,1.05,0.98,0.98,57600,0.98
2016-09-16,0.99,1.07,0.96,1.01,69300,1.01
2016-09-15,0.95,1.00,0.95,0.99,11300,0.99
2016-09-14,0.95,0.99,0.95,0.97,9200,0.97
2016-09-13,1.00,1.00,0.97,0.97,26400,0.97
2016-09-12,1.04,1.10,0.96,1.00,58300,1.00
2016-09-09,1.00,1.09,0.99,1.01,47800,1.01
2016-09-08,0.98,1.00,0.96,1.00,57000,1.00
2016-09-07,0.94,0.99,0.92,0.96,64800,0.96
2016-09-06,1.00,1.00,0.94,0.96,102400,0.96
2016-09-02,1.05,1.06,0.97,1.00,178400,1.00
2016-09-01,1.08,1.08,1.05,1.05,28100,1.05
2016-08-31,1.11,1.13,1.05,1.07,67700,1.07
2016-08-30,1.16,1.19,1.12,1.12,20600,1.12
2016-08-29,1.12,1.16,1.12,1.13,69900,1.13
2016-08-26,1.17,1.22,1.14,1.15,124300,1.15
2016-08-25,1.14,1.20,1.14,1.17,70900,1.17
2016-08-24,1.15,1.20,1.15,1.17,2500,1.17
2016-08-23,1.22,1.22,1.15,1.18,100100,1.18
2016-08-22,1.19,1.22,1.17,1.21,16900,1.21
2016-08-19,1.19,1.25,1.16,1.18,30200,1.18
2016-08-18,1.19,1.26,1.19,1.20,16700,1.20
2016-08-17,1.18,1.24,1.13,1.22,150800,1.22
2016-08-16,1.24,1.29,1.19,1.20,55100,1.20
2016-08-15,1.19,1.31,1.19,1.24,96300,1.24
2016-08-12,1.27,1.28,1.19,1.19,100600,1.19
2016-08-11,1.20,1.31,1.20,1.27,84500,1.27
2016-08-10,1.30,1.34,1.19,1.20,104100,1.20
2016-08-09,1.29,1.30,1.25,1.25,54100,1.25
2016-08-08,1.30,1.30,1.26,1.28,60900,1.28
2016-08-05,1.29,1.32,1.27,1.30,70400,1.30
2016-08-04,1.30,1.30,1.25,1.25,54900,1.25
2016-08-03,1.32,1.37,1.28,1.29,66200,1.29
2016-08-02,1.38,1.38,1.32,1.33,83700,1.33
2016-08-01,1.32,1.38,1.28,1.35,182600,1.35
2016-07-29,1.27,1.31,1.20,1.28,23400,1.28
2016-07-28,1.30,1.33,1.19,1.28,61700,1.28
2016-07-27,1.27,1.30,1.19,1.27,25100,1.27
2016-07-26,1.25,1.29,1.20,1.27,41300,1.27
2016-07-25,1.25,1.28,1.22,1.24,93100,1.24
2016-07-22,1.25,1.30,1.23,1.27,63800,1.27
2016-07-21,1.26,1.32,1.23,1.26,234100,1.26
2016-07-20,1.19,1.33,1.11,1.30,189100,1.30
2016-07-19,1.23,1.27,1.19,1.20,81600,1.20
2016-07-18,1.25,1.29,1.22,1.27,82300,1.27
2016-07-15,1.23,1.29,1.20,1.25,257400,1.25
2016-07-14,1.11,1.25,1.10,1.21,416500,1.21
2016-07-13,1.11,1.17,1.11,1.12,165300,1.12
2016-07-12,1.05,1.14,1.05,1.10,705500,1.10
2016-07-11,0.91,1.04,0.91,1.03,359400,1.03
2016-07-08,0.91,0.95,0.89,0.94,71200,0.94
2016-07-07,0.91,0.92,0.88,0.91,4500,0.91
2016-07-06,0.90,0.93,0.90,0.92,15300,0.92
