Date,Open,High,Low,Close,Volume,Adj Close
2016-10-07,52.00,52.00,52.00,52.00,000,52.00
2016-10-06,52.00,52.00,52.00,52.00,000,52.00
2016-10-05,52.00,52.00,52.00,52.00,000,52.00
2016-10-04,52.00,52.00,52.00,52.00,000,52.00
2016-10-03,52.00,52.00,52.00,52.00,000,52.00
2016-09-30,52.00,52.00,52.00,52.00,000,52.00
2016-09-29,52.00,52.00,52.00,52.00,000,52.00
2016-09-28,52.00,52.00,52.00,52.00,000,52.00
2016-09-27,52.00,52.00,52.00,52.00,000,52.00
2016-09-26,51.990002,52.02,51.990002,52.00,436900,52.00
2016-09-23,51.98,52.049999,51.98,52.009998,226200,52.009998
2016-09-22,51.990002,52.00,51.970001,51.970001,209700,51.970001
2016-09-21,51.970001,51.990002,51.950001,51.98,170600,51.98
2016-09-20,51.970001,51.990002,51.950001,51.990002,145300,51.990002
2016-09-19,51.970001,51.98,51.93,51.950001,223200,51.950001
2016-09-16,51.939999,51.990002,51.93,51.950001,680200,51.950001
2016-09-15,51.91,51.98,51.91,51.93,507700,51.93
2016-09-14,51.919998,51.939999,51.889999,51.900002,202600,51.900002
2016-09-13,51.869999,51.939999,51.869999,51.919998,180800,51.919998
2016-09-12,51.860001,51.889999,51.860001,51.869999,330800,51.869999
2016-09-09,51.860001,51.889999,51.860001,51.860001,372500,51.860001
2016-09-08,51.860001,51.880001,51.849998,51.860001,1858900,51.860001
2016-09-07,51.849998,51.869999,51.830002,51.849998,663100,51.849998
2016-09-06,51.82,51.869999,51.810001,51.830002,289200,51.830002
2016-09-02,51.880001,51.900002,51.779999,51.790001,716000,51.790001
2016-09-01,51.849998,51.889999,51.779999,51.82,1746900,51.82
2016-08-31,51.950001,51.970001,51.919998,51.959999,474700,51.959999
2016-08-30,51.91,51.950001,51.880001,51.93,570400,51.93
2016-08-29,51.880001,51.93,51.869999,51.91,367200,51.91
2016-08-26,51.91,51.959999,51.860001,51.869999,324000,51.869999
2016-08-25,51.830002,51.91,51.82,51.91,209900,51.91
2016-08-24,51.77,51.900002,51.759998,51.860001,502800,51.860001
2016-08-23,51.830002,51.880001,51.73,51.73,744600,51.73
2016-08-22,51.900002,51.900002,51.700001,51.830002,461100,51.830002
2016-08-19,51.75,51.900002,51.73,51.849998,970800,51.849998
2016-08-18,52.220001,52.32,52.16,52.290001,650100,51.69
2016-08-17,52.23,52.299999,52.16,52.259998,1315300,51.660341
2016-08-16,52.240002,52.290001,52.150002,52.25,657700,51.650458
2016-08-15,52.200001,52.299999,52.110001,52.220001,592100,51.620803
2016-08-12,52.240002,52.27,52.16,52.169998,498700,51.571374
2016-08-11,52.279999,52.450001,52.169998,52.169998,1147200,51.571374
2016-08-10,52.41,52.50,52.27,52.290001,620100,51.69
2016-08-09,52.400002,52.470001,52.279999,52.34,1699800,51.739425
2016-08-08,52.619999,52.68,52.25,52.50,359700,51.897589
2016-08-05,52.59,52.790001,52.400002,52.580002,418300,51.976673
2016-08-04,52.599998,52.889999,52.360001,52.50,573100,51.897589
2016-08-03,52.57,52.599998,52.209999,52.48,339700,51.877818
2016-08-02,52.599998,52.77,52.450001,52.619999,728000,52.016211
2016-08-01,52.759998,52.759998,52.450001,52.630001,753100,52.026099
2016-07-29,52.27,53.060001,52.27,52.66,779900,52.055753
2016-07-28,52.220001,52.52,52.18,52.34,1727500,51.739425
2016-07-27,52.189999,52.299999,52.189999,52.240002,2674300,51.640574
2016-07-26,52.130001,52.259998,52.130001,52.200001,3294100,51.601032
2016-07-25,52.099998,52.400002,52.099998,52.189999,8576900,51.591145
2016-07-22,46.549999,47.060001,45.84,46.91,327600,46.371732
2016-07-21,46.419998,48.23,46.209999,46.889999,324900,46.351961
2016-07-20,46.18,46.419998,45.66,46.389999,197600,45.857698
2016-07-19,45.630001,46.650002,44.790001,46.16,289400,45.630337
2016-07-18,43.77,46.240002,43.509998,45.830002,435900,45.304126
2016-07-15,44.599998,44.599998,43.810001,43.959999,453000,43.455581
2016-07-14,44.18,44.470001,43.779999,44.27,711900,43.762025
2016-07-13,44.00,44.119999,43.209999,43.779999,254900,43.277646
2016-07-12,43.91,44.459999,43.209999,43.84,374200,43.336959
2016-07-11,44.02,44.200001,43.459999,43.650002,403300,43.14914
2016-07-08,42.509998,43.720001,42.02,43.59,420100,43.089827
2016-07-07,43.02,43.290001,41.860001,42.290001,413400,41.804745
2016-07-06,42.369999,43.439999,42.299999,43.080002,379900,42.585681
2016-07-05,42.880001,43.389999,41.639999,42.450001,201100,41.962909
2016-07-01,41.790001,43.169998,41.790001,42.759998,306300,42.269349
2016-06-30,41.82,42.650002,41.48,42.00,253200,41.518071
2016-06-29,40.939999,42.330002,40.939999,41.959999,169000,41.478529
2016-06-28,40.91,42.470001,40.540001,40.799999,182100,40.33184
2016-06-27,43.169998,43.169998,39.900002,40.73,389800,40.262644
